time,flux,Raw,RB,Sky,flux_err
double,double,double,double,double,double
3262.469457,         NaN,          NaN,          NaN, 22724.804688,          NaN
3262.489890, 6685.762565,  6499.953052,     5.404379, 22700.238281,    36.146627
3262.510324, 6730.211264,  6557.994932,     4.614550, 22691.494141,    36.168580
3262.530757, 6726.043834,  6562.318525,     5.259492, 22668.343750,    36.151785
3262.551191, 6745.746468,  6597.860937,     3.320558, 22654.886719,    36.155625
3262.571625, 6755.155960,  6621.957571,     3.183230, 22655.003906,    36.161482
3262.592058,         NaN,          NaN,          NaN, 22624.294922,          NaN
3262.612492, 6732.721054,  6623.980491,     4.363351, 22604.367188,    36.116532
3262.632925, 6677.525414,  6591.893133,     6.246056, 22604.976562,    36.082916
3262.653359, 6638.754277,  6558.275000,     6.547413, 22603.519531,    36.058122
3262.673792, 6733.830457,  6664.070771,     4.105401, 22577.347656,    36.100579
3262.694226, 6683.165524,  6621.285020,     7.033446, 22552.757812,    36.054206
3262.714660, 6741.094234,  6686.570471,     4.501770, 22556.050781,    36.091936
3262.735093,         NaN,          NaN,          NaN, 22412.320312,          NaN
3262.755527, 6741.367754,  6727.183321,     3.910703, 22268.589844,    35.914604
3262.775961, 6729.467435,  6733.180376,     4.477465, 22070.923828,    35.784646
3262.796394, 6699.580045,  6713.417045,     6.030334, 22048.673828,    35.752241
3262.816828, 6726.310409,  6743.527033,     4.601644, 22043.613281,    35.765713
3262.837261, 6742.127107,  6767.177774,     3.743243, 22043.011719,    35.775169
3262.857695, 6683.157150,  6709.924170,     6.755074, 22007.130859,    35.716179
3262.878129, 6697.480344,  6737.197978,     6.739266, 21998.935547,    35.719993
3262.898562,         NaN,          NaN,          NaN, 21998.832031,          NaN
3262.918996, 6780.802416,  6598.288781,     3.251215, 21984.193359,    35.762650
3262.939429, 6739.052151,  6580.715156,     3.684261, 21976.775391,    35.732072
3262.959863, 6751.597533,  6601.066250,     3.893585, 21948.988281,    35.722588
3262.980297, 6742.165750,  6601.626505,     4.695571, 21929.646484,    35.704677
3263.000730, 6744.189712,  6613.602126,     4.504481, 21938.214844,    35.711271
3263.021164, 6716.459892,  6596.652699,     5.430117, 21957.929688,    35.706281
3263.041597, 6751.756320,  6643.633108,     3.503572, 21986.888672,    35.746265
3263.062031, 6727.057852,  6627.228978,     5.132468, 22009.583984,    35.745020
3263.082465, 6729.935151,  6649.745817,     4.335040, 21956.074219,    35.713515
3263.102898, 6697.830562,  6629.704853,     5.529087, 21918.437500,    35.670076
3263.123332,         NaN,          NaN,          NaN, 21903.710938,          NaN
3263.143765, 6721.868478,  6678.047101,     4.475688, 21833.988281,    35.632405
3263.164199, 6751.179062,  6721.855219,     4.074659, 21789.308594,    35.622814
3263.184633, 6741.582829,  6715.978519,     3.572196, 21770.476562,    35.605069
3263.205066, 6736.362768,  6720.335609,     4.422926, 21747.574219,    35.587505
3263.225500, 6694.872335,  6692.841548,     7.286698, 21702.740234,    35.533538
3263.245933,         NaN,          NaN,          NaN, 21691.871094,          NaN
3263.266367,         NaN,          NaN,          NaN, 21681.000000,          NaN
3263.286801, 6721.278147,  6745.119308,     6.496073, 21670.128906,    35.529655
3263.307234, 6754.210508,  6792.794221,     6.165273, 21641.152344,    35.532130
3263.327668, 6742.379570,  6800.600944,     5.265845, 21647.167969,    35.528491
3263.348101, 6769.550599,  6826.967980,     4.734220, 21620.470703,    35.528788
3263.368535, 6735.497000,  6800.167573,     5.993068, 21611.382812,    35.501783
3263.388969,         NaN,          NaN,          NaN, 21604.785156,          NaN
3263.409402, 6739.185202,  6635.116108,     4.189940, 21594.904297,    35.493773
3263.429836, 6766.328233,  6673.309875,     4.234165, 21571.601562,    35.496178
3263.450270, 6715.573226,  6644.915293,     4.943137, 21568.683594,    35.462547
3263.470703, 6728.363491,  6650.398046,     4.701320, 21556.789062,    35.463108
3263.491137, 6718.327462,  6653.601913,     4.887295, 21532.623047,    35.441661
3263.511570, 6688.076209,  6622.093523,     6.864860, 21504.769531,    35.405195
3263.532004, 6709.632438,  6649.563047,     5.441630, 21495.306641,    35.412788
3263.552437, 6701.047167,  6659.248023,     5.958422, 21485.652344,    35.401335
3263.572871, 6739.136976,  6705.685229,     5.249799, 21469.201172,    35.414921
3263.593305, 6734.105584,  6710.517172,     5.587364, 21447.617188,    35.398210
3263.613738, 6737.924587,  6735.260414,     5.144814, 21439.291016,    35.395379
3263.634172, 6749.964323,  6762.676770,     9.518195, 21418.787109,    35.390063
3263.654605, 6757.590288,  6787.789418,     4.802270, 21402.152344,    35.384403
3263.675039, 6755.078206,  6803.246082,     6.788643, 21382.150391,    35.370255
3263.695473, 6739.630462,  6780.720178,     6.250541, 21373.650391,    35.355200
3263.715906, 6758.791366,  6822.652192,     4.503461, 21366.744141,    35.362905
3263.736340, 6732.597717,  6814.507868,     6.040556, 21359.097656,    35.341624
3263.756773, 6732.649084,  6826.669024,     6.306470, 21337.460938,    35.328044
3263.777207, 6755.437595,  6854.534658,     5.282761, 21331.398438,    35.338568
3263.797641, 6748.081456,  6859.028548,     5.451033, 21311.541016,    35.321444
3263.818074, 6738.491357,  6855.590827,     5.984654, 21285.271484,    35.298866
3263.838508, 6730.822480,  6839.344925,     5.046062, 21277.472656,    35.289123
3263.858942, 6660.374207,  6779.002549,     6.785630, 21246.816406,    35.225372
3263.879375,         NaN,          NaN,          NaN, 21248.984375,          NaN
3263.899809, 6755.622975,  6817.540103,     6.253739, 21218.761719,    35.267754
3263.920242, 6708.865813,  6792.072426,     7.983043, 21200.021484,    35.226443
3263.940676, 6738.797590,  6827.645073,     8.011620, 21176.751953,    35.230647
3263.961110, 6762.686230,  6869.632893,     5.600500, 21166.281250,    35.239113
3263.981543, 6737.545015,  6842.336669,     8.324441, 21143.513672,    35.208876
3264.001977,         NaN,          NaN,          NaN, 21140.958984,          NaN
3264.022410, 6699.317974,  6812.825244,     7.965697, 21138.406250,    35.181504
3264.042844, 6714.907979,  6837.398881,     7.917016, 21120.623047,    35.180118
3264.063278, 6668.588368,  6791.962711,     7.268340, 21119.503906,    35.150127
3264.083711, 6664.391094,  6802.663558,     7.327855, 21087.111328,    35.126978
3264.104145, 6586.678761,  6712.504796,     8.885396, 21090.857422,    35.080134
3264.124578,         NaN,          NaN,          NaN, 21111.832031,          NaN
3264.145012, 6759.125278,  6564.664912,     5.543034, 21106.121094,    35.198891
3264.165446, 6746.932999,  6577.842087,     4.738481, 21099.398438,    35.186942
3264.185879, 6789.805000,  6629.562572,     3.043326, 21105.410156,    35.217814
3264.206313, 6743.374496,  6615.319590,     3.573749, 21088.585938,    35.177861
3264.226746, 6713.576288,  6596.360376,     4.382757, 21094.255859,    35.162610
3264.247180,         NaN,          NaN,     2.663817, 21087.089844,          NaN
3264.267614, 6712.597649,  6639.428980,     5.256564, 21048.724609,    35.133192
3264.288047, 6709.477664,  6661.310157,     4.172832, 21047.669922,    35.130550
3264.308481, 6725.256657,  6691.495851,     4.218005, 21016.164062,    35.120596
3264.328914, 6721.898322,  6704.471635,     5.268791, 20996.179688,    35.105817
3264.349348, 6680.412858,  6666.950835,     7.369860, 20968.117188,    35.061747
3264.369782,         NaN,          NaN,          NaN, 20952.539062,          NaN
3264.390215,         NaN,          NaN,          NaN, 20936.958984,          NaN
3264.410649, 6497.387352,  6456.314079,    17.986538, 20946.464844,    34.931728
3264.431082, 6715.407666,  6689.505556,     6.110911, 20899.390625,    35.040353
3264.451516, 6708.572820,  6682.310918,     5.956213, 20890.089844,    35.030114
3264.471950,         NaN,          NaN,          NaN, 20876.609375,          NaN
3264.492383,         NaN,          NaN,          NaN, 20863.125000,          NaN
3264.512817,         NaN,          NaN,          NaN, 20851.615234,          NaN
3264.533251,         NaN,          NaN,          NaN, 20835.343750,          NaN
3264.553684, 6704.676184,  6719.860129,     6.697936, 20819.078125,    34.982542
3264.574118, 6678.733684,  6715.866392,     6.680840, 20816.203125,    34.964224
3264.594551, 6697.066806,  6740.699597,     6.882205, 20794.681641,    34.962197
3264.614985, 6720.806348,  6770.479511,     7.176177, 20897.326172,    35.042468
