time,x0,flux,comp1,comp2,model,first_component_residual
58359.76490096287,0.0,-33.81681823730469,-38.24324,2.121914658946722,-36.12132534105328,4.426421762695313
58360.00817118682,0.2432702239457285,-34.056846618652344,-37.48008221076967,2.116541971516429,-35.36354023925325,3.4232355921173294
58360.26490096287,0.5,-32.021728515625,-36.67470075,2.05374303585685,-34.62095771414315,4.6529722343749995
58360.51490096287,0.75,-33.22685241699219,-35.890431125,1.9378494358286396,-33.95258168917136,2.6635787080078117
58360.84155208902,1.0766511261463165,-33.59013366699219,-34.865700900165606,1.7102883893631378,-33.15541251080247,1.275567233173419
58360.96476041977,1.1998594568940462,-33.115196228027344,-34.47918669475601,1.6038822637218468,-32.87530443103416,1.3639904667286658
58361.26490096287,1.5,-31.707340240478516,-33.53762225,1.3032447705475851,-32.23437747945241,1.8302820095214827
58361.43117971593,1.6662787530585774,-31.940765380859375,-33.01599274877313,1.11464186581143,-31.9013508829617,1.0752273679137545
58361.68806477353,1.9231638106575701,-31.507762908935547,-32.210124157608064,0.7985844382291755,-31.41153971937889,0.702361248672517
58362.01490096287,2.25,-30.715460777282715,-31.184813375,0.3656427923337825,-30.819170582666217,0.4693525977172861
58362.229168113554,2.4642671506808256,-30.495253562927246,-30.512640503342922,0.07166168986582985,-30.44097881347709,0.017386940415676122
58362.47890710391,2.7140061410391354,-30.103715419769287,-29.72918968607816,-0.27233739485518427,-30.001527080933347,-0.37452573369112585
58362.76490096287,3.0,-28.806900024414062,-28.8320045,-0.65696914415809,-29.48897364415809,0.025104475585937536
58362.93578438686,3.1708834239834687,-29.403640747070312,-28.295929784615076,-0.8768281873461908,-29.172757971961268,-1.1077109624552364
58363.26490096287,3.5,-27.920799255371094,-27.263465250000003,-1.2676474004755083,-28.53111265047551,-0.6573340053710908
58363.51918498034,3.75428401746467,-27.88742446899414,-26.46575632591796,-1.5309490547532312,-27.99670538067119,-1.4216681430761824
58363.74493663097,3.9800356680934783,-26.77230453491211,-25.757555676390815,-1.7300132250443208,-27.487568901435136,-1.014748858521294
58364.01311730308,4.248216340209183,-26.17330551147461,-24.916251855781088,-1.9179739030237795,-26.834225758804866,-1.2570536556935217
58364.285919102585,4.521018139712396,-25.42845344543457,-24.060451195798247,-2.0496313687519807,-26.11008256455023,-1.3680022496363229
58364.53419808048,4.769297117607493,-25.816144943237305,-23.28158055224156,-2.1137734722697066,-25.395354024511267,-2.534564390995744
58364.76490096287,5.0,-25.632291793823242,-22.5578475,-2.1242577511425593,-24.68210525114256,-3.074444293823241
58365.05113490967,5.286233946797438,-22.585437774658203,-21.659909139531614,-2.071203620590772,-23.731112760122386,-0.9255286351265894
58365.27136033194,5.506459369069489,-20.904754638671875,-20.969044702168542,-1.9816425194959613,-22.950687221664502,0.06429006349666722
58365.51490096287,5.75,-19.729740142822266,-20.205038625,-1.8356019495095524,-22.040640574509553,0.4752984821777346
58365.87960577512,6.114704812243872,-20.948875427246094,-19.060930999663213,-1.532692543176209,-20.593623542839424,-1.8879444275828803
58365.93313472485,6.168233761978627,-20.788429260253906,-18.893006482322733,-1.4805629616198634,-20.373569443942596,-1.8954227779311736
58366.26490096287,6.5,-18.118141174316406,-17.85222975,-1.1201786895411352,-18.972408439541134,-0.2659114243164069
58366.51490096287,6.75,-15.632306795484888,-17.067960125000003,-0.8134020837977288,-17.881362208797732,1.4356533295151142
58368.01490096287,8.25,-10.541427612304688,-12.362342375,1.1676001224118575,-11.194742252588144,1.8209147626953133
58368.25332027886,8.488419315988722,-10.637680053710938,-11.614402264827074,1.4276032763796989,-10.186798988447375,0.9767222111161367
58368.47494979319,8.710048830318556,-9.187271118164062,-10.919133080457513,1.6387935919524115,-9.280339488505101,1.7318619622934506
58368.76490096287,9.0,-8.445255279541016,-10.0095335,1.8633452614267432,-8.146188238573256,1.5642782204589842
58369.07367842777,9.308777464895684,-7.1429595947265625,-9.040874353591246,2.0299285308626906,-7.010945822728555,1.8979147588646832
58369.26490096287,9.5,-6.656431198120117,-8.440994250000003,2.092607784306208,-6.348386465693794,1.7845630518798856
58369.51490096287,9.75,-5.083329200744629,-7.6567246250000025,2.1258727731489073,-5.530851851851095,2.5733954242553736
58369.754685580876,9.989784618002886,-5.229763031005859,-6.904501455232435,2.1052624286893336,-4.799239026543101,1.6747384242265753
58370.01490096287,10.25,-5.606611251831055,-6.088185375000002,2.0253202611369145,-4.062865113863087,0.4815741231689472
58370.26490096287,10.5,-5.1707916259765625,-5.303915750000002,1.8941464405756807,-3.4097693094243207,0.1331241240234391
58370.52804063983,10.763139676957508,-2.0553131103515625,-4.478425926919655,1.7023678375048137,-2.7760580894148417,2.423112816568093
58370.76490096287,11.0,-2.46124267578125,-3.735376500000001,1.4871568052025959,-2.248219694797405,1.274133824218751
58371.06236505393,11.29746409105428,-0.9701423645019531,-2.8022082954315763,1.1678505827292975,-1.6343577127022788,1.8320659309296232
58371.28106761382,11.516166650944797,-0.22748947143554688,-2.116121196904075,0.9046499043119742,-1.2114712925921007,1.888631725468528
58371.51490096287,11.75,-0.27960205078125,-1.382567625,0.6032374896865766,-0.7793301353134234,1.10296557421875
58371.76490096287,12.0,2.1574554443359375,-0.5982979999999998,0.2658183425125976,-0.33247965748740216,2.7557534443359373
58371.96642657794,12.20152561506984,0.32186126708984375,0.03390367423487106,-0.011688876810710007,0.022214797424161055,0.2879575928549727
58372.23137101113,12.46647004825354,-0.545074462890625,0.8650551592701419,-0.37546344753206,0.48959171173808186,-1.4101296221607669
58372.53936065459,12.77445969171822,0.737396240234375,1.8312428480058571,-0.7836923827361858,1.0475504652696714,-1.0938466077714821
58372.781675884995,13.01677492212184,2.0216522216796875,2.591404747527598,-1.0836917058687543,1.5077130416588436,-0.5697525258479104
58372.96406460783,13.199163644960208,2.2931900024414062,3.163572488586304,-1.2922201383082985,1.8713523502780056,-0.8703824861448979
58373.347433991024,13.582533028151374,2.742523193359375,4.366232338153573,-1.6683364525319977,2.697895885621575,-1.6237091447941978
58373.542848675934,13.777947713060712,1.94677734375,4.97926354476693,-1.8217054337284975,3.1575581110384325,-3.03248620101693
58373.664497584505,13.899596621631645,1.8822860717773438,5.360885720393263,-1.9025262467099275,3.4583594736833354,-3.478599648615919
