BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1325.32891,-10.69109,-5.6298,6.0315,-0.0382,0.0409,19.6493,,
1325.34974,-10.67026,9.3540,6.0716,0.0634,0.0412,19.2053,0.7047,
1325.37057,-10.64943,-1.3353,6.1367,-0.0091,0.0416,19.6493,,
1325.39141,-10.62859,-2.0527,6.1374,-0.0139,0.0416,19.6493,,
1325.41224,-10.60776,5.0774,6.1399,0.0344,0.0416,19.6493,,
1325.43307,-10.58693,7.1317,6.1929,0.0484,0.0420,19.4998,0.9428,
1325.45391,-10.56609,-1.1252,6.2224,-0.0076,0.0422,19.6493,,
1325.47474,-10.54526,-5.2243,6.2610,-0.0354,0.0425,19.6493,,
1325.49557,-10.52443,3.1786,6.2739,0.0216,0.0426,19.6493,,
1325.51641,-10.50359,-6.3633,6.3152,-0.0432,0.0428,19.6493,,
1325.53724,-10.48276,-5.5335,6.3560,-0.0375,0.0431,19.6493,,
1325.55807,-10.46193,-5.1276,6.3816,-0.0348,0.0433,19.6493,,
1325.57891,-10.44109,8.0049,6.4407,0.0543,0.0437,19.3744,0.8736,
1325.59974,-10.42026,2.4584,6.4553,0.0167,0.0438,19.6493,,
1325.62057,-10.39943,-3.8913,6.4943,-0.0264,0.0440,19.6493,,
1325.64141,-10.37859,1.5987,6.4288,0.0108,0.0436,19.6493,,
1325.66224,-10.35776,8.8066,6.4564,0.0597,0.0438,19.2708,0.7960,
1325.68307,-10.33693,1.3804,6.4359,0.0094,0.0437,19.6493,,
1325.70391,-10.31609,-7.4694,6.4246,-0.0507,0.0436,19.6493,,
1325.72474,-10.29526,-5.5421,6.4294,-0.0376,0.0436,19.6493,,
1325.74557,-10.27443,-0.1956,6.4360,-0.0013,0.0437,19.6493,,
1325.76641,-10.25359,5.3801,6.4673,0.0365,0.0439,19.6493,,
1325.78724,-10.23276,11.8633,6.4036,0.0805,0.0434,18.9473,0.5861,
1325.80807,-10.21193,6.7097,6.4109,0.0455,0.0435,19.5660,1.0374,
1325.82891,-10.19109,-1.0060,6.4163,-0.0068,0.0435,19.6493,,
1325.84974,-10.17026,11.3425,6.4990,0.0769,0.0441,18.9960,0.6221,
1325.87057,-10.14943,0.6601,6.4764,0.0045,0.0439,19.6493,,
1325.89141,-10.12859,2.4196,6.4644,0.0164,0.0438,19.6493,,
1325.91224,-10.10776,5.9497,6.4122,0.0404,0.0435,19.6493,,
1325.93307,-10.08693,9.2189,6.4728,0.0625,0.0439,19.2211,0.7623,
1325.95391,-10.06609,-7.0127,6.4217,-0.0476,0.0436,19.6493,,
1325.99557,-10.02443,15.0315,6.4597,0.1020,0.0438,18.6903,0.4666,
1326.01641,-10.00359,-2.3279,6.4671,-0.0158,0.0439,19.6493,,
1326.03724,-9.98276,4.3558,6.4998,0.0295,0.0441,19.6493,,
1326.05807,-9.96193,-3.0457,6.5028,-0.0207,0.0441,19.6493,,
1326.07891,-9.94109,2.9204,6.4953,0.0198,0.0441,19.6493,,
1326.09974,-9.92026,2.0217,6.5049,0.0137,0.0441,19.6493,,
1326.12057,-9.89943,2.9071,6.4050,0.0197,0.0434,19.6493,,
1326.14141,-9.87859,-5.9107,6.3900,-0.0401,0.0433,19.6493,,
1326.16224,-9.85776,-0.7781,6.4075,-0.0053,0.0435,19.6493,,
1326.18307,-9.83693,-10.6133,6.5298,-0.0720,0.0443,19.6493,,
1326.20391,-9.81609,-0.1580,6.5511,-0.0011,0.0444,19.6493,,
1326.22474,-9.79526,2.9731,6.5379,0.0202,0.0443,19.6493,,
1326.24557,-9.77443,3.1518,6.5747,0.0214,0.0446,19.6493,,
1326.26641,-9.75359,-1.0541,6.4670,-0.0071,0.0439,19.6493,,
1326.28724,-9.73276,5.7781,6.4966,0.0392,0.0441,19.6493,,
1326.30807,-9.71193,6.5678,6.5030,0.0445,0.0441,19.5893,1.0750,
1326.32891,-9.69109,-5.4449,6.5217,-0.0369,0.0442,19.6493,,
1326.37057,-9.64943,-8.6101,6.5390,-0.0584,0.0444,19.6493,,
1326.39141,-9.62859,-7.5032,6.5546,-0.0509,0.0445,19.6493,,
1326.41224,-9.60776,-0.5983,6.5505,-0.0041,0.0444,19.6493,,
1326.43307,-9.58693,1.1218,6.5558,0.0076,0.0445,19.6493,,
1326.45391,-9.56609,14.4890,6.5653,0.0983,0.0445,18.7302,0.4920,
1326.47474,-9.54526,2.3019,6.5809,0.0156,0.0446,19.6493,,
1326.49557,-9.52443,-2.1496,6.5852,-0.0146,0.0447,19.6493,,
1326.51641,-9.50359,8.0412,6.6114,0.0545,0.0448,19.3695,0.8927,
1326.53724,-9.48276,-8.0238,6.6756,-0.0544,0.0453,19.6493,,
1326.55807,-9.46193,1.5380,6.7206,0.0104,0.0456,19.6493,,
1326.57891,-9.44109,7.0646,6.6733,0.0479,0.0453,19.5101,1.0256,
1326.59974,-9.42026,6.4706,6.7456,0.0439,0.0458,19.6054,1.1319,
