BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1354.13977,-6.28023,-1.2313,4.6979,-0.0083,0.0317,19.4513,,
1354.16061,-6.25939,-4.3410,4.8375,-0.0293,0.0326,19.4513,,
1354.18144,-6.23856,-1.3322,4.7646,-0.0090,0.0321,19.4513,,
1354.20228,-6.21772,-10.0666,4.7642,-0.0679,0.0321,19.4513,,
1354.22311,-6.19689,-1.7667,4.7865,-0.0119,0.0323,19.4513,,
1354.24394,-6.17606,-0.1489,4.9177,-0.0010,0.0332,19.4513,,
1354.26478,-6.15522,-3.8684,4.8692,-0.0261,0.0328,19.4513,,
1354.28561,-6.13439,0.1585,4.8340,0.0011,0.0326,19.4513,,
1354.30644,-6.11356,1.9317,4.7110,0.0130,0.0318,19.4513,,
1354.32728,-6.09272,2.6883,4.7191,0.0181,0.0318,19.4513,,
1354.34811,-6.07189,5.4330,4.6947,0.0366,0.0317,19.4513,,
1354.36894,-6.05106,-2.9882,4.6885,-0.0202,0.0316,19.4513,,
1354.38978,-6.03022,-0.8855,4.6664,-0.0060,0.0315,19.4513,,
1354.41061,-6.00939,-1.7534,4.6697,-0.0118,0.0315,19.4513,,
1354.43144,-5.98856,-6.0552,4.7227,-0.0408,0.0319,19.4513,,
1354.45228,-5.96772,-0.9680,4.7127,-0.0065,0.0318,19.4513,,
1354.47311,-5.94689,3.0091,4.7096,0.0203,0.0318,19.4513,,
1354.49394,-5.92606,-7.2847,4.7615,-0.0491,0.0321,19.4513,,
1354.51478,-5.90522,-4.5149,4.7591,-0.0304,0.0321,19.4513,,
1354.53561,-5.88439,-3.6879,4.7851,-0.0249,0.0323,19.4513,,
1354.55645,-5.86355,1.4658,4.7614,0.0099,0.0321,19.4513,,
1354.57728,-5.84272,-0.0227,4.7556,-0.0002,0.0321,19.4513,,
1354.59811,-5.82189,4.1397,4.7062,0.0279,0.0317,19.4513,,
1354.61895,-5.80105,-1.2826,4.7172,-0.0086,0.0318,19.4513,,
1354.63978,-5.78022,1.8043,4.7007,0.0122,0.0317,19.4513,,
1354.66061,-5.75939,-8.5470,4.7740,-0.0576,0.0322,19.4513,,
1354.68145,-5.73855,0.9025,4.6991,0.0061,0.0317,19.4513,,
1354.70228,-5.71772,-6.7262,4.8268,-0.0454,0.0326,19.4513,,
1354.72311,-5.69689,-3.4363,4.6559,-0.0232,0.0314,19.4513,,
1354.74395,-5.67605,4.1014,4.6957,0.0277,0.0317,19.4513,,
1354.76478,-5.65522,0.5175,4.7655,0.0035,0.0321,19.4513,,
1354.78561,-5.63439,9.7418,4.6638,0.0657,0.0315,19.1612,0.5198,
1354.80645,-5.61355,1.8701,4.6418,0.0126,0.0313,19.4513,,
