BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1349.72160,1.51160,1.94920,1.66880,0.03838,0.03285,19.15570,0.00000,
1349.96119,1.75119,0.29028,1.43092,0.00573,0.02817,19.15570,0.00000,
1350.21119,2.00119,2.73199,1.43272,0.05377,0.02821,19.15570,0.00000,
1350.46119,2.25119,0.30396,1.45332,0.00598,0.02861,19.15570,0.00000,
1350.71119,2.50119,2.04326,1.43607,0.04023,0.02827,19.15570,0.00000,
1350.90911,2.69911,4.87093,1.85996,0.09591,0.03662,19.15570,0.00000,
1351.19614,2.98614,5.77281,1.67445,0.11366,0.03296,19.15570,0.00000,
1351.46782,3.25782,6.60907,1.47444,0.13010,0.02903,19.08097,0.09489,0.00000
1351.70456,3.49456,5.94665,1.49598,0.11705,0.02945,19.13303,0.04035,0.00000
1351.96119,3.75119,5.97519,1.42520,0.11763,0.02806,19.13847,0.03828,0.00000
1352.22161,4.01161,6.30562,1.66051,0.12413,0.03269,19.15570,0.00000,
1352.46119,4.25119,5.70136,1.44722,0.11222,0.02849,19.09566,0.04776,0.00000
1352.71119,4.50119,10.28466,1.46345,0.20245,0.02881,18.93162,0.08862,0.00000
1352.96119,4.75119,9.49066,1.45623,0.18684,0.02867,19.04840,0.08533,0.00000
1353.12786,4.91786,10.96128,2.53232,0.21580,0.04985,18.91520,0.18346,0.00000
1354.23202,6.02202,16.07655,1.68422,0.31648,0.03316,18.64979,3.55671,35.55000
1354.46119,6.25119,18.68613,1.50514,0.36786,0.02963,18.49995,0.10032,35.55000
1354.71119,6.50119,22.07774,1.50348,0.43462,0.02960,18.29729,0.07872,35.55000
1354.96119,6.75119,23.48686,1.52882,0.46237,0.03010,18.24132,0.07979,35.55000
1355.21119,7.00119,26.07416,1.52892,0.51329,0.03010,18.10999,0.06700,35.55000
1355.46119,7.25119,26.18916,1.52820,0.51556,0.03009,18.09465,0.06469,35.55000
1355.71119,7.50119,27.41108,1.51376,0.53962,0.02980,18.04727,0.06147,35.55000
1355.96119,7.75119,30.87997,1.52995,0.60791,0.03012,17.91296,0.05448,35.55000
1356.21119,8.00119,32.33272,1.49760,0.63649,0.02948,17.87253,0.05243,35.55000
1356.46119,8.25119,32.17129,1.52204,0.63334,0.02997,17.87464,0.05283,35.55000
1356.73549,8.52549,33.36107,1.73732,0.65676,0.03420,17.82853,0.05722,35.55000
1356.96403,8.75403,34.48654,1.57173,0.67889,0.03094,17.79591,0.05047,35.55000
1357.20266,8.99266,36.12452,1.58110,0.71116,0.03112,17.74531,0.04844,35.55000
1357.45077,9.24077,38.44375,1.55738,0.75682,0.03066,17.67368,0.04434,35.55000
1357.71118,9.50118,42.35753,1.49076,0.83386,0.02935,17.56876,0.03859,35.55000
1357.95645,9.74645,41.87995,1.56636,0.82447,0.03084,17.58655,0.04151,35.55000
1358.21118,10.00118,41.96252,1.48885,0.82607,0.02931,17.57761,0.03870,35.55000
1358.46118,10.25118,43.19337,1.51846,0.85030,0.02989,17.54987,0.03874,35.55000
1358.70266,10.49266,42.96715,1.56129,0.84586,0.03074,17.55210,0.03974,35.55000
1358.96118,10.75118,45.35558,1.50104,0.89287,0.02955,17.49338,0.03612,35.55000
1359.23549,11.02549,48.44340,1.70434,0.95367,0.03355,17.42249,0.03855,35.55000
1359.47159,11.26159,47.07474,1.44382,0.92671,0.02842,17.45422,0.03366,35.55000
1359.74053,11.53053,48.65373,1.58072,0.95779,0.03112,17.41615,0.03538,35.55000
1359.98201,11.77201,49.85141,1.52103,0.98139,0.02994,17.39074,0.03332,35.55000
1360.23201,12.02201,49.61682,1.50007,0.97676,0.02953,17.39549,0.03298,35.55000
1360.48201,12.27201,49.27347,1.51699,0.96999,0.02986,17.40302,0.03360,35.55000
1360.73201,12.52201,52.65678,1.52572,1.03660,0.03004,17.33182,0.03168,35.55000
1360.98200,12.77200,52.08327,1.47689,1.02532,0.02908,17.34586,0.03121,35.55000
1361.24867,13.03867,50.51265,1.63675,0.99440,0.03222,17.37541,0.03529,35.55000
1361.47159,13.26159,47.28847,1.57585,0.93092,0.03102,17.45455,0.03698,35.55000
1361.76325,13.55325,49.01152,1.71477,0.96483,0.03376,17.41002,0.03826,35.55000
1361.98200,13.77200,53.23645,1.46667,1.04801,0.02887,17.32092,0.03021,35.55000
1362.23200,14.02200,49.95693,1.45113,0.98346,0.02857,17.38852,0.03169,35.55000
1362.48200,14.27200,52.64468,1.46722,1.03638,0.02888,17.33233,0.03049,35.55000
1362.73200,14.52200,53.63972,1.46426,1.05596,0.02883,17.31168,0.02984,35.55000
1362.98862,14.77862,53.19595,1.51616,1.04722,0.02985,17.32164,0.03125,35.55000
1363.23199,15.02199,52.32250,1.42238,1.03002,0.02800,17.33991,0.02980,35.55000
1363.48199,15.27199,54.39027,1.44545,1.07072,0.02845,17.29635,0.02906,35.55000
1363.74449,15.53449,51.43338,1.62438,1.01253,0.03198,17.35940,0.03483,35.55000
1363.98199,15.77199,51.19120,1.47544,1.00776,0.02905,17.36112,0.03139,35.55000
1364.23199,16.02199,52.76817,2.04122,1.03880,0.04018,17.33308,0.04280,35.55000
