BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1354.14130,-5.45870,-6.0258,4.7078,-0.6274,0.4902,20.3974,,
1354.16213,-5.43787,0.1705,4.6644,0.0177,0.4857,20.3974,,
1354.18297,-5.41703,-8.0937,4.7259,-0.8427,0.4921,20.3974,,
1354.20380,-5.39620,3.1207,4.7285,0.3249,0.4923,20.3972,1.6451,
1354.22463,-5.37537,-1.0548,4.7444,-0.1098,0.4940,20.3974,,
1354.24547,-5.35453,1.6029,4.6699,0.1669,0.4862,20.3974,,
1354.26630,-5.33370,-2.7797,4.5428,-0.2894,0.4730,20.3974,,
1354.28713,-5.31287,-0.4542,4.5171,-0.0473,0.4703,20.3974,,
1354.30797,-5.29203,1.9413,4.5711,0.2021,0.4759,20.3974,,
1354.32880,-5.27120,8.5060,4.4529,0.8856,0.4636,19.3085,0.5684,
1354.34964,-5.25036,2.4745,4.6017,0.2576,0.4791,20.3974,,
1354.37047,-5.22953,-7.5331,4.6262,-0.7844,0.4817,20.3974,,
1354.39130,-5.20870,3.7925,4.5179,0.3949,0.4704,20.1855,1.2934,
1354.41214,-5.18786,-3.2596,4.4891,-0.3394,0.4674,20.3974,,
1354.43297,-5.16703,-4.0200,4.6191,-0.4186,0.4809,20.3974,,
1354.45380,-5.14620,1.2497,4.7302,0.1301,0.4925,20.3974,,
1354.47464,-5.12536,-5.9072,4.7317,-0.6151,0.4927,20.3974,,
1354.49547,-5.10453,-1.8931,4.6939,-0.1971,0.4887,20.3974,,
1354.51631,-5.08369,-2.4933,4.7756,-0.2596,0.4972,20.3974,,
1354.53714,-5.06286,0.3675,4.7668,0.0383,0.4963,20.3974,,
1354.55797,-5.04203,3.2412,4.7284,0.3375,0.4923,20.3561,1.5840,
1354.57881,-5.02119,-0.6365,4.7052,-0.0663,0.4899,20.3974,,
1354.59964,-5.00036,-4.0865,4.6701,-0.4255,0.4863,20.3974,,
1354.62048,-4.97952,4.9129,4.5407,0.5115,0.4728,19.9045,1.0035,
1354.64131,-4.95869,-0.6254,4.5416,-0.0651,0.4729,20.3974,,
1354.66214,-4.93786,5.6354,4.5868,0.5868,0.4776,19.7555,0.8837,
1354.68298,-4.91702,-1.4936,4.6886,-0.1555,0.4882,20.3974,,
1354.70381,-4.89619,-6.1256,4.7747,-0.6378,0.4971,20.3974,,
1354.72464,-4.87536,-3.5671,4.7623,-0.3714,0.4958,20.3974,,
1354.74548,-4.85452,2.0233,4.5128,0.2107,0.4699,20.3974,,
1354.76631,-4.83369,-0.5103,4.5411,-0.0531,0.4728,20.3974,,
1354.78715,-4.81285,-2.1141,4.7554,-0.2201,0.4951,20.3974,,
1354.80798,-4.79202,1.8463,4.5408,0.1922,0.4728,20.3974,,
1354.82881,-4.77119,-1.4750,4.7511,-0.1536,0.4947,20.3974,,
1354.84965,-4.75035,-5.5493,4.6689,-0.5778,0.4861,20.3974,,
1354.87048,-4.72952,4.5324,4.6712,0.4719,0.4864,19.9920,1.1190,
1354.89131,-4.70869,9.0988,4.5700,0.9474,0.4758,19.2353,0.5453,
1354.91215,-4.68785,-4.6464,4.8328,-0.4838,0.5032,20.3974,,
1354.93298,-4.66702,-4.6586,4.5102,-0.4851,0.4696,20.3974,,
1354.95382,-4.64618,1.9184,4.6234,0.1997,0.4814,20.3974,,
1354.97465,-4.62535,1.0926,4.6238,0.1138,0.4814,20.3974,,
1354.99548,-4.60452,5.0851,4.5808,0.5295,0.4770,19.8671,0.9781,
1355.01632,-4.58368,2.4045,4.3252,0.2504,0.4503,20.3974,,
1355.03715,-4.56285,1.9953,4.5792,0.2078,0.4768,20.3974,,
1355.05799,-4.54201,0.3052,4.2818,0.0318,0.4458,20.3974,,
1355.07882,-4.52118,0.8264,4.5041,0.0860,0.4690,20.3974,,
1355.09965,-4.50035,-2.9029,4.5015,-0.3022,0.4687,20.3974,,
