BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1325.32808,-16.58192,3.4000,3.5987,0.1063,0.1125,19.8811,,
1325.34892,-16.56108,1.5286,3.4562,0.0478,0.1081,19.8811,,
1325.36975,-16.54025,-4.7221,3.5856,-0.1477,0.1121,19.8811,,
1325.39058,-16.51942,-10.2771,3.5758,-0.3214,0.1118,19.8811,,
1325.41142,-16.49858,-3.3592,3.5387,-0.1051,0.1107,19.8811,,
1325.43225,-16.47775,-3.9685,3.9200,-0.1241,0.1226,19.8811,,
1325.45308,-16.45692,-3.5259,3.6128,-0.1103,0.1130,19.8811,,
1325.47392,-16.43608,-2.8265,3.5316,-0.0884,0.1104,19.8811,,
1325.49475,-16.41525,-5.8456,4.0743,-0.1828,0.1274,19.8811,,
1325.51558,-16.39442,-3.6386,4.0542,-0.1138,0.1268,19.8811,,
1325.53642,-16.37358,-9.0981,3.9817,-0.2845,0.1245,19.8811,,
1325.55725,-16.35275,-6.8521,3.9837,-0.2143,0.1246,19.8811,,
1325.57808,-16.33192,-5.0806,4.0844,-0.1589,0.1277,19.8811,,
1325.59892,-16.31108,-1.7088,4.0188,-0.0534,0.1257,19.8811,,
1325.61975,-16.29025,-1.8115,3.3287,-0.0567,0.1041,19.8811,,
1325.64058,-16.26942,-6.7477,3.9955,-0.2110,0.1250,19.8811,,
1325.66142,-16.24858,-3.1641,3.6236,-0.0990,0.1133,19.8811,,
1325.68225,-16.22775,-2.4012,3.3345,-0.0751,0.1043,19.8811,,
1325.70308,-16.20692,-11.8821,4.0105,-0.3716,0.1254,19.8811,,
1325.72392,-16.18608,-2.1478,3.3597,-0.0672,0.1051,19.8811,,
1325.74475,-16.16525,0.2370,4.1433,0.0074,0.1296,19.8811,,
1325.76558,-16.14442,9.3060,3.3560,0.2910,0.1050,19.2109,0.3915,
1325.78642,-16.12358,-11.2321,4.1027,-0.3513,0.1283,19.8811,,
1325.80725,-16.10275,1.9787,3.4215,0.0619,0.1070,19.8811,,
1325.82808,-16.08192,-6.8319,4.2264,-0.2137,0.1322,19.8811,,
1325.84892,-16.06108,-3.1608,4.2057,-0.0988,0.1315,19.8811,,
1325.86975,-16.04025,-1.7822,3.4099,-0.0557,0.1066,19.8811,,
1325.89058,-16.01942,-0.3574,3.4416,-0.0112,0.1076,19.8811,,
1325.91142,-15.99858,-2.2035,3.4470,-0.0689,0.1078,19.8811,,
1325.93225,-15.97775,0.5742,3.4241,0.0180,0.1071,19.8811,,
1325.95309,-15.95691,-5.2599,4.1593,-0.1645,0.1301,19.8811,,
1325.99475,-15.91525,0.6565,3.4433,0.0205,0.1077,19.8811,,
1326.01559,-15.89441,-1.5972,3.4489,-0.0500,0.1079,19.8811,,
1326.03642,-15.87358,-5.8092,4.2333,-0.1817,0.1324,19.8811,,
1326.05725,-15.85275,-4.0133,3.5061,-0.1255,0.1096,19.8811,,
1326.07809,-15.83191,-0.6123,3.5183,-0.0191,0.1100,19.8811,,
1326.09892,-15.81108,-1.4479,3.5008,-0.0453,0.1095,19.8811,,
1326.11975,-15.79025,-1.8935,3.4912,-0.0592,0.1092,19.8811,,
1326.14059,-15.76941,3.1946,3.5153,0.0999,0.1099,19.8811,,
1326.16142,-15.74858,-5.9922,3.5460,-0.1874,0.1109,19.8811,,
1326.18225,-15.72775,-5.1786,4.2979,-0.1620,0.1344,19.8811,,
1326.20309,-15.70691,-6.7586,4.3373,-0.2114,0.1356,19.8811,,
1326.22392,-15.68608,-7.9268,4.2896,-0.2479,0.1341,19.8811,,
1326.24475,-15.66525,-9.4110,4.3473,-0.2943,0.1360,19.8811,,
1326.26559,-15.64441,1.6342,3.5945,0.0511,0.1124,19.8811,,
1326.28642,-15.62358,1.5920,3.5998,0.0498,0.1126,19.8811,,
1326.30725,-15.60275,0.8838,3.5877,0.0276,0.1122,19.8811,,
1326.32809,-15.58191,-0.1081,3.5819,-0.0034,0.1120,19.8811,,
1326.36975,-15.54025,-14.7020,4.3951,-0.4598,0.1375,19.8811,,
1326.39059,-15.51941,-3.4471,4.3380,-0.1078,0.1357,19.8811,,
1326.41142,-15.49858,-13.1018,4.3641,-0.4097,0.1365,19.8811,,
1326.43225,-15.47775,0.1950,4.3263,0.0061,0.1353,19.8811,,
1326.45309,-15.45691,-17.7400,4.3789,-0.5548,0.1369,19.8811,,
1326.47392,-15.43608,-4.6412,3.6539,-0.1451,0.1143,19.8811,,
1326.49476,-15.41524,-5.4910,4.5750,-0.1717,0.1431,19.8811,,
1326.51559,-15.39441,-7.2206,4.4997,-0.2258,0.1407,19.8811,,
1326.53642,-15.37358,-3.4134,3.8175,-0.1067,0.1194,19.8811,,
1326.55726,-15.35274,-8.6926,4.3875,-0.2718,0.1372,19.8811,,
1326.57809,-15.33191,-10.4630,4.4981,-0.3272,0.1407,19.8811,,
1326.59892,-15.31108,-7.2173,4.4433,-0.2257,0.1390,19.8811,,
1326.61976,-15.29024,-13.3414,4.6056,-0.4172,0.1440,19.8811,,
1326.64059,-15.26941,-17.5043,4.4764,-0.5474,0.1400,19.8811,,
1326.66142,-15.24858,-1.8510,3.7433,-0.0579,0.1171,19.8811,,
1326.68226,-15.22774,-2.3743,4.4316,-0.0743,0.1386,19.8811,,
1326.70309,-15.20691,-8.7904,4.4465,-0.2749,0.1391,19.8811,,
1326.72392,-15.18608,-8.1935,4.4427,-0.2562,0.1389,19.8811,,
1326.74476,-15.16524,-4.7459,4.3949,-0.1484,0.1374,19.8811,,
1326.76559,-15.14441,-4.3079,3.7084,-0.1347,0.1160,19.8811,,
1326.78642,-15.12358,-1.9113,4.2762,-0.0598,0.1337,19.8811,,
1326.80726,-15.10274,-4.5169,4.2326,-0.1413,0.1324,19.8811,,
1326.82809,-15.08191,-7.5461,3.7275,-0.2360,0.1166,19.8811,,
1326.84892,-15.06108,-8.2504,4.3185,-0.2580,0.1351,19.8811,,
1326.86976,-15.04024,-5.7289,4.4147,-0.1792,0.1381,19.8811,,
1326.89059,-15.01941,-11.2898,4.3232,-0.3531,0.1352,19.8811,,
1326.91142,-14.99858,-9.4884,4.2793,-0.2967,0.1338,19.8811,,
1326.93226,-14.97774,3.7310,3.5822,0.1167,0.1120,19.8811,,
1326.95309,-14.95691,-1.1278,4.3902,-0.0353,0.1373,19.8811,,
1326.97392,-14.93608,2.0281,3.5896,0.0634,0.1123,19.8811,,
1326.99476,-14.91524,1.1206,3.5125,0.0350,0.1098,19.8811,,
1327.01559,-14.89441,1.8481,3.5130,0.0578,0.1099,19.8811,,
1327.03642,-14.87358,-6.9197,4.3480,-0.2164,0.1360,19.8811,,
1327.05726,-14.85274,1.6620,3.4913,0.0520,0.1092,19.8811,,
1327.07809,-14.83191,-0.2682,3.5747,-0.0084,0.1118,19.8811,,
1327.09892,-14.81108,-9.2838,4.3458,-0.2903,0.1359,19.8811,,
1327.11976,-14.79024,-7.8971,4.2417,-0.2470,0.1327,19.8811,,
1327.14059,-14.76941,-8.8990,4.2190,-0.2783,0.1319,19.8811,,
1327.16142,-14.74858,-4.9143,3.4353,-0.1537,0.1074,19.8811,,
1327.18226,-14.72774,-4.8956,3.5321,-0.1531,0.1105,19.8811,,
1327.20309,-14.70691,-9.9316,4.1582,-0.3106,0.1300,19.8811,,
1327.22392,-14.68608,-3.8497,4.1931,-0.1204,0.1311,19.8811,,
1327.24476,-14.66524,-4.2950,3.5276,-0.1343,0.1103,19.8811,,
1327.26559,-14.64441,1.6116,3.4888,0.0504,0.1091,19.8811,,
1327.28643,-14.62357,-4.4032,3.5459,-0.1377,0.1109,19.8811,,
1327.30726,-14.60274,-1.8554,4.0906,-0.0580,0.1279,19.8811,,
1327.32809,-14.58191,-4.3006,4.0450,-0.1345,0.1265,19.8811,,
1327.34893,-14.56107,-9.0893,4.1166,-0.2843,0.1287,19.8811,,
1327.36976,-14.54024,-11.0053,4.1842,-0.3442,0.1309,19.8811,,
1327.39059,-14.51941,-0.7575,3.5003,-0.0237,0.1095,19.8811,,
1327.41143,-14.49857,-10.9001,4.0698,-0.3409,0.1273,19.8811,,
1327.43226,-14.47774,-0.0614,4.1075,-0.0019,0.1285,19.8811,,
1327.45309,-14.45691,-2.9152,3.4943,-0.0912,0.1093,19.8811,,
1327.47393,-14.43607,-7.5292,4.2397,-0.2355,0.1326,19.8811,,
1327.49476,-14.41524,-0.2376,3.4704,-0.0074,0.1085,19.8811,,
1327.51559,-14.39441,-4.8639,4.1626,-0.1521,0.1302,19.8811,,
1327.53643,-14.37357,1.6998,3.5703,0.0532,0.1117,19.8811,,
1327.55726,-14.35274,7.1602,3.5481,0.2239,0.1110,19.4955,0.5380,
1327.57809,-14.33191,-10.1385,4.1925,-0.3171,0.1311,19.8811,,
1327.59893,-14.31107,3.3416,4.2741,0.1045,0.1337,19.8811,,
1327.61976,-14.29024,-7.1086,3.5147,-0.2223,0.1099,19.8811,,
1327.64059,-14.26941,-10.2036,3.5681,-0.3191,0.1116,19.8811,,
1327.66143,-14.24857,-1.8190,3.5865,-0.0569,0.1122,19.8811,,
1327.68226,-14.22774,-0.5893,4.2112,-0.0184,0.1317,19.8811,,
1327.70309,-14.20691,2.7140,3.6064,0.0849,0.1128,19.8811,,
1327.72393,-14.18607,-10.2713,4.2828,-0.3212,0.1339,19.8811,,
1327.74476,-14.16524,0.1806,3.5210,0.0056,0.1101,19.8811,,
1327.76559,-14.14441,1.1293,3.5219,0.0353,0.1101,19.8811,,
1327.78643,-14.12357,-6.0446,3.5024,-0.1890,0.1095,19.8811,,
1327.80726,-14.10274,-6.7199,4.1594,-0.2102,0.1301,19.8811,,
1327.89059,-14.01941,-0.7226,3.5884,-0.0226,0.1122,19.8811,,
1327.91143,-13.99857,1.2351,4.1692,0.0386,0.1304,19.8811,,
1327.93226,-13.97774,-6.9994,4.0710,-0.2189,0.1273,19.8811,,
1327.95309,-13.95691,-0.5012,3.5698,-0.0157,0.1116,19.8811,,
1327.97393,-13.93607,-5.2605,4.0885,-0.1645,0.1279,19.8811,,
1327.99476,-13.91524,3.3701,3.4118,0.1054,0.1067,19.8811,,
1328.01559,-13.89441,-7.3605,4.0490,-0.2302,0.1266,19.8811,,
1328.03643,-13.87357,-10.1145,3.9677,-0.3163,0.1241,19.8811,,
1328.05726,-13.85274,-9.5094,4.0167,-0.2974,0.1256,19.8811,,
1328.07809,-13.83191,-1.5651,3.4533,-0.0489,0.1080,19.8811,,
1328.09893,-13.81107,-5.9078,4.1026,-0.1848,0.1283,19.8811,,
