BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1325.32928,-5.41072,-14.9399,4.7745,-0.6358,0.2032,20.1588,,
1325.35012,-5.38988,-9.3918,4.7566,-0.3997,0.2024,20.1588,,
1325.37095,-5.36905,-18.2470,4.7829,-0.7766,0.2036,20.1588,,
1325.39178,-5.34822,-6.6516,4.8221,-0.2831,0.2052,20.1588,,
1325.41262,-5.32738,-13.0942,4.8570,-0.5573,0.2067,20.1588,,
1325.43345,-5.30655,-14.9242,4.8815,-0.6352,0.2078,20.1588,,
1325.45428,-5.28572,-8.9437,4.9026,-0.3806,0.2087,20.1588,,
1325.47512,-5.26488,-16.3918,4.9042,-0.6976,0.2087,20.1588,,
1325.49595,-5.24405,-14.8842,4.9336,-0.6335,0.2100,20.1588,,
1325.51678,-5.22322,-5.4356,4.8961,-0.2313,0.2084,20.1588,,
1325.53762,-5.20238,-1.5884,4.9455,-0.0676,0.2105,20.1588,,
1325.55845,-5.18155,-2.0403,4.9358,-0.0868,0.2101,20.1588,,
1325.57928,-5.16072,-8.4834,4.9391,-0.3611,0.2102,20.1588,,
1325.60012,-5.13988,-0.7833,4.9529,-0.0333,0.2108,20.1588,,
1325.62095,-5.11905,-11.6466,4.9735,-0.4957,0.2117,20.1588,,
1325.64178,-5.09822,-9.6963,4.9863,-0.4127,0.2122,20.1588,,
1325.66262,-5.07738,-2.9639,4.9843,-0.1261,0.2121,20.1588,,
1325.68345,-5.05655,-16.8356,4.9800,-0.7165,0.2119,20.1588,,
1325.70428,-5.03572,-1.5720,4.9961,-0.0669,0.2126,20.1588,,
1325.72512,-5.01488,-4.9985,4.9957,-0.2127,0.2126,20.1588,,
1325.74595,-4.99405,-7.6793,5.0332,-0.3268,0.2142,20.1588,,
1325.76678,-4.97322,-5.2956,5.0365,-0.2254,0.2144,20.1588,,
1325.78762,-4.95238,-14.9487,5.0501,-0.6362,0.2149,20.1588,,
1325.80845,-4.93155,-6.7135,5.0599,-0.2857,0.2153,20.1588,,
1325.82928,-4.91072,-2.7561,5.1038,-0.1173,0.2172,20.1588,,
1325.85012,-4.88988,-7.1496,5.0499,-0.3043,0.2149,20.1588,,
1325.87095,-4.86905,-11.9461,5.0480,-0.5084,0.2148,20.1588,,
1325.89178,-4.84822,-6.8692,5.0251,-0.2924,0.2139,20.1588,,
1325.91262,-4.82738,-10.1919,4.9776,-0.4338,0.2118,20.1588,,
1325.93345,-4.80655,-8.7891,4.9722,-0.3741,0.2116,20.1588,,
1325.95429,-4.78571,-17.0764,4.9675,-0.7268,0.2114,20.1588,,
1325.99595,-4.74405,-13.4025,4.9498,-0.5704,0.2107,20.1588,,
1326.01679,-4.72321,-13.8176,4.9978,-0.5881,0.2127,20.1588,,
1326.03762,-4.70238,-10.6931,5.0170,-0.4551,0.2135,20.1588,,
1326.05845,-4.68155,-15.1820,5.0139,-0.6461,0.2134,20.1588,,
1326.07929,-4.66071,-12.2833,4.9915,-0.5228,0.2124,20.1588,,
1326.10012,-4.63988,-10.9628,5.0092,-0.4666,0.2132,20.1588,,
1326.12095,-4.61905,-12.8702,5.0269,-0.5478,0.2139,20.1588,,
1326.14179,-4.59821,-21.7423,5.0481,-0.9254,0.2148,20.1588,,
1326.16262,-4.57738,-7.4934,5.0578,-0.3189,0.2153,20.1588,,
1326.18345,-4.55655,-10.1034,5.0520,-0.4300,0.2150,20.1588,,
1326.20429,-4.53571,-5.3888,5.0524,-0.2293,0.2150,20.1588,,
1326.22512,-4.51488,-11.1475,5.0574,-0.4744,0.2152,20.1588,,
1326.24595,-4.49405,-5.8415,5.0520,-0.2486,0.2150,20.1588,,
1326.26679,-4.47321,-4.2728,5.0415,-0.1818,0.2146,20.1588,,
1326.28762,-4.45238,-12.0058,5.0252,-0.5110,0.2139,20.1588,,
1326.30845,-4.43155,-13.4501,5.0550,-0.5724,0.2151,20.1588,,
1326.32929,-4.41071,-6.0515,5.0315,-0.2576,0.2141,20.1588,,
1326.37095,-4.36905,-12.7860,5.0505,-0.5442,0.2149,20.1588,,
1326.39179,-4.34821,-13.3319,5.0438,-0.5674,0.2147,20.1588,,
1326.41262,-4.32738,-9.2162,4.9443,-0.3922,0.2104,20.1588,,
1326.43345,-4.30655,-10.1871,5.0672,-0.4336,0.2157,20.1588,,
1326.45429,-4.28571,-10.2325,5.0521,-0.4355,0.2150,20.1588,,
1326.47512,-4.26488,-10.3074,5.0705,-0.4387,0.2158,20.1588,,
1326.49595,-4.24405,-19.6199,5.1369,-0.8350,0.2186,20.1588,,
1326.51679,-4.22321,-10.3228,5.0737,-0.4393,0.2159,20.1588,,
1326.53762,-4.20238,-8.5235,5.0779,-0.3628,0.2161,20.1588,,
1326.55845,-4.18155,-14.9144,5.0913,-0.6348,0.2167,20.1588,,
1326.57929,-4.16071,-9.9264,5.1002,-0.4225,0.2171,20.1588,,
1326.60012,-4.13988,-6.6359,5.1118,-0.2824,0.2176,20.1588,,
1326.62095,-4.11905,-7.5522,5.1108,-0.3214,0.2175,20.1588,,
1326.64179,-4.09821,-17.4972,5.1059,-0.7447,0.2173,20.1588,,
1326.66262,-4.07738,-20.7385,5.1073,-0.8826,0.2174,20.1588,,
