BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1354.14175,-12.51825,5.0857,4.0703,0.2853,0.2283,19.8669,0.8690,
1354.16258,-12.49742,-1.0948,4.0817,-0.0614,0.2290,21.1976,,
1354.18341,-12.47659,5.0246,4.0892,0.2819,0.2294,19.8800,0.8836,
1354.20425,-12.45575,-3.6007,4.1073,-0.2020,0.2304,21.1976,,
1354.22508,-12.43492,-3.4389,4.0648,-0.1929,0.2280,21.1976,,
1354.24591,-12.41409,2.3471,4.0610,0.1317,0.2278,20.7065,1.8786,
1354.26675,-12.39325,-7.8054,4.0608,-0.4379,0.2278,21.1976,,
1354.28758,-12.37242,-2.3930,4.0685,-0.1342,0.2282,21.1976,,
1354.30841,-12.35159,4.5014,4.0867,0.2525,0.2293,19.9994,0.9857,
1354.32925,-12.33075,2.1300,4.0768,0.1195,0.2287,20.8119,2.0781,
1354.35008,-12.30992,-1.4472,4.0955,-0.0812,0.2298,21.1976,,
1354.37091,-12.28909,0.1718,4.0461,0.0096,0.2270,21.1976,,
1354.39175,-12.26825,-0.0381,4.0643,-0.0021,0.2280,21.1976,,
1354.41258,-12.24742,-1.8825,4.1042,-0.1056,0.2302,21.1976,,
1354.43342,-12.22658,-2.4569,4.0935,-0.1378,0.2296,21.1976,,
1354.45425,-12.20575,1.2186,4.1063,0.0684,0.2304,21.1976,,
1354.47508,-12.18492,-2.8004,4.0815,-0.1571,0.2290,21.1976,,
1354.49592,-12.16408,-4.8422,4.0936,-0.2716,0.2296,21.1976,,
1354.51675,-12.14325,-4.0321,4.0964,-0.2262,0.2298,21.1976,,
1354.53758,-12.12242,-3.5398,4.0996,-0.1986,0.2300,21.1976,,
1354.55842,-12.10158,1.9164,4.0717,0.1075,0.2284,20.9266,2.3068,
1354.57925,-12.08075,-2.5326,4.0942,-0.1421,0.2297,21.1976,,
1354.60008,-12.05992,1.5902,4.0782,0.0892,0.2288,21.1292,2.7845,
1354.62092,-12.03908,1.1066,4.0769,0.0621,0.2287,21.1976,,
1354.64175,-12.01825,-2.7429,4.1184,-0.1539,0.2310,21.1976,,
1354.66258,-11.99742,1.3393,4.0695,0.0751,0.2283,21.1976,,
1354.68342,-11.97658,-1.9929,4.1095,-0.1118,0.2305,21.1976,,
1354.70425,-11.95575,2.3121,4.0914,0.1297,0.2295,20.7228,1.9213,
1354.72508,-11.93492,1.5509,4.0794,0.0870,0.2289,21.1564,2.8559,
1354.74592,-11.91408,-4.5812,4.1272,-0.2570,0.2315,21.1976,,
1354.76675,-11.89325,8.8944,4.1065,0.4990,0.2304,19.2600,0.5013,
1354.78758,-11.87242,8.4178,4.0911,0.4722,0.2295,19.3198,0.5277,
1354.80842,-11.85158,1.2239,4.1208,0.0687,0.2312,21.1976,,
1354.82925,-11.83075,2.1743,4.0871,0.1220,0.2293,20.7895,2.0409,
1354.85008,-11.80992,3.5589,4.0816,0.1997,0.2290,20.2545,1.2452,
1354.87092,-11.78908,6.2502,4.0733,0.3506,0.2285,19.6431,0.7076,
1354.89175,-11.76825,3.1536,4.0960,0.1769,0.2298,20.3858,1.4102,
1354.91258,-11.74742,1.0720,4.1039,0.0601,0.2302,21.1976,,
1354.93342,-11.72658,2.4724,4.0837,0.1387,0.2291,20.6500,1.7934,
1354.95425,-11.70575,6.8136,4.0812,0.3822,0.2290,19.5494,0.6503,
1354.97509,-11.68491,2.9927,4.0702,0.1679,0.2283,20.4426,1.4766,
1354.99592,-11.66408,1.1679,4.0595,0.0655,0.2277,21.1976,,
1355.01675,-11.64325,-1.5218,4.0901,-0.0854,0.2295,21.1976,,
1355.03759,-11.62241,-6.3439,4.0919,-0.3559,0.2296,21.1976,,
1355.05842,-11.60158,2.9202,4.1154,0.1638,0.2309,20.4693,1.5301,
1355.07925,-11.58075,7.9477,4.0792,0.4459,0.2288,19.3822,0.5573,
1355.10009,-11.55991,-3.7350,4.1106,-0.2095,0.2306,21.1976,,
1355.12092,-11.53908,3.5974,4.0795,0.2018,0.2289,20.2428,1.2312,
1355.14175,-11.51825,-1.2202,4.0875,-0.0685,0.2293,21.1976,,
1355.16259,-11.49741,2.4240,4.0650,0.1360,0.2280,20.6715,1.8208,
1355.18342,-11.47658,-3.8900,4.0898,-0.2182,0.2294,21.1976,,
1355.20425,-11.45575,4.0974,4.0773,0.2299,0.2287,20.1015,1.0804,
1355.22509,-11.43491,-4.1793,4.0673,-0.2345,0.2282,21.1976,,
1355.24592,-11.41408,-2.1008,4.0661,-0.1179,0.2281,21.1976,,
1355.26675,-11.39325,4.7217,4.0983,0.2649,0.2299,19.9475,0.9424,
1355.28759,-11.37241,-2.9928,4.0938,-0.1679,0.2297,21.1976,,
1355.30842,-11.35158,4.7930,4.1337,0.2689,0.2319,19.9313,0.9364,
1355.32925,-11.33075,-1.1769,4.0765,-0.0660,0.2287,21.1976,,
1355.35009,-11.30991,-4.7614,4.1123,-0.2671,0.2307,21.1976,,
1355.37092,-11.28908,0.7911,4.1056,0.0444,0.2303,21.1976,,
1355.39175,-11.26825,1.5661,4.0889,0.0879,0.2294,21.1457,2.8347,
1355.41259,-11.24741,-3.2653,4.0837,-0.1832,0.2291,21.1976,,
1355.43342,-11.22658,-0.3998,4.1004,-0.0224,0.2300,21.1976,,
1355.45426,-11.20574,0.2743,4.0930,0.0154,0.2296,21.1976,,
1355.47509,-11.18491,-4.0558,4.1030,-0.2275,0.2302,21.1976,,
