BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1354.13910,-23.21090,-1.2322,4.3498,-0.0334,0.1180,19.5430,,
1354.15993,-23.19007,-3.2176,4.3308,-0.0873,0.1175,19.5430,,
1354.18076,-23.16924,-5.2920,4.3456,-0.1436,0.1179,19.5430,,
1354.20160,-23.14840,-7.1418,4.3348,-0.1937,0.1176,19.5430,,
1354.22243,-23.12757,2.1929,4.3409,0.0595,0.1178,19.5430,,
1354.24326,-23.10674,6.9251,4.3325,0.1879,0.1175,19.5317,0.6793,
1354.26410,-23.08590,-4.6085,4.3342,-0.1250,0.1176,19.5430,,
1354.28493,-23.06507,-8.3375,4.3348,-0.2262,0.1176,19.5430,,
1354.30576,-23.04424,-10.6984,4.3345,-0.2902,0.1176,19.5430,,
1354.32660,-23.02340,-2.5056,4.3421,-0.0680,0.1178,19.5430,,
1354.34743,-23.00257,-2.6978,4.3295,-0.0732,0.1174,19.5430,,
1354.36826,-22.98174,0.5140,4.3036,0.0139,0.1167,19.5430,,
1354.38910,-22.96090,-2.9685,4.3083,-0.0805,0.1169,19.5430,,
1354.40993,-22.94007,5.6868,4.3047,0.1543,0.1168,19.5430,,
1354.43076,-22.91924,-5.9887,4.2992,-0.1625,0.1166,19.5430,,
1354.45159,-22.89841,-0.9461,4.3342,-0.0257,0.1176,19.5430,,
1354.47243,-22.87757,-3.6812,4.3365,-0.0999,0.1176,19.5430,,
1354.49326,-22.85674,-1.8387,4.3350,-0.0499,0.1176,19.5430,,
1354.51409,-22.83591,-0.9817,4.3160,-0.0266,0.1171,19.5430,,
1354.53493,-22.81507,-6.5794,4.3314,-0.1785,0.1175,19.5430,,
1354.55576,-22.79424,-7.7107,4.3236,-0.2092,0.1173,19.5430,,
1354.57659,-22.77341,-4.8338,4.3208,-0.1311,0.1172,19.5430,,
1354.59743,-22.75257,0.2927,4.3216,0.0079,0.1172,19.5430,,
1354.61826,-22.73174,-3.9488,4.3401,-0.1071,0.1177,19.5430,,
1354.63909,-22.71091,2.7993,4.3308,0.0759,0.1175,19.5430,,
1354.65993,-22.69007,-2.3780,4.3316,-0.0645,0.1175,19.5430,,
1354.68076,-22.66924,1.6361,4.3286,0.0444,0.1174,19.5430,,
1354.70159,-22.64841,-0.8730,4.3263,-0.0237,0.1174,19.5430,,
