BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1377.49302,0.14302,6.02862,1.20759,0.16354,0.03276,19.34984,0.21355,
1377.75343,0.40343,6.19498,1.25467,0.16805,0.03404,19.37627,0.22682,
1378.00967,0.65967,6.29861,1.38041,0.17088,0.03745,19.41173,0.27441,
1378.25626,0.90626,6.07965,1.31699,0.16493,0.03573,19.31331,0.19476,
1378.47216,1.12216,5.29948,1.78849,0.14375,0.04851,19.42835,0.36086,
1378.76383,1.41383,5.04608,1.33461,0.13687,0.03620,19.42537,0.27426,
1379.00341,1.65341,8.74748,1.28971,0.23729,0.03499,19.20910,0.16854,
1379.25340,1.90340,8.22585,1.30333,0.22313,0.03536,19.22135,0.17556,
1379.50339,2.15339,10.17282,1.32133,0.27597,0.03585,19.12326,0.15643,
1379.75339,2.40339,18.70620,1.33855,0.50746,0.03631,18.48843,0.08632,
1380.00338,2.65338,26.83794,1.35937,0.72804,0.03688,18.08219,0.05842,
1380.27074,2.92074,29.04701,1.58143,0.78797,0.04290,17.99694,0.06264,
1380.50337,3.15337,32.01058,1.36625,0.86837,0.03706,17.88965,0.04903,
1380.75621,3.40621,35.17009,1.44129,0.95409,0.03910,17.77324,0.04528,
1380.99294,3.64294,36.14675,1.46875,0.98057,0.03985,17.74828,0.04546,
1381.26377,3.91377,38.97688,1.45987,1.05735,0.03960,17.66209,0.04134,
1381.44085,4.09085,34.03448,1.95963,0.92327,0.05317,17.80890,0.06359,
