BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1385.97293,-11.73707,-2.7325,6.5854,-0.0090,0.0217,19.4774,0.0,
1385.99376,-11.71624,-0.1253,6.7055,-0.0004,0.0221,19.4774,0.0,
1386.01460,-11.69540,11.5248,6.7471,0.0380,0.0222,18.9787,0.6356,0.0
1386.03543,-11.67457,-8.1283,6.6653,-0.0268,0.0220,19.4774,0.0,
1386.05626,-11.65374,3.7002,6.7710,0.0122,0.0223,19.4774,0.0,
1386.07710,-11.63290,14.1707,6.7817,0.0467,0.0224,18.7543,0.5196,0.0
1386.09793,-11.61207,-5.1321,6.8289,-0.0169,0.0225,19.4774,0.0,
1386.11876,-11.59124,-7.5379,6.6545,-0.0249,0.0219,19.4774,0.0,
1386.13960,-11.57040,6.9687,6.8422,0.0230,0.0226,19.4774,0.0,
1386.16043,-11.54957,-8.1345,6.7369,-0.0268,0.0222,19.4774,0.0,
1386.18127,-11.52873,-3.4794,6.6048,-0.0115,0.0218,19.4774,0.0,
1386.20210,-11.50790,0.2524,6.5151,0.0008,0.0215,19.4774,0.0,
1386.22294,-11.48706,3.6462,6.5422,0.0120,0.0216,19.4774,0.0,
1386.24377,-11.46623,1.8797,6.4836,0.0062,0.0214,19.4774,0.0,
1386.26460,-11.44540,-3.5739,6.4569,-0.0118,0.0213,19.4774,0.0,
1386.28544,-11.42456,10.1732,6.5335,0.0335,0.0215,19.1142,0.6973,0.0
1386.30627,-11.40373,-0.3201,6.6282,-0.0011,0.0219,19.4774,0.0,
1386.32711,-11.38289,19.5945,6.4914,0.0646,0.0214,18.4025,0.3597,0.0
1386.34794,-11.36206,0.4517,6.5573,0.0015,0.0216,19.4774,0.0,
1386.36877,-11.34123,-3.1080,6.4578,-0.0102,0.0213,19.4774,0.0,
1386.38961,-11.32039,-10.9575,6.6125,-0.0361,0.0218,19.4774,0.0,
1386.41044,-11.29956,-2.3822,6.4849,-0.0079,0.0214,19.4774,0.0,
1386.43127,-11.27873,-5.5789,6.6918,-0.0184,0.0221,19.4774,0.0,
1386.45211,-11.25789,7.6922,6.6286,0.0254,0.0219,19.4177,0.9356,0.0
1386.47294,-11.23706,2.0211,6.5719,0.0067,0.0217,19.4774,0.0,
1386.49378,-11.21622,5.3880,6.5742,0.0178,0.0217,19.4774,0.0,
1386.51461,-11.19539,5.3939,6.6577,0.0178,0.0219,19.4774,0.0,
1386.53544,-11.17456,-0.4366,6.7337,-0.0014,0.0222,19.4774,0.0,
1386.55628,-11.15372,1.8881,6.7418,0.0062,0.0222,19.4774,0.0,
1386.57711,-11.13289,-2.5886,6.7971,-0.0085,0.0224,19.4774,0.0,
1386.59795,-11.11205,-4.1963,6.8983,-0.0138,0.0227,19.4774,0.0,
1386.61878,-11.09122,4.1093,6.9411,0.0135,0.0229,19.4774,0.0,
1386.63961,-11.07039,-12.3321,6.7223,-0.0407,0.0222,19.4774,0.0,
1386.66045,-11.04955,-2.4700,6.9079,-0.0081,0.0228,19.4774,0.0,
1386.68128,-11.02872,-4.5713,6.8749,-0.0151,0.0227,19.4774,0.0,
1386.70212,-11.00788,0.6876,6.6915,0.0023,0.0221,19.4774,0.0,
1386.72295,-10.98705,-1.1305,6.8280,-0.0037,0.0225,19.4774,0.0,
1386.74378,-10.96622,-11.8679,6.7100,-0.0391,0.0221,19.4774,0.0,
1386.76462,-10.94538,0.1921,6.6544,0.0006,0.0219,19.4774,0.0,
1386.78545,-10.92455,-3.9914,6.6804,-0.0132,0.0220,19.4774,0.0,
1386.80629,-10.90371,-1.4322,6.7198,-0.0047,0.0222,19.4774,0.0,
1386.82712,-10.88288,-1.2839,6.7176,-0.0042,0.0221,19.4774,0.0,
1386.84795,-10.86205,0.1645,6.6879,0.0005,0.0220,19.4774,0.0,
1386.86879,-10.84121,-5.0691,6.7375,-0.0167,0.0222,19.4774,0.0,
1386.88962,-10.82038,-7.0605,6.7395,-0.0233,0.0222,19.4774,0.0,
1386.91046,-10.79954,-7.2694,6.7280,-0.0240,0.0222,19.4774,0.0,
1386.93129,-10.77871,-6.1329,6.6919,-0.0202,0.0221,19.4774,0.0,
1386.95212,-10.75788,4.1808,6.6896,0.0138,0.0221,19.4774,0.0,
1386.97296,-10.73704,2.1813,6.6396,0.0072,0.0219,19.4774,0.0,
1386.99379,-10.71621,1.0170,6.6880,0.0034,0.0220,19.4774,0.0,
1387.01463,-10.69537,-5.4073,6.6220,-0.0178,0.0218,19.4774,0.0,
1387.03546,-10.67454,-2.7677,6.6621,-0.0091,0.0220,19.4774,0.0,
1387.05629,-10.65371,-6.9976,6.5420,-0.0231,0.0216,19.4774,0.0,
1387.07713,-10.63287,-8.3249,6.4779,-0.0274,0.0214,19.4774,0.0,
1387.09796,-10.61204,-0.3025,6.4983,-0.0010,0.0214,19.4774,0.0,
1387.11879,-10.59121,-4.3481,6.4521,-0.0143,0.0213,19.4774,0.0,
1387.13963,-10.57037,5.3462,6.6445,0.0176,0.0219,19.4774,0.0,
1387.16046,-10.54954,10.0069,6.4969,0.0330,0.0214,19.1321,0.7049,0.0
1387.18130,-10.52870,9.0576,6.5684,0.0299,0.0217,19.2403,0.7874,0.0
1387.20213,-10.50787,0.0494,6.5993,0.0002,0.0218,19.4774,0.0,
1387.22296,-10.48704,-6.9412,6.5985,-0.0229,0.0218,19.4774,0.0,
1387.24380,-10.46620,8.3215,6.7103,0.0274,0.0221,19.3323,0.8755,0.0
1387.26463,-10.44537,-0.7540,6.6909,-0.0025,0.0221,19.4774,0.0,
1387.28547,-10.42453,-5.3874,6.7180,-0.0178,0.0221,19.4774,0.0,
1387.30630,-10.40370,7.8741,6.7786,0.0260,0.0223,19.3923,0.9347,0.0
1387.32713,-10.38287,-3.1417,6.8009,-0.0104,0.0224,19.4774,0.0,
1387.36880,-10.34120,3.6865,6.7294,0.0122,0.0222,19.4774,0.0,
1387.38964,-10.32036,7.1968,6.7222,0.0237,0.0222,19.4774,0.0,
1387.41047,-10.29953,-0.1074,6.6423,-0.0004,0.0219,19.4774,0.0,
1387.43130,-10.27870,5.4301,6.6241,0.0179,0.0218,19.4774,0.0,
1387.45214,-10.25786,-4.6491,6.7039,-0.0153,0.0221,19.4774,0.0,
1387.47297,-10.23703,-9.1480,6.6933,-0.0302,0.0221,19.4774,0.0,
1387.49381,-10.21619,8.2070,6.8037,0.0271,0.0224,19.3473,0.9001,0.0
1387.51464,-10.19536,-8.4494,6.5364,-0.0279,0.0215,19.4774,0.0,
1387.53547,-10.17453,11.7747,6.6560,0.0388,0.0219,18.9554,0.6137,0.0
1387.55631,-10.15369,0.0977,6.5835,0.0003,0.0217,19.4774,0.0,
1387.57714,-10.13286,-3.8552,6.6108,-0.0127,0.0218,19.4774,0.0,
1387.59798,-10.11202,3.6225,6.6585,0.0119,0.0220,19.4774,0.0,
1387.61881,-10.09119,2.7028,6.7478,0.0089,0.0222,19.4774,0.0,
