BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1397.83779,0.12779,5.10064,1.93810,0.01683,0.00639,19.28134,0.12643,0.00000
1398.08685,0.37685,11.95271,1.99334,0.03942,0.00657,18.94450,0.18018,0.00000
1398.33780,0.62780,9.78828,1.90787,0.03227,0.00629,19.03274,0.13265,0.00000
1398.57044,0.86044,9.19692,2.19358,0.03034,0.00723,19.06112,0.17535,0.00000
1398.85864,1.14864,7.18612,2.11698,0.02369,0.00698,19.30452,0.16789,0.00000
1399.09823,1.38823,15.31932,2.01225,0.05051,0.00664,18.74205,0.13412,0.00000
1399.33782,1.62782,10.14655,1.95344,0.03345,0.00645,19.06217,0.16460,0.00000
1399.58782,1.87782,14.76288,1.94917,0.04867,0.00643,18.72937,0.10875,0.00000
1399.82930,2.11930,15.92809,2.03555,0.05253,0.00672,18.64713,0.13081,0.00000
1400.08783,2.37783,20.19748,1.92214,0.06659,0.00634,18.42196,0.11973,0.00000
1400.33783,2.62783,20.19430,1.90470,0.06656,0.00628,18.44913,0.11153,0.00000
1400.54617,2.83617,27.83249,2.37954,0.09175,0.00784,18.07218,0.10689,0.00000
1400.85867,3.14867,33.32522,2.12187,0.10987,0.00700,17.86410,0.07723,0.00000
1401.08784,3.37784,37.37408,1.94569,0.12321,0.00641,17.71719,0.05917,0.00000
1401.33785,3.62785,42.16959,1.93676,0.13902,0.00639,17.59388,0.05293,0.00000
1401.58785,3.87785,42.52916,1.92318,0.14021,0.00634,17.56768,0.04990,0.00000
1401.83312,4.12312,51.66245,2.07772,0.17032,0.00685,17.35339,0.04409,0.00000
1402.10869,4.39869,53.29547,2.13372,0.17571,0.00704,17.32268,0.04431,0.00000
1402.32975,4.61975,59.45306,2.28496,0.19600,0.00753,17.20561,0.04272,0.00000
1402.85870,5.14870,68.99259,2.13101,0.22745,0.00702,17.04401,0.03424,0.00000
1403.07745,5.36745,80.09064,2.07678,0.26404,0.00685,16.88206,0.02880,0.00000
1403.33787,5.62787,81.89548,1.96522,0.26999,0.00648,16.85123,0.02618,0.00000
1403.58503,5.87503,98.30412,2.11856,0.32409,0.00698,16.65345,0.02351,0.00000
1403.84450,6.13450,96.18024,2.04039,0.31708,0.00673,16.68185,0.02339,0.00000
1404.08788,6.37788,103.44677,1.94447,0.34102,0.00641,16.59923,0.02056,0.00000
1404.29274,6.58274,103.59643,2.73151,0.34155,0.00901,16.59875,0.02892,0.00000
1404.85871,7.14872,131.47004,2.15217,0.43342,0.00710,16.33888,0.01791,0.00000
1405.08788,7.37788,140.41068,1.98684,0.46290,0.00655,16.26771,0.01550,0.00000
1405.33789,7.62789,151.61634,2.01305,0.49987,0.00663,16.18242,0.01446,0.00000
1405.59073,7.88073,151.77094,2.05920,0.50037,0.00679,16.18135,0.01479,0.00000
1405.83789,8.12789,161.33722,2.13631,0.53190,0.00705,16.11561,0.01444,0.00000
1406.00456,8.29456,162.34517,3.35852,0.53523,0.01108,16.10855,0.02257,0.00000
1410.94207,13.23208,249.12525,4.72121,0.82130,0.01556,15.64220,0.02058,273.80000
1411.09833,13.38833,262.66307,2.23275,0.86594,0.00737,15.58446,0.00923,273.80000
1411.33271,13.62270,262.86966,2.35681,0.86664,0.00777,15.58367,0.00974,273.80000
1411.58791,13.87791,266.10965,1.92041,0.87731,0.00633,15.57022,0.00784,273.80000
1411.83791,14.12791,266.59008,1.91483,0.87889,0.00631,15.56835,0.00781,273.80000
1412.08792,14.37792,269.29729,1.92827,0.88782,0.00636,15.55742,0.00778,273.80000
1412.35042,14.64042,270.37687,2.12850,0.89139,0.00702,15.55326,0.00855,273.80000
1412.58792,14.87792,269.67830,1.94193,0.88909,0.00640,15.55589,0.00782,273.80000
1412.83792,15.12792,273.39819,1.93063,0.90134,0.00636,15.54100,0.00767,273.80000
1413.08792,15.37792,271.50582,1.93226,0.89511,0.00637,15.54869,0.00774,273.80000
1413.36222,15.65222,277.13924,2.26646,0.91367,0.00747,15.52619,0.00888,273.80000
1413.58792,15.87792,276.72245,1.96016,0.91230,0.00646,15.52786,0.00770,273.80000
1413.81708,16.10708,276.73310,2.16227,0.91232,0.00713,15.52783,0.00849,273.80000
1414.08792,16.37792,277.73463,1.97187,0.91565,0.00650,15.52398,0.00772,273.80000
1414.33792,16.62792,279.14601,1.95170,0.92029,0.00644,15.51837,0.00759,273.80000
1414.58792,16.87792,274.44754,1.94888,0.90480,0.00642,15.53679,0.00772,273.80000
1414.72333,17.01333,276.41950,6.78550,0.91130,0.02240,15.52890,0.02670,273.80000
