BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1400.46443,0.12443,-2.30889,1.62698,-0.14466,0.10194,19.95403,0.86050,
1400.75163,0.41163,1.90893,2.12371,0.11963,0.13306,19.77891,0.55963,
1400.98526,0.64526,-0.47722,1.63107,-0.02989,0.10220,19.92484,0.62470,
1401.23525,0.89525,0.90949,1.60566,0.05700,0.10060,19.90237,0.57124,
1401.48525,1.14525,2.05115,1.60283,0.12851,0.10043,19.84386,0.45177,
1401.73524,1.39524,2.14282,1.61167,0.13428,0.10099,19.88324,0.51275,
1401.99565,1.65565,4.85682,1.86967,0.30431,0.11715,19.60118,0.35105,
1402.23428,1.89428,3.19915,1.70338,0.20045,0.10673,19.76053,0.40888,
1402.40536,2.06536,-0.05633,3.26595,-0.00353,0.20466,19.99720,,
1402.80813,2.46813,8.74118,2.54171,0.54772,0.15925,19.35276,0.30898,
1402.98521,2.64521,6.09526,1.62171,0.38191,0.10161,19.60797,0.32860,
1403.23804,2.89804,6.69182,1.66767,0.41928,0.10449,19.52515,0.28830,
1403.48520,3.14520,7.00843,1.58922,0.43914,0.09958,19.51550,0.25441,
1403.74352,3.40352,9.13403,1.74089,0.57233,0.10908,19.26314,0.22779,
1403.98518,3.64518,4.33929,1.57617,0.27189,0.09876,19.73528,0.34491,
1404.21550,3.87550,12.17794,1.82035,0.76304,0.11406,18.95423,0.17561,
1404.80808,4.46808,12.44910,2.44124,0.78002,0.15297,18.98974,0.27174,
1404.98515,4.64515,12.62302,1.56406,0.79092,0.09800,18.92795,0.14287,
1405.23515,4.89515,13.59117,1.56624,0.85159,0.09814,18.84127,0.14036,
1405.47851,5.13851,14.40458,1.62548,0.90256,0.10185,18.81178,0.16091,
1405.71430,5.37430,13.81069,1.70779,0.86533,0.10700,18.83879,0.15900,
1405.94607,5.60607,15.82840,1.94533,0.99177,0.12189,18.66290,0.14586,
