BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1385.97462,-3.19538,-4.7210,5.2733,-0.1896,0.2118,19.7973,,
1385.99546,-3.17454,-6.7991,5.3738,-0.2731,0.2159,19.7973,,
1386.01629,-3.15371,5.3704,5.3564,0.2157,0.2152,19.7973,,
1386.03713,-3.13287,0.3234,5.1775,0.0130,0.2080,19.7973,,
1386.05796,-3.11204,-6.8949,5.5656,-0.2770,0.2236,19.7973,,
1386.07879,-3.09121,6.4844,5.2321,0.2605,0.2102,19.6031,0.8760,
1386.09963,-3.07037,0.6470,5.6523,0.0260,0.2271,19.7973,,
1386.12046,-3.04954,0.5951,5.5882,0.0239,0.2245,19.7973,,
1386.14129,-3.02871,-4.2587,5.3870,-0.1711,0.2164,19.7973,,
1386.16213,-3.00787,-6.2900,5.5628,-0.2527,0.2235,19.7973,,
1386.18296,-2.98704,-4.2580,5.2524,-0.1711,0.2110,19.7973,,
1386.20380,-2.96620,-5.7782,5.6624,-0.2321,0.2275,19.7973,,
1386.22463,-2.94537,4.6175,5.1402,0.1855,0.2065,19.7973,,
1386.24546,-2.92454,0.4123,5.1666,0.0166,0.2075,19.7973,,
1386.26630,-2.90370,-8.8756,5.6109,-0.3565,0.2254,19.7973,,
1386.28713,-2.88287,3.8859,5.3599,0.1561,0.2153,19.7973,,
1386.30796,-2.86204,-1.6845,5.1523,-0.0677,0.2070,19.7973,,
1386.32880,-2.84120,-5.4595,5.3172,-0.2193,0.2136,19.7973,,
1386.34963,-2.82037,-5.6204,5.1197,-0.2258,0.2057,19.7973,,
1386.37047,-2.79953,2.9784,5.1262,0.1196,0.2059,19.7973,,
1386.39130,-2.77870,-1.2652,5.1470,-0.0508,0.2068,19.7973,,
1386.41213,-2.75787,5.8608,5.4566,0.2354,0.2192,19.7129,1.0109,
1386.43297,-2.73703,6.8282,5.1499,0.2743,0.2069,19.5470,0.8189,
1386.45380,-2.71620,-6.8970,5.1716,-0.2771,0.2077,19.7973,,
1386.47463,-2.69537,-7.4149,5.4554,-0.2979,0.2192,19.7973,,
1386.49547,-2.67453,-3.2477,5.1854,-0.1305,0.2083,19.7973,,
1386.51630,-2.65370,-4.0638,5.1185,-0.1632,0.2056,19.7973,,
1386.53714,-2.63286,-1.8822,5.5294,-0.0756,0.2221,19.7973,,
1386.55797,-2.61203,-1.6578,5.2326,-0.0666,0.2102,19.7973,,
1386.57880,-2.59120,0.7218,5.3222,0.0290,0.2138,19.7973,,
1386.59964,-2.57036,0.0423,5.2163,0.0017,0.2095,19.7973,,
1386.62047,-2.54953,3.3437,5.1992,0.1343,0.2089,19.7973,,
1386.64130,-2.52870,1.9253,5.2459,0.0773,0.2107,19.7973,,
1386.66214,-2.50786,3.7392,5.2836,0.1502,0.2122,19.7973,,
1386.68297,-2.48703,2.2139,5.0741,0.0889,0.2038,19.7973,,
1386.70380,-2.46620,-0.6963,5.0846,-0.0280,0.2043,19.7973,,
1386.72464,-2.44536,1.9365,5.0867,0.0778,0.2043,19.7973,,
1386.74547,-2.42453,-10.7652,5.2284,-0.4325,0.2100,19.7973,,
1386.76631,-2.40369,1.1854,5.1312,0.0476,0.2061,19.7973,,
1386.78714,-2.38286,-0.8098,5.3848,-0.0325,0.2163,19.7973,,
1386.80797,-2.36203,4.6708,5.0764,0.1876,0.2039,19.7973,,
1386.82881,-2.34119,-5.6102,5.4886,-0.2254,0.2205,19.7973,,
1386.84964,-2.32036,-1.6482,5.3888,-0.0662,0.2165,19.7973,,
1386.87047,-2.29953,-6.3840,5.3331,-0.2565,0.2142,19.7973,,
1386.89131,-2.27869,-2.7380,5.4720,-0.1100,0.2198,19.7973,,
1386.91214,-2.25786,1.4142,4.9530,0.0568,0.1990,19.7973,,
1386.93298,-2.23702,3.1515,5.0939,0.1266,0.2046,19.7973,,
1386.95381,-2.21619,4.6875,5.3796,0.1883,0.2161,19.7973,,
1386.97464,-2.19536,-1.7219,5.4531,-0.0692,0.2191,19.7973,,
1386.99548,-2.17452,-0.4807,5.1406,-0.0193,0.2065,19.7973,,
1387.01631,-2.15369,-1.6899,5.2358,-0.0679,0.2103,19.7973,,
1387.03714,-2.13286,4.4447,5.3189,0.1785,0.2137,19.7973,,
1387.05798,-2.11202,0.8255,5.1117,0.0332,0.2053,19.7973,,
1387.07881,-2.09119,-3.8628,5.0986,-0.1552,0.2048,19.7973,,
1387.09965,-2.07035,-1.4160,5.1068,-0.0569,0.2051,19.7973,,
1387.12048,-2.04952,0.6436,5.2946,0.0259,0.2127,19.7973,,
1387.14131,-2.02869,5.3260,5.1081,0.2140,0.2052,19.7973,,
1387.16215,-2.00785,7.3629,5.1466,0.2958,0.2067,19.4652,0.7589,
1387.18298,-1.98702,-7.7527,5.0743,-0.3114,0.2038,19.7973,,
1387.20381,-1.96619,10.4232,5.2638,0.4187,0.2115,19.0878,0.5483,
1387.22465,-1.94535,-2.1763,5.1118,-0.0874,0.2053,19.7973,,
1387.24548,-1.92452,-1.8362,5.1052,-0.0738,0.2051,19.7973,,
1387.26632,-1.90368,4.6346,5.1190,0.1862,0.2056,19.7973,,
1387.28715,-1.88285,-6.4394,5.2712,-0.2587,0.2118,19.7973,,
1387.30798,-1.86202,2.0504,5.0896,0.0824,0.2045,19.7973,,
1387.32882,-1.84118,-1.0966,5.1994,-0.0441,0.2089,19.7973,,
1387.37048,-1.79952,-2.3434,5.0591,-0.0941,0.2032,19.7973,,
1387.39132,-1.77868,-2.1892,5.1403,-0.0879,0.2065,19.7973,,
1387.41215,-1.75785,-5.7645,5.1087,-0.2316,0.2052,19.7973,,
1387.43299,-1.73701,3.9587,5.0122,0.1590,0.2013,19.7973,,
1387.45382,-1.71618,6.3794,5.3699,0.2563,0.2157,19.6208,0.9139,
1387.47465,-1.69535,-3.9002,5.0203,-0.1567,0.2017,19.7973,,
1387.49549,-1.67451,14.9509,5.4547,0.6006,0.2191,18.6961,0.3961,
1387.51632,-1.65368,-0.6735,5.2689,-0.0271,0.2117,19.7973,,
1387.53715,-1.63285,5.4200,5.2020,0.2177,0.2090,19.7973,,
1387.55799,-1.61201,-5.5008,4.9739,-0.2210,0.1998,19.7973,,
1387.57882,-1.59118,9.2038,5.0095,0.3697,0.2012,19.2229,0.5909,
1387.59965,-1.57035,1.0484,5.0334,0.0421,0.2022,19.7973,,
1387.62049,-1.54951,1.6974,5.3717,0.0682,0.2158,19.7973,,
1387.64132,-1.52868,-1.3595,5.0110,-0.0546,0.2013,19.7973,,
1387.66216,-1.50784,-2.2944,5.5012,-0.0922,0.2210,19.7973,,
1387.68299,-1.48701,-5.2259,5.0902,-0.2099,0.2045,19.7973,,
1387.70382,-1.46618,2.5441,5.1528,0.1022,0.2070,19.7973,,
1387.72466,-1.44534,2.5975,5.0715,0.1043,0.2037,19.7973,,
1387.80799,-1.36201,2.4176,5.1023,0.0971,0.2050,19.7973,,
1387.84966,-1.32034,5.8865,5.1397,0.2365,0.2065,19.7082,0.9480,
1387.87049,-1.29951,7.7840,5.1970,0.3127,0.2088,19.4048,0.7249,
1387.89133,-1.27867,-2.9305,5.0881,-0.1177,0.2044,19.7973,,
1387.91216,-1.25784,0.5823,5.0865,0.0234,0.2043,19.7973,,
1387.93299,-1.23701,-1.7454,5.2539,-0.0701,0.2111,19.7973,,
1387.95383,-1.21617,6.4390,5.0846,0.2587,0.2043,19.6108,0.8574,
1387.97466,-1.19534,8.3475,5.2186,0.3353,0.2096,19.3289,0.6788,
1387.99549,-1.17451,2.2916,5.2825,0.0921,0.2122,19.7973,,
1388.01633,-1.15367,2.7236,5.0973,0.1094,0.2048,19.7973,,
1388.03716,-1.13284,0.1162,5.1923,0.0047,0.2086,19.7973,,
1388.05800,-1.11200,2.2909,5.1170,0.0920,0.2056,19.7973,,
1388.07883,-1.09117,-3.2111,5.1069,-0.1290,0.2052,19.7973,,
1388.09966,-1.07034,10.0966,5.1123,0.4056,0.2054,19.1224,0.5498,
1388.12050,-1.04950,-4.0297,5.1802,-0.1619,0.2081,19.7973,,
1388.14133,-1.02867,4.3994,5.1487,0.1767,0.2068,19.7973,,
1388.16216,-1.00784,1.6311,5.0496,0.0655,0.2028,19.7973,,
1388.18300,-0.98700,5.3781,5.1295,0.2160,0.2061,19.7973,,
1388.20383,-0.96617,1.4108,5.2456,0.0567,0.2107,19.7973,,
1388.22466,-0.94534,-5.1692,5.0986,-0.2077,0.2048,19.7973,,
1388.24550,-0.92450,-1.0198,5.3240,-0.0410,0.2139,19.7973,,
1388.26633,-0.90367,0.6512,5.0761,0.0262,0.2039,19.7973,,
1388.28717,-0.88283,4.8122,5.0624,0.1933,0.2034,19.7973,,
1388.30800,-0.86200,1.6202,5.2374,0.0651,0.2104,19.7973,,
1388.32883,-0.84117,0.5910,5.0764,0.0237,0.2039,19.7973,,
1388.34967,-0.82033,4.2645,5.2748,0.1713,0.2119,19.7973,,
1388.37050,-0.79950,-6.1966,5.0172,-0.2489,0.2015,19.7973,,
1388.39133,-0.77867,4.8480,5.0651,0.1948,0.2035,19.7973,,
1388.41217,-0.75783,0.0768,5.2716,0.0031,0.2118,19.7973,,
1388.43300,-0.73700,7.6625,5.0519,0.3078,0.2029,19.4219,0.7158,
1388.45384,-0.71616,-2.7549,5.0889,-0.1107,0.2044,19.7973,,
1388.47467,-0.69533,6.3259,5.1148,0.2541,0.2055,19.6300,0.8779,
1388.49550,-0.67450,1.3218,5.1591,0.0531,0.2072,19.7973,,
1388.51634,-0.65366,-3.8330,5.2476,-0.1540,0.2108,19.7973,,
1388.53717,-0.63283,-2.9462,5.1550,-0.1184,0.2071,19.7973,,
1388.55800,-0.61200,-14.5350,5.0780,-0.5839,0.2040,19.7973,,
1388.57884,-0.59116,-3.5690,5.1282,-0.1434,0.2060,19.7973,,
1388.59967,-0.57033,7.2423,5.1109,0.2909,0.2053,19.4831,0.7662,
1388.62050,-0.54950,-2.8936,5.2662,-0.1162,0.2116,19.7973,,
1388.64134,-0.52866,4.7429,5.0864,0.1905,0.2043,19.7973,,
1388.66217,-0.50783,9.9077,5.2451,0.3980,0.2107,19.1429,0.5748,
1388.68300,-0.48700,2.7068,5.2305,0.1087,0.2101,19.7973,,
1388.70384,-0.46616,-2.8904,5.0121,-0.1161,0.2013,19.7973,,
1388.72467,-0.44533,5.4442,5.2044,0.2187,0.2091,19.7930,1.0379,
1388.74551,-0.42449,-3.7464,5.1017,-0.1505,0.2049,19.7973,,
1388.76634,-0.40366,0.3298,5.0192,0.0132,0.2016,19.7973,,
1388.78717,-0.38283,6.8909,5.3366,0.2768,0.2144,19.5371,0.8408,
1388.80801,-0.36199,0.6478,5.1396,0.0260,0.2065,19.7973,,
1388.82884,-0.34116,-4.4651,5.0772,-0.1794,0.2040,19.7973,,
1388.84967,-0.32033,4.7378,5.1302,0.1903,0.2061,19.7973,,
1388.89134,-0.27866,-0.8319,5.2249,-0.0334,0.2099,19.7973,,
1388.91218,-0.25782,0.0942,5.1433,0.0038,0.2066,19.7973,,
1388.93301,-0.23699,-3.4556,5.0964,-0.1388,0.2047,19.7973,,
1388.95384,-0.21616,1.5004,5.3263,0.0603,0.2140,19.7973,,
1388.97468,-0.19532,-1.6571,5.3444,-0.0666,0.2147,19.7973,,
1388.99551,-0.17449,-0.5338,5.3209,-0.0214,0.2137,19.7973,,
1389.01634,-0.15366,4.7136,5.3106,0.1894,0.2133,19.7973,,
1389.03718,-0.13282,6.5628,5.2566,0.2636,0.2112,19.5901,0.8696,
1389.05801,-0.11199,3.7469,5.2503,0.1505,0.2109,19.7973,,
1389.07884,-0.09116,-0.5315,5.2174,-0.0213,0.2096,19.7973,,
1389.09968,-0.07032,7.4984,5.2230,0.3012,0.2098,19.4454,0.7563,
1389.18301,0.01301,3.3011,5.1332,0.1326,0.2062,19.7973,,
1389.20385,0.03385,1.4976,5.2772,0.0602,0.2120,19.7973,,
1389.22468,0.05468,-5.2871,5.3373,-0.2124,0.2144,19.7973,,
1389.24551,0.07551,-5.5354,5.5599,-0.2224,0.2233,19.7973,,
1389.26635,0.09635,0.4783,5.3199,0.0192,0.2137,19.7973,,
1389.28718,0.11718,-5.5038,5.3855,-0.2211,0.2163,19.7973,,
1389.30801,0.13801,8.3225,5.1201,0.3343,0.2057,19.3322,0.6680,
1389.32885,0.15885,4.2381,5.3537,0.1702,0.2151,19.7973,,
1389.34968,0.17968,0.2007,5.3103,0.0081,0.2133,19.7973,,
1389.37052,0.20052,-1.9368,5.2608,-0.0778,0.2113,19.7973,,
1389.39135,0.22135,4.5806,5.1868,0.1840,0.2084,19.7973,,
1389.43302,0.26302,-6.2878,5.2265,-0.2526,0.2100,19.7973,,
1389.45385,0.28385,1.3931,5.3697,0.0560,0.2157,19.7973,,
1389.47468,0.30468,2.1742,5.2222,0.0873,0.2098,19.7973,,
1389.49552,0.32552,4.3327,5.2732,0.1741,0.2118,19.7973,,
1389.51635,0.34635,1.1883,5.2368,0.0477,0.2104,19.7973,,
1389.53718,0.36718,-9.0127,5.2920,-0.3621,0.2126,19.7973,,
1389.55802,0.38802,-0.5566,5.2308,-0.0224,0.2101,19.7973,,
1389.57885,0.40885,1.1621,5.2685,0.0467,0.2116,19.7973,,
1389.59969,0.42969,0.7114,5.2511,0.0286,0.2109,19.7973,,
1389.64135,0.47135,-0.4449,5.2495,-0.0179,0.2109,19.7973,,
1389.66219,0.49219,4.2956,5.2394,0.1726,0.2105,19.7973,,
1389.68302,0.51302,0.6499,5.1644,0.0261,0.2075,19.7973,,
1389.70385,0.53385,-1.9678,5.1085,-0.0790,0.2052,19.7973,,
1389.72469,0.55469,4.3033,5.0674,0.1729,0.2036,19.7973,,
