BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1414.31487,0.12487,-6.62469,2.36558,-0.06392,0.02282,18.07710,,
1414.57528,0.38528,-10.63404,2.25592,-0.10258,0.02177,18.07710,,
1414.82528,0.63528,-4.73342,2.60796,-0.04565,0.02516,18.07710,,
1415.07112,0.88112,-0.70195,2.73206,-0.00678,0.02636,18.07710,,
1415.31487,1.12487,6.15161,2.51981,0.05934,0.02431,18.07710,,
1415.56487,1.37487,7.00122,2.40342,0.06753,0.02319,18.07710,,
1415.81487,1.62487,-7.61097,2.39973,-0.07343,0.02315,18.07710,,
1416.06487,1.87487,-0.59420,2.55892,-0.00573,0.02469,18.07710,,
1416.31487,2.12487,-0.47203,2.49261,-0.00456,0.02405,18.07710,,
1416.56487,2.37487,5.44248,2.52873,0.05250,0.02440,18.06699,0.30920,
1416.80445,2.61445,2.20389,2.56413,0.02126,0.02474,18.07710,,
1417.06140,2.87140,1.65817,4.37533,0.01600,0.04223,18.07710,,
1417.30635,3.11635,17.93297,2.61387,0.17302,0.02522,18.00285,0.12846,
1417.56487,3.37487,15.61748,2.52564,0.15068,0.02437,18.03199,0.20481,
1417.81487,3.62487,16.72311,2.52435,0.16134,0.02435,18.03742,0.17563,
1418.06487,3.87487,13.49271,2.52262,0.13017,0.02433,18.02502,0.16989,
1418.28064,4.09064,21.82607,3.27317,0.21056,0.03158,17.92811,0.14788,
1424.63775,10.44775,51.19723,3.14305,0.49393,0.03032,17.36481,0.06759,
1424.82715,10.63715,51.76806,2.55401,0.49944,0.02464,17.35598,0.05459,
1425.07317,10.88317,56.68683,2.67509,0.54688,0.02581,17.25190,0.05158,
1425.33567,11.14567,62.74850,2.42430,0.60535,0.02338,17.14357,0.04250,
1425.58851,11.39851,67.35045,2.56630,0.64974,0.02476,17.07071,0.04237,
1425.83567,11.64567,73.40928,2.44048,0.70822,0.02354,16.96964,0.03621,
1426.08566,11.89566,78.32337,2.44719,0.75562,0.02361,16.90097,0.03418,
1426.33566,12.14566,81.31910,2.46468,0.78452,0.02378,16.86116,0.03326,
1426.58566,12.39566,81.20646,2.47272,0.78343,0.02386,16.86139,0.03329,
1426.83566,12.64566,77.81529,2.50134,0.75069,0.02413,16.90748,0.03512,
1427.08566,12.89566,77.36092,2.53577,0.74633,0.02446,16.91644,0.03604,
1427.33566,13.14566,84.05952,2.52061,0.81094,0.02432,16.82540,0.03292,
1427.58566,13.39566,87.05864,2.72358,0.83988,0.02627,16.78711,0.03436,
1427.83566,13.64566,88.71660,2.47177,0.85587,0.02385,16.76577,0.03049,
1428.08566,13.89566,82.24884,2.44575,0.79350,0.02360,16.84759,0.03249,
1428.33565,14.14565,85.95771,2.46105,0.82926,0.02374,16.80267,0.03154,
1428.58092,14.39092,87.73099,2.57324,0.84636,0.02483,16.77828,0.03214,
1428.83565,14.64565,86.73848,2.51185,0.83678,0.02423,16.79118,0.03178,
1429.08565,14.89565,86.53316,2.46731,0.83482,0.02380,16.79192,0.03109,
1429.33565,15.14565,98.24165,2.51132,0.94777,0.02423,16.65290,0.02781,
1429.58565,15.39565,83.50277,2.48250,0.80557,0.02395,16.83364,0.03268,
1429.83564,15.64564,95.74555,2.50407,0.92368,0.02416,16.68088,0.02847,
1430.08564,15.89564,95.69520,2.47150,0.92321,0.02384,16.68426,0.02834,
1430.33564,16.14564,88.26367,2.43707,0.85152,0.02351,16.77294,0.03034,
1430.58564,16.39564,105.81670,2.68625,1.02084,0.02591,16.57322,0.02770,
1430.83564,16.64564,105.87451,2.44072,1.02141,0.02355,16.57294,0.02518,
1431.08563,16.89563,108.46146,2.43214,1.04637,0.02346,16.54595,0.02443,
1431.33563,17.14563,104.08712,2.46438,1.00418,0.02378,16.59767,0.02633,
1431.58563,17.39563,95.46999,2.47093,0.92104,0.02383,16.68976,0.02860,
1431.83563,17.64563,101.53245,2.47069,0.97952,0.02384,16.62205,0.02688,
1432.08563,17.89563,100.65408,2.44464,0.97105,0.02358,16.62922,0.02661,
1432.33562,18.14562,109.30169,2.50391,1.05447,0.02415,16.54011,0.02510,
1432.58562,18.39562,105.21337,2.48339,1.01504,0.02396,16.58404,0.02611,
1432.83562,18.64562,77.37632,2.53564,0.74648,0.02446,16.96457,0.04208,
1433.03353,18.84353,103.63119,3.32068,0.99976,0.03203,16.59823,0.03521,
