BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1404.99209,0.13209,-0.80995,1.08312,-0.01649,0.02206,19.95425,0.05321,0.00000
1405.24209,0.38209,0.30148,1.17868,0.00614,0.02400,19.92450,0.09318,0.00000
1405.47504,0.61504,2.22512,1.17724,0.04530,0.02397,19.83518,0.14513,0.00000
1405.71084,0.85084,-1.11226,1.23657,-0.02266,0.02519,19.97840,0.00000,
1405.94261,1.08261,1.55246,1.39214,0.03160,0.02836,19.87184,0.05298,0.00000
1411.02185,6.16185,18.94509,1.49895,0.38586,0.03053,18.46794,0.09331,36.41000
1411.22750,6.36750,20.91277,1.26242,0.42593,0.02572,18.35594,0.06992,36.41000
1411.49903,6.63903,20.43250,1.33415,0.41614,0.02717,18.38731,0.07763,36.41000
1411.73167,6.87167,21.08057,1.14617,0.42935,0.02335,18.34587,0.06304,36.41000
1411.98167,7.12167,22.17522,1.15179,0.45163,0.02346,18.28062,0.05844,36.41000
1412.22334,7.36334,23.45304,1.25095,0.47767,0.02548,18.22786,0.06118,36.41000
1412.48167,7.62167,24.61124,1.15504,0.50125,0.02353,18.16867,0.05320,36.41000
1412.73167,7.87167,26.37793,1.13530,0.53724,0.02312,18.09135,0.04818,36.41000
1412.99209,8.13209,28.57330,1.09590,0.58196,0.02232,18.00129,0.04253,36.41000
1413.24903,8.38903,28.14480,1.30751,0.57321,0.02663,18.02051,0.05205,36.41000
1413.50250,8.64250,30.83788,1.15403,0.62808,0.02350,17.91798,0.04159,36.41000
1413.75250,8.89250,31.28927,1.15403,0.63727,0.02350,17.90281,0.04104,36.41000
1414.01500,9.15500,28.98851,1.26704,0.59040,0.02581,17.99533,0.05012,36.41000
1414.25250,9.39250,30.51426,1.14135,0.62148,0.02325,17.92657,0.04122,36.41000
1414.50250,9.64250,32.72082,1.11034,0.66642,0.02261,17.86265,0.03889,36.41000
1414.75250,9.89250,33.39328,1.11258,0.68012,0.02266,17.83540,0.03748,36.41000
1414.99625,10.13625,32.00110,1.22666,0.65175,0.02498,17.87972,0.04300,36.41000
1415.25250,10.39250,38.31400,1.09616,0.78033,0.02233,17.68734,0.03281,36.41000
1415.50250,10.64250,34.99944,1.12787,0.71283,0.02297,17.77877,0.03567,36.41000
1415.75250,10.89250,36.03418,1.10182,0.73390,0.02244,17.75000,0.03443,36.41000
1416.00249,11.14249,36.36072,1.13516,0.74057,0.02312,17.74388,0.03538,36.41000
1416.25249,11.39249,36.35020,1.16019,0.74034,0.02363,17.74130,0.03577,36.41000
1416.50249,11.64249,37.86907,1.12316,0.77127,0.02288,17.69515,0.03290,36.41000
1416.75249,11.89249,38.77791,1.14462,0.78980,0.02331,17.66427,0.03230,36.41000
1416.95562,12.09562,38.30020,1.99849,0.78005,0.04070,17.68073,0.05751,36.41000
1417.27124,12.41124,38.62133,1.25010,0.78660,0.02546,17.68083,0.03677,36.41000
1417.51101,12.65101,41.12139,1.19294,0.83752,0.02430,17.59958,0.03165,36.41000
1417.75249,12.89249,42.54566,1.14153,0.86652,0.02325,17.56560,0.02959,36.41000
1418.00249,13.14249,42.02444,1.11981,0.85590,0.02280,17.58222,0.02953,36.41000
1418.24415,13.38415,44.01902,1.24238,0.89652,0.02530,17.52754,0.03090,36.41000
1424.59618,19.73618,48.03097,2.24891,0.97827,0.04581,17.43460,0.05165,36.41000
1424.67951,19.81951,49.32814,1.77593,1.00464,0.03617,17.40850,0.04003,36.41000
