BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1412.46415,0.12415,0.84530,1.18870,0.02764,0.03886,19.61044,0.52080,
1412.72457,0.38457,-2.31165,1.13648,-0.07558,0.03716,19.63880,,
1412.97457,0.63457,0.38431,1.23957,0.01256,0.04053,19.56055,0.32180,
1413.19679,0.85679,1.62327,1.36705,0.05307,0.04469,19.59879,0.50900,
1413.46415,1.12415,-0.84155,1.17736,-0.02751,0.03849,19.62197,0.58600,
1413.71415,1.37415,2.24347,1.18065,0.07333,0.03860,19.56328,0.36364,
1413.96832,1.62832,0.54973,1.28978,0.01799,0.04217,19.63388,0.67340,
1414.21415,1.87415,1.03612,1.17600,0.03388,0.03845,19.60132,0.46640,
1414.46415,2.12415,2.32335,1.17664,0.07596,0.03847,19.49544,0.26079,
1414.71415,2.37415,3.86405,1.17844,0.12633,0.03853,19.51145,0.26452,
1414.96320,2.62320,4.91968,1.22857,0.16085,0.04016,19.51464,0.25264,
1415.23498,2.89498,3.24950,1.17648,0.10624,0.03846,19.53007,0.30993,
1415.48498,3.14498,4.01102,1.17825,0.13113,0.03852,19.56323,0.31821,
1415.73498,3.39498,3.82440,1.18002,0.12503,0.03858,19.50754,0.25018,
1415.98498,3.64498,5.53675,1.18329,0.18101,0.03868,19.47788,0.23612,
1416.23498,3.89498,5.22191,1.18037,0.17073,0.03859,19.50063,0.24656,
1416.48497,4.14497,3.73037,1.17869,0.12197,0.03853,19.55176,0.32139,
1416.73497,4.39497,3.59052,1.17870,0.11737,0.03854,19.50874,0.26432,
1416.94122,4.60122,4.98522,1.82866,0.16298,0.05979,19.51556,0.38851,
1417.26390,4.92390,7.07846,1.36245,0.23142,0.04455,19.39093,0.22844,
1417.49160,5.15160,8.28566,1.23290,0.27088,0.04031,19.27505,0.17188,
1417.73496,5.39496,7.52128,1.17520,0.24592,0.03842,19.29227,0.16016,
1417.98496,5.64496,9.04340,1.17476,0.29566,0.03841,19.21869,0.14537,
1418.23591,5.89591,9.18536,1.23017,0.30030,0.04022,19.21069,0.15311,
1424.58904,12.24905,24.23955,2.86502,0.79250,0.09369,18.20995,0.14235,
1424.73487,12.39487,25.22107,1.16900,0.82456,0.03822,18.13891,0.05192,
1424.98960,12.64960,25.24868,1.22290,0.82546,0.03998,18.14000,0.05431,
1425.25153,12.91153,20.70859,1.28195,0.67703,0.04191,18.35252,0.06919,
1425.47823,13.13823,24.99173,1.21980,0.81708,0.03988,18.14596,0.05419,
1425.73486,13.39486,25.15367,1.16669,0.82237,0.03815,18.13900,0.05145,
1425.98485,13.64485,25.72976,1.16751,0.84120,0.03817,18.11888,0.05102,
1426.23485,13.89485,28.36759,1.16972,0.92745,0.03824,18.01287,0.04622,
1426.48484,14.14484,26.28997,1.16711,0.85951,0.03816,18.09587,0.04986,
1426.73484,14.39484,28.12777,1.16958,0.91960,0.03824,18.02937,0.04794,
1426.98483,14.64483,26.82007,1.16566,0.87685,0.03811,18.08477,0.04999,
1427.23483,14.89483,25.76275,1.16626,0.84227,0.03813,18.12371,0.05170,
1427.46399,15.12399,26.65576,1.28282,0.87147,0.04194,18.08777,0.05524,
1427.73482,15.39482,27.26374,1.17092,0.89136,0.03828,18.05473,0.04810,
1427.98481,15.64481,27.28459,1.17003,0.89203,0.03825,18.05100,0.04762,
1428.23480,15.89480,29.33508,1.16773,0.95908,0.03818,17.97272,0.04427,
1428.48480,16.14480,30.07797,1.16699,0.98335,0.03816,17.95651,0.04442,
1428.74331,16.40331,26.39249,1.21371,0.86284,0.03968,18.09162,0.05180,
1428.98479,16.64479,31.29903,1.16186,1.02329,0.03798,17.90703,0.04196,
1429.23478,16.89478,28.89162,1.16005,0.94456,0.03792,17.98943,0.04467,
1429.48477,17.14477,29.07720,1.16166,0.95064,0.03798,17.98078,0.04417,
1429.73477,17.39477,28.23759,1.16617,0.92319,0.03812,18.01415,0.04590,
1429.98476,17.64476,29.93410,1.16601,0.97865,0.03812,17.95453,0.04387,
1430.23475,17.89475,28.59135,1.16773,0.93475,0.03818,18.00857,0.04647,
1430.46391,18.12391,30.26241,1.28001,0.98939,0.04184,17.93639,0.04663,
1430.73474,18.39474,28.96140,1.16189,0.94686,0.03799,17.98351,0.04424,
1430.98473,18.64473,31.57430,1.15944,1.03228,0.03791,17.89290,0.04077,
1431.23472,18.89472,32.04796,1.15778,1.04776,0.03785,17.88169,0.04075,
1431.48472,19.14472,28.79353,1.15716,0.94138,0.03783,17.99950,0.04572,
1431.73471,19.39471,29.17127,1.15839,0.95371,0.03787,17.98695,0.04513,
1431.98470,19.64470,31.19469,1.15972,1.01987,0.03791,17.90107,0.04073,
1432.23469,19.89469,29.09576,1.15831,0.95125,0.03787,17.98932,0.04509,
1432.48469,20.14469,29.65050,1.15724,0.96937,0.03783,17.95849,0.04306,
