BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1424.69371,5.69371,57.34588,2.01963,0.52247,0.01840,17.24365,0.03898,
1424.94466,5.94466,61.42939,2.10745,0.55966,0.01920,17.16794,0.03788,
1425.20205,6.20205,62.24740,2.20227,0.56711,0.02007,17.15307,0.03902,
1425.43330,6.43330,64.22778,2.07908,0.58514,0.01895,17.11854,0.03565,
1425.69371,6.69371,68.15449,1.97010,0.62093,0.01795,17.05650,0.03208,
1425.94371,6.94371,71.19522,1.97766,0.64865,0.01802,17.00704,0.03063,
1426.20413,7.20413,77.94987,1.91358,0.71018,0.01744,16.90673,0.02692,
1426.46454,7.46454,80.27775,1.97512,0.73138,0.01799,16.87632,0.02709,
1426.71454,7.71454,80.43145,1.99833,0.73278,0.01821,16.87086,0.02710,
1426.96453,7.96453,83.63723,1.99387,0.76199,0.01817,16.83077,0.02617,
1427.21453,8.21453,86.52638,2.00412,0.78832,0.01826,16.79358,0.02539,
1427.45411,8.45411,86.68926,2.07752,0.78980,0.01892,16.78924,0.02612,
1427.72494,8.72494,92.49181,2.07373,0.84266,0.01889,16.72065,0.02456,
1427.96452,8.96452,88.95161,1.97297,0.81040,0.01797,16.76395,0.02435,
1428.21452,9.21452,95.59433,1.98247,0.87093,0.01806,16.68510,0.02274,
1428.46452,9.46452,98.86155,1.97774,0.90071,0.01802,16.64687,0.02183,
1428.72114,9.72114,98.57319,2.03961,0.89806,0.01858,16.65141,0.02262,
1428.96451,9.96451,103.11368,1.95034,0.93942,0.01777,16.60086,0.02062,
1429.21451,10.21451,103.19417,1.96728,0.94016,0.01792,16.60148,0.02086,
1429.46450,10.46450,106.10194,1.96416,0.96667,0.01790,16.56997,0.02018,
1429.71450,10.71450,105.64627,1.96277,0.96250,0.01788,16.57617,0.02035,
1429.96449,10.96449,112.46929,1.98680,1.02469,0.01810,16.50707,0.01927,
1430.21449,11.21449,106.05862,1.95508,0.96628,0.01781,16.57000,0.02008,
1430.45407,11.45407,106.89549,2.03759,0.97388,0.01856,16.56282,0.02083,
1430.72490,11.72490,113.25867,2.05634,1.03187,0.01873,16.49998,0.01984,
1430.96448,11.96448,108.18141,1.98257,0.98561,0.01807,16.54921,0.02000,
1431.21447,12.21447,111.83588,1.96037,1.01890,0.01785,16.51297,0.01911,
1431.46447,12.46447,104.93093,1.96139,0.95598,0.01787,16.58271,0.02042,
1431.71446,12.71446,103.04629,1.95243,0.93882,0.01779,16.60302,0.02073,
1431.96446,12.96446,108.87007,1.94376,0.99187,0.01771,16.54148,0.01944,
1432.17278,13.17278,105.83882,2.36585,0.96426,0.02156,16.57443,0.02449,
