BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1410.93065,-9.71935,0.6619,4.1035,0.0075,0.0464,20.1418,,
1410.95148,-9.69852,2.7141,4.0850,0.0307,0.0462,20.1418,,
1411.01398,-9.63602,1.6123,4.0650,0.0182,0.0460,20.1418,,
1411.03482,-9.61518,-2.9793,4.0762,-0.0337,0.0461,20.1418,,
1411.05565,-9.59435,-5.9582,4.0593,-0.0674,0.0459,20.1418,,
1411.07648,-9.57352,3.0572,4.0691,0.0346,0.0460,20.1418,,
1411.09732,-9.55268,0.5348,4.0717,0.0060,0.0461,20.1418,,
1411.11815,-9.53185,4.5324,4.0527,0.0513,0.0458,19.9920,0.9708,
1411.13899,-9.51101,0.9585,4.0522,0.0108,0.0458,20.1418,,
1411.15982,-9.49018,10.1812,4.1120,0.1152,0.0465,19.1133,0.4385,
1411.18065,-9.46935,-3.7850,4.0970,-0.0428,0.0463,20.1418,,
1411.24316,-9.40684,-0.7933,4.0665,-0.0090,0.0460,20.1418,,
1411.26399,-9.38601,-3.5848,4.0844,-0.0405,0.0462,20.1418,,
1411.30566,-9.34434,3.6514,4.0613,0.0413,0.0459,20.1418,,
1411.32649,-9.32351,4.4874,4.0510,0.0508,0.0458,20.0028,0.9802,
1411.34732,-9.30268,1.6286,4.0573,0.0184,0.0459,20.1418,,
1411.36816,-9.28184,-3.8104,4.0684,-0.0431,0.0460,20.1418,,
1411.38899,-9.26101,-4.9729,3.9944,-0.0562,0.0452,20.1418,,
1411.40983,-9.24017,10.1665,3.9967,0.1150,0.0452,19.1149,0.4268,
1411.47233,-9.17767,-8.1882,4.0892,-0.0926,0.0463,20.1418,,
1411.49316,-9.15684,-1.3132,4.0865,-0.0149,0.0462,20.1418,,
1411.51399,-9.13601,4.7540,4.0822,0.0538,0.0462,19.9401,0.9323,
1411.53483,-9.11517,7.7702,4.0778,0.0879,0.0461,19.4067,0.5698,
1411.55566,-9.09434,3.9628,4.0967,0.0448,0.0463,20.1378,1.1224,
1411.57650,-9.07350,3.1110,4.0680,0.0352,0.0460,20.1418,,
1411.59733,-9.05267,8.3340,4.0707,0.0943,0.0460,19.3307,0.5303,
1411.61816,-9.03184,5.9149,4.0395,0.0669,0.0457,19.7029,0.7415,
1411.63900,-9.01100,-1.0375,4.0325,-0.0117,0.0456,20.1418,,
1411.65983,-8.99017,-2.0325,4.0352,-0.0230,0.0456,20.1418,,
1411.68067,-8.96933,0.6537,4.0401,0.0074,0.0457,20.1418,,
1411.70150,-8.94850,3.3972,4.0195,0.0384,0.0455,20.1418,,
1411.72233,-8.92767,5.8933,4.0381,0.0667,0.0457,19.7069,0.7439,
1411.74317,-8.90683,2.0830,4.0637,0.0236,0.0460,20.1418,,
1411.76400,-8.88600,1.6705,4.0723,0.0189,0.0461,20.1418,,
1411.78483,-8.86517,5.0401,4.0723,0.0570,0.0461,19.8767,0.8773,
1411.80567,-8.84433,0.0600,4.0696,0.0007,0.0460,20.1418,,
