BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1424.69124,4.04124,18.91993,1.16710,0.21400,0.01320,18.46270,0.07106,
1424.94219,4.29219,21.86834,1.21219,0.24735,0.01371,18.28773,0.06090,
1425.19958,4.54958,22.62811,1.27252,0.25595,0.01439,18.25965,0.06331,
1425.43083,4.78083,28.80274,1.21317,0.32578,0.01372,17.99694,0.04723,
1425.69125,5.04125,30.66093,1.16203,0.34681,0.01314,17.92618,0.04229,
1425.94125,5.29125,31.90048,1.16211,0.36083,0.01314,17.87932,0.04018,
1426.19125,5.54125,33.37868,1.16433,0.37754,0.01317,17.84335,0.03981,
1426.44126,5.79126,37.56728,1.17133,0.42493,0.01325,17.70326,0.03457,
1426.69126,6.04126,37.23088,1.17229,0.42112,0.01326,17.71570,0.03515,
1426.94126,6.29126,42.61618,1.18522,0.48203,0.01341,17.56467,0.03068,
1427.19126,6.54126,42.58398,1.17621,0.48168,0.01330,17.56423,0.03039,
1427.44126,6.79126,45.90133,1.18050,0.51921,0.01335,17.48082,0.02812,
1427.71210,7.06210,48.96698,1.28498,0.55386,0.01454,17.41217,0.02881,
1427.94126,7.29126,50.50874,1.17035,0.57131,0.01324,17.37782,0.02539,
1428.19126,7.54126,51.39205,1.17218,0.58131,0.01326,17.35716,0.02487,
1428.44127,7.79127,54.67498,1.17057,0.61842,0.01325,17.29063,0.02339,
1428.69600,8.04600,58.32288,1.23576,0.65970,0.01397,17.21899,0.02305,
1428.94127,8.29127,59.49153,1.18127,0.67293,0.01336,17.19834,0.02166,
1429.19127,8.54127,60.97113,1.17842,0.68966,0.01333,17.17191,0.02110,
1429.44127,8.79127,66.05028,1.17259,0.74710,0.01326,17.08461,0.01935,
1429.69127,9.04127,64.92077,1.17761,0.73432,0.01332,17.10448,0.01984,
1429.94127,9.29127,68.07905,1.18231,0.77005,0.01338,17.05173,0.01893,
1430.19127,9.54127,69.91545,1.18374,0.79082,0.01339,17.02326,0.01849,
1430.44127,9.79127,71.41210,1.18839,0.80777,0.01344,16.99965,0.01813,
1430.71210,10.06210,72.99082,1.29641,0.82561,0.01466,16.97737,0.01943,
1430.94127,10.29127,75.85063,1.17277,0.85794,0.01327,16.93396,0.01684,
1431.19127,10.54127,76.88945,1.17066,0.86971,0.01324,16.91888,0.01657,
1431.44127,10.79127,75.48942,1.17305,0.85388,0.01327,16.93963,0.01694,
1431.69127,11.04127,77.92412,1.16892,0.88142,0.01322,16.90538,0.01637,
1431.94127,11.29127,80.14056,1.16722,0.90649,0.01320,16.87482,0.01588,
1432.19127,11.54127,80.62570,1.16512,0.91196,0.01318,16.86717,0.01572,
1432.44127,11.79127,81.21172,1.17663,0.91862,0.01331,16.85936,0.01576,
1432.69127,12.04127,85.77579,1.17457,0.97022,0.01328,16.80013,0.01490,
1432.94127,12.29127,83.57924,1.17100,0.94537,0.01325,16.82837,0.01525,
1433.19127,12.54127,83.33498,1.17503,0.94262,0.01329,16.83200,0.01536,
1433.44127,12.79127,84.26277,1.17397,0.95312,0.01328,16.81967,0.01516,
1433.71210,13.06210,83.27138,1.28551,0.94189,0.01454,16.83201,0.01678,
1433.94126,13.29126,87.41263,1.17476,0.98874,0.01328,16.78008,0.01464,
1434.19126,13.54126,88.54311,1.17935,1.00153,0.01334,16.76536,0.01448,
1434.44126,13.79126,87.34389,1.17372,0.98796,0.01328,16.78098,0.01465,
1434.69126,14.04126,88.14626,1.17095,0.99703,0.01324,16.77047,0.01445,
1434.94126,14.29126,91.77222,1.17229,1.03804,0.01326,16.72643,0.01389,
1435.10792,14.45792,89.14245,2.04233,1.00828,0.02311,16.75830,0.02492,
