BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1410.93307,-12.09693,1.1420,4.9269,0.0323,0.1392,19.6450,,
1410.95390,-12.07610,-5.7351,4.9469,-0.1620,0.1397,19.6450,,
1411.01640,-12.01360,-2.9445,4.9155,-0.0832,0.1389,19.6450,,
1411.03723,-11.99277,-8.4320,4.9078,-0.2382,0.1386,19.6450,,
1411.05807,-11.97193,1.9586,4.8780,0.0553,0.1378,19.6450,,
1411.07890,-11.95110,-8.4676,4.9028,-0.2392,0.1385,19.6450,,
1411.09973,-11.93027,5.8731,4.9130,0.1659,0.1388,19.6450,,
1411.12057,-11.90943,-1.0468,4.9233,-0.0296,0.1391,19.6450,,
1411.14140,-11.88860,-2.8466,4.9103,-0.0804,0.1387,19.6450,,
1411.16223,-11.86777,6.3431,4.9362,0.1792,0.1394,19.6271,0.8449,
1411.18307,-11.84693,0.6256,4.9254,0.0177,0.1391,19.6450,,
1411.24557,-11.78443,-9.0286,4.9356,-0.2550,0.1394,19.6450,,
1411.26640,-11.76360,-3.4549,4.9114,-0.0976,0.1387,19.6450,,
1411.30807,-11.72193,-1.6949,4.8984,-0.0479,0.1384,19.6450,,
1411.32890,-11.70110,0.0003,4.8887,0.0000,0.1381,19.6450,,
1411.34973,-11.68027,-3.8891,4.8744,-0.1099,0.1377,19.6450,,
1411.37057,-11.65943,-5.6583,4.8736,-0.1598,0.1377,19.6450,,
1411.39140,-11.63860,2.3667,4.8295,0.0669,0.1364,19.6450,,
1411.41223,-11.61777,0.0541,4.9117,0.0015,0.1387,19.6450,,
1411.47473,-11.55527,6.5245,4.8760,0.1843,0.1377,19.5964,0.8114,
1411.49557,-11.53443,15.1356,4.8319,0.4275,0.1365,18.6828,0.3466,
1411.51640,-11.51360,13.8852,4.8829,0.3922,0.1379,18.7764,0.3818,
1411.53723,-11.49277,10.2281,4.8917,0.2889,0.1382,19.1083,0.5193,
1411.55807,-11.47193,8.9228,4.8187,0.2520,0.1361,19.2565,0.5863,
1411.57890,-11.45110,10.2976,4.8633,0.2909,0.1374,19.1010,0.5128,
1411.59973,-11.43027,9.9771,4.8781,0.2818,0.1378,19.1353,0.5308,
1411.62057,-11.40943,-1.6009,4.9552,-0.0452,0.1400,19.6450,,
1411.64140,-11.38860,1.2518,4.8788,0.0354,0.1378,19.6450,,
1411.66223,-11.36777,-0.4011,4.8659,-0.0113,0.1375,19.6450,,
1411.68307,-11.34693,-4.6557,4.8722,-0.1315,0.1376,19.6450,,
1411.70390,-11.32610,-13.2935,4.8614,-0.3755,0.1373,19.6450,,
1411.72473,-11.30527,-5.5793,4.9099,-0.1576,0.1387,19.6450,,
1411.74557,-11.28443,-3.9986,4.8855,-0.1130,0.1380,19.6450,,
1411.76640,-11.26360,-0.7757,4.9222,-0.0219,0.1390,19.6450,,
1411.78723,-11.24277,-0.9803,4.8625,-0.0277,0.1374,19.6450,,
1411.80807,-11.22193,0.1156,4.9984,0.0033,0.1412,19.6450,,
1411.82890,-11.20110,1.7343,4.9466,0.0490,0.1397,19.6450,,
1411.84973,-11.18027,0.1895,5.1073,0.0054,0.1443,19.6450,,
1411.87057,-11.15943,-2.3256,4.9432,-0.0657,0.1396,19.6450,,
1411.89140,-11.13860,0.6965,5.1072,0.0197,0.1443,19.6450,,
1411.91223,-11.11777,4.9313,5.0636,0.1393,0.1430,19.6450,,
1411.93307,-11.09693,-6.9776,5.0038,-0.1971,0.1413,19.6450,,
1411.95390,-11.07610,-6.4078,4.9699,-0.1810,0.1404,19.6450,,
1411.97473,-11.05527,13.5783,5.0258,0.3836,0.1420,18.8007,0.4019,
1411.99557,-11.03443,-5.5852,4.9883,-0.1578,0.1409,19.6450,,
1412.01640,-11.01360,-11.3153,5.0516,-0.3196,0.1427,19.6450,,
1412.03723,-10.99277,4.7554,5.0299,0.1343,0.1421,19.6450,,
1412.05807,-10.97193,-7.2191,5.0148,-0.2039,0.1417,19.6450,,
1412.07890,-10.95110,-3.1038,4.9309,-0.0877,0.1393,19.6450,,
1412.09973,-10.93027,2.5574,5.0724,0.0722,0.1433,19.6450,,
1412.12057,-10.90943,3.2122,5.2907,0.0907,0.1494,19.6450,,
1412.14140,-10.88860,-0.6524,5.1787,-0.0184,0.1463,19.6450,,
1412.16223,-10.86777,0.3104,5.3443,0.0088,0.1510,19.6450,,
1412.18307,-10.84693,-3.7483,5.1833,-0.1059,0.1464,19.6450,,
1412.20390,-10.82610,-3.9675,5.2242,-0.1121,0.1476,19.6450,,
1412.22473,-10.80527,0.8270,5.3330,0.0234,0.1506,19.6450,,
1412.24557,-10.78443,-1.3153,5.1981,-0.0372,0.1468,19.6450,,
1412.30807,-10.72193,0.9407,5.0622,0.0266,0.1430,19.6450,,
1412.32890,-10.70110,7.9697,5.2099,0.2251,0.1472,19.3792,0.7098,
1412.34973,-10.68027,-2.5000,5.0617,-0.0706,0.1430,19.6450,,
1412.37057,-10.65943,-1.1667,5.0830,-0.0330,0.1436,19.6450,,
1412.39140,-10.63860,7.3584,5.1568,0.2079,0.1457,19.4658,0.7609,
1412.41223,-10.61777,-0.1242,5.1892,-0.0035,0.1466,19.6450,,
1412.43307,-10.59693,-0.1678,5.0159,-0.0047,0.1417,19.6450,,
1412.45390,-10.57610,-0.3005,5.1448,-0.0085,0.1453,19.6450,,
1412.47473,-10.55527,-0.4806,4.9084,-0.0136,0.1387,19.6450,,
1412.49557,-10.53443,-4.3332,5.0049,-0.1224,0.1414,19.6450,,
1412.51640,-10.51360,0.6081,4.9043,0.0172,0.1385,19.6450,,
1412.53723,-10.49277,-5.0877,4.9022,-0.1437,0.1385,19.6450,,
1412.55807,-10.47193,-1.7739,4.9587,-0.0501,0.1401,19.6450,,
1412.57890,-10.45110,-6.8788,4.9539,-0.1943,0.1399,19.6450,,
1412.59973,-10.43027,-3.8778,4.8937,-0.1095,0.1382,19.6450,,
1412.62057,-10.40943,-3.0415,4.8939,-0.0859,0.1382,19.6450,,
1412.64140,-10.38860,3.5352,4.9157,0.0999,0.1389,19.6450,,
1412.66223,-10.36777,5.4804,4.9367,0.1548,0.1395,19.6450,,
1412.68307,-10.34693,7.1971,4.9395,0.2033,0.1395,19.4899,0.7452,
1412.70390,-10.32610,8.0648,5.1191,0.2278,0.1446,19.3663,0.6892,
1412.72473,-10.30527,6.9913,4.9844,0.1975,0.1408,19.5214,0.7741,
1412.74557,-10.28443,0.4287,4.9697,0.0121,0.1404,19.6450,,
1412.76640,-10.26360,-5.5940,5.0241,-0.1580,0.1419,19.6450,,
1412.78723,-10.24277,-0.6720,4.8863,-0.0190,0.1380,19.6450,,
1412.80806,-10.22194,-4.1138,4.8467,-0.1162,0.1369,19.6450,,
1412.82890,-10.20110,-2.8287,4.8828,-0.0799,0.1379,19.6450,,
1412.84973,-10.18027,-7.6071,4.9529,-0.2149,0.1399,19.6450,,
1412.87056,-10.15944,6.2650,4.8316,0.1770,0.1365,19.6405,0.8373,
1412.89140,-10.13860,3.1132,4.7667,0.0879,0.1346,19.6450,,
1412.91223,-10.11777,-0.3697,4.7757,-0.0104,0.1349,19.6450,,
1412.93306,-10.09694,2.2264,4.8146,0.0629,0.1360,19.6450,,
1412.95390,-10.07610,-3.3917,5.0819,-0.0958,0.1436,19.6450,,
1412.97473,-10.05527,6.8625,5.1154,0.1938,0.1445,19.5416,0.8093,
1412.99556,-10.03444,-3.6550,5.0791,-0.1032,0.1435,19.6450,,
1413.01640,-10.01360,-1.2179,5.0752,-0.0344,0.1434,19.6450,,
1413.03723,-9.99277,-5.1502,4.8699,-0.1455,0.1376,19.6450,,
1413.05806,-9.97194,-6.2033,4.7001,-0.1752,0.1328,19.6450,,
1413.07890,-9.95110,2.4550,4.8894,0.0693,0.1381,19.6450,,
1413.09973,-9.93027,3.0440,4.7716,0.0860,0.1348,19.6450,,
1413.12056,-9.90944,4.3922,4.8910,0.1241,0.1382,19.6450,,
1413.14140,-9.88860,5.6281,4.7815,0.1590,0.1351,19.6450,,
1413.16223,-9.86777,2.6087,4.8042,0.0737,0.1357,19.6450,,
1413.18306,-9.84694,4.3872,4.8407,0.1239,0.1367,19.6450,,
1413.20390,-9.82610,-10.2699,4.8039,-0.2901,0.1357,19.6450,,
1413.22473,-9.80527,-3.1501,4.7997,-0.0890,0.1356,19.6450,,
1413.30806,-9.72194,4.2737,5.2950,0.1207,0.1496,19.6450,,
1413.32890,-9.70110,0.8557,5.2660,0.0242,0.1488,19.6450,,
1413.34973,-9.68027,-0.0913,5.2019,-0.0026,0.1469,19.6450,,
1413.37056,-9.65944,-3.9342,5.2589,-0.1111,0.1486,19.6450,,
