BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1410.93324,-15.90676,-3.8758,5.0338,-0.2373,0.3082,21.0817,,
1410.95407,-15.88593,-5.6645,5.0241,-0.3468,0.3076,21.0817,,
1411.01658,-15.82342,0.2871,5.0155,0.0176,0.3071,21.0817,,
1411.03741,-15.80259,1.3836,5.0439,0.0847,0.3088,21.0817,,
1411.05824,-15.78176,-3.9918,5.0646,-0.2444,0.3101,21.0817,,
1411.07908,-15.76092,0.0030,5.0501,0.0002,0.3092,21.0817,,
1411.09991,-15.74009,-3.4894,5.0551,-0.2136,0.3095,21.0817,,
1411.12074,-15.71926,-4.9990,5.0505,-0.3061,0.3092,21.0817,,
1411.14158,-15.69842,5.7544,5.1034,0.3523,0.3124,19.7328,0.9629,
1411.16241,-15.67759,5.4179,5.0828,0.3317,0.3112,19.7982,1.0186,
1411.18324,-15.65676,7.2078,5.1031,0.4413,0.3124,19.4883,0.7687,
1411.20408,-15.63592,-3.6475,5.0977,-0.2233,0.3121,21.0817,,
1411.24574,-15.59426,2.7038,5.1139,0.1655,0.3131,20.5529,2.0535,
1411.26658,-15.57342,6.6329,5.1061,0.4061,0.3126,19.5786,0.8358,
1411.30825,-15.53175,-6.0300,5.0720,-0.3692,0.3105,21.0817,,
1411.32908,-15.51092,-0.7953,5.1039,-0.0487,0.3125,21.0817,,
1411.34991,-15.49009,-6.6101,5.0858,-0.4047,0.3114,21.0817,,
1411.37075,-15.46925,-3.0158,5.0930,-0.1846,0.3118,21.0817,,
1411.39158,-15.44842,-0.7625,5.0858,-0.0467,0.3114,21.0817,,
1411.47491,-15.36509,0.3775,5.1223,0.0231,0.3136,21.0817,,
1411.49575,-15.34425,-2.9406,5.1098,-0.1800,0.3128,21.0817,,
1411.51658,-15.32342,4.1786,5.1160,0.2558,0.3132,20.0802,1.3293,
1411.53741,-15.30259,-9.3513,5.1322,-0.5725,0.3142,21.0817,,
1411.55825,-15.28175,5.6828,5.1370,0.3479,0.3145,19.7464,0.9815,
1411.57908,-15.26092,2.1417,5.1395,0.1311,0.3147,20.8059,2.6054,
1411.59991,-15.24009,-0.9576,5.1508,-0.0586,0.3153,21.0817,,
1411.62075,-15.21925,-0.4187,5.1511,-0.0256,0.3154,21.0817,,
1411.64158,-15.19842,2.5631,5.1189,0.1569,0.3134,20.6109,2.1684,
1411.66242,-15.17758,5.1050,5.1135,0.3125,0.3131,19.8628,1.0875,
1411.68325,-15.15675,8.5357,5.1354,0.5226,0.3144,19.3047,0.6532,
1411.70408,-15.13592,-4.6736,5.1259,-0.2861,0.3138,21.0817,,
1411.72492,-15.11508,0.3261,5.1352,0.0200,0.3144,21.0817,,
1411.74575,-15.09425,-4.1008,5.1536,-0.2511,0.3155,21.0817,,
1411.76658,-15.07342,1.4005,5.1559,0.0857,0.3157,21.0817,,
1411.78742,-15.05258,6.1144,5.1714,0.3743,0.3166,19.6669,0.9183,
1411.80825,-15.03175,-8.5855,5.1744,-0.5256,0.3168,21.0817,,
1411.82908,-15.01092,-2.0310,5.1766,-0.1243,0.3169,21.0817,,
1411.84992,-14.99008,0.5941,5.1616,0.0364,0.3160,21.0817,,
1411.87075,-14.96925,-0.6896,5.1504,-0.0422,0.3153,21.0817,,
1411.89158,-14.94842,1.5163,5.1506,0.0928,0.3153,21.0817,,
1411.91242,-14.92758,3.5069,5.1301,0.2147,0.3141,20.2705,1.5883,
1411.93325,-14.90675,-7.0941,5.1153,-0.4343,0.3132,21.0817,,
1411.95408,-14.88592,1.7918,5.1675,0.1097,0.3164,20.9996,3.1313,
1411.97492,-14.86508,5.9822,5.1342,0.3662,0.3143,19.6906,0.9318,
1411.99575,-14.84425,-0.8776,5.1473,-0.0537,0.3151,21.0817,,
1412.01659,-14.82341,-7.1326,5.1377,-0.4367,0.3145,21.0817,,
1412.03742,-14.80258,-5.4656,5.1192,-0.3346,0.3134,21.0817,,
1412.05825,-14.78175,1.4256,5.0814,0.0873,0.3111,21.0817,,
1412.07909,-14.76091,6.5575,5.0812,0.4015,0.3111,19.5910,0.8413,
1412.09992,-14.74008,-2.5493,5.0905,-0.1561,0.3117,21.0817,,
1412.12075,-14.71925,2.5450,5.0858,0.1558,0.3114,20.6186,2.1697,
