BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1438.01599,-1.28401,12.1367,7.1576,1.0283,0.6064,18.9225,0.6403,
1438.03682,-1.26318,2.4845,7.0160,0.2105,0.5944,19.7281,,
1438.05766,-1.24234,10.2413,6.8462,0.8677,0.5801,19.1069,0.7258,
1438.07849,-1.22151,5.1735,6.0907,0.4383,0.5160,19.7281,,
1438.09932,-1.20068,7.3169,5.9449,0.6199,0.5037,19.4720,0.8822,
1438.12016,-1.17984,-3.0688,5.9292,-0.2600,0.5024,19.7281,,
1438.14099,-1.15901,4.6988,6.1637,0.3981,0.5222,19.7281,,
1438.16183,-1.13817,5.4038,5.8100,0.4578,0.4923,19.7281,,
1438.18266,-1.11734,-6.8023,5.7734,-0.5763,0.4892,19.7281,,
1438.20349,-1.09651,-3.6559,5.6395,-0.3098,0.4778,19.7281,,
1438.22433,-1.07567,7.3390,5.8443,0.6218,0.4952,19.4687,0.8646,
1438.28683,-1.01317,4.2349,5.4599,0.3588,0.4626,19.7281,,
1438.30766,-0.99234,9.6958,5.3458,0.8215,0.4529,19.1663,0.5986,
1438.32850,-0.97150,5.0136,5.5238,0.4248,0.4680,19.7281,,
1438.34933,-0.95067,5.3201,5.4284,0.4508,0.4599,19.7281,,
1438.37016,-0.92984,6.1793,5.2181,0.5236,0.4421,19.6555,0.9169,
1438.39100,-0.90900,-1.9762,5.2334,-0.1674,0.4434,19.7281,,
1438.41183,-0.88817,-2.2352,5.0715,-0.1894,0.4297,19.7281,,
1438.43267,-0.86733,-1.7370,4.9735,-0.1472,0.4214,19.7281,,
1438.45350,-0.84650,3.1306,4.9847,0.2652,0.4223,19.7281,,
1438.47433,-0.82567,-6.1117,4.9765,-0.5178,0.4216,19.7281,,
1438.51600,-0.78400,-2.7836,5.0437,-0.2358,0.4273,19.7281,,
1438.53683,-0.76317,-2.2580,5.0280,-0.1913,0.4260,19.7281,,
1438.55767,-0.74233,-4.2178,4.9890,-0.3574,0.4227,19.7281,,
1438.57850,-0.72150,-0.8688,5.1964,-0.0736,0.4403,19.7281,,
1438.59934,-0.70066,-0.3804,4.9682,-0.0322,0.4209,19.7281,,
1438.64100,-0.65900,0.5209,4.8861,0.0441,0.4140,19.7281,,
1438.66184,-0.63816,1.0303,4.9741,0.0873,0.4214,19.7281,,
1438.68267,-0.61733,-7.8507,4.9448,-0.6652,0.4190,19.7281,,
1438.70350,-0.59650,-7.5122,5.0496,-0.6365,0.4278,19.7281,,
1438.72434,-0.57566,-9.5719,5.0384,-0.8110,0.4269,19.7281,,
1438.74517,-0.55483,1.5674,5.0805,0.1328,0.4305,19.7281,,
1438.78684,-0.51316,0.7239,5.1321,0.0613,0.4348,19.7281,,
1438.80767,-0.49233,-0.6362,5.2481,-0.0539,0.4447,19.7281,,
1438.82851,-0.47149,-2.3346,5.0973,-0.1978,0.4319,19.7281,,
1438.87017,-0.42983,0.4083,5.0589,0.0346,0.4286,19.7281,,
1438.91184,-0.38816,-3.0455,5.1449,-0.2580,0.4359,19.7281,,
1438.93268,-0.36732,2.8152,5.0056,0.2385,0.4241,19.7281,,
1438.97434,-0.32566,0.0978,5.1006,0.0083,0.4322,19.7281,,
1438.99518,-0.30482,5.9239,5.1393,0.5019,0.4354,19.7013,0.9419,
1439.01601,-0.28399,3.0646,5.1664,0.2597,0.4377,19.7281,,
1439.03685,-0.26315,1.1534,5.1364,0.0977,0.4352,19.7281,,
1439.05768,-0.24232,2.1622,5.1263,0.1832,0.4343,19.7281,,
1439.07851,-0.22149,-7.6558,5.0860,-0.6487,0.4309,19.7281,,
1439.09935,-0.20065,-6.3800,5.0366,-0.5406,0.4267,19.7281,,
1439.12018,-0.17982,-3.5031,5.1728,-0.2968,0.4383,19.7281,,
1439.14101,-0.15899,-4.6838,5.0444,-0.3968,0.4274,19.7281,,
1439.16185,-0.13815,4.5141,4.9973,0.3825,0.4234,19.7281,,
1439.18268,-0.11732,-1.9675,5.0110,-0.1667,0.4246,19.7281,,
1439.20351,-0.09649,-2.1424,5.0956,-0.1815,0.4317,19.7281,,
1439.22435,-0.07565,-4.7858,5.0917,-0.4055,0.4314,19.7281,,
1439.24518,-0.05482,-3.9157,5.0599,-0.3318,0.4287,19.7281,,
1439.26602,-0.03398,4.4289,4.9798,0.3752,0.4219,19.7281,,
1439.28685,-0.01315,-4.1620,4.9944,-0.3526,0.4232,19.7281,,
1439.30768,0.00768,0.6381,4.9918,0.0541,0.4229,19.7281,,
1439.32852,0.02852,-5.0392,4.9399,-0.4270,0.4185,19.7281,,
1439.34935,0.04935,-0.1730,4.9303,-0.0147,0.4177,19.7281,,
1439.37019,0.07019,2.2435,4.9587,0.1901,0.4201,19.7281,,
1439.39102,0.09102,2.0605,5.0109,0.1746,0.4246,19.7281,,
1439.41185,0.11185,-2.0070,4.9958,-0.1700,0.4233,19.7281,,
1439.43269,0.13269,4.2225,5.0334,0.3578,0.4265,19.7281,,
1439.45352,0.15352,5.7775,4.9552,0.4895,0.4198,19.7281,,
1439.47435,0.17435,2.7025,5.0283,0.2290,0.4260,19.7281,,
1439.49519,0.19519,2.6874,4.9294,0.2277,0.4177,19.7281,,
1439.53686,0.23686,-3.0508,4.9288,-0.2585,0.4176,19.7281,,
1439.55769,0.25769,-2.0171,5.0180,-0.1709,0.4252,19.7281,,
1439.57852,0.27852,1.0482,4.9583,0.0888,0.4201,19.7281,,
1439.59936,0.29936,4.4087,5.0427,0.3735,0.4273,19.7281,,
1439.62019,0.32019,-2.8626,5.0346,-0.2425,0.4266,19.7281,,
1439.64102,0.34102,-12.3084,5.0083,-1.0429,0.4243,19.7281,,
1439.66186,0.36186,3.5330,5.0482,0.2993,0.4277,19.7281,,
1439.68269,0.38269,-5.8617,5.0292,-0.4966,0.4261,19.7281,,
1439.70352,0.40352,4.3460,4.9922,0.3682,0.4230,19.7281,,
1439.72436,0.42436,3.0486,5.0393,0.2583,0.4270,19.7281,,
1439.74519,0.44519,0.0589,4.9994,0.0050,0.4236,19.7281,,
1439.76603,0.46603,-0.8382,5.0621,-0.0710,0.4289,19.7281,,
1439.78686,0.48686,0.9126,5.0798,0.0773,0.4304,19.7281,,
1439.80769,0.50769,-3.9841,5.1207,-0.3376,0.4339,19.7281,,
1439.82853,0.52853,-2.1831,5.0574,-0.1850,0.4285,19.7281,,
1439.84936,0.54936,2.8800,5.0275,0.2440,0.4260,19.7281,,
1439.87019,0.57019,-9.8196,5.0159,-0.8320,0.4250,19.7281,,
1439.89103,0.59103,7.6633,5.0071,0.6493,0.4242,19.4218,0.7094,
1439.91186,0.61186,-1.3772,5.1918,-0.1167,0.4399,19.7281,,
1439.93270,0.63270,-0.4946,4.9854,-0.0419,0.4224,19.7281,,
1439.95353,0.65353,-1.4562,5.0053,-0.1234,0.4241,19.7281,,
1439.97436,0.67436,3.8317,4.9619,0.3247,0.4204,19.7281,,
1439.99520,0.69520,-0.8431,5.1112,-0.0714,0.4331,19.7281,,
1440.01603,0.71603,7.1740,5.1446,0.6078,0.4359,19.4934,0.7786,
1440.03686,0.73686,-6.8840,5.1010,-0.5833,0.4322,19.7281,,
1440.05770,0.75770,11.7018,5.0854,0.9915,0.4309,18.9622,0.4718,
1440.07853,0.77853,10.7848,5.1813,0.9138,0.4390,19.0508,0.5216,
1440.09936,0.79936,0.4729,5.1479,0.0401,0.4362,19.7281,,
1440.12020,0.82020,4.2565,5.1398,0.3606,0.4355,19.7281,,
1440.14103,0.84103,2.0728,5.0776,0.1756,0.4302,19.7281,,
1440.16187,0.86187,4.0609,5.0092,0.3441,0.4244,19.7281,,
1440.18270,0.88270,0.5360,4.9357,0.0454,0.4182,19.7281,,
1440.20353,0.90353,0.5062,4.9856,0.0429,0.4224,19.7281,,
1440.22437,0.92437,-1.7588,5.0426,-0.1490,0.4272,19.7281,,
1440.24520,0.94520,2.1571,5.1410,0.1828,0.4356,19.7281,,
1440.26603,0.96603,8.0496,5.1054,0.6820,0.4326,19.3684,0.6886,
1440.28687,0.98687,-0.5387,5.0662,-0.0456,0.4292,19.7281,,
1440.30770,1.00770,-4.0096,5.1031,-0.3397,0.4324,19.7281,,
1440.32854,1.02854,10.0295,5.0318,0.8498,0.4263,19.1296,0.5447,
1440.34937,1.04937,-3.8702,5.1002,-0.3279,0.4321,19.7281,,
1440.37020,1.07020,2.7910,5.0712,0.2365,0.4297,19.7281,,
1440.39104,1.09104,1.3253,5.0971,0.1123,0.4319,19.7281,,
1440.41187,1.11187,0.9165,5.1059,0.0777,0.4326,19.7281,,
1440.43270,1.13270,3.1094,5.0881,0.2634,0.4311,19.7281,,
1440.45354,1.15354,-2.5310,5.0271,-0.2144,0.4259,19.7281,,
1440.47437,1.17437,4.3229,5.0287,0.3663,0.4261,19.7281,,
1440.49520,1.19520,11.8960,5.0385,1.0079,0.4269,18.9443,0.4599,
1440.51604,1.21604,-2.5519,5.0633,-0.2162,0.4290,19.7281,,
1440.53687,1.23687,1.5216,5.0265,0.1289,0.4259,19.7281,,
1440.55771,1.25771,-1.1093,5.0810,-0.0940,0.4305,19.7281,,
1440.57854,1.27854,3.8637,5.0409,0.3274,0.4271,19.7281,,
1440.59937,1.29937,3.0168,5.0355,0.2556,0.4266,19.7281,,
1440.62021,1.32021,-4.0432,4.9961,-0.3426,0.4233,19.7281,,
1440.64104,1.34104,-7.7074,5.0393,-0.6530,0.4270,19.7281,,
1440.66187,1.36187,-1.2582,5.0157,-0.1066,0.4250,19.7281,,
1440.68271,1.38271,0.4079,4.9772,0.0346,0.4217,19.7281,,
1440.70354,1.40354,3.0681,5.0573,0.2599,0.4285,19.7281,,
1440.72437,1.42437,-0.7498,5.0568,-0.0635,0.4284,19.7281,,
1440.74521,1.44521,2.6927,5.1319,0.2281,0.4348,19.7281,,
1440.76604,1.46604,3.6558,5.1845,0.3097,0.4393,19.7281,,
1440.78688,1.48688,1.2609,5.1322,0.1068,0.4348,19.7281,,
1440.80771,1.50771,3.0292,5.1219,0.2567,0.4340,19.7281,,
1440.82854,1.52854,0.9886,5.0684,0.0838,0.4294,19.7281,,
1440.84938,1.54938,1.9998,5.1271,0.1694,0.4344,19.7281,,
1440.87021,1.57021,0.2217,5.0973,0.0188,0.4319,19.7281,,
1440.89104,1.59104,-1.7233,5.0655,-0.1460,0.4292,19.7281,,
1440.91188,1.61188,4.5815,5.0950,0.3882,0.4317,19.7281,,
1440.93271,1.63271,-1.9631,5.1309,-0.1663,0.4347,19.7281,,
1440.95354,1.65354,-4.1443,5.1662,-0.3511,0.4377,19.7281,,
1440.97438,1.67438,10.0795,5.1469,0.8540,0.4361,19.1242,0.5544,
1440.99521,1.69521,3.1104,5.1497,0.2635,0.4363,19.7281,,
1441.70356,2.40356,-4.8345,5.1089,-0.4096,0.4329,19.7281,,
1441.72439,2.42439,-1.5313,5.1508,-0.1297,0.4364,19.7281,,
1441.74522,2.44522,2.5034,5.1825,0.2121,0.4391,19.7281,,
1441.76606,2.46606,9.3274,5.1669,0.7903,0.4378,19.2084,0.6014,
1441.82856,2.52856,0.2928,5.1719,0.0248,0.4382,19.7281,,
1441.84939,2.54939,1.1337,5.2248,0.0961,0.4427,19.7281,,
1441.87022,2.57022,-3.7466,5.1768,-0.3174,0.4386,19.7281,,
1441.89106,2.59106,4.1924,5.2971,0.3552,0.4488,19.7281,,
1441.91189,2.61189,6.2761,5.1765,0.5318,0.4386,19.6386,0.8955,
1441.93272,2.63272,10.0273,5.1731,0.8496,0.4383,19.1298,0.5601,
1441.95356,2.65356,3.1599,5.2029,0.2677,0.4408,19.7281,,
1441.97439,2.67439,5.0503,5.1859,0.4279,0.4394,19.7281,,
1441.99522,2.69522,-0.7714,5.0321,-0.0654,0.4264,19.7281,,
1442.01606,2.71606,-1.0399,5.0637,-0.0881,0.4290,19.7281,,
1442.03689,2.73689,-2.8816,5.1792,-0.2441,0.4388,19.7281,,
1442.05773,2.75773,3.3961,5.1645,0.2877,0.4376,19.7281,,
1442.07856,2.77856,2.3579,5.2074,0.1998,0.4412,19.7281,,
1442.09939,2.79939,5.6322,5.2686,0.4772,0.4464,19.7281,,
1442.12023,2.82023,-9.6083,5.1592,-0.8141,0.4371,19.7281,,
1442.14106,2.84106,6.7253,5.1977,0.5698,0.4404,19.5635,0.8391,
1442.16189,2.86189,5.6268,5.2222,0.4767,0.4425,19.7281,,
1442.18273,2.88273,8.9674,5.2094,0.7598,0.4414,19.2511,0.6307,
1442.20356,2.90356,5.7027,5.1396,0.4832,0.4355,19.7281,,
1442.22439,2.92439,4.7707,5.1505,0.4042,0.4364,19.7281,,
1442.24523,2.94523,0.1573,5.2678,0.0133,0.4463,19.7281,,
1442.26606,2.96606,4.1017,5.2400,0.3475,0.4440,19.7281,,
1442.28690,2.98690,-1.7637,5.2633,-0.1494,0.4459,19.7281,,
1442.30773,3.00773,12.7238,5.2423,1.0780,0.4442,18.8713,0.4473,
1442.32856,3.02856,2.6711,5.2079,0.2263,0.4412,19.7281,,
1442.34940,3.04940,11.5817,5.2234,0.9813,0.4426,18.9734,0.4897,
1442.37023,3.07023,4.5736,5.2262,0.3875,0.4428,19.7281,,
1442.39106,3.09106,-1.0637,5.2431,-0.0901,0.4442,19.7281,,
1442.41190,3.11190,1.1842,5.2413,0.1003,0.4441,19.7281,,
1442.43273,3.13273,1.4749,5.2042,0.1250,0.4409,19.7281,,
1442.45356,3.15356,7.6656,5.1729,0.6495,0.4383,19.4214,0.7327,
1442.47440,3.17440,7.6154,5.1304,0.6452,0.4347,19.4286,0.7315,
1442.49523,3.19523,-2.0161,5.1244,-0.1708,0.4342,19.7281,,
1442.51606,3.21606,7.6334,5.1867,0.6468,0.4395,19.4260,0.7377,
1442.53690,3.23690,8.7213,5.0958,0.7389,0.4318,19.2813,0.6344,
1442.55773,3.25773,10.5330,5.0625,0.8924,0.4289,19.0764,0.5218,
1442.57857,3.27857,7.1873,4.9877,0.6090,0.4226,19.4914,0.7535,
1442.59940,3.29940,10.4389,5.0478,0.8845,0.4277,19.0862,0.5250,
1442.62023,3.32023,2.3918,4.9541,0.2026,0.4197,19.7281,,
1442.64107,3.34107,8.4611,5.1110,0.7169,0.4330,19.3142,0.6559,
1442.66190,3.36190,9.3715,5.0908,0.7940,0.4313,19.2033,0.5898,
1442.68273,3.38273,-0.3904,5.1486,-0.0331,0.4362,19.7281,,
1442.70357,3.40357,5.1001,4.9835,0.4321,0.4222,19.7281,,
1442.72440,3.42440,-0.4955,5.1145,-0.0420,0.4333,19.7281,,
1442.74523,3.44523,5.1452,5.0922,0.4359,0.4314,19.7281,,
1442.76607,3.46607,6.0258,5.2506,0.5105,0.4449,19.6828,0.9461,
1442.78690,3.48690,11.8765,5.2636,1.0063,0.4460,18.9461,0.4812,
1442.80773,3.50773,8.2754,5.1904,0.7012,0.4398,19.3383,0.6810,
1442.82857,3.52857,0.0759,5.1258,0.0064,0.4343,19.7281,,
1442.84940,3.54940,12.3376,5.1305,1.0453,0.4347,18.9047,0.4515,
1442.87023,3.57023,6.5890,5.1314,0.5583,0.4348,19.5858,0.8456,
1442.89107,3.59107,-0.5430,5.0697,-0.0460,0.4295,19.7281,,
1442.91190,3.61190,7.0231,5.0519,0.5950,0.4280,19.5165,0.7810,
1442.93274,3.63274,6.3613,5.1130,0.5390,0.4332,19.6239,0.8727,
1442.95357,3.65357,-0.2149,5.0881,-0.0182,0.4311,19.7281,,
1442.97440,3.67440,10.0693,5.1163,0.8531,0.4335,19.1253,0.5517,
1442.99524,3.69524,0.9736,5.0983,0.0825,0.4320,19.7281,,
1443.01607,3.71607,-3.2079,5.1834,-0.2718,0.4392,19.7281,,
1443.03690,3.73690,2.4848,5.1607,0.2105,0.4373,19.7281,,
1443.05774,3.75774,4.9257,5.1626,0.4173,0.4374,19.7281,,
1443.07857,3.77857,4.5229,5.2033,0.3832,0.4409,19.7281,,
1443.09940,3.79940,3.1879,5.2353,0.2701,0.4436,19.7281,,
1443.12024,3.82024,2.3172,5.1658,0.1963,0.4377,19.7281,,
1443.14107,3.84107,6.2871,5.1982,0.5327,0.4404,19.6367,0.8977,
1443.16190,3.86190,4.0852,5.2394,0.3461,0.4439,19.7281,,
1443.18274,3.88274,3.7982,5.2128,0.3218,0.4417,19.7281,,
1443.20357,3.90357,4.8295,5.1956,0.4092,0.4402,19.7281,,
1443.22440,3.92440,8.2722,5.1914,0.7009,0.4398,19.3388,0.6814,
1443.24524,3.94524,6.7350,5.1486,0.5706,0.4362,19.5620,0.8300,
1443.26607,3.96607,8.4378,5.1604,0.7149,0.4372,19.3172,0.6640,
1443.28691,3.98691,-2.4946,5.1703,-0.2114,0.4381,19.7281,,
1443.30774,4.00774,8.4189,5.2357,0.7133,0.4436,19.3197,0.6752,
1443.32857,4.02857,-2.4687,5.1310,-0.2092,0.4347,19.7281,,
1443.34941,4.04941,5.6075,5.1089,0.4751,0.4329,19.7281,,
1443.37024,4.07024,5.5465,5.1956,0.4699,0.4402,19.7281,,
1443.39107,4.09107,5.3631,5.1390,0.4544,0.4354,19.7281,,
1443.41191,4.11191,3.5432,5.1147,0.3002,0.4334,19.7281,,
1443.43274,4.13274,8.1706,5.1046,0.6923,0.4325,19.3522,0.6783,
1443.45357,4.15357,5.1056,5.0985,0.4326,0.4320,19.7281,,
1443.47441,4.17441,2.6302,5.2149,0.2228,0.4418,19.7281,,
1443.49524,4.19524,10.6765,5.1872,0.9046,0.4395,19.0617,0.5275,
1443.51607,4.21607,4.9204,5.0959,0.4169,0.4318,19.7281,,
1443.53691,4.23691,10.8983,5.0874,0.9234,0.4310,19.0394,0.5068,
1443.55774,4.25774,14.5739,5.1720,1.2348,0.4382,18.7239,0.3853,
1443.57857,4.27857,5.2937,5.1785,0.4485,0.4388,19.7281,,
1443.59941,4.29941,5.4832,5.2889,0.4646,0.4481,19.7281,,
1443.62024,4.32024,7.1441,5.1446,0.6053,0.4359,19.4979,0.7819,
1443.64107,4.34107,5.8705,5.2315,0.4974,0.4432,19.7111,0.9675,
1443.66191,4.36191,4.9264,5.2409,0.4174,0.4440,19.7281,,
1443.68274,4.38274,10.3225,5.2712,0.8746,0.4466,19.0983,0.5544,
1443.70358,4.40358,10.0467,5.2432,0.8512,0.4442,19.1277,0.5666,
1443.72441,4.42441,9.5038,5.1984,0.8052,0.4404,19.1881,0.5939,
1443.74524,4.44524,9.4450,5.1409,0.8002,0.4356,19.1948,0.5910,
1443.76608,4.46608,0.9886,5.0558,0.0838,0.4284,19.7281,,
1443.78691,4.48691,0.6968,5.0525,0.0590,0.4281,19.7281,,
1443.80774,4.50774,2.1000,5.2318,0.1779,0.4433,19.7281,,
1443.82858,4.52858,10.1223,5.1009,0.8576,0.4322,19.1196,0.5471,
1443.84941,4.54941,9.1828,4.9281,0.7780,0.4175,19.2254,0.5827,
1443.87024,4.57024,11.5216,5.1114,0.9762,0.4331,18.9790,0.4817,
1443.89108,4.59108,10.9961,5.1491,0.9317,0.4363,19.0297,0.5084,
