BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1438.43243,-2.32757,0.8187,3.7741,0.0236,0.1087,20.5863,,
1438.45326,-2.30674,-6.0025,3.7708,-0.1729,0.1086,20.5863,,
1438.47410,-2.28590,-4.1468,3.7631,-0.1195,0.1084,20.5863,,
1438.51576,-2.24424,1.1953,3.8457,0.0344,0.1108,20.5863,,
1438.53660,-2.22340,3.8488,3.8442,0.1109,0.1108,20.1695,1.0844,
1438.55743,-2.20257,-10.1717,3.7382,-0.2931,0.1077,20.5863,,
1438.57827,-2.18173,-4.5750,3.7620,-0.1318,0.1084,20.5863,,
1438.59910,-2.16090,2.6098,3.7565,0.0752,0.1082,20.5863,,
1438.64077,-2.11923,4.2692,3.8088,0.1230,0.1097,20.0569,0.9686,
1438.66160,-2.09840,-1.4465,3.9465,-0.0417,0.1137,20.5863,,
1438.68244,-2.07756,-2.0667,3.8280,-0.0595,0.1103,20.5863,,
1438.70327,-2.05673,-0.6415,3.7818,-0.0185,0.1090,20.5863,,
1438.72410,-2.03590,0.6964,3.7784,0.0201,0.1089,20.5863,,
1438.74494,-2.01506,-2.1797,3.7564,-0.0628,0.1082,20.5863,,
1438.78661,-1.97339,1.8873,3.7438,0.0544,0.1079,20.5863,,
1438.80744,-1.95256,3.5429,3.7467,0.1021,0.1079,20.2594,1.1482,
1438.82827,-1.93173,5.7467,3.7799,0.1656,0.1089,19.7343,0.7142,
1438.86994,-1.89006,6.9146,3.7685,0.1992,0.1086,19.5334,0.5917,
1438.91161,-1.84839,-2.3550,3.7396,-0.0679,0.1077,20.5863,,
1438.93245,-1.82755,4.0430,3.7750,0.1165,0.1088,20.1160,1.0138,
1438.97411,-1.78589,-0.0017,3.7811,-0.0000,0.1089,20.5863,,
1438.99495,-1.76505,9.7454,3.7592,0.2808,0.1083,19.1608,0.4188,
1439.01578,-1.74422,-2.8203,3.7864,-0.0813,0.1091,20.5863,,
1439.03662,-1.72338,-3.5922,3.7589,-0.1035,0.1083,20.5863,,
1439.05745,-1.70255,5.4864,3.7862,0.1581,0.1091,19.7846,0.7493,
1439.07828,-1.68172,-2.5111,3.7813,-0.0723,0.1089,20.5863,,
1439.09912,-1.66088,6.8062,3.7854,0.1961,0.1091,19.5505,0.6039,
1439.11995,-1.64005,-2.8423,3.7788,-0.0819,0.1089,20.5863,,
1439.14079,-1.61921,1.6464,3.9562,0.0474,0.1140,20.5863,,
1439.16162,-1.59838,-1.6162,3.7981,-0.0466,0.1094,20.5863,,
1439.18245,-1.57755,1.1581,3.7802,0.0334,0.1089,20.5863,,
1439.20329,-1.55671,-5.9707,3.8062,-0.1720,0.1097,20.5863,,
1439.22412,-1.53588,-3.9470,3.8289,-0.1137,0.1103,20.5863,,
1439.24496,-1.51504,4.1375,3.8125,0.1192,0.1098,20.0910,1.0004,
1439.26579,-1.49421,0.8534,3.8305,0.0246,0.1104,20.5863,,
1439.28663,-1.47337,-0.9609,3.7981,-0.0277,0.1094,20.5863,,
1439.30746,-1.45254,4.8218,3.6934,0.1389,0.1064,19.9248,0.8317,
1439.32829,-1.43171,3.4320,3.8110,0.0989,0.1098,20.2939,1.2057,
1439.34913,-1.41087,-2.5689,3.8250,-0.0740,0.1102,20.5863,,
1439.36996,-1.39004,2.2739,3.8270,0.0655,0.1103,20.5863,,
1439.39080,-1.36920,1.5105,3.8474,0.0435,0.1108,20.5863,,
1439.41163,-1.34837,-2.4359,3.8230,-0.0702,0.1101,20.5863,,
1439.43246,-1.32754,6.9264,3.8219,0.1996,0.1101,19.5315,0.5991,
1439.45330,-1.30670,5.5790,3.7639,0.1607,0.1084,19.7664,0.7325,
1439.47413,-1.28587,-13.6899,3.6835,-0.3944,0.1061,20.5863,,
1439.49497,-1.26503,-6.8585,4.0276,-0.1976,0.1160,20.5863,,
1439.53663,-1.22337,-3.1144,3.8529,-0.0897,0.1110,20.5863,,
1439.55747,-1.20253,-1.8301,3.8474,-0.0527,0.1108,20.5863,,
1439.57830,-1.18170,1.4593,3.8486,0.0420,0.1109,20.5863,,
1439.59914,-1.16086,0.9151,3.8367,0.0264,0.1105,20.5863,,
1439.61997,-1.14003,2.3038,3.7536,0.0664,0.1081,20.5863,,
1439.64080,-1.11920,-2.5769,3.7849,-0.0742,0.1090,20.5863,,
1439.66164,-1.09836,-8.5072,3.9155,-0.2451,0.1128,20.5863,,
1439.68247,-1.07753,-1.2778,3.8233,-0.0368,0.1102,20.5863,,
1439.70331,-1.05669,6.2951,3.7915,0.1814,0.1092,19.6353,0.6539,
1439.72414,-1.03586,-1.1881,3.7818,-0.0342,0.1090,20.5863,,
1439.74498,-1.01502,3.8361,3.7545,0.1105,0.1082,20.1731,1.0626,
1439.76581,-0.99419,1.3248,3.8209,0.0382,0.1101,20.5863,,
1439.78664,-0.97336,1.2871,3.7568,0.0371,0.1082,20.5863,,
1439.80748,-0.95252,-3.2373,4.0171,-0.0933,0.1157,20.5863,,
1439.82831,-0.93169,5.2476,3.8029,0.1512,0.1096,19.8329,0.7868,
1439.84915,-0.91085,1.6222,3.8496,0.0467,0.1109,20.5863,,
1439.86998,-0.89002,-5.1664,3.8218,-0.1489,0.1101,20.5863,,
1439.89081,-0.86919,6.0932,3.8304,0.1756,0.1104,19.6707,0.6825,
1439.91165,-0.84835,-1.6370,3.8498,-0.0472,0.1109,20.5863,,
1439.93248,-0.82752,-0.3960,3.8077,-0.0114,0.1097,20.5863,,
1439.95332,-0.80668,-6.0587,3.7196,-0.1746,0.1072,20.5863,,
1439.97415,-0.78585,10.0765,3.8117,0.2903,0.1098,19.1245,0.4107,
1439.99498,-0.76502,-1.0734,3.8380,-0.0309,0.1106,20.5863,,
1440.01582,-0.74418,-4.7007,3.8085,-0.1354,0.1097,20.5863,,
1440.03665,-0.72335,-1.4678,3.8200,-0.0423,0.1101,20.5863,,
1440.05749,-0.70251,-0.8445,3.8322,-0.0243,0.1104,20.5863,,
1440.07832,-0.68168,0.3490,3.7848,0.0101,0.1090,20.5863,,
1440.09915,-0.66085,-8.7306,3.7825,-0.2515,0.1090,20.5863,,
1440.11999,-0.64001,1.4931,3.7914,0.0430,0.1092,20.5863,,
1440.14082,-0.61918,0.0003,3.8332,0.0000,0.1104,20.5863,,
1440.16166,-0.59834,8.7215,3.8483,0.2513,0.1109,19.2813,0.4791,
1440.18249,-0.57751,3.7330,3.8442,0.1076,0.1108,20.2027,1.1181,
1440.20332,-0.55668,4.0878,3.8288,0.1178,0.1103,20.1041,1.0169,
1440.22416,-0.53584,-3.4656,3.8243,-0.0998,0.1102,20.5863,,
1440.24499,-0.51501,-5.9809,3.8318,-0.1723,0.1104,20.5863,,
1440.26583,-0.49417,-4.3408,3.8168,-0.1251,0.1100,20.5863,,
1440.28666,-0.47334,-1.0472,3.8267,-0.0302,0.1103,20.5863,,
1440.30749,-0.45251,-1.5187,3.7489,-0.0438,0.1080,20.5863,,
1440.32833,-0.43167,5.3949,3.7863,0.1554,0.1091,19.8028,0.7620,
1440.34916,-0.41084,-3.0403,3.7957,-0.0876,0.1094,20.5863,,
1440.37000,-0.39000,4.3118,3.7485,0.1242,0.1080,20.0462,0.9439,
1440.39083,-0.36917,7.8390,3.7845,0.2259,0.1090,19.3972,0.5242,
1440.41166,-0.34834,10.7725,3.8188,0.3104,0.1100,19.0520,0.3849,
1440.43250,-0.32750,-1.5771,3.7972,-0.0454,0.1094,20.5863,,
1440.45333,-0.30667,0.1280,3.8016,0.0037,0.1095,20.5863,,
1440.47417,-0.28583,-4.4245,3.7920,-0.1275,0.1093,20.5863,,
1440.49500,-0.26500,-2.1323,3.8261,-0.0614,0.1102,20.5863,,
1440.51583,-0.24417,2.5583,3.8184,0.0737,0.1100,20.5863,,
1440.53667,-0.22333,-1.1010,3.8071,-0.0317,0.1097,20.5863,,
1440.55750,-0.20250,-5.6654,3.8245,-0.1632,0.1102,20.5863,,
1440.57834,-0.18166,0.0463,3.8338,0.0013,0.1105,20.5863,,
1440.59917,-0.16083,0.3495,3.8395,0.0101,0.1106,20.5863,,
1440.62000,-0.14000,1.7685,3.8487,0.0510,0.1109,20.5863,,
1440.64084,-0.11916,0.4961,3.8436,0.0143,0.1107,20.5863,,
1440.66167,-0.09833,1.2124,3.8264,0.0349,0.1102,20.5863,,
1440.68251,-0.07749,5.3755,3.8486,0.1549,0.1109,19.8067,0.7773,
1440.70334,-0.05666,-0.1251,3.8415,-0.0036,0.1107,20.5863,,
1440.72417,-0.03583,3.8176,3.8223,0.1100,0.1101,20.1783,1.0871,
