BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1438.32800,-1.03200,-5.9342,3.8200,-0.3969,0.2555,21.1304,,
1438.34883,-1.01117,-15.1114,3.9786,-1.0108,0.2661,21.1304,,
1438.36967,-0.99033,-8.0221,4.0672,-0.5366,0.2720,21.1304,,
1438.39050,-0.96950,-8.1000,3.9507,-0.5418,0.2643,21.1304,,
1438.41133,-0.94867,-2.1812,3.9440,-0.1459,0.2638,21.1304,,
1438.43217,-0.92783,-4.1587,3.9532,-0.2782,0.2644,21.1304,,
1438.45300,-0.90700,-3.7487,3.8043,-0.2507,0.2545,21.1304,,
1438.47384,-0.88616,0.8494,3.6512,0.0568,0.2442,21.1304,,
1438.51550,-0.84450,0.7217,3.7094,0.0483,0.2481,21.1304,,
1438.53634,-0.82366,4.1893,3.7046,0.2802,0.2478,20.0775,0.9601,
1438.55717,-0.80283,2.4942,3.7326,0.1668,0.2497,20.6405,1.6248,
1438.57801,-0.78199,7.6451,3.6663,0.5114,0.2452,19.4243,0.5207,
1438.59884,-0.76116,-4.4780,3.6712,-0.2995,0.2456,21.1304,,
1438.64051,-0.71949,-5.0981,3.6019,-0.3410,0.2409,21.1304,,
1438.66134,-0.69866,-5.8571,3.6052,-0.3918,0.2411,21.1304,,
1438.68218,-0.67782,-2.5347,3.6320,-0.1695,0.2429,21.1304,,
1438.70301,-0.65699,0.1104,3.6372,0.0074,0.2433,21.1304,,
1438.72384,-0.63616,-10.7213,3.6270,-0.7171,0.2426,21.1304,,
1438.74468,-0.61532,-3.3117,3.6429,-0.2215,0.2437,21.1304,,
1438.78634,-0.57366,0.9939,3.6747,0.0665,0.2458,21.1304,,
1438.80718,-0.55282,-0.8963,3.5899,-0.0599,0.2401,21.1304,,
1438.82801,-0.53199,-0.6006,3.6466,-0.0402,0.2439,21.1304,,
1438.86968,-0.49032,-3.8401,3.5936,-0.2569,0.2404,21.1304,,
1438.91135,-0.44865,0.3975,3.6909,0.0266,0.2469,21.1304,,
1438.93218,-0.42782,1.9392,3.6591,0.1297,0.2447,20.9137,2.0487,
1438.97385,-0.38615,-0.3920,3.8418,-0.0262,0.2570,21.1304,,
1438.99468,-0.36532,6.4820,3.8440,0.4336,0.2571,19.6035,0.6439,
1439.01552,-0.34448,-1.8266,3.7826,-0.1222,0.2530,21.1304,,
1439.03635,-0.32365,0.9302,3.8422,0.0622,0.2570,21.1304,,
1439.05718,-0.30282,-0.4426,3.7206,-0.0296,0.2489,21.1304,,
1439.07802,-0.28198,4.7346,3.7095,0.3167,0.2481,19.9446,0.8507,
1439.09885,-0.26115,1.7380,3.7669,0.1163,0.2520,21.0327,2.3532,
1439.11969,-0.24031,7.6584,3.7378,0.5123,0.2500,19.4225,0.5299,
1439.14052,-0.21948,0.8216,3.6173,0.0550,0.2420,21.1304,,
1439.16135,-0.19865,-5.3316,3.6442,-0.3566,0.2438,21.1304,,
1439.18219,-0.17781,-5.9397,3.6899,-0.3973,0.2468,21.1304,,
1439.20302,-0.15698,2.7522,3.6372,0.1841,0.2433,20.5336,1.4349,
1439.22386,-0.13614,-0.1227,3.7251,-0.0082,0.2492,21.1304,,
1439.24469,-0.11531,-2.1029,3.7050,-0.1407,0.2478,21.1304,,
1439.26552,-0.09448,-1.9089,3.5964,-0.1277,0.2406,21.1304,,
1439.28636,-0.07364,-0.0823,3.6060,-0.0055,0.2412,21.1304,,
1439.30719,-0.05281,-0.9950,3.5574,-0.0666,0.2379,21.1304,,
1439.32802,-0.03198,-1.8185,3.5872,-0.1216,0.2399,21.1304,,
1439.34886,-0.01114,-0.9328,3.6556,-0.0624,0.2445,21.1304,,
1439.36969,0.00969,4.0333,3.6983,0.2698,0.2474,20.1187,0.9956,
1439.39053,0.03053,0.0944,3.6847,0.0063,0.2465,21.1304,,
1439.41136,0.05136,7.0082,3.6669,0.4688,0.2453,19.5188,0.5681,
1439.43219,0.07219,-6.9874,3.6974,-0.4674,0.2473,21.1304,,
1439.45303,0.09303,-2.0269,3.7015,-0.1356,0.2476,21.1304,,
1439.47386,0.11386,6.8253,3.6466,0.4565,0.2439,19.5475,0.5801,
