BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1438.40763,-22.66237,1.4790,4.2560,0.0030,0.0085,20.2715,0.0,
1438.42846,-22.64154,-1.7556,4.2478,-0.0035,0.0085,20.2715,0.0,
1438.44929,-22.62071,9.6709,4.2464,0.0193,0.0085,19.1691,0.4767,0.0
1438.47013,-22.59987,0.7163,4.2504,0.0014,0.0085,20.2715,0.0,
1438.51179,-22.55821,0.2509,4.2544,0.0005,0.0085,20.2715,0.0,
1438.53263,-22.53737,6.4695,4.2572,0.0129,0.0085,19.6056,0.7145,0.0
1438.55346,-22.51654,10.8463,4.2447,0.0217,0.0085,19.0446,0.4249,0.0
1438.57430,-22.49570,-2.8842,4.2525,-0.0058,0.0085,20.2715,0.0,
1438.59513,-22.47487,5.0335,4.2444,0.0101,0.0085,19.8781,0.9155,0.0
1438.63680,-22.43320,3.3469,4.2438,0.0067,0.0085,20.2715,0.0,
1438.65763,-22.41237,-7.5176,4.2390,-0.0150,0.0085,20.2715,0.0,
1438.67846,-22.39154,2.2771,4.2401,0.0046,0.0085,20.2715,0.0,
1438.69930,-22.37070,-2.8721,4.2362,-0.0057,0.0085,20.2715,0.0,
1438.72013,-22.34987,-1.4035,4.2496,-0.0028,0.0085,20.2715,0.0,
1438.74097,-22.32903,4.1873,4.2367,0.0084,0.0085,20.0780,1.0986,0.0
1438.78263,-22.28737,-0.7328,4.2386,-0.0015,0.0085,20.2715,0.0,
1438.80347,-22.26653,-1.8727,4.2368,-0.0037,0.0085,20.2715,0.0,
1438.82430,-22.24570,-4.2890,4.2414,-0.0086,0.0085,20.2715,0.0,
1438.86597,-22.20403,8.8418,4.2467,0.0177,0.0085,19.2664,0.5215,0.0
1438.90763,-22.16237,-4.7409,4.2518,-0.0095,0.0085,20.2715,0.0,
1438.92847,-22.14153,2.8399,4.2488,0.0057,0.0085,20.2715,0.0,
1438.97014,-22.09986,-0.2901,4.2443,-0.0006,0.0085,20.2715,0.0,
1438.99097,-22.07903,4.0046,4.2481,0.0080,0.0085,20.1264,1.1517,0.0
1439.01180,-22.05820,2.0276,4.2558,0.0041,0.0085,20.2715,0.0,
1439.03264,-22.03736,1.2594,4.2447,0.0025,0.0085,20.2715,0.0,
1439.05347,-22.01653,1.1205,4.2432,0.0022,0.0085,20.2715,0.0,
1439.07430,-21.99570,1.2079,4.2376,0.0024,0.0085,20.2715,0.0,
1439.09514,-21.97486,-2.1918,4.2332,-0.0044,0.0085,20.2715,0.0,
1439.11597,-21.95403,0.8883,4.2449,0.0018,0.0085,20.2715,0.0,
1439.13681,-21.93319,1.1402,4.2444,0.0023,0.0085,20.2715,0.0,
1439.15764,-21.91236,-2.8438,4.2416,-0.0057,0.0085,20.2715,0.0,
1439.17847,-21.89153,5.8740,4.2507,0.0117,0.0085,19.7105,0.7857,0.0
1439.19931,-21.87069,-0.6149,4.2365,-0.0012,0.0085,20.2715,0.0,
1439.22014,-21.84986,2.1739,4.2373,0.0043,0.0085,20.2715,0.0,
1439.24097,-21.82903,-2.3800,4.2308,-0.0048,0.0085,20.2715,0.0,
1439.26181,-21.80819,8.2217,4.2337,0.0164,0.0085,19.3454,0.5591,0.0
1439.28264,-21.78736,2.7826,4.2504,0.0056,0.0085,20.2715,0.0,
1439.30348,-21.76652,-1.0519,4.2530,-0.0021,0.0085,20.2715,0.0,
1439.32431,-21.74569,-4.6554,4.2530,-0.0093,0.0085,20.2715,0.0,
1439.34514,-21.72486,-6.1138,4.2511,-0.0122,0.0085,20.2715,0.0,
1439.36598,-21.70402,1.9339,4.2564,0.0039,0.0085,20.2715,0.0,
1439.38681,-21.68319,3.8295,4.2547,0.0077,0.0085,20.1750,1.2063,0.0
1439.40764,-21.66236,-3.7910,4.2511,-0.0076,0.0085,20.2715,0.0,
1439.42848,-21.64152,1.3775,4.2550,0.0028,0.0085,20.2715,0.0,
1439.44931,-21.62069,3.9268,4.2403,0.0079,0.0085,20.1477,1.1724,0.0
1439.47014,-21.59986,1.7645,4.2348,0.0035,0.0085,20.2715,0.0,
1439.49098,-21.57902,-10.5814,4.2356,-0.0212,0.0085,20.2715,0.0,
1439.53265,-21.53735,-9.5079,4.2236,-0.0190,0.0084,20.2715,0.0,
1439.55348,-21.51652,4.8425,4.2318,0.0097,0.0085,19.9201,0.9488,0.0
1439.57431,-21.49569,-3.3194,4.2236,-0.0066,0.0084,20.2715,0.0,
1439.59515,-21.47485,-0.0459,4.2334,-0.0001,0.0085,20.2715,0.0,
1439.61598,-21.45402,6.6417,4.2334,0.0133,0.0085,19.5771,0.6920,0.0
1439.63681,-21.43319,-2.6897,4.2293,-0.0054,0.0085,20.2715,0.0,
1439.65765,-21.41235,0.3033,4.2270,0.0006,0.0085,20.2715,0.0,
1439.67848,-21.39152,5.2555,4.2460,0.0105,0.0085,19.8313,0.8772,0.0
1439.69932,-21.37068,-8.2867,4.2399,-0.0166,0.0085,20.2715,0.0,
1439.72015,-21.34985,5.9229,4.2437,0.0118,0.0085,19.7015,0.7779,0.0
1439.74098,-21.32902,2.0833,4.2405,0.0042,0.0085,20.2715,0.0,
1439.76182,-21.30818,-0.0098,4.2365,-0.0000,0.0085,20.2715,0.0,
1439.78265,-21.28735,-2.9072,4.2385,-0.0058,0.0085,20.2715,0.0,
1439.80348,-21.26652,0.9265,4.2396,0.0019,0.0085,20.2715,0.0,
1439.82432,-21.24568,-5.2722,4.2354,-0.0105,0.0085,20.2715,0.0,
1439.84515,-21.22485,3.8846,4.2295,0.0078,0.0085,20.1594,1.1821,0.0
1439.86598,-21.20402,-9.0360,4.2262,-0.0181,0.0084,20.2715,0.0,
1439.88682,-21.18318,-2.3768,4.2318,-0.0048,0.0085,20.2715,0.0,
1439.90765,-21.16235,-9.4619,4.2253,-0.0189,0.0084,20.2715,0.0,
1439.92849,-21.14151,1.6465,4.2278,0.0033,0.0085,20.2715,0.0,
1439.94932,-21.12068,-6.3204,4.2327,-0.0126,0.0085,20.2715,0.0,
1439.97015,-21.09985,-3.6350,4.2376,-0.0073,0.0085,20.2715,0.0,
1439.99099,-21.07901,-8.3133,4.2259,-0.0166,0.0084,20.2715,0.0,
1440.01182,-21.05818,-0.7955,4.2277,-0.0016,0.0085,20.2715,0.0,
1440.03265,-21.03735,-0.7407,4.2339,-0.0015,0.0085,20.2715,0.0,
1440.05349,-21.01651,-2.6260,4.2398,-0.0053,0.0085,20.2715,0.0,
1440.07432,-20.99568,3.9562,4.2446,0.0079,0.0085,20.1396,1.1649,0.0
1440.09516,-20.97484,-5.2587,4.2401,-0.0105,0.0085,20.2715,0.0,
1440.11599,-20.95401,-0.7496,4.2415,-0.0015,0.0085,20.2715,0.0,
1440.13682,-20.93318,1.1348,4.2417,0.0023,0.0085,20.2715,0.0,
1440.15766,-20.91234,-0.8511,4.2454,-0.0017,0.0085,20.2715,0.0,
1440.17849,-20.89151,2.8598,4.2363,0.0057,0.0085,20.2715,0.0,
1440.19932,-20.87068,3.0025,4.2445,0.0060,0.0085,20.2715,0.0,
