BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1461.19959,0.12959,9.08726,1.16612,0.01817,0.00233,19.29049,0.14736,0.00000
1461.44959,0.37959,5.39900,1.26458,0.01079,0.00253,19.73452,0.15898,0.00000
1461.68918,0.61918,5.86609,1.21199,0.01173,0.00242,19.70909,0.15544,0.00000
1461.93918,0.86918,8.57947,1.21212,0.01714,0.00242,19.40321,0.15815,0.00000
1462.18918,1.11918,7.82941,1.21036,0.01565,0.00242,19.44361,0.13219,0.00000
1462.43919,1.36919,10.95745,1.21366,0.02191,0.00242,19.15723,0.14210,0.00000
1462.68445,1.61445,11.75735,1.26194,0.02352,0.00252,19.02802,0.11162,0.00000
1462.93340,1.86340,14.35183,1.39740,0.02868,0.00280,18.76910,0.11491,0.00000
1463.09544,2.02544,4.50480,4.19830,0.00900,0.00840,19.99860,1.01190,0.00000
1468.29339,7.22339,266.10680,2.94231,0.53205,0.00587,15.57015,0.01202,363.00000
1468.45172,7.38173,267.20965,1.31656,0.53425,0.00262,15.56597,0.00535,363.00000
1468.68923,7.61923,279.77623,1.20270,0.55938,0.00240,15.51597,0.00467,363.00000
1468.93923,7.86923,294.99819,1.20370,0.58982,0.00240,15.45847,0.00443,363.00000
1469.18923,8.11923,305.87871,1.20511,0.61158,0.00240,15.41918,0.00428,363.00000
1469.43923,8.36923,319.83922,1.20646,0.63947,0.00242,15.37063,0.00410,363.00000
1469.68924,8.61924,332.49242,1.20823,0.66479,0.00242,15.32848,0.00395,363.00000
1469.93924,8.86924,343.15045,1.20800,0.68609,0.00242,15.29436,0.00382,363.00000
1470.18924,9.11924,356.57658,1.20844,0.71293,0.00242,15.25263,0.00368,363.00000
1470.43924,9.36924,369.04139,1.20908,0.73786,0.00242,15.21519,0.00356,363.00000
1470.68924,9.61924,381.95856,1.20995,0.76367,0.00242,15.17788,0.00344,363.00000
1470.93924,9.86924,392.45856,1.21092,0.78468,0.00242,15.14842,0.00335,363.00000
1471.18925,10.11925,404.34996,1.21152,0.80844,0.00242,15.11603,0.00326,363.00000
1471.41494,10.34494,417.05367,1.40008,0.83387,0.00280,15.08250,0.00365,363.00000
1471.68925,10.61925,428.31946,1.48715,0.85637,0.00297,15.05351,0.00377,363.00000
1471.94758,10.87758,440.49984,1.33138,0.88073,0.00266,15.02302,0.00328,363.00000
1472.19041,11.12041,448.17889,1.40408,0.89607,0.00280,15.00427,0.00340,363.00000
1472.43925,11.36925,461.55791,1.21629,0.92283,0.00242,14.97228,0.00286,363.00000
1472.68641,11.61641,469.42729,1.27076,0.93855,0.00253,14.95400,0.00294,363.00000
1472.93926,11.86926,475.59824,1.21718,0.95089,0.00242,14.93975,0.00278,363.00000
1473.18926,12.11926,486.20887,1.21811,0.97211,0.00242,14.91578,0.00272,363.00000
1473.43926,12.36926,494.48503,1.21877,0.98867,0.00243,14.89749,0.00267,363.00000
1473.68926,12.61926,500.04728,1.21923,0.99978,0.00242,14.88532,0.00265,363.00000
1473.93926,12.86926,510.33556,1.22008,1.02037,0.00244,14.86318,0.00260,363.00000
1474.18926,13.11926,514.53390,1.22044,1.02875,0.00245,14.85431,0.00258,363.00000
1474.43926,13.36926,521.54536,1.22118,1.04275,0.00245,14.83962,0.00255,363.00000
1474.70176,13.63176,529.54222,1.33891,1.05876,0.00269,14.82312,0.00274,363.00000
1474.93926,13.86926,528.89258,1.22178,1.05746,0.00245,14.82442,0.00251,363.00000
1475.18926,14.11926,540.96468,1.22425,1.08158,0.00245,14.79992,0.00245,363.00000
1475.43927,14.36926,541.28040,1.34289,1.08222,0.00269,14.79931,0.00270,363.00000
1475.68927,14.61927,546.36572,1.22865,1.09240,0.00245,14.78917,0.00244,363.00000
1475.93926,14.86926,547.75584,1.23175,1.09516,0.00245,14.78638,0.00244,363.00000
1476.18927,15.11927,551.45334,1.23553,1.10257,0.00248,14.77910,0.00243,363.00000
1476.43927,15.36927,555.22402,1.23948,1.11011,0.00248,14.77170,0.00242,363.00000
1476.68927,15.61927,557.53307,1.24381,1.11471,0.00248,14.76718,0.00242,363.00000
1476.90802,15.83802,558.37708,1.44883,1.11641,0.00289,14.76556,0.00282,363.00000
