BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1470.08852,0.11852,-0.90558,1.02841,-0.01376,0.01562,20.92945,0.86947,
1470.33852,0.36852,-0.71728,1.03488,-0.01088,0.01571,20.79887,0.65882,
1470.58852,0.61852,0.68038,1.02822,0.01034,0.01561,20.63461,0.34299,
1470.83852,0.86852,0.44395,1.02890,0.00674,0.01562,20.94190,0.71790,
1471.08852,1.11852,2.71588,1.02826,0.04123,0.01561,20.49836,0.44045,
1471.33852,1.36852,1.98477,1.02173,0.03013,0.01552,20.71712,0.54649,
1471.60191,1.63191,3.52911,1.34321,0.05359,0.02039,20.28864,0.35300,
1471.86282,1.89282,4.41201,1.18618,0.06697,0.01801,20.11930,0.27187,
1472.10102,2.13102,3.89790,1.12360,0.05918,0.01706,20.25725,0.30050,
1472.36787,2.39787,8.23693,1.06525,0.12505,0.01618,19.48764,0.21357,
1472.59893,2.62893,6.25435,1.06228,0.09496,0.01613,19.77544,0.19456,
1472.85934,2.88934,7.21624,1.02381,0.10956,0.01555,19.70387,0.24015,
1473.10934,3.13934,8.42270,1.02266,0.12787,0.01553,19.33796,0.13999,
1473.35934,3.38934,11.30160,1.01353,0.17158,0.01539,19.07387,0.12656,
1473.60934,3.63934,12.26911,1.01545,0.18628,0.01542,19.04382,0.09429,
1473.85933,3.88934,13.28545,1.01921,0.20171,0.01548,18.87238,0.09699,
1474.10933,4.13933,11.74425,1.02578,0.17832,0.01557,19.01734,0.10990,
1474.35933,4.38933,14.40963,1.02332,0.21878,0.01554,18.77827,0.08697,
1474.60516,4.63516,17.81492,1.11569,0.27048,0.01694,18.51647,0.06990,
1474.85932,4.88932,17.35712,1.02333,0.26352,0.01554,18.55108,0.06688,
1475.10932,5.13932,19.43412,1.02392,0.29507,0.01555,18.43622,0.06124,
1475.34265,5.37265,21.88478,1.12364,0.33227,0.01707,18.28779,0.05653,
1475.60931,5.63931,20.74132,1.03020,0.31491,0.01564,18.35603,0.05626,
1475.85931,5.88931,21.33247,1.03152,0.32387,0.01566,18.35520,0.06447,
1476.10931,6.13931,23.35169,1.03173,0.35454,0.01567,18.22032,0.04930,
1476.35930,6.38930,24.28918,1.03474,0.36879,0.01571,18.18561,0.04831,
1476.60930,6.63930,25.47552,1.03793,0.38679,0.01576,18.12800,0.04575,
1476.85930,6.88930,25.50343,1.05463,0.38722,0.01602,18.13414,0.04701,
1476.99471,7.02471,34.74290,4.07630,0.52750,0.06190,17.78060,0.12740,
1478.47386,8.50386,33.02780,3.83980,0.50150,0.05830,17.83560,0.12620,
1478.60265,8.63265,37.48025,1.08040,0.56905,0.01640,17.70692,0.03219,
1478.84191,8.87191,39.42762,1.18495,0.59862,0.01799,17.64713,0.03300,
1479.10927,9.13927,39.66856,1.02600,0.60228,0.01558,17.64287,0.02858,
1479.35927,9.38927,42.73804,1.12617,0.64889,0.01710,17.55891,0.02886,
1479.60927,9.63927,45.02549,1.02610,0.68362,0.01558,17.50278,0.02499,
1479.86968,9.89968,42.52325,1.07228,0.64563,0.01628,17.56292,0.02752,
1480.10926,10.13926,46.13931,1.02187,0.70053,0.01551,17.47484,0.02419,
1480.35926,10.38926,47.63079,1.01811,0.72316,0.01546,17.44202,0.02347,
1480.60925,10.63925,49.36160,1.02272,0.74945,0.01553,17.40103,0.02259,
1480.85925,10.88925,47.78389,1.01986,0.72549,0.01549,17.44203,0.02369,
1481.10925,11.13925,49.48651,1.02094,0.75134,0.01550,17.39796,0.02249,
1481.37591,11.40591,50.56422,1.11722,0.76769,0.01696,17.37587,0.02417,
1481.60924,11.63924,50.89030,1.02250,0.77265,0.01552,17.36841,0.02194,
1481.85923,11.88923,53.02502,1.02229,0.80507,0.01552,17.32492,0.02113,
