BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1491.91233,-6.09767,-6.5128,5.4481,-0.2037,0.1704,20.0116,,
1491.95400,-6.05600,-6.3483,5.2663,-0.1986,0.1647,20.0116,,
1491.97483,-6.03517,-1.0784,5.2206,-0.0337,0.1633,20.0116,,
1491.99566,-6.01434,-6.4826,5.2226,-0.2028,0.1633,20.0116,,
1492.01650,-5.99350,-0.0206,5.2133,-0.0006,0.1631,20.0116,,
1492.03733,-5.97267,-6.8684,5.2111,-0.2148,0.1630,20.0116,,
1492.05816,-5.95184,-4.4743,5.1983,-0.1399,0.1626,20.0116,,
1492.07900,-5.93100,-1.9505,5.1941,-0.0610,0.1625,20.0116,,
1492.09983,-5.91017,-2.4404,5.1969,-0.0763,0.1625,20.0116,,
1492.12066,-5.88934,-3.8849,5.2002,-0.1215,0.1626,20.0116,,
1492.14150,-5.86850,-5.6692,5.1863,-0.1773,0.1622,20.0116,,
1492.16233,-5.84767,-3.7808,5.2046,-0.1183,0.1628,20.0116,,
1492.18317,-5.82683,-8.0287,5.2088,-0.2511,0.1629,20.0116,,
1492.20400,-5.80600,0.1554,5.2137,0.0049,0.1631,20.0116,,
1492.22483,-5.78517,0.6656,5.2158,0.0208,0.1631,20.0116,,
1492.24567,-5.76433,0.4162,5.2166,0.0130,0.1632,20.0116,,
1492.26650,-5.74350,0.5893,5.2082,0.0184,0.1629,20.0116,,
1492.28734,-5.72266,-0.2207,5.2092,-0.0069,0.1629,20.0116,,
1492.30817,-5.70183,-2.4353,5.2171,-0.0762,0.1632,20.0116,,
1492.32900,-5.68100,-8.9667,5.2180,-0.2805,0.1632,20.0116,,
1492.34984,-5.66016,2.3009,5.2129,0.0720,0.1630,20.0116,,
1492.37067,-5.63933,-8.7017,5.1930,-0.2722,0.1624,20.0116,,
1492.39150,-5.61850,-11.2926,5.2012,-0.3532,0.1627,20.0116,,
1492.41234,-5.59766,2.9109,5.2214,0.0910,0.1633,20.0116,,
1492.43317,-5.57683,8.3791,5.2171,0.2621,0.1632,19.3248,0.6760,
1492.45400,-5.55600,-9.0295,5.2123,-0.2824,0.1630,20.0116,,
1492.47484,-5.53516,-3.0444,5.2128,-0.0952,0.1630,20.0116,,
1492.49567,-5.51433,-2.1733,5.2064,-0.0680,0.1628,20.0116,,
1492.51651,-5.49349,-6.8538,5.2113,-0.2144,0.1630,20.0116,,
1492.53734,-5.47266,-10.7071,5.2162,-0.3349,0.1631,20.0116,,
1492.55817,-5.45183,-0.7420,5.2050,-0.0232,0.1628,20.0116,,
1492.57901,-5.43099,-7.4431,5.1958,-0.2328,0.1625,20.0116,,
