BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1498.13115,0.12115,1.60908,1.50778,0.05033,0.04716,19.89354,0.51753,
1498.38115,0.37115,10.20767,1.50318,0.31927,0.04702,19.21092,0.20379,
1498.63115,0.62115,3.80322,1.50657,0.11895,0.04712,19.70417,0.30221,
1498.88115,0.87115,0.08738,1.50687,0.00273,0.04713,19.94338,0.59900,
1499.13115,1.12115,3.91367,1.50841,0.12241,0.04718,19.66407,0.29558,
1499.38115,1.37115,3.79128,1.51007,0.11858,0.04723,19.83516,0.40759,
1499.63115,1.62115,-0.58736,1.51172,-0.01839,0.04728,19.94931,0.64260,
1499.88115,1.87115,3.32491,1.50478,0.10400,0.04706,19.71648,0.34865,
1500.13115,2.12115,4.00317,1.50669,0.12521,0.04712,19.75338,0.37824,
1500.38115,2.37115,-0.74068,1.50728,-0.02317,0.04714,19.85967,0.46306,
1500.63115,2.62115,0.81247,1.50357,0.02542,0.04703,19.92825,0.57115,
1500.88115,2.87115,4.41045,1.50673,0.13796,0.04713,19.70291,0.31941,
1501.14781,3.13781,4.95198,1.65603,0.15489,0.05179,19.66711,0.32608,
1501.38114,3.37114,4.18642,1.50829,0.13094,0.04717,19.82558,0.39553,
1501.63114,3.62114,6.77449,1.50751,0.21188,0.04716,19.52348,0.27629,
1501.88114,3.87114,4.65875,1.50464,0.14572,0.04706,19.68744,0.31447,
1502.14155,4.13155,6.58081,1.44509,0.20582,0.04520,19.49360,0.23508,
1502.40197,4.39197,3.14149,1.50817,0.09826,0.04717,19.75093,0.35033,
1502.65197,4.64197,4.29190,1.51063,0.13423,0.04725,19.78433,0.37615,
1502.89155,4.88155,3.94327,1.57419,0.12334,0.04924,19.65070,0.30051,
1505.01653,7.00653,14.19020,5.58700,0.44380,0.17470,18.75280,0.42750,
1505.17278,7.16278,12.90443,1.67450,0.40361,0.05237,18.88728,0.15445,
1505.40195,7.39195,9.74312,1.51733,0.30474,0.04746,19.22407,0.17774,
1505.65195,7.64195,14.60232,1.51506,0.45671,0.04739,18.83282,0.13622,
1505.90195,7.89195,13.10633,1.51083,0.40993,0.04725,18.87866,0.14135,
1506.15194,8.14194,14.80053,1.50863,0.46292,0.04719,18.83437,0.12071,
1506.40194,8.39194,14.67028,1.50406,0.45883,0.04704,18.79097,0.12235,
1506.65194,8.64194,14.24247,1.50067,0.44546,0.04694,18.88951,0.15325,
1506.90194,8.89194,14.89957,1.50337,0.46601,0.04702,18.77137,0.13584,
1507.15194,9.14194,15.74505,1.49755,0.49247,0.04684,18.67246,0.11323,
1507.40193,9.39193,35.25944,1.49478,1.10280,0.04675,17.91264,0.07225,
1507.65193,9.64193,17.66406,1.49718,0.55247,0.04683,18.56097,0.10730,
1507.91026,9.90026,19.19021,1.64360,0.60021,0.05141,18.44522,0.09819,
1508.15193,10.14193,18.29545,1.49618,0.57223,0.04679,18.51071,0.09723,
1508.40192,10.39192,20.45710,1.49206,0.63984,0.04667,18.38251,0.08532,
1508.65192,10.64192,20.69263,1.49187,0.64720,0.04666,18.36749,0.08447,
1508.90192,10.89192,21.75590,1.49540,0.68046,0.04677,18.31382,0.08094,
1509.15191,11.14191,21.48599,1.49612,0.67203,0.04679,18.32232,0.07980,
1509.40191,11.39191,24.81371,1.49368,0.77609,0.04672,18.19736,0.07839,
1509.65191,11.64191,24.97400,1.48955,0.78111,0.04659,18.17217,0.07285,
1509.90190,11.89190,26.75205,1.49433,0.83673,0.04674,18.08421,0.06430,
1510.15190,12.14190,24.49602,1.49253,0.76616,0.04668,18.18518,0.07227,
1510.40189,12.39189,23.13582,1.49299,0.72362,0.04670,18.25956,0.07742,
1510.65189,12.64189,24.57110,1.48388,0.76852,0.04641,18.18077,0.07019,
1510.87989,12.86989,29.48068,1.71217,0.92207,0.05355,17.96937,0.06501,
1511.15188,13.14188,28.36128,1.49521,0.88707,0.04677,18.02183,0.06078,
1511.40188,13.39188,30.51129,1.49437,0.95429,0.04674,17.93323,0.05502,
1511.65187,13.64187,32.38810,1.49109,1.01300,0.04664,17.87233,0.05233,
1511.90849,13.89849,32.89083,1.55859,1.02871,0.04875,17.84483,0.05214,
1512.15186,14.14186,28.08236,1.49442,0.87832,0.04674,18.03242,0.06126,
1512.40185,14.39185,29.64902,1.48823,0.92733,0.04655,17.97011,0.05717,
1512.65185,14.64185,30.91607,1.48006,0.96697,0.04629,17.93596,0.05707,
1512.90184,14.89184,29.58086,1.48267,0.92519,0.04637,17.96915,0.05655,
1513.15184,15.14184,34.11788,1.48795,1.06709,0.04654,17.81261,0.04901,
1513.32892,15.31892,34.39806,2.30276,1.07586,0.07202,17.79544,0.07346,
