BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1491.86780,-17.51220,1.1038,5.4223,0.0347,0.1704,20.0958,,
1491.88864,-17.49136,5.4265,5.4186,0.1705,0.1703,19.7965,1.0842,
1491.90947,-17.47053,-2.6928,5.4499,-0.0846,0.1712,20.0958,,
1491.93030,-17.44970,9.8057,5.3054,0.3081,0.1667,19.1541,0.5874,
1491.95114,-17.42886,-1.1423,5.2795,-0.0359,0.1659,20.0958,,
1491.97197,-17.40803,7.8576,5.1903,0.2469,0.1631,19.3946,0.7172,
1491.99280,-17.38720,1.0419,5.1996,0.0327,0.1634,20.0958,,
1492.01364,-17.36636,-12.6760,5.2224,-0.3983,0.1641,20.0958,,
1492.03447,-17.34553,-3.6993,5.2331,-0.1162,0.1644,20.0958,,
1492.05530,-17.32470,-6.8520,5.1472,-0.2153,0.1617,20.0958,,
1492.07614,-17.30386,5.9873,5.1639,0.1881,0.1623,19.6897,0.9364,
1492.09697,-17.28303,-3.6603,5.1057,-0.1150,0.1604,20.0958,,
1492.11780,-17.26220,3.7206,5.1771,0.1169,0.1627,20.0958,,
1492.13864,-17.24136,2.4400,5.1564,0.0767,0.1620,20.0958,,
1492.15947,-17.22053,-1.9428,5.2084,-0.0610,0.1637,20.0958,,
1492.18030,-17.19970,6.8210,5.2247,0.2143,0.1642,19.5482,0.8316,
1492.20114,-17.17886,-5.5644,5.3348,-0.1748,0.1676,20.0958,,
1492.22197,-17.15803,1.6363,5.3287,0.0514,0.1674,20.0958,,
1492.24280,-17.13720,-5.3382,5.3316,-0.1677,0.1675,20.0958,,
1492.26364,-17.11636,-5.6140,5.3379,-0.1764,0.1677,20.0958,,
1492.28447,-17.09553,-1.7470,5.2196,-0.0549,0.1640,20.0958,,
1492.30530,-17.07470,3.6813,5.2688,0.1157,0.1656,20.0958,,
1492.32613,-17.05387,-5.3577,4.9705,-0.1683,0.1562,20.0958,,
1492.34697,-17.03303,-1.4562,5.1880,-0.0458,0.1630,20.0958,,
1492.36780,-17.01220,-1.7978,5.1425,-0.0565,0.1616,20.0958,,
1492.38863,-16.99137,3.8586,5.1388,0.1212,0.1615,20.0958,,
1492.40947,-16.97053,-4.5804,5.1257,-0.1439,0.1611,20.0958,,
1492.43030,-16.94970,3.3231,5.0879,0.1044,0.1599,20.0958,,
1492.45113,-16.92887,-0.2946,5.0790,-0.0093,0.1596,20.0958,,
1492.47197,-16.90803,4.0934,5.0955,0.1286,0.1601,20.0958,,
1492.49280,-16.88720,-3.9842,5.1373,-0.1252,0.1614,20.0958,,
1492.51363,-16.86637,-5.3919,5.1179,-0.1694,0.1608,20.0958,,
1492.53447,-16.84553,1.6955,5.1625,0.0533,0.1622,20.0958,,
1492.55530,-16.82470,-4.6492,5.1840,-0.1461,0.1629,20.0958,,
1492.57613,-16.80387,-9.3383,5.1338,-0.2934,0.1613,20.0958,,
1492.59697,-16.78303,5.0124,5.1674,0.1575,0.1624,19.8827,1.1193,
1492.61780,-16.76220,1.2164,5.1873,0.0382,0.1630,20.0958,,
1492.63863,-16.74137,4.6395,5.1666,0.1458,0.1623,19.9666,1.2091,
1492.65947,-16.72053,-4.3385,5.1654,-0.1363,0.1623,20.0958,,
1492.68030,-16.69970,0.4903,5.1422,0.0154,0.1616,20.0958,,
1492.70113,-16.67887,-4.8645,5.1850,-0.1529,0.1629,20.0958,,
1492.72197,-16.65803,-6.6120,5.0889,-0.2078,0.1599,20.0958,,
1492.74280,-16.63720,-2.6387,5.1186,-0.0829,0.1608,20.0958,,
1492.76363,-16.61637,1.3550,5.0711,0.0426,0.1593,20.0958,,
1492.78446,-16.59554,1.3491,5.0492,0.0424,0.1587,20.0958,,
1492.84696,-16.53304,2.9852,5.0423,0.0938,0.1584,20.0958,,
1492.86780,-16.51220,-0.8001,5.0323,-0.0251,0.1581,20.0958,,
1492.88863,-16.49137,4.0183,5.0677,0.1263,0.1592,20.0958,,
1492.90946,-16.47054,3.0255,4.9571,0.0951,0.1558,20.0958,,
1492.93030,-16.44970,2.1315,4.9669,0.0670,0.1561,20.0958,,
1492.95113,-16.42887,3.2833,4.9887,0.1032,0.1568,20.0958,,
1492.97196,-16.40804,-0.2452,5.0431,-0.0077,0.1585,20.0958,,
1492.99280,-16.38720,1.2641,4.9840,0.0397,0.1566,20.0958,,
1493.01363,-16.36637,-1.9170,5.0579,-0.0602,0.1589,20.0958,,
1493.03446,-16.34554,-4.2962,5.0750,-0.1350,0.1595,20.0958,,
1493.05530,-16.32470,-5.8271,5.1394,-0.1831,0.1615,20.0958,,
1493.07613,-16.30387,8.5097,5.1267,0.2674,0.1611,19.3080,0.6541,
1493.09696,-16.28304,11.7808,5.1207,0.3702,0.1609,18.9549,0.4719,
1493.13863,-16.24137,-7.7070,5.1619,-0.2422,0.1622,20.0958,,
1493.15946,-16.22054,-8.0479,5.1063,-0.2529,0.1604,20.0958,,
1493.18030,-16.19970,2.0815,5.1070,0.0654,0.1605,20.0958,,
1493.20113,-16.17887,3.2795,5.1884,0.1030,0.1630,20.0958,,
1493.22196,-16.15804,0.8056,5.1412,0.0253,0.1615,20.0958,,
1493.24279,-16.13721,5.6497,5.1679,0.1775,0.1624,19.7527,0.9932,
1493.26363,-16.11637,3.9756,5.1605,0.1249,0.1621,20.0958,,
1493.28446,-16.09554,-7.4247,5.2376,-0.2333,0.1646,20.0958,,
1493.30529,-16.07471,-1.8344,5.2019,-0.0576,0.1635,20.0958,,
1493.32613,-16.05387,-4.1065,5.1620,-0.1290,0.1622,20.0958,,
1493.34696,-16.03304,-2.9560,5.2110,-0.0929,0.1637,20.0958,,
1493.36779,-16.01221,1.3623,5.1216,0.0428,0.1609,20.0958,,
1493.38863,-15.99137,-1.3176,5.1284,-0.0414,0.1611,20.0958,,
1493.40946,-15.97054,0.7211,5.1177,0.0227,0.1608,20.0958,,
1493.43029,-15.94971,-2.9047,5.0589,-0.0913,0.1590,20.0958,,
1493.45113,-15.92887,-2.9770,5.0800,-0.0935,0.1596,20.0958,,
1493.47196,-15.90804,-7.6590,5.0172,-0.2407,0.1576,20.0958,,
1493.49279,-15.88721,0.4103,5.0480,0.0129,0.1586,20.0958,,
1493.51363,-15.86637,1.9531,5.0774,0.0614,0.1595,20.0958,,
1493.53446,-15.84554,1.4951,5.1123,0.0470,0.1606,20.0958,,
1493.55529,-15.82471,2.0119,5.1373,0.0632,0.1614,20.0958,,
1493.57613,-15.80387,4.1341,5.1164,0.1299,0.1608,20.0918,1.3437,
1493.59696,-15.78304,-0.6022,5.1113,-0.0189,0.1606,20.0958,,
1493.61779,-15.76221,-3.9551,5.1123,-0.1243,0.1606,20.0958,,
1493.63863,-15.74137,0.0609,5.1258,0.0019,0.1611,20.0958,,
1493.65946,-15.72054,-2.9988,5.1195,-0.0942,0.1609,20.0958,,
1493.68029,-15.69971,6.8493,5.0461,0.2152,0.1586,19.5437,0.7999,
1493.70112,-15.67888,3.2568,5.1870,0.1023,0.1630,20.0958,,
1493.72196,-15.65804,0.6281,5.2070,0.0197,0.1636,20.0958,,
1493.74279,-15.63721,-1.5555,5.1345,-0.0489,0.1613,20.0958,,
1493.76362,-15.61638,-1.6389,5.0849,-0.0515,0.1598,20.0958,,
