BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1518.18290,-5.69710,2.5702,1.9386,0.1975,0.1490,19.4151,0.8189,
1518.20374,-5.67626,-1.3783,1.5753,-0.1059,0.1211,19.6378,,
1518.22457,-5.65543,0.2687,1.6817,0.0207,0.1293,19.6378,,
1518.24540,-5.63460,4.2630,1.3531,0.3277,0.1040,18.8657,0.3446,
1518.26624,-5.61376,1.4872,1.9686,0.1143,0.1513,19.6378,,
1518.28707,-5.59293,2.0917,1.9870,0.1608,0.1527,19.6378,,
1518.30791,-5.57209,1.4460,1.6459,0.1111,0.1265,19.6378,,
1518.32874,-5.55126,-2.3652,1.7269,-0.1818,0.1327,19.6378,,
1518.34957,-5.53043,5.4845,1.6125,0.4215,0.1239,18.5922,0.3192,
1518.37041,-5.50959,-1.8051,1.6070,-0.1387,0.1235,19.6378,,
1518.39124,-5.48876,0.5319,1.7713,0.0409,0.1361,19.6378,,
1518.43291,-5.44709,-0.0384,1.8472,-0.0030,0.1420,19.6378,,
1518.45374,-5.42626,3.1713,1.8953,0.2437,0.1457,19.1869,0.6489,
1518.47458,-5.40542,-1.2145,1.8959,-0.0933,0.1457,19.6378,,
1518.49541,-5.38459,1.0396,1.8634,0.0799,0.1432,19.6378,,
1518.51625,-5.36375,0.9075,1.4792,0.0697,0.1137,19.6378,,
1518.53708,-5.34292,-0.4047,1.4355,-0.0311,0.1103,19.6378,,
1518.55792,-5.32208,-1.3671,1.8222,-0.1051,0.1401,19.6378,,
1518.57875,-5.30125,-3.2240,1.7637,-0.2478,0.1356,19.6378,,
1518.59958,-5.28042,-0.8646,1.8301,-0.0665,0.1407,19.6378,,
1518.62042,-5.25958,-2.5082,1.6315,-0.1928,0.1254,19.6378,,
1518.64125,-5.23875,0.5801,1.7540,0.0446,0.1348,19.6378,,
1518.66209,-5.21791,-0.6120,1.6581,-0.0470,0.1274,19.6378,,
1518.68292,-5.19708,-1.5011,1.6109,-0.1154,0.1238,19.6378,,
1518.70375,-5.17625,-1.3743,1.6270,-0.1056,0.1251,19.6378,,
1518.72459,-5.15541,-3.9210,1.4317,-0.3014,0.1100,19.6378,,
1518.74542,-5.13458,1.5206,1.8812,0.1169,0.1446,19.6378,,
1518.76626,-5.11374,1.5401,1.8039,0.1184,0.1386,19.6378,,
1518.78709,-5.09291,-2.7151,1.7273,-0.2087,0.1328,19.6378,,
1518.80792,-5.07208,0.9876,1.4850,0.0759,0.1141,19.6378,,
1518.82876,-5.05124,0.4004,1.6582,0.0308,0.1274,19.6378,,
1518.84959,-5.03041,0.1122,1.6249,0.0086,0.1249,19.6378,,
1518.87043,-5.00957,-2.3774,1.7320,-0.1827,0.1331,19.6378,,
1518.89126,-4.98874,-5.1306,1.7389,-0.3943,0.1337,19.6378,,
1518.91209,-4.96791,-0.4820,1.5390,-0.0370,0.1183,19.6378,,
1518.95376,-4.92624,-0.2713,1.7302,-0.0209,0.1330,19.6378,,
1518.97460,-4.90540,0.4498,1.8057,0.0346,0.1388,19.6378,,
1518.99543,-4.88457,1.6702,2.2999,0.1284,0.1768,19.6378,,
1519.01626,-4.86374,-0.3662,1.5823,-0.0281,0.1216,19.6378,,
1519.03710,-4.84290,2.2576,1.8783,0.1735,0.1444,19.5559,0.9033,
1519.05793,-4.82207,2.5777,1.7773,0.1981,0.1366,19.4119,0.7486,
1519.07877,-4.80123,3.9113,1.7261,0.3006,0.1327,18.9592,0.4792,
1519.09960,-4.78040,-0.8462,1.5632,-0.0650,0.1201,19.6378,,
1519.12043,-4.75957,-1.3310,1.6354,-0.1023,0.1257,19.6378,,
1519.14127,-4.73873,2.1368,1.9009,0.1642,0.1461,19.6156,0.9659,
1519.16210,-4.71790,-0.0724,1.7601,-0.0056,0.1353,19.6378,,
1519.18294,-4.69706,0.5270,1.5715,0.0405,0.1208,19.6378,,
1519.20377,-4.67623,0.0035,1.8035,0.0003,0.1386,19.6378,,
1519.22460,-4.65540,-0.6636,1.5994,-0.0510,0.1229,19.6378,,
1519.24544,-4.63456,1.6230,1.7845,0.1247,0.1372,19.6378,,
1519.26627,-4.61373,1.6727,1.9661,0.1286,0.1511,19.6378,,
1519.28711,-4.59289,-1.9924,2.0768,-0.1531,0.1596,19.6378,,
1519.30794,-4.57206,-1.3794,1.9583,-0.1060,0.1505,19.6378,,
1519.32877,-4.55123,-2.1613,1.9277,-0.1661,0.1482,19.6378,,
1519.34961,-4.53039,2.8595,1.9062,0.2198,0.1465,19.2993,0.7238,
1519.37044,-4.50956,-3.0694,1.9269,-0.2359,0.1481,19.6378,,
1519.39128,-4.48872,0.8109,1.8334,0.0623,0.1409,19.6378,,
1519.41211,-4.46789,-0.2778,1.5713,-0.0214,0.1208,19.6378,,
1519.43294,-4.44706,-0.9673,1.8889,-0.0743,0.1452,19.6378,,
1519.45378,-4.42622,1.4264,1.7033,0.1096,0.1309,19.6378,,
1519.47461,-4.40539,2.0676,1.5988,0.1589,0.1229,19.6378,,
1519.51628,-4.36372,-1.0815,1.8559,-0.0831,0.1426,19.6378,,
1519.53711,-4.34289,1.7141,1.4112,0.1317,0.1085,19.6378,,
1519.55795,-4.32205,-0.3530,1.9869,-0.0271,0.1527,19.6378,,
1519.57878,-4.30122,1.1171,1.7590,0.0859,0.1352,19.6378,,
1519.59962,-4.28038,0.1953,1.5722,0.0150,0.1208,19.6378,,
1519.62045,-4.25955,-0.6880,1.5397,-0.0529,0.1183,19.6378,,
1519.64128,-4.23872,-0.4770,1.4783,-0.0367,0.1136,19.6378,,
1519.66212,-4.21788,2.2506,2.1010,0.1730,0.1615,19.5592,1.0136,
1519.68295,-4.19705,0.2273,1.6982,0.0175,0.1305,19.6378,,
1519.70379,-4.17621,-1.8115,1.4648,-0.1392,0.1126,19.6378,,
1519.72462,-4.15538,1.2952,1.9968,0.0995,0.1535,19.6378,,
1519.74545,-4.13455,-2.1448,1.6396,-0.1648,0.1260,19.6378,,
1519.76629,-4.11371,5.2746,1.8986,0.4054,0.1459,18.6345,0.3908,
1519.78712,-4.09288,-1.1484,1.4289,-0.0883,0.1098,19.6378,,
1519.80796,-4.07204,0.8390,1.9259,0.0645,0.1480,19.6378,,
1519.82879,-4.05121,-0.6267,1.6232,-0.0482,0.1248,19.6378,,
1519.84962,-4.03038,0.8513,1.8496,0.0654,0.1422,19.6378,,
1519.87046,-4.00954,-0.7572,1.6472,-0.0582,0.1266,19.6378,,
