BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1545.40130,0.13130,-0.60838,1.23796,-0.03203,0.06519,20.06106,0.45670,
1545.65131,0.38131,-1.71969,1.22366,-0.09056,0.06443,20.20078,1.15010,
1545.90132,0.63132,-1.19846,1.22288,-0.06311,0.06439,20.20730,,
1546.15132,0.88132,1.26153,1.22197,0.06643,0.06434,20.00596,0.37129,
1546.40550,1.13550,-0.74211,1.33765,-0.03909,0.07043,20.20074,0.84734,
1546.65134,1.38134,-0.42057,1.22052,-0.02214,0.06427,20.09360,0.47691,
1546.90229,1.63229,0.20077,1.27656,0.01058,0.06722,20.13399,0.58752,
1547.15135,1.88135,-1.15105,1.22197,-0.06063,0.06434,19.95286,0.26033,
1547.40136,2.13136,-0.16007,1.22270,-0.00843,0.06438,20.11812,0.55563,
1547.65136,2.38136,0.01435,1.22327,0.00076,0.06441,20.14718,0.63710,
1547.90137,2.63137,0.22088,1.22218,0.01162,0.06436,20.13401,0.64841,
1548.15137,2.88137,0.24545,1.22155,0.01293,0.06432,20.18557,0.78445,
1548.40138,3.13138,-0.23347,1.22349,-0.01228,0.06442,20.04687,0.39892,
1548.65139,3.38138,0.41006,1.22486,0.02159,0.06449,20.15008,0.59142,
1548.90139,3.63139,-1.18488,1.22373,-0.06238,0.06443,20.13935,0.60462,
1549.15139,3.88139,2.23247,1.22109,0.11755,0.06430,19.98893,0.37827,
1549.38057,4.11057,0.66823,1.33510,0.03519,0.07030,20.11163,0.51050,
1549.65140,4.38140,-0.67786,1.21527,-0.03570,0.06399,20.17758,0.88560,
1549.90141,4.63141,1.77969,1.21936,0.09372,0.06421,19.94645,0.32122,
1550.15141,4.88141,2.82160,1.22560,0.14856,0.06453,19.95796,0.31600,
1550.40142,5.13142,2.88037,1.22431,0.15168,0.06446,20.05892,0.41489,
1550.65143,5.38143,2.00730,1.22193,0.10569,0.06434,20.02524,0.38830,
1550.90143,5.63143,2.11054,1.22385,0.11113,0.06444,20.03985,0.40719,
1551.15143,5.88143,1.37497,1.22534,0.07240,0.06452,20.12778,0.56550,
1551.40144,6.13144,3.82733,1.22381,0.20152,0.06444,19.83347,0.26465,
1551.65144,6.38144,1.72207,1.22430,0.09068,0.06446,20.08412,0.43360,
1551.90145,6.63145,2.83042,1.22431,0.14903,0.06446,20.01541,0.39669,
1552.15145,6.88145,4.17258,1.22409,0.21969,0.06445,19.97627,0.35794,
1552.40145,7.13145,5.44576,1.22409,0.28674,0.06445,19.77146,0.28326,
1552.65493,7.38493,5.93231,1.41485,0.31234,0.07450,19.67327,0.26099,
1552.90146,7.63146,3.82552,1.22663,0.20142,0.06459,19.87053,0.28380,
1553.15146,7.88146,6.48284,1.22648,0.34136,0.06458,19.63778,0.22339,
1553.40147,8.13147,8.04696,1.22658,0.42371,0.06458,19.46249,0.20319,
1553.65147,8.38147,6.84238,1.22656,0.36028,0.06458,19.59175,0.22109,
1553.90147,8.63147,7.96298,1.22966,0.41929,0.06475,19.41610,0.18830,
1554.15147,8.88148,8.96936,1.23056,0.47228,0.06480,19.30116,0.16470,
1554.40148,9.13148,11.59678,1.22858,0.61063,0.06469,19.02046,0.13079,
1554.65148,9.38148,9.95952,1.22588,0.52442,0.06455,19.18718,0.14588,
1554.90148,9.63148,8.85850,1.22545,0.46644,0.06453,19.28270,0.15955,
1555.15148,9.88148,12.63364,1.22757,0.66522,0.06464,18.91823,0.11813,
1555.40148,10.13148,11.46085,1.22937,0.60347,0.06474,19.04090,0.13531,
1557.66191,12.39191,17.99753,1.75115,0.94765,0.09221,18.51935,0.11375,
1557.90150,12.63149,10.64714,1.58446,0.56063,0.08343,19.13704,0.19394,
1558.15150,12.88150,5.34059,1.55169,0.28121,0.08171,19.74781,0.33003,
1558.40150,13.13150,8.53217,1.59508,0.44928,0.08399,19.39056,0.21905,
1558.65596,13.38596,12.22530,2.14031,0.64374,0.11270,19.02867,0.26907,
1558.91003,13.64003,9.10260,1.66977,0.47932,0.08793,19.23195,0.20856,
1559.15150,13.88150,7.13202,1.53665,0.37555,0.08091,19.52602,0.27124,
1559.40151,14.13150,7.22789,1.46880,0.38058,0.07734,19.51859,0.25916,
1559.65151,14.38151,7.75450,1.39649,0.40832,0.07353,19.52819,0.25743,
1559.90151,14.63151,12.39723,1.45371,0.65278,0.07655,19.00843,0.16900,
1560.15151,14.88151,16.80344,1.27810,0.88477,0.06730,18.58976,0.08727,
1560.40151,15.13151,18.66007,1.25494,0.98252,0.06608,18.49859,0.08343,
1560.65151,15.38151,17.53703,1.24372,0.92341,0.06549,18.54890,0.08358,
1560.90151,15.63151,18.90938,1.23863,0.99567,0.06522,18.48254,0.08100,
1561.15151,15.88151,17.77939,1.23546,0.93618,0.06506,18.53938,0.08323,
1561.40151,16.13151,18.35849,1.23470,0.96666,0.06501,18.51162,0.08313,
1561.65151,16.38151,21.03454,1.23147,1.10757,0.06484,18.33724,0.06584,
1561.90151,16.63151,20.49150,1.23059,1.07898,0.06480,18.36801,0.06780,
1562.15152,16.88152,19.05357,1.23123,1.00326,0.06483,18.46486,0.07724,
1562.40152,17.13152,21.36814,1.23170,1.12513,0.06486,18.32358,0.06533,
1562.65152,17.38152,18.38260,1.22987,0.96794,0.06476,18.49202,0.07633,
1562.89110,17.62110,19.19225,1.28232,1.01056,0.06752,18.45044,0.07864,
1563.16193,17.89193,17.91964,1.29819,0.94356,0.06836,18.51730,0.08286,
1563.40151,18.13151,21.20976,1.23242,1.11681,0.06489,18.33904,0.06740,
1563.65057,18.38057,18.77438,1.28997,0.98856,0.06792,18.46138,0.07727,
1563.90151,18.63151,20.01586,1.23339,1.05394,0.06494,18.40587,0.07244,
1564.15151,18.88151,15.79415,1.23300,0.83163,0.06493,18.67889,0.09525,
1564.40151,19.13151,20.01950,1.23338,1.05413,0.06494,18.40373,0.07296,
1564.65151,19.38151,18.33943,1.23273,0.96567,0.06491,18.49808,0.07816,
1564.90151,19.63151,17.75508,1.23037,0.93489,0.06478,18.54040,0.08242,
1565.15151,19.88151,18.80138,1.23069,0.98998,0.06481,18.47293,0.07653,
1565.40151,20.13151,19.21550,1.23000,1.01179,0.06477,18.46267,0.08024,
1565.65151,20.38151,17.79748,1.22833,0.93712,0.06468,18.51470,0.07659,
1565.90151,20.63151,16.94738,1.22827,0.89236,0.06468,18.57465,0.08177,
1566.15150,20.88150,21.79594,1.34565,1.14767,0.07086,18.30073,0.06948,
1566.40150,21.13150,19.79855,1.23117,1.04249,0.06483,18.42211,0.07372,
1566.65150,21.38150,19.83388,1.23212,1.04436,0.06487,18.40523,0.07043,
1566.80775,21.53775,17.41517,2.45773,0.91700,0.12940,18.54013,0.15716,
