BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1558.80755,0.13755,-2.80378,1.00915,-0.50005,0.17998,20.39190,1.06080,
1559.06797,0.39797,-0.18701,1.04544,-0.03336,0.18645,20.24977,0.42386,
1559.31796,0.64796,-3.72563,1.03217,-0.66446,0.18408,20.40780,,
1559.56796,0.89796,-0.49673,1.01321,-0.08859,0.18071,20.31393,0.51742,
1559.80129,1.13129,0.83202,1.08694,0.14840,0.19385,20.32699,0.59659,
1560.06795,1.39795,3.54995,0.97034,0.63312,0.17306,20.02283,0.27454,
1560.31795,1.64795,2.93962,0.95930,0.52427,0.17108,20.08178,0.29891,
1560.56794,1.89794,-1.44965,0.94969,-0.25854,0.16937,20.29345,0.43585,
1560.81794,2.14794,1.74297,0.94307,0.31086,0.16819,20.20281,0.40579,
1561.06793,2.39793,-1.02038,0.93772,-0.18198,0.16724,20.36144,0.68370,
1561.31793,2.64793,1.51161,0.93387,0.26958,0.16655,20.07109,0.26069,
1561.56793,2.89793,1.19968,0.93261,0.21396,0.16632,20.17024,0.32891,
1561.81792,3.14792,0.16946,0.93171,0.03023,0.16617,20.31369,0.59781,
1562.06792,3.39792,1.26968,0.93157,0.22645,0.16614,20.30296,0.40583,
1562.31791,3.64791,0.98658,0.93267,0.17595,0.16634,20.24302,0.36084,
1562.56790,3.89790,0.18068,0.93363,0.03223,0.16651,20.33967,0.47288,
1562.81790,4.14790,0.76835,0.93288,0.13703,0.16638,20.26758,0.46733,
1563.07623,4.40623,1.63137,1.02001,0.29096,0.18192,20.25789,0.41507,
1563.31789,4.64789,1.16252,0.93099,0.20733,0.16604,20.28293,0.46432,
1563.55936,4.88936,1.15055,0.97248,0.20519,0.17344,20.25590,0.43553,
1563.81788,5.14788,2.78652,0.93245,0.49697,0.16630,20.08107,0.27568,
1564.06787,5.39787,2.84756,0.93089,0.50784,0.16602,20.04398,0.26696,
1564.31787,5.64787,2.52160,0.92950,0.44972,0.16578,20.09486,0.27588,
1564.56786,5.89786,0.57682,0.92938,0.10288,0.16575,20.24606,0.45248,
1564.81785,6.14785,3.04034,0.92946,0.54223,0.16577,20.15901,0.30096,
1565.06785,6.39785,3.03718,0.93019,0.54167,0.16590,20.13561,0.30533,
1565.31784,6.64784,4.00669,0.93100,0.71459,0.16604,20.00741,0.25701,
1565.56783,6.89783,1.45979,0.93119,0.26035,0.16608,20.21298,0.39416,
1565.81783,7.14783,3.09076,0.93217,0.55124,0.16625,20.02990,0.27846,
1566.05115,7.38115,2.25769,1.02302,0.40266,0.18246,20.20203,0.40618,
1566.31781,7.64781,3.69552,0.93293,0.65910,0.16639,19.89809,0.21051,
1566.56781,7.89781,3.72645,0.93233,0.66461,0.16628,19.92009,0.20486,
1566.81780,8.14780,2.46437,0.93023,0.43952,0.16590,20.09813,0.30911,
1567.06779,8.39779,5.63013,0.93145,1.00413,0.16613,19.75323,0.17889,
1567.33445,8.66445,3.57529,1.02134,0.63765,0.18215,19.92453,0.21852,
1567.56777,8.89777,5.68626,0.93358,1.01413,0.16650,19.81613,0.20584,
1567.81777,9.14777,4.57487,0.93075,0.81591,0.16600,19.98783,0.24192,
1568.06776,9.39776,4.85187,0.93164,0.86532,0.16616,19.90904,0.23420,
1568.31775,9.64775,5.74036,0.93143,1.02377,0.16612,19.77538,0.18555,
1568.45316,9.78316,1.78280,3.23180,0.31800,0.57640,20.40780,,
