BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1544.82852,-13.54148,3.1230,4.7062,0.2197,0.3310,20.3964,1.6361,
1544.87019,-13.49981,-2.7235,4.6408,-0.1916,0.3264,20.5754,,
1544.89102,-13.47898,5.5399,4.5959,0.3897,0.3233,19.7740,0.9007,
1544.91185,-13.45815,-3.1805,4.5587,-0.2237,0.3207,20.5754,,
1544.93269,-13.43731,-8.1021,4.5483,-0.5699,0.3199,20.5754,,
1544.95352,-13.41648,-7.9360,4.5064,-0.5582,0.3170,20.5754,,
1544.97435,-13.39565,-2.7459,4.4710,-0.1932,0.3145,20.5754,,
1544.99519,-13.37481,-14.0222,4.4282,-0.9864,0.3115,20.5754,,
1545.01602,-13.35398,3.3786,4.4124,0.2377,0.3104,20.3109,1.4179,
1545.03685,-13.33315,-1.1244,4.3903,-0.0791,0.3088,20.5754,,
1545.05769,-13.31231,4.7152,4.3549,0.3317,0.3063,19.9491,1.0028,
1545.07852,-13.29148,3.6223,4.3426,0.2548,0.3055,20.2354,1.3017,
1545.09936,-13.27064,-0.8218,4.3071,-0.0578,0.3030,20.5754,,
1545.12019,-13.24981,-3.3915,4.2746,-0.2386,0.3007,20.5754,,
1545.14102,-13.22898,5.8892,4.2423,0.4143,0.2984,19.7077,0.7821,
1545.16186,-13.20814,0.2594,4.2130,0.0182,0.2964,20.5754,,
1545.18269,-13.18731,-0.8798,4.1929,-0.0619,0.2949,20.5754,,
1545.20352,-13.16648,-4.9987,4.1683,-0.3516,0.2932,20.5754,,
1545.22436,-13.14564,-1.6496,4.1515,-0.1160,0.2920,20.5754,,
1545.24519,-13.12481,3.1617,4.1363,0.2224,0.2910,20.3830,1.4204,
1545.26602,-13.10398,3.2341,4.1211,0.2275,0.2899,20.3584,1.3835,
1545.28686,-13.08314,-1.1696,4.1070,-0.0823,0.2889,20.5754,,
1545.30769,-13.06231,2.3865,4.0900,0.1679,0.2877,20.5754,,
1545.32852,-13.04148,8.5535,4.0725,0.6017,0.2865,19.3024,0.5169,
1545.34936,-13.02064,1.9539,4.0542,0.1374,0.2852,20.5754,,
1545.37019,-12.99981,-5.9318,4.0300,-0.4173,0.2835,20.5754,,
1545.39102,-12.97898,3.2577,4.0152,0.2292,0.2824,20.3505,1.3382,
1545.41186,-12.95814,2.5087,3.9984,0.1765,0.2813,20.5754,,
1545.43269,-12.93731,-6.5227,3.9777,-0.4588,0.2798,20.5754,,
1545.45352,-12.91648,2.3438,3.9694,0.1649,0.2792,20.5754,,
1545.47436,-12.89564,-2.6763,3.9515,-0.1883,0.2780,20.5754,,
1545.49519,-12.87481,-5.2060,3.9512,-0.3662,0.2779,20.5754,,
1545.51602,-12.85398,1.7518,3.9500,0.1232,0.2778,20.5754,,
1545.53686,-12.83314,-1.1601,3.9426,-0.0816,0.2773,20.5754,,
1545.55769,-12.81231,-0.6682,3.9476,-0.0470,0.2777,20.5754,,
1545.57852,-12.79148,2.9471,3.9455,0.2073,0.2775,20.4593,1.4535,
1545.59936,-12.77064,-0.8101,3.9444,-0.0570,0.2775,20.5754,,
1545.62019,-12.74981,-6.1645,3.9428,-0.4336,0.2773,20.5754,,
1545.64102,-12.72898,-3.2635,3.9381,-0.2296,0.2770,20.5754,,
1545.66186,-12.70814,2.7907,3.9414,0.1963,0.2772,20.5185,1.5334,
1545.68269,-12.68731,2.8539,3.9404,0.2008,0.2772,20.4942,1.4991,
1545.70352,-12.66648,-0.5836,3.9391,-0.0411,0.2771,20.5754,,
1545.72436,-12.64564,-0.8377,3.9413,-0.0589,0.2772,20.5754,,
1545.74519,-12.62481,-2.7424,3.9406,-0.1929,0.2772,20.5754,,
1545.76603,-12.60397,-2.2033,3.9386,-0.1550,0.2770,20.5754,,
1545.78686,-12.58314,0.3521,3.9353,0.0248,0.2768,20.5754,,
1545.80769,-12.56231,5.5147,3.9397,0.3879,0.2771,19.7790,0.7757,
1545.82853,-12.54147,2.5757,3.9453,0.1812,0.2775,20.5754,,
1545.84936,-12.52064,-0.7626,3.9354,-0.0536,0.2768,20.5754,,
1545.87019,-12.49981,-0.5654,3.9424,-0.0398,0.2773,20.5754,,
1545.89103,-12.47897,1.1333,3.9388,0.0797,0.2771,20.5754,,
1545.91186,-12.45814,-5.6593,3.9330,-0.3981,0.2767,20.5754,,
1545.93269,-12.43731,-1.3029,3.9395,-0.0916,0.2771,20.5754,,
1545.95353,-12.41647,-4.8436,3.9311,-0.3407,0.2765,20.5754,,
1545.97436,-12.39564,-1.5734,3.9378,-0.1107,0.2770,20.5754,,
1545.99519,-12.37481,-2.6119,3.9369,-0.1837,0.2769,20.5754,,
1546.01603,-12.35397,-1.9499,3.9320,-0.1372,0.2766,20.5754,,
1546.03686,-12.33314,-3.5962,3.9369,-0.2530,0.2769,20.5754,,
1546.05769,-12.31231,-1.7989,3.9391,-0.1265,0.2771,20.5754,,
1546.07853,-12.29147,-2.5273,3.9379,-0.1778,0.2770,20.5754,,
1546.09936,-12.27064,2.7707,3.9444,0.1949,0.2775,20.5263,1.5457,
1546.12019,-12.24981,8.2252,3.9451,0.5786,0.2775,19.3449,0.5208,
1546.14103,-12.22897,5.5392,3.9447,0.3896,0.2775,19.7742,0.7732,
1546.16186,-12.20814,1.1765,3.9452,0.0828,0.2775,20.5754,,
1546.18269,-12.18731,8.2892,3.9450,0.5831,0.2775,19.3365,0.5167,
1546.20353,-12.16647,2.8677,3.9365,0.2017,0.2769,20.4890,1.4904,
1546.22436,-12.14564,2.6708,3.9431,0.1879,0.2774,20.5662,1.6030,
1546.24519,-12.12481,2.6145,3.9386,0.1839,0.2771,20.5754,,
1546.26603,-12.10397,-2.1412,3.9419,-0.1506,0.2773,20.5754,,
1546.28686,-12.08314,-2.9360,3.9401,-0.2065,0.2772,20.5754,,
1546.30770,-12.06230,-2.3419,3.9280,-0.1647,0.2763,20.5754,,
1546.32853,-12.04147,4.6978,3.9413,0.3305,0.2772,19.9531,0.9109,
1546.34936,-12.02064,-7.0139,3.9381,-0.4934,0.2770,20.5754,,
1546.41186,-11.95814,-1.7531,3.9437,-0.1233,0.2774,20.5754,,
1546.43269,-11.93731,4.2956,3.9400,0.3022,0.2771,20.0503,0.9959,
1546.45353,-11.91647,2.1017,3.9449,0.1478,0.2775,20.5754,,
1546.47436,-11.89564,-2.3571,3.9411,-0.1658,0.2772,20.5754,,
1546.49520,-11.87480,4.4496,3.9410,0.3130,0.2772,20.0120,0.9616,
1546.51603,-11.85397,6.7712,3.9388,0.4763,0.2771,19.5561,0.6316,
1546.53686,-11.83314,0.3574,3.9332,0.0251,0.2767,20.5754,,
1546.55770,-11.81230,-2.3532,3.9321,-0.1655,0.2766,20.5754,,
1546.57853,-11.79147,-0.5621,3.9310,-0.0395,0.2765,20.5754,,
1546.59936,-11.77064,2.3951,3.9438,0.1685,0.2774,20.5754,,
1546.62020,-11.74980,-2.5275,3.9324,-0.1778,0.2766,20.5754,,
1546.64103,-11.72897,6.4945,3.9423,0.4568,0.2773,19.6014,0.6591,
1546.66186,-11.70814,2.1632,3.9358,0.1522,0.2769,20.5754,,
1546.68270,-11.68730,-0.3437,3.9375,-0.0242,0.2770,20.5754,,
1546.70353,-11.66647,-0.5057,3.9365,-0.0356,0.2769,20.5754,,
1546.72436,-11.64564,2.7151,3.9410,0.1910,0.2772,20.5483,1.5759,
1546.74520,-11.62480,-1.0913,3.9340,-0.0768,0.2767,20.5754,,
1546.76603,-11.60397,1.7747,3.9379,0.1248,0.2770,20.5754,,
1546.78686,-11.58314,-1.2298,3.9343,-0.0865,0.2767,20.5754,,
1546.80770,-11.56230,-4.2601,3.9311,-0.2997,0.2765,20.5754,,
1546.82853,-11.54147,3.3569,3.9379,0.2361,0.2770,20.3180,1.2737,
1546.84936,-11.52064,-6.7810,3.9376,-0.4770,0.2770,20.5754,,
1546.87020,-11.49980,-0.2996,3.9311,-0.0211,0.2765,20.5754,,
1546.89103,-11.47897,4.2806,3.9389,0.3011,0.2771,20.0540,0.9991,
1546.91186,-11.45814,6.7703,3.9377,0.4762,0.2770,19.5563,0.6315,
1546.93270,-11.43730,-1.9043,3.9336,-0.1340,0.2767,20.5754,,
1546.95353,-11.41647,0.0296,3.9373,0.0021,0.2770,20.5754,,
1546.97436,-11.39564,5.3496,3.9329,0.3763,0.2767,19.8120,0.7982,
1546.99520,-11.37480,-2.6879,3.9350,-0.1891,0.2768,20.5754,,
1547.01603,-11.35397,1.9670,3.9404,0.1384,0.2772,20.5754,,
1547.03686,-11.33314,2.2727,3.9386,0.1599,0.2770,20.5754,,
1547.05770,-11.31230,3.4468,3.9415,0.2425,0.2773,20.2893,1.2416,
1547.07853,-11.29147,3.8429,3.9402,0.2703,0.2772,20.1712,1.1132,
1547.09936,-11.27064,2.2856,3.9380,0.1608,0.2770,20.5754,,
1547.12020,-11.24980,-7.2165,3.9351,-0.5076,0.2768,20.5754,,
