BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1572.24498,-14.78502,-13.0819,5.1246,-0.6500,0.2546,19.4814,,
1572.32831,-14.70169,-17.2734,5.0421,-0.8583,0.2505,19.4814,,
1572.34914,-14.68086,-12.8394,5.0405,-0.6380,0.2505,19.4814,,
1572.36998,-14.66002,-7.1594,5.0169,-0.3557,0.2493,19.4814,,
1572.39081,-14.63919,-4.2990,4.9821,-0.2136,0.2476,19.4814,,
1572.41164,-14.61836,-3.5895,4.9472,-0.1784,0.2458,19.4814,,
1572.43248,-14.59752,-3.4484,4.9300,-0.1713,0.2450,19.4814,,
1572.45331,-14.57669,2.0974,4.9203,0.1042,0.2445,19.4814,,
1572.47415,-14.55585,2.8056,4.9088,0.1394,0.2439,19.4814,,
1572.49498,-14.53502,-6.8678,4.8918,-0.3413,0.2431,19.4814,,
1572.51581,-14.51419,-8.3880,4.8936,-0.4168,0.2432,19.4814,,
1572.53665,-14.49335,-4.5279,4.8816,-0.2250,0.2426,19.4814,,
1572.55748,-14.47252,-3.1423,4.8767,-0.1561,0.2423,19.4814,,
1572.57831,-14.45169,-1.0568,4.8624,-0.0525,0.2416,19.4814,,
1572.64081,-14.38919,-1.2661,4.8783,-0.0629,0.2424,19.4814,,
1572.66165,-14.36835,-3.4677,4.8753,-0.1723,0.2422,19.4814,,
1572.68248,-14.34752,-3.5493,4.8742,-0.1764,0.2422,19.4814,,
1572.70331,-14.32669,-2.9572,4.8429,-0.1469,0.2406,19.4814,,
1572.72415,-14.30585,-0.2357,4.8540,-0.0117,0.2412,19.4814,,
1572.74498,-14.28502,-2.7175,4.8507,-0.1350,0.2410,19.4814,,
1572.76581,-14.26419,1.5463,4.8297,0.0768,0.2400,19.4814,,
1572.78665,-14.24335,-1.1305,4.8373,-0.0562,0.2404,19.4814,,
1572.80748,-14.22252,2.7736,4.8333,0.1378,0.2402,19.4814,,
1572.82831,-14.20169,0.5205,4.8178,0.0259,0.2394,19.4814,,
1572.84915,-14.18085,-4.3960,4.8150,-0.2184,0.2393,19.4814,,
1572.86998,-14.16002,1.0797,4.7977,0.0536,0.2384,19.4814,,
1572.89082,-14.13918,-6.7691,4.7945,-0.3363,0.2382,19.4814,,
1572.91165,-14.11835,2.6637,4.7930,0.1324,0.2382,19.4814,,
1572.93248,-14.09752,-3.9261,4.7880,-0.1951,0.2379,19.4814,,
