BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1587.16160,0.13160,1.65512,1.31713,0.08225,0.06545,19.46142,0.55530,
1587.42202,0.39202,0.18077,1.35211,0.00899,0.06719,19.48140,,
1587.67201,0.64201,2.70890,1.34703,0.13460,0.06693,19.48140,,
1587.92201,0.89201,6.82097,1.34446,0.33893,0.06681,19.28063,0.20559,
1588.17201,1.14201,6.74919,1.34320,0.33536,0.06674,19.38540,0.34758,
1588.42200,1.39200,7.10272,1.34171,0.35293,0.06667,19.35891,0.21893,
1588.67200,1.64200,7.96270,1.33826,0.39564,0.06649,19.28703,0.19831,
1588.91158,1.88158,7.48363,1.39671,0.37185,0.06940,19.30912,0.21261,
1589.18241,2.15241,6.58308,1.39534,0.32711,0.06933,19.32915,0.22988,
1589.39074,2.36074,7.01776,2.06514,0.34874,0.10262,19.35556,0.32951,
1589.68761,2.65761,5.86441,1.63102,0.29140,0.08104,19.44393,0.52400,
1589.92198,2.89198,7.09717,1.33297,0.35265,0.06624,19.28011,0.19987,
1590.17198,3.14198,6.01177,1.33148,0.29872,0.06616,19.40121,0.28305,
1590.42197,3.39198,8.12647,1.33195,0.40380,0.06618,19.24201,0.19510,
1590.67197,3.64197,8.67817,1.33185,0.43120,0.06618,19.15643,0.16359,
1590.92197,3.89197,9.44474,1.33109,0.46930,0.06614,19.15343,0.16016,
1591.17196,4.14196,8.75654,1.32947,0.43510,0.06606,19.22106,0.17600,
1591.42196,4.39196,8.36381,1.32838,0.41559,0.06601,19.29123,0.19403,
1591.67195,4.64195,10.83907,1.32786,0.53857,0.06597,19.04007,0.13770,
1591.92195,4.89195,9.57123,1.32564,0.47558,0.06587,19.15142,0.16278,
1592.15632,5.12632,9.64574,1.62356,0.47929,0.08067,19.17655,0.20266,
1592.42194,5.39194,10.11379,1.32749,0.50254,0.06597,19.09914,0.14810,
1592.65318,5.62318,9.29085,1.45301,0.46165,0.07220,19.17810,0.18712,
1592.92772,5.89772,10.97357,1.53118,0.54528,0.07608,19.06560,0.17143,
1593.17192,6.14192,8.17778,1.32767,0.40635,0.06597,19.22460,0.17429,
1593.42192,6.39192,8.74445,1.32504,0.43449,0.06584,19.19003,0.16611,
1593.67191,6.64191,10.61508,1.32470,0.52746,0.06582,19.08066,0.14823,
1593.92191,6.89191,8.99813,1.32590,0.44711,0.06588,19.24260,0.18182,
1594.17190,7.14190,10.41609,1.32681,0.51757,0.06593,19.06134,0.14521,
1594.42189,7.39189,13.81610,1.32457,0.68649,0.06582,18.81607,0.11138,
1594.66526,7.63526,13.47603,1.38400,0.66961,0.06877,18.83357,0.11917,
1594.92188,7.89188,15.55832,1.45480,0.77308,0.07228,18.68877,0.11266,
1595.16146,8.13146,14.90882,1.38398,0.74079,0.06877,18.72670,0.10924,
