BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1629.15782,-1.22218,-9.5577,7.4724,-0.0886,0.0693,19.2969,,
1629.22032,-1.15968,1.8933,7.4286,0.0176,0.0689,19.2969,,
1629.24116,-1.13884,-10.7091,7.4131,-0.0993,0.0687,19.2969,,
1629.28282,-1.09718,-3.6398,7.4077,-0.0337,0.0687,19.2969,,
1629.34532,-1.03468,-4.4058,7.3446,-0.0408,0.0681,19.2969,,
1629.38699,-0.99301,-2.9398,7.2554,-0.0273,0.0673,19.2969,,
1629.40782,-0.97218,-6.4480,7.2499,-0.0598,0.0672,19.2969,,
1629.42866,-0.95134,-5.9286,7.2182,-0.0550,0.0669,19.2969,,
1629.44949,-0.93051,9.2749,7.1805,0.0860,0.0666,19.2145,0.8406,
1629.47032,-0.90968,-12.3766,7.1393,-0.1147,0.0662,19.2969,,
1629.49116,-0.88884,1.8391,7.1489,0.0170,0.0663,19.2969,,
1629.51199,-0.86801,-1.3956,7.1816,-0.0129,0.0666,19.2969,,
1629.53282,-0.84718,-4.3064,7.1469,-0.0399,0.0663,19.2969,,
1629.55365,-0.82635,-5.4623,7.1154,-0.0506,0.0660,19.2969,,
1629.57449,-0.80551,-1.2236,7.1311,-0.0113,0.0661,19.2969,,
1629.59532,-0.78468,-10.5271,7.1764,-0.0976,0.0665,19.2969,,
1629.61615,-0.76385,-4.6611,7.1544,-0.0432,0.0663,19.2969,,
1629.63699,-0.74301,8.4070,7.1813,0.0779,0.0666,19.2969,,
1629.65782,-0.72218,-0.7426,7.1778,-0.0069,0.0665,19.2969,,
1629.67865,-0.70135,-2.8697,7.1651,-0.0266,0.0664,19.2969,,
1629.69949,-0.68051,0.5151,7.1915,0.0048,0.0667,19.2969,,
1629.72032,-0.65968,8.6732,7.1594,0.0804,0.0664,19.2874,0.8962,
1629.74115,-0.63885,-3.6580,7.1712,-0.0339,0.0665,19.2969,,
1629.76199,-0.61801,13.6479,7.1762,0.1265,0.0665,18.7951,0.5709,
1629.78282,-0.59718,3.2768,7.1721,0.0304,0.0665,19.2969,,
1629.80365,-0.57635,-4.7086,7.1681,-0.0437,0.0665,19.2969,,
1629.82449,-0.55551,2.1138,7.2091,0.0196,0.0668,19.2969,,
1629.84532,-0.53468,6.1471,7.2355,0.0570,0.0671,19.2969,,
1629.86615,-0.51385,2.4520,7.2327,0.0227,0.0671,19.2969,,
1629.88699,-0.49301,-2.6784,7.2287,-0.0248,0.0670,19.2969,,
1629.90782,-0.47218,0.9295,7.2663,0.0086,0.0674,19.2969,,
1629.92865,-0.45135,-1.9725,7.2712,-0.0183,0.0674,19.2969,,
1629.94949,-0.43051,7.9813,7.2568,0.0740,0.0673,19.2969,,
1629.97032,-0.40968,-0.7763,7.2259,-0.0072,0.0670,19.2969,,
1629.99115,-0.38885,-1.0004,7.2299,-0.0093,0.0670,19.2969,,
1630.01199,-0.36801,-9.8748,7.2445,-0.0915,0.0672,19.2969,,
1630.03282,-0.34718,4.2368,7.2122,0.0393,0.0669,19.2969,,
1630.05365,-0.32635,-6.1206,7.1464,-0.0567,0.0663,19.2969,,
1630.07449,-0.30551,12.2056,7.1486,0.1132,0.0663,18.9164,0.6359,
1630.09532,-0.28468,1.5047,7.1283,0.0139,0.0661,19.2969,,
1630.11615,-0.26385,-3.3653,7.0978,-0.0312,0.0658,19.2969,,
1630.13699,-0.24301,10.8165,7.0693,0.1003,0.0655,19.0476,0.7096,
1630.15782,-0.22218,7.0205,7.0597,0.0651,0.0654,19.2969,,
1630.17865,-0.20135,6.7452,7.0482,0.0625,0.0653,19.2969,,
1630.19948,-0.18052,8.9262,7.0378,0.0828,0.0652,19.2561,0.8560,
1630.22032,-0.15968,7.5373,7.0408,0.0699,0.0653,19.2969,,
1630.24115,-0.13885,8.6591,7.0331,0.0803,0.0652,19.2891,0.8819,
1630.26198,-0.11802,-0.7836,7.0442,-0.0073,0.0653,19.2969,,
1630.28282,-0.09718,6.1651,7.0075,0.0572,0.0650,19.2969,,
1630.30365,-0.07635,-0.2916,7.0029,-0.0027,0.0649,19.2969,,
1630.32448,-0.05552,5.5264,6.9902,0.0512,0.0648,19.2969,,
1630.34532,-0.03468,-2.3254,6.9652,-0.0216,0.0646,19.2969,,
1630.36615,-0.01385,-3.7965,6.9300,-0.0352,0.0642,19.2969,,
1630.38698,0.00698,5.1413,6.8924,0.0477,0.0639,19.2969,,
1630.40782,0.02782,11.1255,6.8745,0.1031,0.0637,19.0170,0.6709,
1630.42865,0.04865,4.7509,6.8587,0.0440,0.0636,19.2969,,
1630.44948,0.06948,7.1448,6.8448,0.0662,0.0635,19.2969,,
1630.47032,0.09032,7.2942,6.8165,0.0676,0.0632,19.2969,,
1630.49115,0.11115,12.5764,6.7745,0.1166,0.0628,18.8839,0.5848,
1630.51198,0.13198,8.1278,6.7899,0.0753,0.0629,19.2969,,
1630.53282,0.15282,10.7662,6.8178,0.0998,0.0632,19.0526,0.6876,
1630.55365,0.17365,9.6934,6.7933,0.0899,0.0630,19.1666,0.7609,
1630.57448,0.19448,9.2832,6.8041,0.0861,0.0631,19.2136,0.7958,
1630.59532,0.21532,14.8203,6.8011,0.1374,0.0630,18.7057,0.4983,
1630.61615,0.23615,8.1086,6.8106,0.0752,0.0631,19.2969,,
1630.63698,0.25698,14.7025,6.8337,0.1363,0.0634,18.7143,0.5047,
1630.65782,0.27782,5.6231,6.8413,0.0521,0.0634,19.2969,,
1630.67865,0.29865,16.7926,6.8513,0.1557,0.0635,18.5700,0.4430,
1630.69948,0.31948,11.1739,6.8546,0.1036,0.0635,19.0123,0.6660,
1630.72032,0.34032,18.7063,6.8573,0.1734,0.0636,18.4528,0.3980,
1630.74115,0.36115,13.3033,6.8632,0.1233,0.0636,18.8229,0.5601,
1630.76198,0.38198,7.2616,6.8580,0.0673,0.0636,19.2969,,
1630.78281,0.40281,2.4289,6.8588,0.0225,0.0636,19.2969,,
1630.80365,0.42365,14.7566,6.8476,0.1368,0.0635,18.7103,0.5038,
1630.82448,0.44448,13.1268,6.8590,0.1217,0.0636,18.8374,0.5673,
1630.84531,0.46531,7.8029,6.8814,0.0723,0.0638,19.2969,,
1630.86615,0.48615,12.9531,6.9111,0.1201,0.0641,18.8519,0.5793,
1630.88698,0.50698,20.1739,6.8858,0.1870,0.0638,18.3708,0.3706,
1630.90781,0.52781,15.4680,6.9016,0.1434,0.0640,18.6592,0.4844,
1630.92865,0.54865,11.3401,6.9006,0.1051,0.0640,18.9963,0.6607,
1630.94948,0.56948,25.2401,6.9407,0.2340,0.0643,18.1276,0.2986,
1630.97031,0.59031,19.8316,6.9330,0.1838,0.0643,18.3894,0.3796,
1630.99115,0.61115,14.8870,6.8915,0.1380,0.0639,18.7008,0.5026,
1631.01198,0.63198,11.9853,6.9006,0.1111,0.0640,18.9362,0.6251,
1631.03281,0.65281,26.5983,6.8696,0.2466,0.0637,18.0707,0.2804,
1631.05365,0.67365,21.1385,6.8483,0.1960,0.0635,18.3201,0.3517,
1631.07448,0.69448,12.8175,6.8554,0.1188,0.0636,18.8633,0.5807,
1631.09531,0.71531,24.2266,6.8398,0.2246,0.0634,18.1721,0.3065,
1631.11615,0.73615,20.0856,6.8052,0.1862,0.0631,18.3756,0.3679,
1631.13698,0.75698,20.8173,6.8142,0.1930,0.0632,18.3367,0.3554,
1631.15781,0.77781,30.5564,6.7879,0.2833,0.0629,17.9200,0.2412,
1631.17865,0.79865,17.8060,6.7754,0.1651,0.0628,18.5064,0.4131,
1631.19948,0.81948,15.5766,6.7737,0.1444,0.0628,18.6516,0.4722,
1631.28281,0.90281,29.0532,6.7591,0.2693,0.0627,17.9748,0.2526,
1631.30365,0.92365,26.8814,6.7725,0.2492,0.0628,18.0592,0.2735,
1631.34531,0.96531,30.9883,6.7062,0.2873,0.0622,17.9048,0.2350,
1631.36614,0.98614,36.9546,6.6857,0.3426,0.0620,17.7136,0.1964,
1631.38698,1.00698,33.9301,6.6818,0.3145,0.0619,17.8063,0.2138,
1631.40781,1.02781,35.3092,6.6829,0.3273,0.0620,17.7631,0.2055,
1631.42864,1.04864,29.9470,6.6257,0.2776,0.0614,17.9419,0.2402,
1631.44948,1.06948,34.4658,6.6434,0.3195,0.0616,17.7893,0.2093,
1631.47031,1.09031,39.6792,6.6473,0.3678,0.0616,17.6364,0.1819,
1631.49114,1.11114,27.3566,6.6111,0.2536,0.0613,18.0401,0.2624,
1631.51198,1.13198,33.3610,6.6012,0.3093,0.0612,17.8247,0.2148,
1631.53281,1.15281,33.6745,6.6221,0.3122,0.0614,17.8145,0.2135,
1631.55364,1.17364,38.2067,6.6276,0.3542,0.0614,17.6775,0.1883,
1631.57448,1.19448,43.1299,6.6323,0.3998,0.0615,17.5459,0.1670,
1631.59531,1.21531,37.0200,6.6219,0.3432,0.0614,17.7117,0.1942,
1631.61614,1.23614,42.8646,6.6418,0.3974,0.0616,17.5526,0.1682,
1631.63698,1.25698,36.8665,6.6346,0.3418,0.0615,17.7162,0.1954,
1631.65781,1.27781,45.0498,6.6271,0.4176,0.0614,17.4986,0.1597,
1631.67864,1.29864,35.5814,6.6321,0.3299,0.0615,17.7547,0.2024,
1631.69948,1.31948,31.7333,6.6633,0.2942,0.0618,17.8790,0.2280,
1631.72031,1.34031,43.8109,6.6524,0.4061,0.0617,17.5288,0.1649,
1631.74114,1.36114,40.0908,6.6546,0.3717,0.0617,17.6252,0.1802,
1631.76198,1.38198,44.0415,6.6314,0.4083,0.0615,17.5231,0.1635,
1631.78281,1.40281,34.1566,6.6565,0.3166,0.0617,17.7991,0.2116,
1631.80364,1.42364,46.2156,6.6546,0.4284,0.0617,17.4708,0.1563,
1631.82448,1.44448,39.3882,6.6460,0.3651,0.0616,17.6444,0.1832,
1631.84531,1.46531,34.5155,6.6458,0.3200,0.0616,17.7878,0.2091,
1631.86614,1.48614,36.7819,6.6526,0.3410,0.0617,17.7187,0.1964,
1631.88698,1.50698,43.9046,6.6584,0.4070,0.0617,17.5265,0.1647,
1631.90781,1.52781,54.1247,6.6943,0.5018,0.0621,17.2993,0.1343,
1631.94947,1.56947,48.9352,6.6270,0.4537,0.0614,17.4087,0.1470,
1631.97031,1.59031,49.3944,6.6684,0.4579,0.0618,17.3986,0.1466,
1631.99114,1.61114,37.0742,6.6472,0.3437,0.0616,17.7101,0.1947,
1632.03281,1.65281,46.4856,6.6283,0.4309,0.0614,17.4645,0.1548,
1632.05364,1.67364,45.1803,6.6293,0.4188,0.0615,17.4954,0.1593,
1632.07447,1.69447,51.1554,6.6000,0.4742,0.0612,17.3606,0.1401,
1632.09531,1.71531,56.4905,6.5882,0.5237,0.0611,17.2529,0.1266,
1632.11614,1.73614,39.1432,6.5868,0.3629,0.0611,17.6512,0.1827,
1632.13697,1.75697,44.9755,6.5747,0.4169,0.0610,17.5004,0.1587,
1632.17864,1.79864,52.7882,6.5709,0.4894,0.0609,17.3265,0.1351,
1632.19947,1.81947,45.4144,6.5477,0.4210,0.0607,17.4898,0.1565,
1632.22031,1.84031,52.4954,6.5540,0.4867,0.0608,17.3325,0.1356,
1632.24114,1.86114,46.4195,6.5669,0.4303,0.0609,17.4661,0.1536,
1632.28281,1.90281,46.9137,6.5648,0.4349,0.0609,17.4546,0.1519,
1632.30364,1.92364,62.3745,6.5605,0.5782,0.0608,17.1453,0.1142,
1632.32447,1.94447,49.9465,6.5347,0.4630,0.0606,17.3865,0.1421,
1632.34531,1.96531,50.6815,6.5096,0.4698,0.0603,17.3707,0.1395,
