BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1669.64689,0.14689,-1.34468,0.57361,-0.02262,0.00965,20.20768,0.79142,
1669.90731,0.40731,-1.54335,0.52563,-0.02595,0.00884,20.19597,0.56520,
1670.16772,0.66772,0.57979,0.51907,0.00977,0.00873,19.87681,0.33033,
1670.41772,0.91772,0.92784,0.48521,0.01560,0.00816,20.04890,0.45598,
1670.66772,1.16771,1.47910,0.49467,0.02487,0.00832,19.83134,0.35801,
1670.91771,1.41771,2.53757,0.49014,0.04268,0.00824,19.52450,0.23939,
1671.16771,1.66771,1.96796,0.48500,0.03310,0.00816,19.67293,0.26834,
1671.41771,1.91771,2.68571,0.44839,0.04516,0.00754,19.44319,0.21590,
1671.66770,2.16770,2.64973,0.46622,0.04455,0.00784,19.53774,0.31791,
1671.90729,2.40729,3.38699,0.52431,0.05695,0.00881,19.24216,0.22926,
1672.19597,2.69597,3.93226,0.62743,0.06613,0.01055,19.08933,0.24837,
1672.38905,2.88905,4.58685,0.57036,0.07714,0.00959,18.85054,0.16406,
1672.66769,3.16769,5.30154,0.51155,0.08914,0.00860,18.66283,0.11693,
1672.91674,3.41674,7.09069,0.48617,0.11923,0.00817,18.34071,0.07954,
1673.16769,3.66769,7.21428,0.46863,0.12131,0.00788,18.33742,0.07831,
1673.41769,3.91769,8.13123,0.45783,0.13672,0.00769,18.19148,0.06660,
1673.66768,4.16768,8.59874,0.46612,0.14458,0.00784,18.12082,0.06130,
1673.91768,4.41768,10.01628,0.46492,0.16842,0.00782,17.95163,0.05247,
1674.16768,4.66768,11.05077,0.44930,0.18583,0.00756,17.84704,0.04618,
1674.41767,4.91767,11.71287,0.46928,0.19696,0.00789,17.77474,0.04427,
1674.66767,5.16767,13.08957,0.49005,0.22011,0.00825,17.65462,0.04175,
1674.91767,5.41767,14.36069,0.46763,0.24146,0.00786,17.55542,0.03640,
1675.16767,5.66767,15.31107,0.48171,0.25746,0.00810,17.48136,0.03453,
1675.40725,5.90725,17.59999,0.59603,0.29596,0.01003,17.33199,0.03734,
1675.66766,6.16766,18.03735,0.48051,0.30331,0.00808,17.30529,0.02968,
1675.91766,6.41766,18.94761,0.47616,0.31861,0.00801,17.25585,0.02807,
1676.16765,6.66765,22.19992,0.47760,0.37330,0.00803,17.07743,0.02350,
1676.41765,6.91765,23.16333,0.54766,0.38950,0.00921,17.03353,0.02697,
1676.66765,7.16765,24.59494,0.47328,0.41356,0.00796,16.96446,0.02094,
1676.91765,7.41765,25.47038,0.48778,0.42830,0.00820,16.92652,0.02089,
1677.16764,7.66764,29.04930,0.50074,0.48848,0.00842,16.78479,0.01880,
1677.41764,7.91764,30.03612,0.51311,0.50507,0.00863,16.74782,0.01871,
1677.66764,8.16764,32.36194,0.49021,0.54418,0.00824,16.66660,0.01652,
1677.91763,8.41763,34.95845,0.50077,0.58784,0.00842,16.58216,0.01557,
1678.16763,8.66763,35.94760,0.49320,0.60447,0.00829,16.55227,0.01492,
1678.41763,8.91763,38.15147,0.50669,0.64152,0.00852,16.48738,0.01445,
1678.65721,9.15721,39.59925,0.52927,0.66587,0.00890,16.44688,0.01463,
1678.92804,9.42804,42.05713,0.51713,0.70722,0.00870,16.38127,0.01336,
1679.16762,9.66762,43.43981,0.50910,0.73045,0.00856,16.34567,0.01273,
1679.41761,9.91761,43.88723,0.48025,0.73796,0.00808,16.33455,0.01192,
1679.66761,10.16761,47.61229,0.48683,0.80060,0.00819,16.24608,0.01109,
1679.91761,10.41761,48.10777,0.46647,0.80893,0.00784,16.23545,0.01055,
1680.16760,10.66760,50.81429,0.48874,0.85445,0.00822,16.17535,0.01046,
1680.41760,10.91760,50.60522,0.48737,0.85093,0.00820,16.18021,0.01047,
1680.66760,11.16760,52.30911,0.47355,0.87958,0.00796,16.14436,0.00988,
1680.91759,11.41759,53.56076,0.48930,0.90065,0.00823,16.11823,0.00991,
1681.16759,11.66759,55.47148,0.49395,0.93277,0.00830,16.08083,0.00971,
1681.41759,11.91759,57.09041,0.50233,0.95999,0.00845,16.04910,0.00957,
1681.66758,12.16758,57.19263,0.50057,0.96171,0.00842,16.04689,0.00951,
1681.91758,12.41758,58.39211,0.52207,0.98188,0.00878,16.02430,0.00972,
1682.07382,12.57382,59.79043,1.03118,1.00540,0.01734,15.99857,0.01873,
