BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1683.36451,-0.49549,-10.2723,3.2335,-0.2547,0.0802,22.3688,,
1683.38534,-0.47466,-11.1830,3.2162,-0.2772,0.0797,22.3688,,
1683.40617,-0.45383,-6.7184,3.0715,-0.1666,0.0761,22.3688,,
1683.42701,-0.43299,-3.8391,3.0638,-0.0952,0.0760,22.3688,,
1683.44784,-0.41216,-4.8893,3.0358,-0.1212,0.0753,22.3688,,
1683.46867,-0.39133,-7.9872,3.0937,-0.1980,0.0767,22.3688,,
1683.48951,-0.37049,-11.7741,3.1585,-0.2919,0.0783,22.3688,,
1683.51034,-0.34966,-11.0505,3.1219,-0.2739,0.0774,22.3688,,
1683.53117,-0.32883,-6.8642,3.1010,-0.1702,0.0769,22.3688,,
1683.55201,-0.30799,-7.1005,3.1511,-0.1760,0.0781,22.3688,,
1683.59367,-0.26633,-4.4836,3.1451,-0.1112,0.0780,22.3688,,
1683.61450,-0.24550,-4.1954,3.0332,-0.1040,0.0752,22.3688,,
1683.65617,-0.20383,-3.9143,3.0027,-0.0970,0.0744,22.3688,,
1683.67700,-0.18300,-10.1575,2.9357,-0.2518,0.0728,22.3688,,
1683.69784,-0.16216,-10.3997,3.0413,-0.2578,0.0754,22.3688,,
1683.71867,-0.14133,-5.7698,3.1362,-0.1430,0.0777,22.3688,,
1683.73950,-0.12050,-9.8877,3.1160,-0.2451,0.0772,22.3688,,
1683.76034,-0.09966,-9.1530,3.1339,-0.2269,0.0777,22.3688,,
1683.78117,-0.07883,-4.9215,3.0656,-0.1220,0.0760,22.3688,,
1683.80200,-0.05800,-11.4237,3.1262,-0.2832,0.0775,22.3688,,
1683.82283,-0.03717,-5.4731,3.1222,-0.1357,0.0774,22.3688,,
1683.84367,-0.01633,-12.5042,3.0883,-0.3100,0.0766,22.3688,,
1683.86450,0.00450,-2.5535,3.0384,-0.0633,0.0753,22.3688,,
1683.90617,0.04617,-5.5469,2.9747,-0.1375,0.0737,22.3688,,
1683.92700,0.06700,-7.8564,3.1001,-0.1948,0.0769,22.3688,,
1683.94783,0.08783,-8.0882,3.1160,-0.2005,0.0772,22.3688,,
1683.96867,0.10867,-10.4051,3.1213,-0.2579,0.0774,22.3688,,
1683.98950,0.12950,-10.1041,3.1035,-0.2505,0.0769,22.3688,,
1684.01033,0.15033,-9.8778,3.0862,-0.2449,0.0765,22.3688,,
1684.03117,0.17117,-6.0886,3.0727,-0.1509,0.0762,22.3688,,
1684.05200,0.19200,-4.6091,3.0427,-0.1143,0.0754,22.3688,,
1684.07283,0.21283,-7.3834,3.0767,-0.1830,0.0763,22.3688,,
1684.09367,0.23367,-8.0269,2.9873,-0.1990,0.0741,22.3688,,
1684.11450,0.25450,-6.5044,3.0365,-0.1612,0.0753,22.3688,,
1684.13533,0.27533,-6.2503,3.0096,-0.1549,0.0746,22.3688,,
1684.15616,0.29616,-7.1726,3.0976,-0.1778,0.0768,22.3688,,
