BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1683.98761,0.12761,-7.32182,0.92437,-0.18151,0.02291,22.36880,,
1684.23950,0.37950,-9.08900,0.86308,-0.22532,0.02140,22.36880,,
1684.49991,0.63991,-5.90753,0.91696,-0.14647,0.02273,22.32376,4.15290,
1684.74991,0.88991,-2.30433,0.97678,-0.05713,0.02421,21.94052,1.62250,
1684.99990,1.13990,-0.56838,0.96753,-0.01409,0.02398,21.51057,0.59874,
1685.24990,1.38990,-2.01618,0.98786,-0.04998,0.02449,22.10677,1.24784,
1685.49990,1.63990,-0.28401,0.96084,-0.00705,0.02382,21.82852,0.61825,
1685.74989,1.88989,0.19198,0.98257,0.00477,0.02436,21.35000,0.59323,
1685.99989,2.13989,0.87088,1.00613,0.02159,0.02494,21.45373,0.59119,
1686.24989,2.38989,-0.52738,0.97588,-0.01308,0.02419,21.50952,0.96371,
1686.49988,2.63988,0.28058,1.01822,0.00694,0.02524,21.50629,0.51346,
1686.74988,2.88988,-1.43929,1.10577,-0.03569,0.02741,21.92946,1.93469,
1686.99988,3.13988,0.19781,1.05739,0.00490,0.02622,21.75769,1.45225,
1687.24987,3.38987,0.71389,1.04827,0.01768,0.02599,21.29692,0.66711,
1687.49987,3.63987,-0.26087,1.00903,-0.00647,0.02502,21.81709,0.99394,
1687.74987,3.88987,0.21302,1.04448,0.00528,0.02589,21.75384,0.81596,
1688.03111,4.17111,-1.57221,1.24414,-0.03898,0.03084,21.80521,1.13918,
1688.24153,4.38153,-3.18530,1.14018,-0.07896,0.02827,22.27166,2.83980,
1688.49986,4.63986,2.41142,1.04723,0.05977,0.02596,20.87311,0.39310,
1688.74986,4.88986,-1.31617,1.07003,-0.03262,0.02652,22.00688,0.84323,
1688.99985,5.13985,-1.08078,1.11845,-0.02680,0.02773,21.76035,1.28108,
1689.25269,5.39269,2.44365,1.15870,0.06058,0.02873,20.87566,0.71803,
1689.50647,5.64647,-1.35305,1.14930,-0.03354,0.02849,21.61995,0.93068,
1689.74984,5.88984,-0.82446,1.03617,-0.02045,0.02569,21.75187,1.35504,
1689.99984,6.13984,0.41337,1.07188,0.01026,0.02657,21.17407,0.57998,
1690.24984,6.38984,2.04419,1.08817,0.05067,0.02698,20.92592,0.44407,
1690.49983,6.63983,0.23352,1.08633,0.00580,0.02693,21.47269,1.37341,
1690.74983,6.88983,3.60425,1.10533,0.08935,0.02740,20.53922,0.63061,
1690.99983,7.13983,1.95191,1.10989,0.04839,0.02752,21.09672,0.36901,
1691.24983,7.38983,1.66988,1.09666,0.04139,0.02719,21.05688,0.47523,
1691.49982,7.63982,3.42747,1.08997,0.08497,0.02702,20.75312,0.61707,
1691.72320,7.86320,3.25210,1.33479,0.08063,0.03309,20.89419,0.98491,
1691.99565,8.13565,5.60391,1.38328,0.13891,0.03430,20.16485,0.85950,
1692.25834,8.39834,6.57636,1.32143,0.16304,0.03276,20.10996,0.46127,
1692.48592,8.62592,10.74067,1.77644,0.26627,0.04403,19.12773,0.22342,
1692.76023,8.90023,6.50074,1.28632,0.16116,0.03189,20.07014,0.40701,
1693.00675,9.14675,9.36053,1.86440,0.23207,0.04622,19.37022,0.33041,
1693.25559,9.39559,10.04843,1.47741,0.24910,0.03663,19.18018,0.18221,
1693.46855,9.60855,10.94545,1.80019,0.27133,0.04463,19.16647,0.32439,
1697.83309,13.97310,14.50530,2.12001,0.35960,0.05254,18.73295,0.16068,
1698.01910,14.15910,15.72233,1.17099,0.38976,0.02903,18.67646,0.09123,
1698.24976,14.38976,16.40964,0.90404,0.40679,0.02241,18.63190,0.06647,
1698.49975,14.63975,19.66712,0.96894,0.48756,0.02402,18.40733,0.05473,
1698.74975,14.88975,20.29360,0.97843,0.50310,0.02425,18.37462,0.05384,
1698.99975,15.13975,24.05266,0.99802,0.59627,0.02474,18.18709,0.04615,
1699.24975,15.38974,22.40121,0.96864,0.55534,0.02402,18.26212,0.04753,
1699.49974,15.63974,27.69912,1.00812,0.68668,0.02499,18.04360,0.04102,
1699.74974,15.88974,30.99603,1.03618,0.76842,0.02569,17.91095,0.03692,
1699.99974,16.13974,28.31597,1.00432,0.70198,0.02489,18.01169,0.03933,
1700.24973,16.38973,28.03415,0.97682,0.69499,0.02422,18.03532,0.04020,
1700.49973,16.63973,31.12972,0.97455,0.77172,0.02416,17.90411,0.03438,
1700.74973,16.88973,32.85680,0.97699,0.81454,0.02422,17.84784,0.03277,
1700.99973,17.13973,33.81232,0.99689,0.83823,0.02472,17.81822,0.03268,
1701.24972,17.38972,33.63278,0.99929,0.83378,0.02477,17.82441,0.03304,
1701.48931,17.62931,38.47540,1.10804,0.95382,0.02746,17.68168,0.03226,
1701.76847,17.90847,37.65047,1.19207,0.93337,0.02955,17.70372,0.03526,
1701.99972,18.13972,40.35190,1.06253,1.00033,0.02634,17.62303,0.02894,
1702.24971,18.38971,36.44331,1.01387,0.90344,0.02514,17.73353,0.03063,
1702.49971,18.63971,39.34026,1.04255,0.97526,0.02584,17.65020,0.02908,
1702.74971,18.88971,36.75708,1.04899,0.91122,0.02601,17.72553,0.03144,
1702.99971,19.13971,36.69921,1.03700,0.90980,0.02571,17.72618,0.03114,
1703.24970,19.38970,38.91522,1.06116,0.96473,0.02631,17.66034,0.02985,
1703.49970,19.63970,40.59177,1.08314,1.00630,0.02685,17.61823,0.02938,
1703.68720,19.82720,41.66580,1.57291,1.03292,0.03899,17.58917,0.04140,
