BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1690.75815,0.12815,3.68026,1.23436,0.17135,0.05747,19.81031,0.27926,
1691.01857,0.38856,4.76759,1.33017,0.22197,0.06193,19.78880,0.28249,
1691.26856,0.63856,3.89881,1.33685,0.18153,0.06224,19.88293,0.34043,
1691.51856,0.88856,5.14922,1.33216,0.23973,0.06202,19.67762,0.26099,
1691.74887,1.11887,7.32356,1.55398,0.34097,0.07235,19.52687,0.26223,
1692.01854,1.38855,11.93762,1.52584,0.55580,0.07104,18.97467,0.15089,
1692.25813,1.62813,5.64154,1.64278,0.26267,0.07649,19.69977,0.34821,
1692.49919,1.86919,11.81521,1.81718,0.55011,0.08460,18.99274,0.18554,
1697.83094,7.20094,18.28010,2.64458,0.85110,0.12312,18.49565,0.16579,
1698.03147,7.40147,20.98398,1.32078,0.97698,0.06150,18.34016,0.07056,
1698.26844,7.63844,19.80177,1.09556,0.92194,0.05101,18.41701,0.06539,
1698.51844,7.88844,13.43753,1.12393,0.62562,0.05233,18.85667,0.10489,
1698.76843,8.13844,12.51841,1.13236,0.58283,0.05272,18.91082,0.10449,
1699.01843,8.38843,11.25080,1.12843,0.52381,0.05254,19.05165,0.11140,
1699.26843,8.63843,11.57872,1.12504,0.53909,0.05239,19.03995,0.13000,
1699.51843,8.88843,14.01613,1.17987,0.65258,0.05493,18.80114,0.10114,
1699.76842,9.13842,13.07164,1.16874,0.60859,0.05442,18.92936,0.12424,
1700.01842,9.38842,16.01592,1.16321,0.74569,0.05416,18.66387,0.08872,
1700.26842,9.63842,15.36238,1.20196,0.71523,0.05596,18.71269,0.10044,
1700.51841,9.88841,14.45463,1.19199,0.67300,0.05549,18.80301,0.11385,
1700.76841,10.13841,15.73436,1.18719,0.73256,0.05528,18.66776,0.08790,
1701.01841,10.38841,16.61380,1.20141,0.77351,0.05593,18.61147,0.08574,
1701.26840,10.63840,15.79877,1.22320,0.73556,0.05695,18.72201,0.11663,
1701.49757,10.86757,15.40768,1.35808,0.71737,0.06323,18.67851,0.09942,
1701.77692,11.14692,16.66709,1.25643,0.77600,0.05850,18.58708,0.08394,
1702.01840,11.38840,18.69448,1.20368,0.87039,0.05604,18.48967,0.07784,
1702.26839,11.63839,16.54097,1.21574,0.77012,0.05660,18.64220,0.09738,
1702.51839,11.88839,17.59563,1.16475,0.81922,0.05423,18.57540,0.08737,
1702.76839,12.13839,17.24232,1.21113,0.80278,0.05639,18.59824,0.08923,
1703.01839,12.38839,16.82519,1.23102,0.78335,0.05731,18.60067,0.08775,
1703.26838,12.63838,18.47202,1.19870,0.86003,0.05581,18.49293,0.07562,
1703.51838,12.88838,17.97448,1.22688,0.83685,0.05712,18.52756,0.08133,
1703.76838,13.13838,17.93203,1.26270,0.83488,0.05879,18.54809,0.09131,
1704.01838,13.38838,16.94689,1.24682,0.78901,0.05805,18.59519,0.08789,
1704.26837,13.63837,15.05291,1.27068,0.70085,0.05916,18.72824,0.10267,
1704.51837,13.88837,18.13401,1.28014,0.84430,0.05960,18.50151,0.07980,
1704.76837,14.13837,16.11115,1.27228,0.75010,0.05924,18.64295,0.09237,
1705.01837,14.38837,15.98869,1.25989,0.74443,0.05866,18.69069,0.08738,
1705.26837,14.63837,17.38302,1.23705,0.80933,0.05760,18.55266,0.08148,
1705.51836,14.88836,19.30086,1.25394,0.89862,0.05838,18.44768,0.07646,
1705.68503,15.05503,24.07863,2.31643,1.12105,0.10785,18.17977,0.10475,
