BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1693.41873,0.07873,-4.81523,1.73391,-0.44475,0.16015,19.56440,,
1697.83536,4.49536,7.85440,2.06915,0.72545,0.19110,19.36550,0.32910,
1698.00649,4.66649,4.61696,1.10529,0.42644,0.10209,19.51837,0.29259,
1698.23119,4.89119,4.00847,0.86859,0.37024,0.08023,19.44426,0.18893,
1698.48119,5.14119,3.27887,0.89220,0.30285,0.08241,19.50187,0.24710,
1698.73118,5.39118,3.27097,0.93717,0.30214,0.08656,19.49784,0.27121,
1698.98118,5.64118,1.92422,0.96565,0.17773,0.08919,19.55087,0.46510,
1699.23118,5.89118,4.15042,0.95344,0.38336,0.08806,19.48241,0.23765,
1699.48117,6.14117,4.58757,1.00154,0.42373,0.09251,19.43488,0.19102,
1699.73117,6.39117,3.21016,1.01722,0.29651,0.09396,19.47817,0.24271,
1699.98117,6.64117,5.59501,0.95642,0.51678,0.08834,19.41258,0.17692,
1700.23116,6.89116,3.05221,0.95610,0.28192,0.08831,19.53495,0.31980,
1700.48116,7.14116,5.36147,0.99015,0.49521,0.09145,19.39905,0.17650,
1700.73116,7.39116,4.85790,0.96348,0.44870,0.08899,19.38179,0.17235,
1700.98115,7.64115,7.58381,0.97267,0.70047,0.08984,19.31958,0.15038,
1701.23115,7.89115,4.21920,0.97776,0.38971,0.09031,19.47067,0.23675,
1701.48114,8.14114,5.90914,0.98684,0.54581,0.09115,19.44875,0.20898,
1701.76008,8.42008,6.55117,1.17457,0.60509,0.10849,19.42879,0.21967,
1701.98114,8.64114,7.99073,1.03268,0.73807,0.09538,19.31877,0.15988,
1702.23113,8.89114,7.83127,0.98678,0.72332,0.09114,19.29528,0.15068,
1702.48113,9.14113,9.59996,1.05150,0.88669,0.09712,19.16169,0.13089,
1702.73113,9.39113,6.58888,1.06456,0.60857,0.09833,19.43899,0.19684,
1702.98113,9.64113,9.32202,1.04983,0.86103,0.09697,19.19807,0.13891,
1703.23112,9.89112,7.71347,1.00880,0.71245,0.09317,19.26427,0.15041,
1703.48112,10.14112,12.04089,1.05616,1.11214,0.09755,18.97567,0.10517,
1703.73112,10.39111,11.39514,1.12593,1.05252,0.10400,19.00033,0.10946,
1703.86653,10.52653,12.16420,4.03330,1.12350,0.37250,18.92010,0.36000,
