BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1698.21138,0.13138,4.23101,1.15745,0.19617,0.05367,19.48901,0.37860,
1698.46137,0.38137,3.30340,1.17583,0.15316,0.05452,19.46604,0.36910,
1698.71137,0.63137,5.96548,1.18996,0.27658,0.05517,19.33176,0.20960,
1698.97179,0.89179,9.80777,1.15237,0.45473,0.05343,19.11612,0.13352,
1699.23220,1.15220,8.20356,1.20186,0.38036,0.05572,19.19631,0.15810,
1699.48220,1.40220,10.11251,1.21895,0.46887,0.05651,19.13299,0.14583,
1699.73219,1.65220,8.97600,1.23576,0.41617,0.05729,19.20525,0.16079,
1699.98219,1.90219,11.01638,1.26377,0.51077,0.05859,19.05724,0.13773,
1700.23219,2.15219,9.32068,1.23946,0.43214,0.05746,19.20461,0.16508,
1700.48219,2.40219,11.38184,1.24662,0.52770,0.05780,18.98737,0.12493,
1700.73219,2.65219,13.70497,1.29805,0.63543,0.06018,18.83253,0.10955,
1700.98218,2.90218,12.23204,1.29708,0.56712,0.06014,18.91156,0.12583,
1701.23218,3.15218,13.97788,1.33238,0.64808,0.06178,18.81612,0.11360,
1701.48218,3.40218,14.65058,1.33326,0.67926,0.06181,18.77608,0.10941,
1701.76111,3.68111,15.01444,1.57459,0.69614,0.07301,18.75469,0.12877,
1701.98217,3.90217,14.32481,1.34068,0.66417,0.06216,18.78915,0.11038,
1702.23217,4.15217,14.39790,1.32290,0.66755,0.06134,18.77075,0.10979,
1702.48217,4.40217,13.81391,1.34387,0.64047,0.06231,18.82034,0.10522,
1702.74466,4.66466,9.78457,1.54197,0.45366,0.07149,19.08925,0.16723,
1702.98216,4.90216,17.17110,1.46633,0.79612,0.06799,18.60024,0.11139,
1703.23216,5.15216,15.96937,1.47076,0.74041,0.06819,18.68429,0.11602,
1703.48216,5.40216,15.35665,1.45031,0.71199,0.06724,18.70516,0.11180,
1703.73215,5.65215,16.22988,1.48554,0.75249,0.06887,18.65603,0.11458,
1703.98215,5.90215,19.09279,1.47922,0.88522,0.06858,18.44948,0.08921,
1704.23215,6.15215,15.89457,1.44813,0.73694,0.06714,18.65767,0.10871,
1704.48214,6.40214,17.43382,1.44277,0.80832,0.06689,18.62596,0.10387,
1704.73214,6.65214,20.35029,1.49633,0.94354,0.06938,18.39021,0.08587,
1704.98214,6.90214,17.17246,1.52084,0.79618,0.07051,18.56419,0.10127,
1705.23214,7.15214,19.46245,1.51319,0.90237,0.07016,18.46564,0.09882,
1705.48213,7.40213,20.74062,1.52879,0.96162,0.07088,18.43420,0.10679,
1705.73213,7.65213,22.44508,1.65133,1.04067,0.07657,18.31772,0.09671,
1706.00296,7.92296,23.06235,1.81840,1.06928,0.08431,18.33855,0.13217,
1706.23212,8.15212,27.72953,1.62228,1.28568,0.07522,18.03784,0.06568,
1706.44045,8.36045,24.75035,1.95322,1.14753,0.09055,18.15675,0.08764,
