BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1725.23358,0.11358,9.09881,1.30005,0.06046,0.00864,19.03712,0.06177,0.00000
1725.49400,0.37400,12.17867,1.54062,0.08092,0.01023,18.92575,0.12303,0.00000
1725.75915,0.63915,13.17040,1.13748,0.08752,0.00755,18.85250,0.08227,0.00000
1726.01692,0.89692,11.67325,1.22312,0.07758,0.00813,18.87395,0.07982,0.00000
1726.25443,1.13443,8.91662,1.19647,0.05924,0.00794,18.99125,0.06707,0.00000
1726.50443,1.38443,9.98546,1.26266,0.06635,0.00839,19.02977,0.06783,0.00000
1726.76485,1.64485,11.36969,1.37340,0.07555,0.00913,18.93691,0.10037,0.00000
1727.00443,1.88443,16.39983,1.29328,0.10896,0.00860,18.63619,0.07270,0.00000
1727.25443,2.13443,15.41710,1.28712,0.10244,0.00855,18.68656,0.09137,0.00000
1727.50443,2.38443,19.55140,1.31617,0.12991,0.00874,18.43135,0.06855,0.00000
1727.75444,2.63444,14.89772,1.34056,0.09898,0.00891,18.70717,0.06566,0.00000
1728.00444,2.88444,17.55468,1.34800,0.11664,0.00896,18.55651,0.08509,0.00000
1728.25444,3.13444,21.70250,1.35876,0.14423,0.00903,18.36008,0.08280,0.00000
1728.49971,3.37971,20.82985,1.45838,0.13841,0.00969,18.39710,0.09023,0.00000
1728.75444,3.63444,25.65898,1.42566,0.17049,0.00947,18.14562,0.06756,0.00000
1729.00539,3.88539,27.95165,1.48345,0.18574,0.00985,18.05977,0.06553,0.00000
1729.25861,4.13861,32.59059,1.57872,0.21654,0.01050,17.85866,0.05381,0.00000
1729.50445,4.38445,31.82628,1.49304,0.21148,0.00992,17.89301,0.05336,0.00000
1729.75445,4.63445,33.35523,1.53995,0.22164,0.01023,17.84297,0.05284,0.00000
1730.00445,4.88445,36.51024,1.52997,0.24260,0.01016,17.75640,0.04954,0.00000
1730.25445,5.13445,37.99253,1.51091,0.25245,0.01004,17.69751,0.04479,0.00000
1730.50445,5.38445,40.58128,1.53992,0.26966,0.01023,17.63507,0.04360,0.00000
1730.75445,5.63445,51.70395,1.61952,0.34356,0.01077,17.38133,0.03669,0.00000
1731.00445,5.88445,53.65762,1.64407,0.35655,0.01093,17.31730,0.03408,0.00000
1731.25445,6.13445,56.21104,1.65873,0.37352,0.01102,17.27118,0.03297,0.00000
1731.50445,6.38445,70.79491,1.75979,0.47043,0.01169,17.01719,0.02756,0.00000
1731.75445,6.63445,72.15966,1.88395,0.47948,0.01252,16.99828,0.02915,0.00000
1732.00446,6.88445,76.94290,1.97290,0.51127,0.01311,16.92041,0.02806,0.00000
1732.25446,7.13446,72.46082,1.98248,0.48149,0.01317,16.98600,0.02998,0.00000
1732.50446,7.38446,69.39143,2.08012,0.46108,0.01383,17.05252,0.03549,0.00000
1732.75446,7.63446,77.73316,2.26080,0.51650,0.01502,16.92999,0.03349,0.00000
1733.00446,7.88446,86.78703,2.35798,0.57667,0.01567,16.79457,0.03015,0.00000
1733.25446,8.13446,75.82519,2.31905,0.50386,0.01541,16.94843,0.03434,0.00000
1733.50863,8.38863,74.02190,2.57479,0.49187,0.01711,16.96773,0.03864,0.00000
1733.75446,8.63446,92.11249,2.59403,0.61207,0.01724,16.77146,0.03351,0.00000
1734.00446,8.88446,113.36765,2.82306,0.75331,0.01876,16.51163,0.02809,0.00000
1734.13988,9.01988,115.29340,9.84380,0.76610,0.06540,16.47830,0.09270,0.00000
1738.77530,13.65530,133.84914,1.64915,0.88941,0.01096,16.31684,0.01340,147.90000
1739.00447,13.88447,135.14901,1.49536,0.89803,0.00994,16.30589,0.01202,147.90000
1739.26299,14.14299,130.79307,1.57464,0.86909,0.01046,16.34165,0.01308,147.90000
1739.50446,14.38446,133.92181,1.51109,0.88988,0.01004,16.31604,0.01226,147.90000
1739.75446,14.63446,135.33216,1.52174,0.89925,0.01011,16.30473,0.01223,147.90000
1740.00446,14.88446,138.71429,1.51969,0.92171,0.01010,16.27841,0.01193,147.90000
1740.26109,15.14109,138.16196,1.60875,0.91805,0.01069,16.28306,0.01267,147.90000
1740.50446,15.38446,137.84003,1.57126,0.91592,0.01044,16.28589,0.01243,147.90000
1740.75445,15.63445,136.94463,1.55221,0.90996,0.01032,16.29204,0.01233,147.90000
1741.00445,15.88445,139.60891,1.55289,0.92768,0.01032,16.27082,0.01209,147.90000
1741.25445,16.13445,136.97717,1.54955,0.91018,0.01029,16.29202,0.01231,147.90000
1741.51297,16.39297,139.98850,1.62237,0.93020,0.01078,16.26786,0.01259,147.90000
1741.67111,16.55111,134.58937,2.75691,0.89430,0.01833,16.31035,0.02224,147.90000
