BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1711.38710,-10.80290,5.3089,4.3286,0.1302,0.1061,19.8203,0.8852,
1711.40794,-10.78206,0.5907,4.3270,0.0145,0.1061,20.5040,,
1711.42877,-10.76123,-3.3866,4.3110,-0.0830,0.1057,20.5040,,
1711.44960,-10.74040,-9.1714,4.3104,-0.2249,0.1057,20.5040,,
1711.47044,-10.71956,8.8915,4.3250,0.2180,0.1060,19.2604,0.5281,
1711.49127,-10.69873,7.3761,4.3254,0.1809,0.1061,19.4632,0.6367,
1711.51210,-10.67790,-1.2036,4.3151,-0.0295,0.1058,20.5040,,
1711.53294,-10.65706,0.2431,4.2904,0.0060,0.1052,20.5040,,
1711.55377,-10.63623,1.2899,4.3110,0.0316,0.1057,20.5040,,
1711.57460,-10.61540,7.2759,4.3104,0.1784,0.1057,19.4781,0.6432,
1711.59544,-10.59456,-4.1495,4.2753,-0.1017,0.1048,20.5040,,
1711.61627,-10.57373,3.7348,4.2666,0.0916,0.1046,20.2021,1.2404,
1711.63710,-10.55290,-4.5397,4.3067,-0.1113,0.1056,20.5040,,
1711.65794,-10.53206,-4.9396,4.2954,-0.1211,0.1053,20.5040,,
1711.67877,-10.51123,-5.5363,4.3019,-0.1357,0.1055,20.5040,,
1711.69961,-10.49039,-0.6414,4.3247,-0.0157,0.1060,20.5040,,
1711.72044,-10.46956,-5.9827,4.3053,-0.1467,0.1056,20.5040,,
1711.74127,-10.44873,-9.4540,4.3046,-0.2318,0.1055,20.5040,,
1711.76211,-10.42789,8.4568,4.2974,0.2074,0.1054,19.3148,0.5517,
1711.78294,-10.40706,-1.7992,4.3060,-0.0441,0.1056,20.5040,,
1711.80377,-10.38623,-0.4491,4.3079,-0.0110,0.1056,20.5040,,
1711.82461,-10.36539,-4.3449,4.2941,-0.1065,0.1053,20.5040,,
1711.84544,-10.34456,0.7072,4.3126,0.0173,0.1057,20.5040,,
1711.86627,-10.32373,4.1703,4.2963,0.1023,0.1053,20.0824,1.1185,
1711.88711,-10.30289,-1.1650,4.3024,-0.0286,0.1055,20.5040,,
1711.90794,-10.28206,3.8270,4.3179,0.0938,0.1059,20.1757,1.2250,
1711.92877,-10.26123,-2.9096,4.2843,-0.0713,0.1050,20.5040,,
1711.94961,-10.24039,-1.7907,4.2934,-0.0439,0.1053,20.5040,,
1711.97044,-10.21956,2.8490,4.2759,0.0699,0.1048,20.4961,1.6295,
1711.99127,-10.19873,-3.6206,4.2734,-0.0888,0.1048,20.5040,,
1712.01211,-10.17789,7.2892,4.2814,0.1787,0.1050,19.4761,0.6377,
1712.03294,-10.15706,6.9930,4.2682,0.1715,0.1046,19.5211,0.6627,
1712.05377,-10.13623,-11.8135,4.2981,-0.2897,0.1054,20.5040,,
1712.07461,-10.11539,0.9276,4.3201,0.0227,0.1059,20.5040,,
1712.09544,-10.09456,5.4982,4.3442,0.1348,0.1065,19.7822,0.8578,
1712.11627,-10.07373,-0.0960,4.3087,-0.0024,0.1056,20.5040,,
1712.13711,-10.05289,10.9498,4.3300,0.2685,0.1062,19.0343,0.4293,
1712.15794,-10.03206,-3.5486,4.3278,-0.0870,0.1061,20.5040,,
1712.17878,-10.01122,-9.8919,4.3192,-0.2425,0.1059,20.5040,,
1712.19961,-9.99039,-3.6991,4.3011,-0.0907,0.1055,20.5040,,
1712.22044,-9.96956,-1.0846,4.3210,-0.0266,0.1059,20.5040,,
1712.24128,-9.94872,-1.6562,4.3174,-0.0406,0.1059,20.5040,,
1712.26211,-9.92789,-2.1155,4.3279,-0.0519,0.1061,20.5040,,
1712.28294,-9.90706,4.0369,4.3541,0.0990,0.1068,20.1177,1.1711,
1712.30378,-9.88622,4.0535,4.3630,0.0994,0.1070,20.1132,1.1686,
1712.32461,-9.86539,-4.0880,4.3572,-0.1002,0.1068,20.5040,,
1712.34544,-9.84456,-0.6910,4.3336,-0.0169,0.1063,20.5040,,
1712.36628,-9.82372,6.3096,4.3362,0.1547,0.1063,19.6328,0.7462,
1712.38711,-9.80289,-1.8597,4.3496,-0.0456,0.1066,20.5040,,
1712.40794,-9.78206,0.6685,4.3321,0.0164,0.1062,20.5040,,
1712.42878,-9.76122,4.2747,4.2908,0.1048,0.1052,20.0555,1.0898,
1712.44961,-9.74039,1.2115,4.3255,0.0297,0.1061,20.5040,,
1712.47045,-9.71955,14.1818,4.3363,0.3477,0.1063,18.7535,0.3320,
1712.49128,-9.69872,-0.0220,4.3889,-0.0005,0.1076,20.5040,,
1712.51211,-9.67789,8.5468,4.3887,0.2096,0.1076,19.3033,0.5575,
1712.53295,-9.65705,-0.7074,4.4038,-0.0173,0.1080,20.5040,,
1712.55378,-9.63622,5.0029,4.4023,0.1227,0.1079,19.8847,0.9554,
1712.57461,-9.61539,-2.0535,4.4092,-0.0504,0.1081,20.5040,,
1712.59545,-9.59455,3.5655,4.4469,0.0874,0.1090,20.2525,1.3542,
1712.61628,-9.57372,8.9604,4.4566,0.2197,0.1093,19.2520,0.5400,
1712.63711,-9.55289,1.2368,4.4420,0.0303,0.1089,20.5040,,
1712.65795,-9.53205,0.8687,4.4934,0.0213,0.1102,20.5040,,
1712.67878,-9.51122,1.5527,4.4945,0.0381,0.1102,20.5040,,
1712.69961,-9.49039,4.7758,4.4878,0.1171,0.1100,19.9352,1.0203,
1712.72045,-9.46955,-4.0458,4.4575,-0.0992,0.1093,20.5040,,
1712.74128,-9.44872,-6.9585,4.3988,-0.1706,0.1079,20.5040,,
1712.76211,-9.42789,-2.2408,4.3742,-0.0549,0.1073,20.5040,,
1712.78295,-9.40705,-6.7965,4.4130,-0.1666,0.1082,20.5040,,
1712.80378,-9.38622,-1.7271,4.4329,-0.0423,0.1087,20.5040,,
1712.82461,-9.36539,-4.6248,4.4505,-0.1134,0.1091,20.5040,,
1712.84545,-9.34455,-3.0196,4.5767,-0.0740,0.1122,20.5040,,
