BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1722.32469,0.13469,10.09641,1.85344,0.24757,0.04545,19.25262,0.19943,
1722.57469,0.38469,4.47865,2.10328,0.10980,0.05157,19.87555,0.33773,
1722.81428,0.62428,12.73887,2.11683,0.31235,0.05190,19.05923,0.32264,
1723.06428,0.87428,9.45791,1.98234,0.23190,0.04861,19.31065,0.23155,
1723.31428,1.12428,11.62647,1.77683,0.28507,0.04357,19.22500,0.30503,
1723.56429,1.37429,12.87230,1.51761,0.31561,0.03721,19.02222,0.13273,
1723.76221,1.57221,11.84880,1.73799,0.29053,0.04262,19.09891,0.17549,
1725.04462,2.85462,29.21054,1.46500,0.71620,0.03592,17.98793,0.05741,
1725.31281,3.12281,35.41431,1.64373,0.86831,0.04030,17.77446,0.05259,
1725.57472,3.38472,35.03560,1.76094,0.85903,0.04317,17.78120,0.05626,
1725.81430,3.62430,37.78069,1.35002,0.92635,0.03310,17.69882,0.03979,
1726.07472,3.88472,35.97626,1.30449,0.88208,0.03198,17.75034,0.04022,
1726.31430,4.12430,38.16829,1.27840,0.93584,0.03134,17.69051,0.03749,
1726.55767,4.36767,36.35305,1.35654,0.89132,0.03326,17.74779,0.04237,
1726.81431,4.62431,34.91103,1.31493,0.85599,0.03224,17.78569,0.04212,
1727.06431,4.87431,34.43674,1.32740,0.84435,0.03255,17.79892,0.04288,
1727.31431,5.12431,37.68976,1.34572,0.92410,0.03300,17.70238,0.03993,
1727.56431,5.37431,38.46512,1.34627,0.94312,0.03301,17.68143,0.03917,
1727.81431,5.62431,33.92377,1.36329,0.83177,0.03343,17.82124,0.04537,
1728.06431,5.87431,35.74208,1.36838,0.87635,0.03355,17.76362,0.04343,
1728.31431,6.12431,38.00662,1.37894,0.93188,0.03381,17.69032,0.04019,
1728.56526,6.37526,32.17345,1.46817,0.78885,0.03600,17.87543,0.05115,
1728.81431,6.62431,33.81866,1.40043,0.82918,0.03434,17.82944,0.04761,
1729.07094,6.88094,37.11796,1.41241,0.91009,0.03463,17.72822,0.04361,
1729.33098,7.14098,35.16346,1.47702,0.86216,0.03621,17.78150,0.04759,
1729.57094,7.38094,36.07203,1.48414,0.88445,0.03639,17.74943,0.04582,
1729.81431,7.62431,39.62357,1.42056,0.97153,0.03483,17.64247,0.03945,
1730.06431,7.87431,39.80098,1.40250,0.97587,0.03439,17.63803,0.03875,
1730.31431,8.12431,42.84086,1.39684,1.05039,0.03425,17.56358,0.03644,
1730.56432,8.37432,46.83671,1.43117,1.14837,0.03509,17.46527,0.03395,
1730.81432,8.62432,45.74212,1.44824,1.12153,0.03551,17.48886,0.03507,
1731.00182,8.81182,51.80720,2.06084,1.27025,0.05054,17.34993,0.04356,
