BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1725.04268,1.52268,2.69943,1.08241,0.07974,0.03198,20.23508,0.18589,0.00000
1725.31087,1.79087,4.41990,1.22568,0.13057,0.03622,19.93859,0.21533,0.00000
1725.57277,2.05277,5.55843,1.32866,0.16422,0.03926,19.75682,0.24413,0.00000
1725.81236,2.29236,4.23422,1.02711,0.12509,0.03035,19.97849,0.19603,0.00000
1726.07277,2.55277,4.75521,0.98606,0.14049,0.02913,19.90384,0.17320,0.00000
1726.31236,2.79236,6.10283,0.96838,0.18030,0.02861,19.74316,0.16304,0.00000
1726.55573,3.03573,2.69322,1.02866,0.07957,0.03039,20.19285,0.18259,0.00000
1726.81236,3.29236,3.09486,1.00648,0.09144,0.02974,20.19139,0.17309,0.00000
1727.06236,3.54236,4.11088,1.02755,0.12145,0.03036,19.96686,0.15383,0.00000
1727.31237,3.79237,5.19971,1.00920,0.15362,0.02982,19.80100,0.15408,0.00000
1727.56237,4.04237,5.64684,1.01120,0.16685,0.02988,19.65371,0.15574,0.00000
1727.81237,4.29237,6.64487,1.02789,0.19633,0.03037,19.56705,0.17397,0.00000
1728.06237,4.54237,5.86123,1.01255,0.17317,0.02991,19.71977,0.11394,0.00000
1728.31237,4.79237,7.88936,1.01080,0.23309,0.02986,19.53518,0.18619,0.00000
1728.56332,5.04332,4.77270,1.07901,0.14102,0.03188,19.79547,0.18009,0.00000
1728.81238,5.29237,6.08705,1.03047,0.17985,0.03044,19.66049,0.14984,0.00000
1729.06901,5.54901,7.15806,1.08095,0.21148,0.03193,19.62082,0.19500,0.00000
1729.32905,5.80905,8.96363,1.11302,0.26482,0.03288,19.32870,0.17040,0.00000
1729.56901,6.04901,8.06120,1.07514,0.23815,0.03176,19.43051,0.15178,0.00000
1729.81238,6.29238,7.33554,1.02117,0.21671,0.03017,19.58655,0.18934,0.00000
1730.06238,6.54238,8.96679,1.00942,0.26493,0.02982,19.28314,0.12046,0.00000
1730.31239,6.79239,8.08007,1.01458,0.23873,0.02998,19.43561,0.16619,0.00000
1730.56239,7.04239,6.16969,1.04598,0.18228,0.03090,19.75292,0.21317,0.00000
1730.81239,7.29239,9.27299,1.04934,0.27397,0.03100,19.30690,0.13064,0.00000
1731.06239,7.54239,9.32115,1.05982,0.27538,0.03131,19.23533,0.13359,0.00000
1731.31239,7.79239,7.23424,1.02853,0.21373,0.03039,19.57484,0.15162,0.00000
1731.56239,8.04240,6.79942,1.02481,0.20087,0.03028,19.61041,0.16916,0.00000
1731.81240,8.29240,8.47655,1.03863,0.25043,0.03069,19.43089,0.18632,0.00000
1732.06240,8.54240,7.17565,1.03816,0.21200,0.03067,19.50967,0.14828,0.00000
1732.31240,8.79240,9.92373,1.06621,0.29318,0.03150,19.25792,0.18193,0.00000
1732.56240,9.04240,12.17949,1.09457,0.35984,0.03234,19.01637,0.10295,0.00000
1732.81240,9.29240,12.25085,1.10129,0.36196,0.03254,18.94668,0.10585,0.00000
1733.06241,9.54241,15.11786,1.10699,0.44665,0.03270,18.70447,0.08401,0.00000
1733.31241,9.79241,12.10770,1.10250,0.35772,0.03257,18.98432,0.11867,0.00000
1733.57908,10.05908,16.25490,1.21536,0.48024,0.03591,18.66167,0.09689,0.00000
1733.81241,10.29241,17.18652,1.17038,0.50776,0.03458,18.59920,0.08738,0.00000
1734.06242,10.54242,18.62929,1.18079,0.55039,0.03489,18.54027,0.09184,0.00000
1734.31242,10.79242,17.18684,1.17145,0.50777,0.03461,18.64870,0.11554,0.00000
1734.56242,11.04242,14.65354,1.19836,0.43294,0.03540,18.77362,0.10394,0.00000
1734.80579,11.28579,14.42593,1.33168,0.42621,0.03934,18.80069,0.12044,0.00000
1735.07701,11.55701,18.03774,1.39713,0.53292,0.04128,18.53587,0.09480,0.00000
1735.33772,11.81772,20.71961,1.65652,0.61214,0.04894,18.39110,0.09823,0.00000
1735.58674,12.06674,18.71581,1.51021,0.55294,0.04462,18.52433,0.11411,0.00000
1735.78639,12.26639,15.03845,1.67709,0.44430,0.04954,18.76311,0.14755,0.00000
1736.09021,12.57021,21.72143,2.01406,0.64173,0.05951,18.32612,0.11081,0.00000
1736.29942,12.77942,19.44510,1.74551,0.57449,0.05157,18.46605,0.11677,0.00000
1736.44786,12.92786,27.47810,4.79940,0.81180,0.14180,18.03530,0.18960,0.00000
1738.67704,15.15704,24.40350,3.13100,0.72100,0.09250,18.16420,0.13930,24.32000
1738.81246,15.29246,21.07097,0.90632,0.62253,0.02678,18.36343,0.05329,24.32000
1739.05394,15.53394,24.33685,0.93356,0.71903,0.02758,18.19133,0.04462,24.32000
1739.31246,15.79246,22.12386,0.88938,0.65364,0.02628,18.28215,0.04509,24.32000
1739.56247,16.04247,21.99519,0.90568,0.64984,0.02676,18.29922,0.04792,24.32000
1739.81247,16.29247,19.50776,0.91735,0.57633,0.02710,18.45588,0.05906,24.32000
1740.05205,16.53205,25.80461,0.99658,0.76240,0.02945,18.12347,0.04437,24.32000
1740.31247,16.79247,25.08543,0.97100,0.74113,0.02869,18.14804,0.04371,24.32000
1740.56248,17.04248,29.11147,0.98448,0.86008,0.02909,18.00691,0.04047,24.32000
1740.80774,17.28774,28.92119,1.05122,0.85444,0.03106,17.99704,0.04135,24.32000
1741.06248,17.54248,28.77046,1.00957,0.85000,0.02983,17.99155,0.03874,24.32000
1741.30396,17.78396,29.33558,1.05351,0.86670,0.03112,18.00707,0.04318,24.32000
1741.56248,18.04248,32.57527,1.04394,0.96239,0.03084,17.86179,0.03589,24.32000
1741.81249,18.29249,32.46897,1.06738,0.95927,0.03153,17.87132,0.03722,24.32000
