BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1711.38326,-18.08674,-0.2681,3.6936,-0.0039,0.0544,19.9189,,
1711.40410,-18.06590,14.7290,3.7414,0.2170,0.0551,18.7124,0.2758,
1711.42493,-18.04507,6.6840,3.7254,0.0985,0.0549,19.5702,0.6051,
1711.44576,-18.02424,8.8723,3.7778,0.1307,0.0557,19.2627,0.4623,
1711.46660,-18.00340,6.8308,3.7180,0.1006,0.0548,19.5466,0.5910,
1711.48743,-17.98257,19.0717,3.7037,0.2810,0.0546,18.4318,0.2108,
1711.50826,-17.96174,8.7592,3.6828,0.1290,0.0543,19.2766,0.4565,
1711.52910,-17.94090,6.6810,3.7523,0.0984,0.0553,19.5707,0.6098,
1711.54993,-17.92007,11.4825,3.7326,0.1692,0.0550,18.9827,0.3529,
1711.57076,-17.89924,11.6361,3.6815,0.1714,0.0542,18.9683,0.3435,
1711.59160,-17.87840,7.7424,3.7070,0.1141,0.0546,19.4106,0.5198,
1711.61243,-17.85757,6.9984,3.7330,0.1031,0.0550,19.5203,0.5791,
1711.63327,-17.83673,1.9367,3.7365,0.0285,0.0550,19.9189,,
1711.65410,-17.81590,8.0323,3.7398,0.1183,0.0551,19.3707,0.5055,
1711.67493,-17.79507,6.1875,3.7014,0.0912,0.0545,19.6540,0.6495,
1711.69577,-17.77423,10.2843,3.7488,0.1515,0.0552,19.1024,0.3958,
1711.71660,-17.75340,2.4375,3.7941,0.0359,0.0559,19.9189,,
1711.73743,-17.73257,5.9769,3.7212,0.0880,0.0548,19.6916,0.6760,
1711.75827,-17.71173,8.7873,3.7423,0.1294,0.0551,19.2732,0.4624,
1711.77910,-17.69090,15.0731,3.7064,0.2220,0.0546,18.6873,0.2670,
1711.79993,-17.67007,4.9155,3.7781,0.0724,0.0557,19.9039,0.8345,
1711.82077,-17.64923,5.2697,3.6986,0.0776,0.0545,19.8283,0.7620,
1711.84160,-17.62840,4.8022,3.6792,0.0707,0.0542,19.9189,,
1711.86243,-17.60757,13.4999,3.7148,0.1989,0.0547,18.8070,0.2988,
1711.88327,-17.58673,4.3703,3.7828,0.0644,0.0557,19.9189,,
1711.90410,-17.56590,4.5433,3.7207,0.0669,0.0548,19.9189,,
1711.92493,-17.54507,8.9103,3.7870,0.1313,0.0558,19.2581,0.4615,
1711.94577,-17.52423,7.5517,3.7321,0.1112,0.0550,19.4377,0.5366,
1711.96660,-17.50340,2.4870,3.7588,0.0366,0.0554,19.9189,,
1711.98743,-17.48257,9.5685,3.7044,0.1410,0.0546,19.1807,0.4203,
1712.00827,-17.46173,7.7869,3.7653,0.1147,0.0555,19.4044,0.5250,
1712.02910,-17.44090,7.5426,3.7700,0.1111,0.0555,19.4390,0.5427,
1712.04993,-17.42007,10.5832,3.8024,0.1559,0.0560,19.0713,0.3901,
1712.07077,-17.39923,7.0328,3.7628,0.1036,0.0554,19.5150,0.5809,
1712.09160,-17.37840,5.1052,3.7722,0.0752,0.0556,19.8628,0.8022,
1712.11243,-17.35757,12.4042,3.7441,0.1827,0.0552,18.8989,0.3277,
1712.13327,-17.33673,6.4135,3.7928,0.0945,0.0559,19.6151,0.6421,
1712.15410,-17.31590,11.7343,3.8525,0.1729,0.0568,18.9592,0.3565,
1712.17493,-17.29507,9.5219,3.7202,0.1403,0.0548,19.1860,0.4242,
1712.19577,-17.27423,7.6999,3.7565,0.1134,0.0553,19.4166,0.5297,
1712.21660,-17.25340,13.5225,3.7738,0.1992,0.0556,18.8052,0.3030,
1712.23743,-17.23257,7.1632,3.7220,0.1055,0.0548,19.4950,0.5642,
1712.25827,-17.21173,11.8608,3.8405,0.1747,0.0566,18.9475,0.3516,
1712.27910,-17.19090,1.0445,3.7419,0.0154,0.0551,19.9189,,
1712.29993,-17.17007,9.2149,3.8251,0.1357,0.0563,19.2216,0.4507,
1712.32077,-17.14923,9.5045,3.7583,0.1400,0.0554,19.1880,0.4293,
1712.34160,-17.12840,6.5137,3.8667,0.0960,0.0570,19.5982,0.6445,
1712.36243,-17.10757,0.8172,3.8880,0.0120,0.0573,19.9189,,
1712.38327,-17.08673,9.0115,3.9441,0.1328,0.0581,19.2458,0.4752,
1712.40410,-17.06590,5.7485,4.0277,0.0847,0.0593,19.7339,0.7607,
1712.42493,-17.04507,10.6583,4.0198,0.1570,0.0592,19.0636,0.4095,
1712.44577,-17.02423,9.1063,4.1904,0.1341,0.0617,19.2344,0.4996,
1712.46660,-17.00340,13.9819,4.2486,0.2060,0.0626,18.7689,0.3299,
1712.48744,-16.98256,9.0175,4.3204,0.1328,0.0636,19.2451,0.5202,
1712.50827,-16.96173,7.0855,4.3351,0.1044,0.0639,19.5069,0.6643,
1712.52910,-16.94090,7.3269,4.3624,0.1079,0.0643,19.4705,0.6464,
1712.54994,-16.92006,-2.7699,4.4806,-0.0408,0.0660,19.9189,,
1712.57077,-16.89923,8.3411,4.5630,0.1229,0.0672,19.3297,0.5940,
1712.59160,-16.87840,1.4578,4.5396,0.0215,0.0669,19.9189,,
1712.61244,-16.85756,4.9335,4.5544,0.0727,0.0671,19.8999,1.0023,
1712.63327,-16.83673,-0.6308,4.6064,-0.0093,0.0679,19.9189,,
1712.65410,-16.81590,1.7211,4.6736,0.0254,0.0688,19.9189,,
1712.67494,-16.79506,5.0857,4.6803,0.0749,0.0689,19.8669,0.9992,
1712.69577,-16.77423,8.0287,4.6580,0.1183,0.0686,19.3712,0.6299,
1712.71660,-16.75340,-1.8038,4.6653,-0.0266,0.0687,19.9189,,
1712.73744,-16.73256,12.3305,4.6322,0.1816,0.0682,18.9054,0.4079,
1712.75827,-16.71173,2.9156,4.7218,0.0430,0.0696,19.9189,,
1712.77910,-16.69090,-2.7790,4.7807,-0.0409,0.0704,19.9189,,
1712.79994,-16.67006,4.6949,4.8118,0.0692,0.0709,19.9189,,
1712.82077,-16.64923,3.6571,4.6261,0.0539,0.0681,19.9189,,
1712.84160,-16.62840,-0.1761,4.8408,-0.0026,0.0713,19.9189,,
1712.86244,-16.60756,3.2531,4.7506,0.0479,0.0700,19.9189,,
1712.88327,-16.58673,0.4924,4.9216,0.0073,0.0725,19.9189,,
1712.90410,-16.56590,4.2733,4.6782,0.0630,0.0689,19.9189,,
1712.92494,-16.54506,2.7696,4.8148,0.0408,0.0709,19.9189,,
1712.94577,-16.52423,9.1032,4.8832,0.1341,0.0719,19.2348,0.5824,
1712.96660,-16.50340,1.7367,4.8496,0.0256,0.0714,19.9189,,
1712.98744,-16.48256,4.7371,4.7576,0.0698,0.0701,19.9189,,
1713.00827,-16.46173,4.4841,4.6581,0.0661,0.0686,19.9189,,
1713.02911,-16.44089,7.2716,4.7697,0.1071,0.0703,19.4787,0.7122,
1713.04994,-16.42006,5.8437,4.8735,0.0861,0.0718,19.7161,0.9055,
1713.07077,-16.39923,11.9217,4.9470,0.1756,0.0729,18.9420,0.4505,
1713.09161,-16.37839,8.5888,4.8978,0.1265,0.0722,19.2980,0.6191,
1713.11244,-16.35756,4.6600,5.0233,0.0686,0.0740,19.9189,,
1713.13327,-16.33673,4.2407,5.0256,0.0625,0.0740,19.9189,,
1713.15411,-16.31589,15.1226,5.0439,0.2228,0.0743,18.6837,0.3621,
1713.17494,-16.29506,2.1429,5.0496,0.0316,0.0744,19.9189,,
1713.19577,-16.27423,10.2219,4.8921,0.1506,0.0721,19.1090,0.5196,
1713.21661,-16.25339,6.0131,4.9744,0.0886,0.0733,19.6851,0.8982,
1713.23744,-16.23256,4.5703,4.8901,0.0673,0.0720,19.9189,,
1713.25827,-16.21173,7.7744,4.7833,0.1145,0.0705,19.4061,0.6680,
1713.27911,-16.19089,6.7550,4.7614,0.0995,0.0701,19.5587,0.7653,
1713.29994,-16.17006,0.2314,4.7188,0.0034,0.0695,19.9189,,
1713.32077,-16.14923,0.1418,4.7841,0.0021,0.0705,19.9189,,
1713.34161,-16.12839,5.9440,4.6791,0.0876,0.0689,19.6976,0.8547,
1713.36244,-16.10756,6.9071,4.5676,0.1018,0.0673,19.5346,0.7180,
1713.38327,-16.08673,0.1630,4.5455,0.0024,0.0670,19.9189,,
1713.40411,-16.06589,2.6283,4.8355,0.0387,0.0712,19.9189,,
1713.42494,-16.04506,6.4581,4.8391,0.0951,0.0713,19.6075,0.8135,
1713.44577,-16.02423,-1.4127,4.8634,-0.0208,0.0716,19.9189,,
1713.46661,-16.00339,5.3529,4.8511,0.0789,0.0715,19.8113,0.9839,
1713.48744,-15.98256,1.9146,4.8717,0.0282,0.0718,19.9189,,
