BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1729.62304,0.15304,3.86063,1.25589,0.05687,0.01850,19.70998,0.29423,
1729.87305,0.40305,5.98873,1.27163,0.08821,0.01873,19.60339,0.23855,
1730.12305,0.65305,5.70482,1.27425,0.08403,0.01877,19.50878,0.20266,
1730.37306,0.90306,5.99782,1.25242,0.08836,0.01845,19.59539,0.24288,
1730.62306,1.15306,5.90998,1.29908,0.08705,0.01913,19.60689,0.26450,
1730.87306,1.40306,7.31867,1.29977,0.10783,0.01915,19.40944,0.20180,
1731.12307,1.65307,7.17818,1.25993,0.10574,0.01856,19.45118,0.19348,
1731.37307,1.90307,9.51826,1.22022,0.14020,0.01798,19.24742,0.16669,
1731.62308,2.15308,5.05652,1.26463,0.07448,0.01863,19.59552,0.24261,
1731.87308,2.40308,8.87243,1.31766,0.13070,0.01941,19.28988,0.17695,
1732.12309,2.65309,8.84129,1.32804,0.13026,0.01957,19.25538,0.17567,
1732.37309,2.90309,8.21963,1.32224,0.12108,0.01948,19.37751,0.19451,
1732.62310,3.15310,8.13153,1.33388,0.11979,0.01965,19.39398,0.20455,
1732.87310,3.40310,14.11810,1.45384,0.20797,0.02142,18.83906,0.13812,
1733.12311,3.65311,17.17123,1.42148,0.25294,0.02094,18.57614,0.09750,
1733.35228,3.88228,18.36542,1.52104,0.27056,0.02241,18.55881,0.10841,
1733.62312,4.15312,20.58866,1.54017,0.30330,0.02269,18.40455,0.09387,
1733.87312,4.40312,19.45457,1.65855,0.28658,0.02444,18.47369,0.12038,
1734.12313,4.65313,22.03812,1.57152,0.32465,0.02315,18.29571,0.08189,
1734.37313,4.90313,22.98073,1.57958,0.33853,0.02327,18.25640,0.08123,
1734.62314,5.15314,25.33544,1.66491,0.37322,0.02452,18.18323,0.08659,
1734.87314,5.40314,32.79498,1.73110,0.48311,0.02550,17.85922,0.05995,
1735.12315,5.65315,31.88853,1.67651,0.46974,0.02469,17.89358,0.06029,
1735.37315,5.90315,36.93903,1.59784,0.54417,0.02354,17.72469,0.04829,
1735.62316,6.15316,42.37732,1.66980,0.62428,0.02459,17.57676,0.04405,
1735.87316,6.40316,49.37569,1.79116,0.72737,0.02638,17.40700,0.04020,
1736.12317,6.65317,53.80582,1.81640,0.79264,0.02676,17.30819,0.03689,
1736.37317,6.90318,60.49589,1.77356,0.89119,0.02613,17.18487,0.03241,
1736.62318,7.15318,58.45995,1.86788,0.86119,0.02751,17.22338,0.03555,
1736.87318,7.40319,59.90971,1.98919,0.88256,0.02930,17.19338,0.03647,
1737.12319,7.65319,62.15398,1.82936,0.91561,0.02695,17.15520,0.03275,
1737.32111,7.85111,68.64869,1.76312,1.01129,0.02597,17.04606,0.02826,
