BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1766.86992,0.12992,1.23845,1.11273,0.04277,0.03843,20.02491,0.41177,
1767.13033,0.39033,-1.12627,1.15830,-0.03889,0.04000,20.09678,0.59693,
1767.38033,0.64033,0.12573,1.15854,0.00435,0.04001,20.05777,0.41110,
1767.63033,0.89033,1.29375,1.15942,0.04467,0.04004,20.08897,0.58050,
1767.88033,1.14033,2.75543,1.16012,0.09516,0.04006,19.87951,0.28107,
1768.13032,1.39032,2.74103,1.16151,0.09465,0.04012,19.94296,0.34303,
1768.38032,1.64032,1.04858,1.16154,0.03622,0.04011,19.95232,0.31526,
1768.63865,1.89865,4.37306,1.27351,0.15103,0.04398,19.78238,0.29336,
1768.88032,2.14032,-0.58381,1.16357,-0.02015,0.04019,20.12580,0.87450,
1769.13031,2.39031,3.34180,1.16349,0.11541,0.04018,19.94389,0.31702,
1769.38031,2.64031,2.80567,1.16468,0.09688,0.04022,19.88259,0.28873,
1769.63031,2.89031,4.23659,1.16820,0.14629,0.04034,19.85867,0.29103,
1769.88030,3.14031,6.66434,1.17206,0.23017,0.04048,19.65490,0.24064,
1770.13030,3.39030,5.14558,1.17648,0.17772,0.04063,19.68732,0.23517,
1770.38030,3.64030,4.45438,1.18018,0.15381,0.04076,19.78562,0.27008,
1770.63030,3.89030,7.45368,1.18723,0.25740,0.04099,19.54397,0.22471,
1770.88029,4.14029,7.57339,1.19656,0.26153,0.04132,19.43788,0.19451,
1771.13029,4.39029,9.06283,1.20346,0.31297,0.04156,19.33131,0.17645,
1771.38029,4.64029,8.56028,1.20742,0.29562,0.04170,19.36732,0.17622,
1771.63028,4.89028,9.63186,1.22019,0.33263,0.04214,19.27645,0.15619,
1771.88028,5.14028,9.23374,1.23679,0.31887,0.04271,19.31192,0.18166,
1772.13028,5.39027,11.20558,1.24828,0.38699,0.04311,19.13474,0.13581,
1772.36361,5.62360,7.02113,1.37546,0.24245,0.04750,19.59596,0.25803,
1772.54694,5.80694,5.12135,2.21668,0.17685,0.07655,19.79973,0.56873,
1777.74477,11.00477,13.98870,4.02880,0.48310,0.13910,18.76840,0.31270,
1777.86352,11.12352,17.43972,1.27573,0.60228,0.04406,18.56441,0.08936,
1778.15101,11.41101,15.58218,1.27650,0.53812,0.04409,18.70122,0.10088,
1778.38018,11.64017,18.42938,1.16517,0.63645,0.04024,18.50732,0.07748,
1778.63017,11.89017,20.22561,1.16434,0.69848,0.04021,18.40095,0.06815,
1778.88016,12.14016,21.63020,1.16465,0.74698,0.04022,18.32175,0.06225,
1779.13016,12.39016,20.19757,1.16434,0.69752,0.04021,18.41099,0.06981,
1779.38015,12.64015,21.64852,1.16478,0.74761,0.04022,18.33056,0.06644,
1779.63015,12.89015,22.46950,1.16436,0.77597,0.04021,18.28807,0.06263,
1779.88014,13.14014,20.01558,1.16405,0.69122,0.04020,18.40253,0.06751,
1780.13013,13.39013,20.01048,1.16438,0.69106,0.04021,18.40374,0.06772,
1780.38013,13.64013,23.00176,1.16453,0.79436,0.04021,18.26998,0.06243,
1780.63012,13.89012,22.50568,1.16456,0.77722,0.04021,18.26317,0.05798,
1780.88011,14.14011,23.55378,1.16576,0.81342,0.04026,18.22496,0.05722,
1781.13011,14.39011,24.76525,1.16656,0.85523,0.04028,18.16394,0.05344,
1781.38010,14.64010,22.44014,1.16632,0.77497,0.04028,18.29489,0.06310,
1781.63009,14.89009,24.68149,1.16639,0.85236,0.04028,18.16827,0.05345,
1781.90092,15.16092,23.91302,1.27877,0.82581,0.04416,18.20432,0.06121,
1782.13008,15.39008,25.21813,1.16687,0.87088,0.04030,18.13749,0.05152,
1782.38007,15.64007,26.08575,1.16808,0.90085,0.04034,18.10023,0.04980,
1782.63006,15.89006,22.89091,1.16948,0.79052,0.04039,18.26609,0.06090,
1782.88005,16.14005,24.80888,1.17210,0.85676,0.04048,18.15801,0.05294,
1783.13005,16.39005,26.35084,1.17425,0.91000,0.04055,18.09383,0.05024,
1783.38004,16.64004,25.26323,1.17618,0.87244,0.04062,18.17136,0.05973,
1783.63003,16.89003,26.30291,1.18115,0.90837,0.04079,18.09651,0.05077,
1783.88002,17.14002,26.75814,1.18551,0.92408,0.04094,18.08074,0.05058,
1784.13002,17.39002,26.21257,1.18993,0.90524,0.04110,18.10865,0.05219,
1784.38001,17.64001,26.57452,1.19170,0.91773,0.04116,18.08618,0.05065,
1784.63000,17.89000,25.84912,1.19837,0.89267,0.04138,18.11405,0.05210,
1784.87999,18.13999,29.32007,1.20516,1.01254,0.04162,17.97812,0.04628,
1785.12998,18.38998,28.99487,1.21092,1.00133,0.04182,17.99142,0.04738,
1785.37998,18.63997,30.31361,1.21467,1.04688,0.04195,17.94432,0.04565,
1785.62997,18.88997,29.04395,1.22824,1.00302,0.04242,17.97958,0.04648,
1785.83830,19.09830,31.78655,3.06637,1.09770,0.10589,17.88265,0.10631,
