BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1764.70376,-3.10624,-0.7343,4.7059,-0.0508,0.3253,19.1920,,
1764.72459,-3.08541,-4.9429,5.0533,-0.3417,0.3493,19.1920,,
1764.74543,-3.06457,-11.2430,4.7847,-0.7772,0.3308,19.1920,,
1764.76626,-3.04374,1.4322,4.7972,0.0990,0.3316,19.1920,,
1764.78710,-3.02290,-6.0090,4.8012,-0.4154,0.3319,19.1920,,
1764.80793,-3.00207,-2.5959,4.7708,-0.1795,0.3298,19.1920,,
1764.82876,-2.98124,-5.7793,4.8528,-0.3995,0.3355,19.1920,,
1764.84960,-2.96040,-10.4425,4.7980,-0.7219,0.3317,19.1920,,
1764.87043,-2.93957,-6.9030,5.0790,-0.4772,0.3511,19.1920,,
1764.89127,-2.91873,1.9348,5.1239,0.1338,0.3542,19.1920,,
1764.91210,-2.89790,-4.9383,4.9963,-0.3414,0.3454,19.1920,,
1764.93293,-2.87707,-10.7220,4.9409,-0.7412,0.3416,19.1920,,
1764.95377,-2.85623,0.8490,4.2605,0.0587,0.2945,19.1920,,
1764.97460,-2.83540,-1.3162,4.2680,-0.0910,0.2951,19.1920,,
1764.99544,-2.81456,6.3760,4.2859,0.4408,0.2963,19.1920,,
1765.01627,-2.79373,0.5039,4.2357,0.0348,0.2928,19.1920,,
1765.03710,-2.77290,4.4985,4.3341,0.3110,0.2996,19.1920,,
1765.05794,-2.75206,4.0205,4.2969,0.2779,0.2971,19.1920,,
1765.07877,-2.73123,0.5976,4.3169,0.0413,0.2984,19.1920,,
1765.09960,-2.71040,7.8317,4.3300,0.5414,0.2993,19.1920,,
1765.12044,-2.68956,-1.6568,4.3364,-0.1145,0.2998,19.1920,,
1765.14127,-2.66873,3.7666,4.3058,0.2604,0.2977,19.1920,,
1765.16210,-2.64790,-2.2007,4.4592,-0.1521,0.3083,19.1920,,
1765.18294,-2.62706,-8.1655,5.0472,-0.5645,0.3489,19.1920,,
1765.20377,-2.60623,-2.8043,5.0323,-0.1939,0.3479,19.1920,,
1765.22461,-2.58539,-10.5776,5.0779,-0.7312,0.3510,19.1920,,
1765.24544,-2.56456,0.6632,4.2744,0.0459,0.2955,19.1920,,
1765.26627,-2.54373,1.0843,4.2933,0.0750,0.2968,19.1920,,
1765.28711,-2.52289,4.5561,4.4478,0.3150,0.3075,19.1920,,
1765.30794,-2.50206,4.8994,4.3628,0.3387,0.3016,19.1920,,
1765.32878,-2.48122,3.4512,4.3177,0.2386,0.2985,19.1920,,
1765.34961,-2.46039,3.6358,4.3896,0.2513,0.3035,19.1920,,
1765.37044,-2.43956,8.9832,4.3808,0.6210,0.3029,19.1920,,
1765.39128,-2.41872,8.6386,4.3104,0.5972,0.2980,19.1920,,
1765.41211,-2.39789,-9.1458,4.6640,-0.6323,0.3224,19.1920,,
1765.43294,-2.37706,6.2147,4.3313,0.4296,0.2994,19.1920,,
1765.45378,-2.35622,-0.4093,4.7138,-0.0283,0.3259,19.1920,,
1765.47461,-2.33539,2.0464,4.5194,0.1415,0.3124,19.1920,,
1765.49544,-2.31456,3.4722,3.9423,0.2400,0.2725,19.1920,,
1765.51628,-2.29372,-2.6802,3.9287,-0.1853,0.2716,19.1920,,
1765.53711,-2.27289,10.6746,4.3090,0.7380,0.2979,19.0619,0.4383,
1765.57878,-2.23122,5.0822,5.0916,0.3513,0.3520,19.1920,,
1765.59961,-2.21039,0.5074,4.1026,0.0351,0.2836,19.1920,,
1765.62045,-2.18955,-3.1565,4.1404,-0.2182,0.2862,19.1920,,
1765.64128,-2.16872,5.3475,4.2431,0.3697,0.2933,19.1920,,
1765.68295,-2.12705,-1.5239,4.6413,-0.1053,0.3209,19.1920,,
1765.70378,-2.10622,2.1675,4.0983,0.1498,0.2833,19.1920,,
1765.72462,-2.08538,-3.3258,4.2184,-0.2299,0.2916,19.1920,,
1765.74545,-2.06455,-1.0388,5.1021,-0.0718,0.3527,19.1920,,
1765.78712,-2.02288,-4.5857,4.6778,-0.3170,0.3234,19.1920,,
1765.82878,-1.98122,1.2234,5.0087,0.0846,0.3463,19.1920,,
1765.87045,-1.93955,-1.7433,5.0214,-0.1205,0.3471,19.1920,,
1765.93295,-1.87705,-3.2394,4.9720,-0.2239,0.3437,19.1920,,
1765.95379,-1.85621,-10.5625,5.0965,-0.7302,0.3523,19.1920,,
1765.99545,-1.81455,-0.3518,4.9890,-0.0243,0.3449,19.1920,,
1766.01629,-1.79371,1.1134,5.0242,0.0770,0.3473,19.1920,,
1766.03712,-1.77288,2.0073,5.0722,0.1388,0.3507,19.1920,,
1766.05796,-1.75204,0.5796,5.0238,0.0401,0.3473,19.1920,,
1766.07879,-1.73121,4.9715,5.0361,0.3437,0.3482,19.1920,,
1766.09962,-1.71038,-0.4895,4.9659,-0.0338,0.3433,19.1920,,
1766.12046,-1.68954,7.1076,4.8816,0.4914,0.3375,19.1920,,
1766.14129,-1.66871,-9.0788,4.9226,-0.6276,0.3403,19.1920,,
1766.16212,-1.64788,-6.6657,4.7537,-0.4608,0.3286,19.1920,,
1766.18296,-1.62704,4.0731,5.0465,0.2816,0.3489,19.1920,,
1766.20379,-1.60621,-6.9511,4.8264,-0.4805,0.3337,19.1920,,
1766.22463,-1.58537,5.8727,4.8576,0.4060,0.3358,19.1920,,
1766.24546,-1.56454,3.6868,4.9630,0.2549,0.3431,19.1920,,
1766.26629,-1.54371,-2.3976,4.8910,-0.1657,0.3381,19.1920,,
1766.28713,-1.52287,-7.6084,4.7243,-0.5260,0.3266,19.1920,,
1766.30796,-1.50204,20.4956,4.7993,1.4169,0.3318,18.3537,0.2542,
1766.32879,-1.48121,-0.3820,4.8968,-0.0264,0.3385,19.1920,,
1766.34963,-1.46037,-4.8009,4.7329,-0.3319,0.3272,19.1920,,
1766.37046,-1.43954,7.7118,4.7924,0.5331,0.3313,19.1920,,
1766.39129,-1.41871,-6.8838,5.0019,-0.4759,0.3458,19.1920,,
1766.41213,-1.39787,5.4134,4.8608,0.3742,0.3360,19.1920,,
1766.43296,-1.37704,-4.8275,5.0603,-0.3337,0.3498,19.1920,,
1766.45380,-1.35620,0.2453,5.1129,0.0170,0.3535,19.1920,,
1766.47463,-1.33537,-4.3508,4.9894,-0.3008,0.3449,19.1920,,
1766.49546,-1.31454,-2.8892,4.6392,-0.1997,0.3207,19.1920,,
1766.51630,-1.29370,-4.9681,4.6625,-0.3435,0.3223,19.1920,,
1766.53713,-1.27287,-8.3140,4.8105,-0.5748,0.3326,19.1920,,
1766.55796,-1.25204,-12.3528,4.9889,-0.8540,0.3449,19.1920,,
1766.57880,-1.23120,-6.5449,5.0043,-0.4525,0.3460,19.1920,,
1766.59963,-1.21037,1.1784,4.7014,0.0815,0.3250,19.1920,,
1766.62046,-1.18954,-3.8367,4.8766,-0.2652,0.3371,19.1920,,
1766.64130,-1.16870,3.6891,5.0180,0.2550,0.3469,19.1920,,
1766.66213,-1.14787,-0.5869,5.2998,-0.0406,0.3664,19.1920,,
1766.68297,-1.12703,-1.9070,5.3104,-0.1318,0.3671,19.1920,,
1766.70380,-1.10620,-7.9933,5.3402,-0.5526,0.3692,19.1920,,
1766.72463,-1.08537,-10.6846,5.3398,-0.7386,0.3692,19.1920,,
1766.74547,-1.06453,-4.9410,5.0753,-0.3416,0.3509,19.1920,,
1766.76630,-1.04370,-6.7498,4.7217,-0.4666,0.3264,19.1920,,
1766.78713,-1.02287,3.6994,4.8863,0.2557,0.3378,19.1920,,
1766.80797,-1.00203,-1.6785,5.0405,-0.1160,0.3485,19.1920,,
1766.82880,-0.98120,-5.1040,4.9980,-0.3528,0.3455,19.1920,,
1766.84963,-0.96037,5.3553,4.7505,0.3702,0.3284,19.1920,,
1766.87047,-0.93953,-8.8103,5.3628,-0.6091,0.3707,19.1920,,
1766.89130,-0.91870,-1.7206,4.8503,-0.1189,0.3353,19.1920,,
1766.91214,-0.89786,-0.4477,4.8221,-0.0310,0.3334,19.1920,,
1766.93297,-0.87703,-0.3103,4.6375,-0.0215,0.3206,19.1920,,
1766.95380,-0.85620,9.8719,4.8681,0.6825,0.3365,19.1468,0.5354,
1766.97464,-0.83536,-2.8042,4.6365,-0.1939,0.3205,19.1920,,
1766.99547,-0.81453,-6.4245,4.8813,-0.4441,0.3375,19.1920,,
1767.01630,-0.79370,-3.3584,4.8737,-0.2322,0.3369,19.1920,,
1767.03714,-0.77286,4.2618,4.8378,0.2946,0.3344,19.1920,,
1767.05797,-0.75203,2.6985,4.8195,0.1866,0.3332,19.1920,,
