BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1777.85500,5.57500,12.91980,1.05065,0.86643,0.07046,18.88939,0.09801,
1778.12583,5.84583,9.77113,1.14518,0.65528,0.07680,19.25154,0.16035,
1778.35500,6.07500,13.31313,1.05445,0.89281,0.07071,18.85378,0.09356,
1778.60501,6.32501,13.80800,1.06676,0.92601,0.07154,18.81546,0.09130,
1778.85501,6.57501,13.10899,1.06062,0.87913,0.07113,18.87320,0.09709,
1779.10501,6.82501,14.21457,1.05766,0.95327,0.07093,18.80002,0.09494,
1779.35501,7.07501,14.14983,1.04454,0.94893,0.07005,18.80062,0.09402,
1779.60502,7.32502,13.19389,1.05751,0.88483,0.07092,18.86773,0.09580,
1779.85502,7.57502,14.07616,1.06678,0.94398,0.07154,18.78173,0.08682,
1780.10502,7.82502,13.75442,1.07095,0.92241,0.07182,18.89368,0.09674,
1780.35503,8.07503,12.28455,1.05931,0.82383,0.07104,18.97593,0.11935,
1780.60503,8.32503,12.72445,1.05511,0.85334,0.07076,18.91629,0.10433,
1780.85503,8.57503,14.83640,1.05415,0.99498,0.07069,18.74067,0.08524,
1781.10503,8.82503,13.24301,1.05476,0.88812,0.07073,18.87857,0.09920,
1781.35503,9.07503,15.54523,1.06648,1.04251,0.07152,18.69753,0.08590,
1781.60504,9.32504,16.44225,1.06057,1.10268,0.07112,18.60988,0.07310,
1781.87171,9.59171,14.59077,1.15877,0.97850,0.07771,18.80914,0.12110,
1782.10504,9.82504,13.63883,1.05945,0.91467,0.07105,18.84156,0.09763,
1782.26130,9.98130,17.06477,2.13769,1.14443,0.14336,18.65920,0.18768,
