BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1764.69858,-18.33142,3.8167,3.3229,0.0379,0.0330,20.1786,0.9453,0.0
1764.71941,-18.31059,-2.1900,3.3485,-0.0217,0.0332,20.3752,0.0,
1764.74024,-18.28976,-7.4577,3.3541,-0.0740,0.0333,20.3752,0.0,
1764.76108,-18.26892,-1.6161,3.2975,-0.0160,0.0327,20.3752,0.0,
1764.78191,-18.24809,-2.1325,3.3414,-0.0212,0.0332,20.3752,0.0,
1764.80274,-18.22726,4.3293,3.3242,0.0430,0.0330,20.0418,0.8337,0.0
1764.82358,-18.20642,4.5196,3.3531,0.0449,0.0333,19.9951,0.8055,0.0
1764.84441,-18.18559,-2.0102,3.3693,-0.0200,0.0335,20.3752,0.0,
1764.86524,-18.16476,2.6504,3.3295,0.0263,0.0331,20.3752,0.0,
1764.88608,-18.14392,2.4204,3.3125,0.0240,0.0329,20.3752,0.0,
1764.90691,-18.12309,1.9923,3.2918,0.0198,0.0327,20.3752,0.0,
1764.92775,-18.10225,0.7803,3.3474,0.0077,0.0332,20.3752,0.0,
1764.94858,-18.08142,-4.0080,3.3297,-0.0398,0.0331,20.3752,0.0,
1764.96941,-18.06059,-0.5835,3.2915,-0.0058,0.0327,20.3752,0.0,
1764.99025,-18.03975,-6.3058,3.3245,-0.0626,0.0330,20.3752,0.0,
1765.01108,-18.01892,-2.5111,3.3051,-0.0249,0.0328,20.3752,0.0,
1765.03191,-17.99809,-8.3218,3.2700,-0.0826,0.0325,20.3752,0.0,
1765.05275,-17.97725,1.0130,3.2936,0.0101,0.0327,20.3752,0.0,
1765.07358,-17.95642,-3.3620,3.3106,-0.0334,0.0329,20.3752,0.0,
1765.09441,-17.93559,-10.7677,3.2879,-0.1069,0.0326,20.3752,0.0,
1765.11525,-17.91475,-2.7996,3.2963,-0.0278,0.0327,20.3752,0.0,
1765.13608,-17.89392,-1.5508,3.2881,-0.0154,0.0326,20.3752,0.0,
1765.15692,-17.87308,-1.9514,3.2680,-0.0194,0.0324,20.3752,0.0,
1765.17775,-17.85225,0.5668,3.2730,0.0056,0.0325,20.3752,0.0,
1765.19858,-17.83142,4.3099,3.2635,0.0428,0.0324,20.0466,0.8221,0.0
1765.21942,-17.81058,-3.3768,3.2800,-0.0335,0.0326,20.3752,0.0,
1765.24025,-17.78975,0.9555,3.3059,0.0095,0.0328,20.3752,0.0,
1765.26108,-17.76892,1.9837,3.2897,0.0197,0.0327,20.3752,0.0,
1765.28192,-17.74808,-4.1607,3.3043,-0.0413,0.0328,20.3752,0.0,
1765.30275,-17.72725,3.1006,3.2851,0.0308,0.0326,20.3752,0.0,
1765.32358,-17.70642,-0.3744,3.3107,-0.0037,0.0329,20.3752,0.0,
1765.34442,-17.68558,-0.1542,3.2656,-0.0015,0.0324,20.3752,0.0,
1765.36525,-17.66475,-0.9974,3.2465,-0.0099,0.0322,20.3752,0.0,
1765.38608,-17.64392,-0.0666,3.3026,-0.0007,0.0328,20.3752,0.0,
1765.40692,-17.62308,-2.6342,3.3208,-0.0262,0.0330,20.3752,0.0,
1765.42775,-17.60225,-3.0408,3.3244,-0.0302,0.0330,20.3752,0.0,
1765.44859,-17.58141,-0.2545,3.3100,-0.0025,0.0329,20.3752,0.0,
1765.46942,-17.56058,5.0609,3.3227,0.0502,0.0330,19.8722,0.7128,0.0
1765.49025,-17.53975,-6.7061,3.3161,-0.0666,0.0329,20.3752,0.0,
1765.51109,-17.51891,-3.2558,3.3078,-0.0323,0.0328,20.3752,0.0,
1765.53192,-17.49808,4.5107,3.3103,0.0448,0.0329,19.9972,0.7968,0.0
1765.55275,-17.47725,1.0469,3.2768,0.0104,0.0325,20.3752,0.0,
1765.57359,-17.45641,-4.0623,3.3048,-0.0403,0.0328,20.3752,0.0,
1765.59442,-17.43558,-0.0999,3.3168,-0.0010,0.0329,20.3752,0.0,
1765.61525,-17.41475,-4.5615,3.2975,-0.0453,0.0327,20.3752,0.0,
1765.63609,-17.39391,-0.5850,3.3166,-0.0058,0.0329,20.3752,0.0,
1765.65692,-17.37308,-5.1657,3.3139,-0.0513,0.0329,20.3752,0.0,
1765.67776,-17.35224,-6.5775,3.2943,-0.0653,0.0327,20.3752,0.0,
1765.69859,-17.33141,-4.7265,3.2934,-0.0469,0.0327,20.3752,0.0,
1765.71942,-17.31058,-2.4848,3.2698,-0.0247,0.0325,20.3752,0.0,
1765.74026,-17.28974,-6.7709,3.3153,-0.0672,0.0329,20.3752,0.0,
1765.76109,-17.26891,1.4554,3.2953,0.0145,0.0327,20.3752,0.0,
1765.78192,-17.24808,-3.7780,3.2953,-0.0375,0.0327,20.3752,0.0,
1765.82359,-17.20641,-2.1313,3.2930,-0.0212,0.0327,20.3752,0.0,
1765.84442,-17.18558,-7.6707,3.2781,-0.0762,0.0325,20.3752,0.0,
1765.86526,-17.16474,0.9634,3.2823,0.0096,0.0326,20.3752,0.0,
1765.88609,-17.14391,-6.7004,3.2690,-0.0665,0.0325,20.3752,0.0,
1765.90692,-17.12308,-6.3139,3.2785,-0.0627,0.0326,20.3752,0.0,
1765.92776,-17.10224,5.0165,3.2747,0.0498,0.0325,19.8818,0.7088,0.0
1765.94859,-17.08141,-2.0236,3.2555,-0.0201,0.0323,20.3752,0.0,
1765.96942,-17.06058,-1.4077,3.2085,-0.0140,0.0319,20.3752,0.0,
1765.99026,-17.03974,3.0684,3.2667,0.0305,0.0324,20.3752,0.0,
1766.01109,-17.01891,2.8294,3.2587,0.0281,0.0324,20.3752,0.0,
1766.03193,-16.99807,4.4744,3.2888,0.0444,0.0327,20.0060,0.7980,0.0
1766.05276,-16.97724,-2.2918,3.3030,-0.0228,0.0328,20.3752,0.0,
1766.07359,-16.95641,-0.7017,3.2983,-0.0070,0.0327,20.3752,0.0,
1766.09443,-16.93557,-2.2763,3.3030,-0.0226,0.0328,20.3752,0.0,
1766.11526,-16.91474,2.3033,3.2777,0.0229,0.0325,20.3752,0.0,
1766.13609,-16.89391,-7.0142,3.2904,-0.0696,0.0327,20.3752,0.0,
1766.15693,-16.87307,-0.8137,3.2854,-0.0081,0.0326,20.3752,0.0,
1766.17776,-16.85224,0.9768,3.2839,0.0097,0.0326,20.3752,0.0,
1766.19859,-16.83141,3.2222,3.2898,0.0320,0.0327,20.3624,1.1085,0.0
1766.21943,-16.81057,3.4161,3.3011,0.0339,0.0328,20.2990,1.0492,0.0
1766.24026,-16.78974,-3.6956,3.3030,-0.0367,0.0328,20.3752,0.0,
1766.26110,-16.76890,2.4731,3.3100,0.0246,0.0329,20.3752,0.0,
1766.28193,-16.74807,-4.2628,3.3063,-0.0423,0.0328,20.3752,0.0,
1766.30276,-16.72724,-0.5904,3.3008,-0.0059,0.0328,20.3752,0.0,
1766.32360,-16.70640,2.7952,3.2988,0.0278,0.0328,20.3752,0.0,
1766.34443,-16.68557,-0.0922,3.3127,-0.0009,0.0329,20.3752,0.0,
1766.36526,-16.66474,1.4642,3.3279,0.0145,0.0330,20.3752,0.0,
1766.38610,-16.64390,-4.2918,3.2593,-0.0426,0.0324,20.3752,0.0,
1766.40693,-16.62307,-3.0581,3.2815,-0.0304,0.0326,20.3752,0.0,
1766.42776,-16.60224,0.4165,3.2562,0.0041,0.0323,20.3752,0.0,
1766.44860,-16.58140,-5.2487,3.2711,-0.0521,0.0325,20.3752,0.0,
1766.46943,-16.56057,-2.6428,3.2533,-0.0262,0.0323,20.3752,0.0,
1766.49026,-16.53974,-1.6128,3.2834,-0.0160,0.0326,20.3752,0.0,
1766.51110,-16.51890,-4.5557,3.2773,-0.0452,0.0325,20.3752,0.0,
1766.53193,-16.49807,0.0438,3.3009,0.0004,0.0328,20.3752,0.0,
1766.55276,-16.47724,0.2071,3.2249,0.0021,0.0320,20.3752,0.0,
1766.57360,-16.45640,-2.0042,3.2825,-0.0199,0.0326,20.3752,0.0,
1766.59443,-16.43557,-2.5265,3.2878,-0.0251,0.0326,20.3752,0.0,
1766.61527,-16.41473,-1.4335,3.2902,-0.0142,0.0327,20.3752,0.0,
1766.63610,-16.39390,3.5835,3.2951,0.0356,0.0327,20.2470,0.9983,0.0
1766.65693,-16.37307,0.1748,3.3147,0.0017,0.0329,20.3752,0.0,
1766.67777,-16.35223,-4.0571,3.3042,-0.0403,0.0328,20.3752,0.0,
1766.69860,-16.33140,-5.0930,3.2987,-0.0506,0.0328,20.3752,0.0,
1766.71943,-16.31057,-5.6454,3.3146,-0.0561,0.0329,20.3752,0.0,
1766.74027,-16.28973,3.0568,3.3133,0.0304,0.0329,20.3752,0.0,
1766.76110,-16.26890,-2.0220,3.3076,-0.0201,0.0328,20.3752,0.0,
1766.78193,-16.24807,-4.7593,3.2871,-0.0473,0.0326,20.3752,0.0,
1766.80277,-16.22723,-2.7546,3.2783,-0.0273,0.0325,20.3752,0.0,
