BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1791.41157,-0.83843,-0.9849,4.9448,-0.0216,0.1085,18.8474,,
1791.45324,-0.79676,7.1103,4.9281,0.1560,0.1081,18.8474,,
1791.47407,-0.77593,2.6322,4.9042,0.0577,0.1076,18.8474,,
1791.49491,-0.75509,6.0396,4.9168,0.1325,0.1079,18.8474,,
1791.51574,-0.73426,0.7626,4.9125,0.0167,0.1078,18.8474,,
1791.53657,-0.71343,8.6522,4.9136,0.1898,0.1078,18.8474,,
1791.55741,-0.69259,2.0334,4.9174,0.0446,0.1079,18.8474,,
1791.57824,-0.67176,1.8799,4.9139,0.0412,0.1078,18.8474,,
1791.59908,-0.65092,-2.1034,4.9161,-0.0461,0.1078,18.8474,,
1791.61991,-0.63009,17.7359,4.9275,0.3891,0.1081,18.5107,0.3016,
1791.64074,-0.60926,3.4319,4.9251,0.0753,0.1080,18.8474,,
1791.66158,-0.58842,-3.8677,4.9458,-0.0848,0.1085,18.8474,,
1791.68241,-0.56759,5.4694,4.9284,0.1200,0.1081,18.8474,,
1791.70325,-0.54675,4.4142,4.8811,0.0968,0.1071,18.8474,,
1791.72408,-0.52592,-1.9427,4.9257,-0.0426,0.1081,18.8474,,
1791.74491,-0.50509,-10.7677,4.9294,-0.2362,0.1081,18.8474,,
1791.76575,-0.48425,-9.5171,4.9304,-0.2088,0.1082,18.8474,,
1791.78658,-0.46342,0.3621,4.8841,0.0079,0.1071,18.8474,,
1791.80742,-0.44258,-1.7401,4.8884,-0.0382,0.1072,18.8474,,
1791.82825,-0.42175,-1.6142,4.9055,-0.0354,0.1076,18.8474,,
1791.84908,-0.40092,2.5914,4.8989,0.0568,0.1075,18.8474,,
1791.86992,-0.38008,-0.7731,4.9012,-0.0170,0.1075,18.8474,,
1791.89075,-0.35925,-6.1517,4.9004,-0.1350,0.1075,18.8474,,
1791.91159,-0.33841,-1.7922,4.9006,-0.0393,0.1075,18.8474,,
1791.93242,-0.31758,-4.3105,4.8995,-0.0946,0.1075,18.8474,,
1791.95325,-0.29675,-7.2916,4.9037,-0.1600,0.1076,18.8474,,
1791.97409,-0.27591,-3.3513,4.9084,-0.0735,0.1077,18.8474,,
1791.99492,-0.25508,3.7023,4.9118,0.0812,0.1078,18.8474,,
1792.01575,-0.23425,2.2378,4.9088,0.0491,0.1077,18.8474,,
1792.03659,-0.21341,3.7916,4.9185,0.0832,0.1079,18.8474,,
1792.05742,-0.19258,-4.2729,4.9189,-0.0937,0.1079,18.8474,,
1792.07826,-0.17174,2.6416,4.9218,0.0579,0.1080,18.8474,,
1792.09909,-0.15091,-0.8925,4.9312,-0.0196,0.1082,18.8474,,
1792.11993,-0.13007,-0.2132,4.9603,-0.0047,0.1088,18.8474,,
1792.14076,-0.10924,-9.6514,4.9485,-0.2117,0.1086,18.8474,,
1792.16159,-0.08841,-4.0114,4.9449,-0.0880,0.1085,18.8474,,
1792.18243,-0.06757,-0.4056,4.9497,-0.0089,0.1086,18.8474,,
1792.20326,-0.04674,-0.5784,4.9557,-0.0127,0.1087,18.8474,,
1792.22409,-0.02591,0.0625,4.9740,0.0014,0.1091,18.8474,,
1792.24493,-0.00507,-8.3911,4.9448,-0.1841,0.1085,18.8474,,
1792.26576,0.01576,2.8835,4.9516,0.0633,0.1086,18.8474,,
1792.28660,0.03660,1.9977,4.9207,0.0438,0.1079,18.8474,,
1792.30743,0.05743,5.6096,4.9191,0.1231,0.1079,18.8474,,
1792.32826,0.07826,6.1790,4.9504,0.1355,0.1086,18.8474,,
1792.34910,0.09910,9.7264,4.9235,0.2134,0.1080,18.8474,,
1792.36993,0.11993,8.6540,4.9366,0.1898,0.1083,18.8474,,
1792.39077,0.14077,15.8324,4.9169,0.3473,0.1079,18.6339,0.3372,
1792.41160,0.16160,13.4016,4.9539,0.2940,0.1087,18.8149,0.4013,
1792.43243,0.18243,13.6542,4.9231,0.2995,0.1080,18.7946,0.3915,
1792.45327,0.20327,7.8777,4.9241,0.1728,0.1080,18.8474,,
1792.47410,0.22410,11.9916,4.9571,0.2631,0.1087,18.8474,,
1792.49494,0.24494,10.7301,4.9572,0.2354,0.1087,18.8474,,
1792.51577,0.26577,9.1907,4.9538,0.2016,0.1087,18.8474,,
1792.53660,0.28660,8.7043,4.9570,0.1909,0.1087,18.8474,,
1792.55744,0.30744,13.8949,4.9253,0.3048,0.1080,18.7757,0.3849,
1792.57827,0.32827,24.5847,4.9567,0.5393,0.1087,18.1561,0.2189,
1792.59911,0.34911,14.5622,4.9527,0.3195,0.1086,18.7247,0.3693,
1792.61994,0.36994,19.8985,4.9246,0.4365,0.1080,18.3858,0.2687,
1792.64077,0.39077,9.0728,4.9487,0.1990,0.1086,18.8474,,
1792.66161,0.41161,13.8390,4.9398,0.3036,0.1084,18.7800,0.3875,
1792.68244,0.43244,9.6625,4.9535,0.2120,0.1087,18.8474,,
1792.70328,0.45328,19.6920,4.9561,0.4320,0.1087,18.3971,0.2733,
1792.74494,0.49494,9.9611,4.9650,0.2185,0.1089,18.8474,,
1792.76578,0.51578,14.9696,4.9653,0.3284,0.1089,18.6948,0.3601,
1792.78661,0.53661,5.4924,4.9608,0.1205,0.1088,18.8474,,
1792.80744,0.55744,5.9074,4.9518,0.1296,0.1086,18.8474,,
1792.82828,0.57828,16.9205,4.9569,0.3712,0.1087,18.5618,0.3181,
1792.84911,0.59911,19.7535,4.9535,0.4333,0.1087,18.3937,0.2723,
1792.86995,0.61995,11.4753,4.9552,0.2517,0.1087,18.8474,,
1792.89078,0.64078,20.9766,4.9581,0.4602,0.1088,18.3285,0.2566,
1792.91161,0.66161,13.5350,4.9625,0.2969,0.1089,18.8042,0.3981,
1792.93245,0.68245,19.0497,4.9583,0.4179,0.1088,18.4331,0.2826,
1792.95328,0.70328,19.1115,4.9583,0.4192,0.1088,18.4296,0.2817,
1792.97412,0.72412,0.7480,4.9549,0.0164,0.1087,18.8474,,
1792.99495,0.74495,6.5328,4.9346,0.1433,0.1082,18.8474,,
1793.01578,0.76578,20.0189,4.9650,0.4392,0.1089,18.3792,0.2693,
1793.07829,0.82829,16.6020,4.9281,0.3642,0.1081,18.5824,0.3223,
1793.09912,0.84912,17.6728,4.9335,0.3877,0.1082,18.5145,0.3031,
1793.11995,0.86995,16.4821,4.9316,0.3616,0.1082,18.5903,0.3249,
1793.14079,0.89079,8.3548,4.9436,0.1833,0.1084,18.8474,,
1793.16162,0.91162,19.2011,4.9726,0.4212,0.1091,18.4245,0.2812,
1793.18246,0.93246,9.3770,4.9370,0.2057,0.1083,18.8474,,
1793.20329,0.95329,12.3469,4.9846,0.2709,0.1093,18.8474,,
1793.22412,0.97412,12.7214,4.9345,0.2791,0.1082,18.8474,,
1793.24496,0.99496,17.9450,4.9232,0.3937,0.1080,18.4979,0.2979,
1793.26579,1.01579,8.7880,4.9260,0.1928,0.1081,18.8474,,
1793.28663,1.03663,14.5722,4.9305,0.3197,0.1082,18.7240,0.3674,
1793.30746,1.05746,13.6070,4.9307,0.2985,0.1082,18.7984,0.3934,
1793.32829,1.07829,14.0607,4.9354,0.3084,0.1083,18.7628,0.3811,
1793.34913,1.09913,21.1320,4.9361,0.4636,0.1083,18.3205,0.2536,
1793.36996,1.11996,22.3969,4.9341,0.4913,0.1082,18.2573,0.2392,
1793.39079,1.14079,20.4741,4.9381,0.4491,0.1083,18.3548,0.2619,
1793.41163,1.16163,28.3671,4.9251,0.6223,0.1080,18.0008,0.1885,
1793.43246,1.18246,16.9107,4.9353,0.3710,0.1083,18.5624,0.3169,
1793.45330,1.20330,15.1508,4.9449,0.3324,0.1085,18.6817,0.3544,
1793.47413,1.22413,15.9077,4.9302,0.3490,0.1082,18.6288,0.3365,
1793.49496,1.24496,21.6278,4.9325,0.4744,0.1082,18.2953,0.2476,
1793.51580,1.26580,9.3949,4.9351,0.2061,0.1083,18.8474,,
1793.53663,1.28663,23.3689,4.9330,0.5126,0.1082,18.2112,0.2292,
1793.55747,1.30747,19.4004,4.9297,0.4256,0.1081,18.4133,0.2759,
1793.57830,1.32830,16.9052,4.9364,0.3708,0.1083,18.5627,0.3170,
1793.59913,1.34913,25.2748,4.9399,0.5545,0.1084,18.1261,0.2122,
1793.61997,1.36997,16.4764,4.9372,0.3614,0.1083,18.5907,0.3253,
1793.64080,1.39080,15.3922,4.9414,0.3377,0.1084,18.6646,0.3486,
1793.66164,1.41164,14.3631,4.9472,0.3151,0.1085,18.7397,0.3740,
1793.68247,1.43247,21.6565,4.9466,0.4751,0.1085,18.2938,0.2480,
1793.70330,1.45330,10.7667,4.9413,0.2362,0.1084,18.8474,,
1793.72414,1.47414,10.5679,4.9481,0.2318,0.1085,18.8474,,
1793.74497,1.49497,18.1251,4.9515,0.3976,0.1086,18.4871,0.2966,
1793.76580,1.51580,16.2856,4.9377,0.3573,0.1083,18.6033,0.3292,
1793.78664,1.53664,17.8337,4.9441,0.3912,0.1085,18.5047,0.3010,
1793.80747,1.55747,15.9300,4.9443,0.3495,0.1085,18.6273,0.3370,
1793.82831,1.57831,17.9467,4.9550,0.3937,0.1087,18.4978,0.2998,
1793.84914,1.59914,22.7728,4.9537,0.4996,0.1087,18.2393,0.2362,
1793.86997,1.61997,16.4892,4.9552,0.3617,0.1087,18.5898,0.3263,
1793.89081,1.64081,19.1778,4.9491,0.4207,0.1086,18.4258,0.2802,
1793.91164,1.66164,28.3206,4.9401,0.6213,0.1084,18.0025,0.1894,
1793.93248,1.68248,22.8699,4.9625,0.5017,0.1089,18.2346,0.2356,
1793.95331,1.70331,10.5512,4.9258,0.2315,0.1081,18.8474,,
1793.97414,1.72414,24.9840,4.8674,0.5481,0.1068,18.1386,0.2115,
1793.99498,1.74498,25.3055,4.9072,0.5551,0.1076,18.1248,0.2105,
