BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1792.38035,0.13035,9.04482,1.42496,0.19842,0.03126,18.82250,0.21808,
1792.62183,0.37183,13.91479,1.49203,0.30525,0.03273,18.67785,0.13223,
1792.88036,0.63036,12.87269,1.43063,0.28238,0.03138,18.65689,0.11854,
1793.14704,0.89704,15.07220,1.56388,0.33066,0.03430,18.63784,0.12266,
1793.38038,1.13038,17.74958,1.42410,0.38938,0.03124,18.51952,0.09365,
1793.63038,1.38039,16.80767,1.42623,0.36871,0.03129,18.55262,0.09881,
1793.88039,1.63039,19.87225,1.42516,0.43595,0.03127,18.40299,0.08250,
1794.13040,1.88040,20.17683,1.42969,0.44261,0.03136,18.40292,0.08345,
1794.38040,2.13040,24.11005,1.43653,0.52889,0.03151,18.19335,0.06810,
1794.63041,2.38041,26.97885,1.43624,0.59184,0.03151,18.06363,0.05916,
1794.86792,2.61792,25.24254,1.56774,0.55374,0.03439,18.14629,0.07093,
1795.13042,2.88042,23.99447,1.43031,0.52638,0.03137,18.20577,0.06942,
1795.38043,3.13043,24.11629,1.42385,0.52904,0.03123,18.19360,0.06722,
1795.63043,3.38043,25.70038,1.42814,0.56380,0.03133,18.11668,0.06193,
1795.88044,3.63044,25.21327,1.42777,0.55310,0.03132,18.16889,0.06940,
1796.13044,3.88044,28.85382,1.43107,0.63298,0.03139,18.01200,0.05983,
1796.38045,4.13045,28.20973,1.43173,0.61883,0.03141,18.03707,0.06040,
1796.63046,4.38046,29.60083,1.43252,0.64934,0.03142,17.96542,0.05423,
1796.88046,4.63046,25.91182,1.43241,0.56842,0.03142,18.12172,0.06443,
1797.13046,4.88046,27.65127,1.43287,0.60658,0.03143,18.04517,0.05948,
1797.38047,5.13047,29.89678,1.43121,0.65584,0.03139,17.96313,0.05492,
1797.63047,5.38047,32.74338,1.43597,0.71829,0.03150,17.85603,0.04908,
1797.88048,5.63048,35.13097,1.43418,0.77066,0.03146,17.77582,0.04521,
1798.13048,5.88048,34.58742,1.44270,0.75875,0.03165,17.79652,0.04680,
1798.38049,6.13049,34.03242,1.45666,0.74656,0.03195,17.81322,0.04784,
1798.63049,6.38049,32.13063,1.45653,0.70487,0.03196,17.88336,0.05169,
1798.77633,6.52632,32.24065,3.57747,0.70725,0.07845,17.88065,0.12678,
1803.48474,11.23474,35.32225,3.51330,0.77485,0.07707,17.76850,0.10977,
1803.61807,11.36807,37.23133,1.56747,0.81673,0.03439,17.70995,0.04627,
1803.88057,11.63057,39.00506,1.42909,0.85565,0.03135,17.67140,0.04170,
1804.13057,11.88057,41.23627,1.42862,0.90461,0.03134,17.60243,0.03841,
1804.38058,12.13058,41.41240,1.42717,0.90845,0.03131,17.60671,0.03948,
1804.63058,12.38058,40.44866,1.42803,0.88733,0.03132,17.61817,0.03860,
1804.88058,12.63058,46.21662,1.42988,1.01386,0.03137,17.47508,0.03400,
1805.13059,12.88059,48.90428,1.43241,1.07282,0.03142,17.41471,0.03228,
1805.38059,13.13059,45.60697,1.43150,1.00048,0.03140,17.49075,0.03461,
1805.63343,13.38343,46.05823,1.49369,1.01037,0.03277,17.48305,0.03603,
1805.88059,13.63059,44.91518,1.43207,0.98530,0.03141,17.50754,0.03514,
1806.13060,13.88060,42.36393,1.43114,0.92933,0.03139,17.57033,0.03719,
1806.38060,14.13060,47.28373,1.43199,1.03725,0.03142,17.45073,0.03329,
1806.63060,14.38060,42.81115,1.43093,0.93915,0.03139,17.55978,0.03690,
1806.77643,14.52643,43.41320,3.50548,0.95235,0.07690,17.53925,0.08779,
