BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1794.51620,0.12620,-0.75288,1.23366,-0.02310,0.03785,19.39670,,
1794.76620,0.37620,2.50307,1.30739,0.07679,0.04012,19.39670,,
1795.01828,0.62828,2.80606,1.40837,0.08611,0.04321,19.39670,,
1795.25579,0.86579,1.19963,1.25542,0.03680,0.03852,19.39670,,
1795.50579,1.11579,2.19855,1.22718,0.06745,0.03765,19.36926,0.45420,
1795.75579,1.36579,0.67926,1.26030,0.02083,0.03867,19.37887,0.50430,
1796.00579,1.61579,0.63708,1.23900,0.01953,0.03801,19.39589,0.58200,
1796.25579,1.86579,1.60551,1.21982,0.04927,0.03743,19.35476,0.28817,
1796.50579,2.11579,3.32374,1.21546,0.10198,0.03730,19.36061,0.33959,
1796.75579,2.36579,1.76878,1.20499,0.05426,0.03697,19.36903,0.35640,
1797.00579,2.61579,2.86133,1.28504,0.08779,0.03942,19.31735,0.25073,
1797.25579,2.86579,4.19853,1.25864,0.12882,0.03862,19.35563,0.35043,
1797.50580,3.11580,6.20497,1.24955,0.19038,0.03834,19.26340,0.20131,
1797.75580,3.36580,7.44466,1.24292,0.22842,0.03814,19.22217,0.18318,
1798.00580,3.61580,7.47251,1.24135,0.22927,0.03808,19.23028,0.18914,
1798.25580,3.86580,6.34325,1.23390,0.19463,0.03786,19.32084,0.23937,
1798.50580,4.11580,9.38922,1.23746,0.28808,0.03797,19.10556,0.14567,
1798.75580,4.36580,10.74649,1.23495,0.32974,0.03789,19.04606,0.13483,
1799.00163,4.61163,11.37722,1.35910,0.34907,0.04170,18.95059,0.13164,
1799.28241,4.89241,9.03970,1.51657,0.27736,0.04653,19.17092,0.19816,
1799.50579,5.11579,14.80467,1.31102,0.45424,0.04023,18.74874,0.10672,
1799.75579,5.36579,11.41742,1.27852,0.35031,0.03923,19.01093,0.12912,
1800.00579,5.61579,15.09967,1.30360,0.46329,0.04000,18.71167,0.09788,
1800.25579,5.86579,18.37784,1.32304,0.56386,0.04060,18.50396,0.08742,
1800.50863,6.11863,19.97633,1.38623,0.61292,0.04253,18.40795,0.08090,
1800.67246,6.28246,20.39040,2.22399,0.62560,0.06823,18.40837,0.13217,
1803.54745,9.15745,26.95140,1.47720,0.82691,0.04532,18.07118,0.06205,
1803.76829,9.37829,30.05929,1.32991,0.92228,0.04080,17.95129,0.04987,
1804.00579,9.61579,30.02133,1.20367,0.92112,0.03693,17.95098,0.04511,
1804.25578,9.86578,28.39083,1.20791,0.87110,0.03707,18.01619,0.04798,
1804.50578,10.11578,27.53442,1.18784,0.84480,0.03644,18.04392,0.04818,
1804.75578,10.36578,29.27877,1.18603,0.89833,0.03639,17.99274,0.04688,
1805.00578,10.61578,27.14197,1.17790,0.83275,0.03614,18.05573,0.04804,
1805.26619,10.87619,28.63800,1.10736,0.87867,0.03398,18.01011,0.04434,
1805.51998,11.12998,27.46025,1.22141,0.84253,0.03747,18.04220,0.04903,
1805.77661,11.38661,31.60156,1.16192,0.96960,0.03565,17.89623,0.04132,
1806.02660,11.63660,29.74167,1.15073,0.91253,0.03531,17.96711,0.04414,
1806.27660,11.88660,32.58307,1.15594,0.99972,0.03547,17.85794,0.03932,
1806.52660,12.13660,31.17470,1.16583,0.95651,0.03577,17.91049,0.04197,
1806.77660,12.38660,33.15912,1.03595,1.01740,0.03179,17.83913,0.03456,
1807.02659,12.63659,32.74188,1.09194,1.00457,0.03350,17.84639,0.03629,
1807.27659,12.88659,33.47037,1.17756,1.02693,0.03613,17.82637,0.03883,
1807.52659,13.13659,33.97457,1.14773,1.04239,0.03521,17.81655,0.03796,
1807.77658,13.38658,30.33126,1.12586,0.93062,0.03454,17.93467,0.04122,
1807.93283,13.54283,30.31820,2.19883,0.93023,0.06745,17.92937,0.07908,
