BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1738.67425,-12.83575,2.8736,3.3737,0.2725,0.3199,20.4517,,
1738.69508,-12.81492,2.0410,3.3687,0.1935,0.3194,20.4517,,
1738.71591,-12.79409,2.1280,3.3372,0.2018,0.3164,20.4517,,
1738.73675,-12.77325,0.3471,3.3575,0.0329,0.3183,20.4517,,
1738.75758,-12.75242,-4.6162,3.3229,-0.4377,0.3151,20.4517,,
1738.77841,-12.73159,-0.8667,3.3721,-0.0822,0.3197,20.4517,,
1738.79925,-12.71075,8.4832,3.3559,0.8043,0.3182,19.3114,0.4295,
1738.82008,-12.68992,-3.5776,3.3545,-0.3392,0.3181,20.4517,,
1738.84091,-12.66909,-4.0713,3.3598,-0.3860,0.3186,20.4517,,
1738.86175,-12.64825,0.1364,3.3837,0.0129,0.3208,20.4517,,
1738.88258,-12.62742,3.2243,3.3698,0.3057,0.3195,20.3617,1.1347,
1738.90341,-12.60659,0.0453,3.3665,0.0043,0.3192,20.4517,,
1738.92425,-12.58575,-2.8706,3.3593,-0.2722,0.3185,20.4517,,
1738.94508,-12.56492,1.4093,3.3536,0.1336,0.3180,20.4517,,
1738.96592,-12.54408,-5.7947,3.3726,-0.5494,0.3198,20.4517,,
1738.98675,-12.52325,8.5614,3.3433,0.8117,0.3170,19.3014,0.4240,
1739.00758,-12.50242,-6.6194,3.3720,-0.6276,0.3197,20.4517,,
1739.02842,-12.48158,2.6775,3.3546,0.2539,0.3181,20.4517,,
1739.04925,-12.46075,5.3367,3.3147,0.5060,0.3143,19.8146,0.6744,
1739.07008,-12.43992,-0.5872,3.3043,-0.0557,0.3133,20.4517,,
1739.09092,-12.41908,-10.8320,3.2953,-1.0270,0.3124,20.4517,,
1739.11175,-12.39825,0.9196,3.2862,0.0872,0.3116,20.4517,,
1739.13258,-12.37742,-2.1919,3.2923,-0.2078,0.3122,20.4517,,
1739.17425,-12.33575,-2.9324,3.2590,-0.2780,0.3090,20.4517,,
1739.19508,-12.31492,-1.9615,3.3019,-0.1860,0.3131,20.4517,,
1739.21592,-12.29408,3.5994,3.2970,0.3413,0.3126,20.2422,0.9945,
1739.23675,-12.27325,-2.2724,3.2926,-0.2155,0.3122,20.4517,,
1739.25758,-12.25242,3.4216,3.2826,0.3244,0.3112,20.2972,1.0416,
1739.27842,-12.23158,-1.5339,3.2919,-0.1454,0.3121,20.4517,,
1739.29925,-12.21075,3.1261,3.3114,0.2964,0.3140,20.3953,1.1501,
1739.32008,-12.18992,-3.7048,3.3179,-0.3513,0.3146,20.4517,,
1739.34092,-12.16908,5.5661,3.3646,0.5277,0.3190,19.7689,0.6563,
1739.36175,-12.14825,-0.2967,3.3323,-0.0281,0.3159,20.4517,,
1739.38259,-12.12741,5.8412,3.3282,0.5538,0.3156,19.7166,0.6186,
