BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1751.78068,0.27068,3.22148,1.04561,0.30545,0.09914,19.84898,0.24068,
1752.03902,0.52902,-1.04002,0.96068,-0.09861,0.09109,20.30332,0.42156,
1752.28903,0.77903,-0.87652,0.95713,-0.08310,0.09075,20.31756,0.45432,
1752.53903,1.02903,0.27322,0.95725,0.02590,0.09076,20.13567,0.29511,
1752.78904,1.27904,0.57368,0.96188,0.05440,0.09120,20.23689,0.38853,
1753.03904,1.52904,-0.05789,0.97423,-0.00549,0.09237,20.26037,0.41894,
1753.28905,1.77905,3.29856,1.00130,0.31276,0.09494,19.98297,0.25452,
1753.53905,2.02905,0.86137,1.02804,0.08167,0.09747,20.18647,0.32131,
1753.78906,2.27906,-0.87118,1.02940,-0.08259,0.09760,20.15865,0.29591,
1754.03906,2.52906,1.91252,1.06267,0.18133,0.10075,20.18326,0.41408,
1754.28907,2.77907,3.26583,1.07777,0.30964,0.10219,20.02744,0.26524,
1754.53907,3.02908,4.18800,1.07347,0.39708,0.10178,19.86785,0.23393,
1754.78908,3.27908,5.25914,1.11408,0.49864,0.10563,19.81972,0.23949,
1755.03909,3.52909,4.92525,1.13330,0.46697,0.10746,19.85662,0.24799,
1755.28909,3.77909,4.97803,1.13402,0.47198,0.10752,19.88838,0.26817,
1755.53910,4.02910,5.73607,1.16720,0.54387,0.11067,19.74301,0.23882,
1755.78910,4.27910,9.49562,1.22159,0.90033,0.11583,19.36142,0.21086,
1756.03911,4.52911,7.17722,1.21979,0.68050,0.11566,19.54342,0.21629,
1756.28912,4.77912,7.11266,1.16814,0.67439,0.11075,19.59211,0.22933,
1756.53912,5.02912,5.70891,1.17207,0.54128,0.11113,19.70415,0.21914,
1756.78913,5.27913,11.34916,1.17346,1.07607,0.11126,19.11177,0.13374,
1757.03914,5.52914,12.08967,1.16569,1.14627,0.11052,19.00583,0.13463,
1757.28914,5.77914,8.51037,1.24217,0.80691,0.11778,19.41301,0.20540,
1757.54332,6.03332,11.73803,1.25181,1.11294,0.11869,19.07801,0.16187,
1757.78916,6.27915,9.89084,1.20207,0.93779,0.11397,19.32424,0.17918,
1758.03632,6.52632,13.44693,1.23842,1.27496,0.11742,18.91247,0.13147,
1758.28917,6.77917,14.77383,1.13779,1.40078,0.10788,18.75425,0.09567,
1758.53917,7.02917,14.86014,1.16380,1.40895,0.11035,18.75877,0.10284,
1758.79013,7.28013,7.58785,1.59967,0.71943,0.15167,19.41743,0.26561,
1758.94544,7.43544,5.99713,3.41281,0.56860,0.32358,19.48757,0.46527,
