BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1792.65983,0.11983,-8.22071,1.58604,-0.49613,0.09572,19.96220,,
1792.91192,0.37192,-8.05228,1.49973,-0.48597,0.09051,19.92195,0.83080,
1793.18276,0.64276,-2.40194,1.49660,-0.14496,0.09032,19.94267,0.74812,
1793.42235,0.88235,3.46083,1.47595,0.20887,0.08908,19.63084,0.26453,
1793.67235,1.13235,2.49147,1.46960,0.15038,0.08869,19.77105,0.36136,
1793.92236,1.38236,-2.84953,1.44361,-0.17197,0.08713,19.88318,0.54647,
1794.17236,1.63236,-1.60126,1.41235,-0.09662,0.08523,19.96220,,
1794.42237,1.88237,0.03173,1.46575,0.00192,0.08846,19.85013,0.53204,
1794.67237,2.13237,-4.90891,1.47794,-0.29626,0.08920,19.96220,,
1794.91821,2.37821,-0.84562,1.57878,-0.05104,0.09529,19.94786,1.02650,
1795.17238,2.63238,-0.68462,1.41108,-0.04132,0.08516,19.94528,0.92280,
1795.42238,2.88239,1.79895,1.40963,0.10856,0.08507,19.68623,0.30376,
1795.67239,3.13239,-2.99015,1.35914,-0.18045,0.08203,19.92358,0.74220,
1795.92239,3.38239,-0.94814,1.33768,-0.05721,0.08073,19.86133,0.48475,
1796.17240,3.63239,2.49382,1.40184,0.15051,0.08460,19.80320,0.43295,
1796.42240,3.88240,0.53197,1.33362,0.03211,0.08049,19.88776,0.44800,
1796.67240,4.13240,1.00879,1.32390,0.06088,0.07990,19.86324,0.44226,
1796.92241,4.38241,0.21750,1.33780,0.01313,0.08074,19.93697,0.82600,
1797.17241,4.63241,-1.49618,1.38477,-0.09029,0.08357,19.96212,1.10840,
1797.42241,4.88241,0.85167,1.30444,0.05141,0.07872,19.83693,0.36805,
1797.67241,5.13241,1.54660,1.39104,0.09334,0.08395,19.80373,0.39390,
1797.92242,5.38242,3.10952,1.41674,0.18767,0.08550,19.72732,0.29354,
1798.17242,5.63242,4.57302,1.38136,0.27600,0.08337,19.71085,0.30245,
1798.42242,5.88242,1.66084,1.39629,0.10022,0.08426,19.71097,0.25882,
1798.67242,6.13242,3.83577,1.39582,0.23149,0.08424,19.74047,0.35284,
1798.92243,6.38243,3.14581,1.44460,0.18987,0.08718,19.73607,0.31750,
1799.17764,6.63764,9.17245,1.79883,0.55356,0.10856,19.30969,0.26999,
1799.42243,6.88243,7.24088,1.43713,0.43699,0.08673,19.44985,0.21918,
1799.67243,7.13243,9.79821,1.46467,0.59133,0.08839,19.22627,0.18556,
1799.89379,7.35379,13.47921,1.88611,0.81350,0.11382,18.83995,0.14655,
1803.50579,10.96579,10.65135,2.37165,0.64282,0.14313,19.08683,0.25854,
1803.66830,11.12830,12.26565,1.45492,0.74025,0.08781,19.00682,0.16496,
1803.92246,11.38246,15.37982,1.32356,0.92820,0.07987,18.68348,0.09820,
1804.17247,11.63247,13.97393,1.29499,0.84334,0.07815,18.84328,0.12621,
1804.42247,11.88247,17.45543,1.27547,1.05346,0.07698,18.60075,0.11399,
1804.67247,12.13247,14.15974,1.28595,0.85453,0.07761,18.79233,0.10759,
1804.92247,12.38247,11.15859,1.24229,0.67344,0.07498,19.06971,0.12102,
1805.17247,12.63247,14.25298,1.20634,0.86021,0.07281,18.83755,0.11219,
1805.42247,12.88247,17.23125,1.19603,1.03992,0.07218,18.59058,0.08779,
1805.67910,13.13910,17.39410,1.25169,1.04975,0.07554,18.56922,0.09026,
1805.92247,13.38247,17.15338,1.24190,1.03523,0.07495,18.59601,0.09253,
1806.17247,13.63247,15.08374,1.27959,0.91032,0.07723,18.72515,0.10480,
1806.42247,13.88247,14.79927,1.26530,0.89316,0.07637,18.76419,0.11177,
1806.67247,14.13247,14.07135,1.24585,0.84923,0.07518,18.85425,0.11204,
1806.92247,14.38247,18.29732,1.26500,1.10427,0.07634,18.50819,0.08183,
1807.17247,14.63247,21.09431,1.28205,1.27307,0.07737,18.38721,0.08859,
1807.42247,14.88247,21.17183,1.31812,1.27775,0.07955,18.33285,0.07058,
1807.67247,15.13247,16.68071,1.32156,1.00670,0.07976,18.60220,0.09279,
1807.89816,15.35816,19.08572,1.53213,1.15186,0.09247,18.51020,0.11469,
1808.14584,15.60584,15.64191,1.51558,0.94402,0.09146,18.71440,0.12754,
1808.44330,15.90330,6.19706,1.63820,0.37401,0.09887,19.53394,0.26942,
1808.55788,16.01788,8.89790,4.59680,0.53700,0.27740,19.25960,0.56090,
