BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1816.09709,-1.97291,4.4677,3.3102,0.2316,0.1716,20.0076,0.8045,
1816.11792,-1.95208,-1.9604,3.3034,-0.1016,0.1712,20.1437,,
1816.13875,-1.93125,3.8914,3.3059,0.2017,0.1713,20.1437,,
1816.15959,-1.91041,-4.6994,3.3060,-0.2436,0.1714,20.1437,,
1816.18042,-1.88958,-1.5916,3.3055,-0.0825,0.1713,20.1437,,
1816.20125,-1.86875,3.7524,3.3077,0.1945,0.1714,20.1437,,
1816.22209,-1.84791,-5.3532,3.3058,-0.2775,0.1713,20.1437,,
1816.24292,-1.82708,-1.0723,3.3089,-0.0556,0.1715,20.1437,,
1816.26376,-1.80624,0.6873,3.3085,0.0356,0.1715,20.1437,,
1816.28459,-1.78541,-2.7819,3.3086,-0.1442,0.1715,20.1437,,
1816.30542,-1.76458,-2.8526,3.3108,-0.1479,0.1716,20.1437,,
1816.32626,-1.74374,0.7258,3.3091,0.0376,0.1715,20.1437,,
1816.34709,-1.72291,1.0659,3.3119,0.0552,0.1717,20.1437,,
1816.36792,-1.70208,-4.2091,3.3091,-0.2182,0.1715,20.1437,,
1816.40959,-1.66041,-1.9188,3.3122,-0.0995,0.1717,20.1437,,
1816.43043,-1.63957,1.6857,3.3089,0.0874,0.1715,20.1437,,
1816.45126,-1.61874,-0.3882,3.3124,-0.0201,0.1717,20.1437,,
1816.51376,-1.55624,10.3953,3.3126,0.5388,0.1717,19.0907,0.3460,
1816.53459,-1.53541,1.8052,3.3131,0.0936,0.1717,20.1437,,
1816.55543,-1.51457,-2.2120,3.3124,-0.1147,0.1717,20.1437,,
1816.61793,-1.45207,0.5738,3.3120,0.0297,0.1717,20.1437,,
1816.63876,-1.43124,-1.7744,3.3105,-0.0920,0.1716,20.1437,,
1816.65960,-1.41040,-2.1244,3.3071,-0.1101,0.1714,20.1437,,
1816.68043,-1.38957,-4.5221,3.3082,-0.2344,0.1715,20.1437,,
1816.70126,-1.36874,1.1231,3.3114,0.0582,0.1716,20.1437,,
1816.72210,-1.34790,1.2940,3.3097,0.0671,0.1715,20.1437,,
1816.74293,-1.32707,0.2497,3.3115,0.0129,0.1716,20.1437,,
1816.78460,-1.28540,-0.7304,3.3152,-0.0379,0.1718,20.1437,,
1816.80543,-1.26457,-0.7596,3.3141,-0.0394,0.1718,20.1437,,
1816.82627,-1.24373,-1.2856,3.3101,-0.0666,0.1716,20.1437,,
1816.84710,-1.22290,5.7923,3.3262,0.3002,0.1724,19.7257,0.6235,
1816.86793,-1.20207,2.7304,3.3147,0.1415,0.1718,20.1437,,
1816.90960,-1.16040,-4.4333,3.3078,-0.2298,0.1714,20.1437,,
1816.93044,-1.13956,3.8033,3.3104,0.1971,0.1716,20.1437,,
1816.99294,-1.07706,0.9319,3.3086,0.0483,0.1715,20.1437,,
1817.01377,-1.05623,0.9059,3.3184,0.0470,0.1720,20.1437,,
1817.03460,-1.03540,-1.0069,3.3081,-0.0522,0.1715,20.1437,,
1817.05544,-1.01456,3.8909,3.3136,0.2017,0.1717,20.1437,,
1817.07627,-0.99373,1.9872,3.3126,0.1030,0.1717,20.1437,,
1817.09711,-0.97289,-0.8863,3.3113,-0.0459,0.1716,20.1437,,
1817.11794,-0.95206,-0.9016,3.3092,-0.0467,0.1715,20.1437,,
1817.13877,-0.93123,3.5387,3.3124,0.1834,0.1717,20.1437,,
1817.15961,-0.91039,-0.5535,3.3217,-0.0287,0.1722,20.1437,,
1817.18044,-0.88956,-5.1262,3.3089,-0.2657,0.1715,20.1437,,
1817.20127,-0.86873,2.1575,3.3126,0.1118,0.1717,20.1437,,
1817.22211,-0.84789,-5.6280,3.3103,-0.2917,0.1716,20.1437,,
1817.24294,-0.82706,-2.9877,3.3175,-0.1549,0.1719,20.1437,,
1817.26377,-0.80623,2.4840,3.3132,0.1287,0.1717,20.1437,,
1817.28461,-0.78539,2.2949,3.3200,0.1189,0.1721,20.1437,,
1817.32628,-0.74372,2.5956,3.3106,0.1345,0.1716,20.1437,,
1817.34711,-0.72289,3.8273,3.3120,0.1984,0.1717,20.1437,,
1817.36794,-0.70206,-3.7629,3.3108,-0.1950,0.1716,20.1437,,
1817.38878,-0.68122,-2.9042,3.3171,-0.1505,0.1719,20.1437,,
1817.40961,-0.66039,-2.0596,3.3097,-0.1068,0.1715,20.1437,,
1817.43044,-0.63956,0.5003,3.3128,0.0259,0.1717,20.1437,,
