BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1818.18803,0.11803,-1.57207,0.99841,-0.08146,0.05175,20.14370,,
1818.44088,0.37088,0.84947,0.95637,0.04404,0.04957,20.06120,0.41336,
1818.69088,0.62088,1.35415,0.95756,0.07020,0.04963,20.03560,0.36620,
1818.94089,0.87089,1.08196,0.95885,0.05607,0.04970,20.09199,0.51860,
1819.19089,1.12089,1.19724,0.95864,0.06206,0.04968,20.08465,0.46793,
1819.44089,1.37089,1.22132,0.95882,0.06330,0.04970,20.07864,0.44640,
1819.69090,1.62090,2.99470,0.95899,0.15522,0.04971,19.94957,0.27910,
1819.94090,1.87090,3.59296,0.95840,0.18622,0.04967,19.93587,0.27271,
1820.19090,2.12090,2.69181,0.95720,0.13950,0.04961,19.89841,0.23512,
1820.44091,2.37091,4.08064,0.95919,0.21152,0.04972,19.83488,0.22379,
1820.69091,2.62091,4.64512,0.95935,0.24076,0.04973,19.82838,0.21713,
1820.94091,2.87091,6.61461,0.96077,0.34285,0.04980,19.52451,0.14964,
1821.20828,3.13828,4.23526,1.10885,0.21953,0.05747,19.90329,0.28087,
1821.44092,3.37092,5.23949,0.96075,0.27157,0.04980,19.75826,0.19287,
1821.69092,3.62092,5.11962,0.96232,0.26536,0.04988,19.76810,0.20540,
1821.94093,3.87093,7.43992,0.96168,0.38563,0.04984,19.45039,0.15089,
1822.19093,4.12093,8.48032,0.96149,0.43956,0.04984,19.36171,0.14723,
1822.44093,4.37093,6.82071,0.96109,0.35353,0.04981,19.58567,0.17491,
1822.69094,4.62094,6.91769,0.96116,0.35855,0.04982,19.55077,0.16315,
1822.94094,4.87094,10.51587,0.96235,0.54506,0.04988,19.13453,0.11649,
1823.19094,5.12094,8.58017,0.96218,0.44473,0.04987,19.34331,0.14392,
1823.44094,5.37094,8.83981,0.96309,0.45818,0.04992,19.35604,0.13821,
1823.69095,5.62095,10.57613,0.96315,0.54817,0.04992,19.16392,0.12895,
1823.94095,5.87095,12.06725,0.96216,0.62546,0.04987,19.00571,0.10185,
1824.19095,6.12095,7.62546,0.96240,0.39523,0.04989,19.46749,0.15244,
1824.44096,6.37095,10.46697,0.96309,0.54251,0.04992,19.16394,0.12536,
1824.69096,6.62096,12.44567,0.96514,0.64506,0.05002,18.92802,0.09265,
1824.94096,6.87096,13.08534,0.96530,0.67822,0.05003,18.88317,0.09242,
1825.19096,7.12096,12.73510,0.96455,0.66008,0.04999,18.93403,0.10071,
1825.44096,7.37096,13.17462,0.96588,0.68285,0.05006,18.92990,0.11081,
1825.69097,7.62097,12.00134,0.96632,0.62203,0.05009,18.99718,0.10538,
1825.94097,7.87097,13.51717,0.97132,0.70060,0.05035,18.84856,0.08862,
1826.20347,8.13347,14.37857,1.08499,0.74528,0.05623,18.75331,0.08528,
1826.44097,8.37097,12.87517,1.00776,0.66734,0.05223,18.93283,0.10998,
1826.69097,8.62097,9.60558,1.04154,0.49788,0.05398,19.26915,0.13696,
1826.93435,8.86435,8.80677,1.13131,0.45646,0.05864,19.36869,0.16446,
1827.12327,9.05327,2.85032,1.97792,0.14775,0.10252,20.05317,0.65082,
1829.02433,10.95433,15.36838,1.72048,0.79658,0.08918,18.72798,0.14877,
1829.19099,11.12099,16.44115,0.99318,0.85217,0.05148,18.62731,0.07545,
1829.44100,11.37100,16.72534,0.99453,0.86691,0.05155,18.59375,0.06856,
1829.68058,11.61058,18.79110,1.03768,0.97398,0.05378,18.48721,0.06780,
1829.95350,11.88350,18.81131,1.08819,0.97500,0.05640,18.51638,0.09214,
1830.19952,12.12952,19.44255,1.03784,1.00775,0.05379,18.42758,0.06057,
1830.44100,12.37100,20.87614,0.99153,1.08203,0.05140,18.35546,0.05471,
1830.69100,12.62100,20.74782,0.98787,1.07539,0.05120,18.35652,0.05422,
1830.94100,12.87100,19.97941,0.98514,1.03555,0.05106,18.40148,0.05681,
1831.19574,13.12574,20.57382,1.02636,1.06636,0.05320,18.37470,0.05771,
1831.44101,13.37101,16.36797,0.97883,0.84837,0.05074,18.63747,0.07410,
1831.69101,13.62101,21.52208,0.97768,1.11552,0.05067,18.31422,0.05128,
1831.94101,13.87101,19.93338,0.97674,1.03317,0.05063,18.41265,0.05781,
1832.10768,14.03768,18.85653,1.69103,0.97735,0.08764,18.45275,0.09975,
