BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1791.41178,-0.65822,1.3782,5.3519,0.0872,0.3388,19.6400,,
1791.45345,-0.61655,-1.9419,5.0816,-0.1229,0.3216,19.6400,,
1791.47428,-0.59572,-0.8853,5.3737,-0.0560,0.3401,19.6400,,
1791.49512,-0.57488,-13.4483,5.3122,-0.8512,0.3362,19.6400,,
1791.51595,-0.55405,-8.6559,5.2486,-0.5479,0.3322,19.6400,,
1791.53678,-0.53322,-4.5486,5.0200,-0.2879,0.3178,19.6400,,
1791.55762,-0.51238,-20.8194,5.0879,-1.3178,0.3220,19.6400,,
1791.57845,-0.49155,-19.8636,5.2574,-1.2573,0.3328,19.6400,,
1791.59929,-0.47071,-31.4994,5.1521,-1.9938,0.3261,19.6400,,
1791.62012,-0.44988,8.2908,5.4649,0.5248,0.3459,19.3363,0.7157,
1791.64095,-0.42905,-3.3645,5.1157,-0.2130,0.3238,19.6400,,
1791.66179,-0.40821,-10.6275,5.1552,-0.6727,0.3263,19.6400,,
1791.68262,-0.38738,-0.3282,5.0504,-0.0208,0.3197,19.6400,,
1791.70346,-0.36654,-15.8887,5.0823,-1.0057,0.3217,19.6400,,
1791.72429,-0.34571,3.5725,5.0156,0.2261,0.3175,19.6400,,
1791.74513,-0.32487,6.2236,5.1018,0.3939,0.3229,19.6400,,
1791.76596,-0.30404,0.6768,4.9803,0.0428,0.3152,19.6400,,
1791.78679,-0.28321,-6.0403,4.9901,-0.3823,0.3159,19.6400,,
1791.80763,-0.26237,2.6059,4.9790,0.1649,0.3152,19.6400,,
1791.82846,-0.24154,-2.0375,4.9001,-0.1290,0.3102,19.6400,,
1791.84930,-0.22070,3.3626,4.9728,0.2128,0.3148,19.6400,,
1791.87013,-0.19987,-5.2274,4.8940,-0.3309,0.3098,19.6400,,
1791.89096,-0.17904,-1.9096,5.0448,-0.1209,0.3193,19.6400,,
1791.91180,-0.15820,6.5348,4.9421,0.4136,0.3128,19.5947,0.8211,
1791.93263,-0.13737,6.0276,4.8079,0.3815,0.3043,19.6400,,
1791.95347,-0.11653,-3.8674,4.8696,-0.2448,0.3082,19.6400,,
1791.97430,-0.09570,4.1820,5.0835,0.2647,0.3218,19.6400,,
1791.99513,-0.07487,4.1211,5.0461,0.2608,0.3194,19.6400,,
1792.01597,-0.05403,-2.8437,5.0641,-0.1800,0.3205,19.6400,,
1792.03680,-0.03320,-0.7597,5.1055,-0.0481,0.3232,19.6400,,
1792.05764,-0.01236,-1.9093,5.3478,-0.1209,0.3385,19.6400,,
1792.07847,0.00847,2.9416,5.2335,0.1862,0.3313,19.6400,,
1792.09930,0.02930,0.1296,5.0909,0.0082,0.3222,19.6400,,
1792.12014,0.05014,1.9639,5.1511,0.1243,0.3260,19.6400,,
1792.14097,0.07097,7.8103,5.2311,0.4944,0.3311,19.4011,0.7272,
1792.16181,0.09181,-4.9707,4.9770,-0.3146,0.3150,19.6400,,
1792.18264,0.11264,2.3153,5.0909,0.1466,0.3222,19.6400,,
1792.20348,0.13348,-9.8082,5.1404,-0.6208,0.3254,19.6400,,
1792.22431,0.15431,-9.9363,4.9967,-0.6289,0.3163,19.6400,,
1792.24514,0.17514,2.2933,4.9271,0.1452,0.3119,19.6400,,
1792.26598,0.19598,-6.4341,4.9183,-0.4073,0.3113,19.6400,,
1792.28681,0.21681,0.6630,4.9199,0.0420,0.3114,19.6400,,
1792.30765,0.23765,-0.7792,4.8697,-0.0493,0.3082,19.6400,,
1792.32848,0.25848,2.8022,4.8748,0.1774,0.3086,19.6400,,
1792.34931,0.27931,1.2915,5.0101,0.0817,0.3171,19.6400,,
1792.37015,0.30015,0.1217,4.9331,0.0077,0.3122,19.6400,,
1792.39098,0.32098,-1.6415,4.9060,-0.1039,0.3105,19.6400,,
1792.41182,0.34182,-9.5821,4.9673,-0.6065,0.3144,19.6400,,
1792.43265,0.36265,7.0636,4.9957,0.4471,0.3162,19.5102,0.7679,
1792.45348,0.38348,4.7488,5.0094,0.3006,0.3171,19.6400,,
1792.47432,0.40432,-0.1797,5.1608,-0.0114,0.3267,19.6400,,
1792.49515,0.42515,12.1444,5.2820,0.7687,0.3343,18.9219,0.4722,
1792.51599,0.44599,4.4170,5.2166,0.2796,0.3302,19.6400,,
1792.53682,0.46682,1.1962,5.0467,0.0757,0.3194,19.6400,,
1792.55765,0.48765,6.4415,5.1959,0.4077,0.3289,19.6103,0.8758,
1792.57849,0.50849,0.6080,5.1365,0.0385,0.3251,19.6400,,
1792.59932,0.52932,-4.0331,5.0157,-0.2553,0.3175,19.6400,,
1792.62016,0.55016,-1.7122,5.0716,-0.1084,0.3210,19.6400,,
1792.64099,0.57099,-3.4115,5.2829,-0.2159,0.3344,19.6400,,
1792.66182,0.59182,1.6298,5.2671,0.1032,0.3334,19.6400,,
1792.68266,0.61266,1.3868,5.0943,0.0878,0.3225,19.6400,,
1792.70349,0.63349,6.8007,5.3109,0.4305,0.3362,19.5514,0.8479,
1792.76600,0.69600,-3.3362,5.1285,-0.2112,0.3246,19.6400,,
1792.78683,0.71683,-6.4333,5.0313,-0.4072,0.3185,19.6400,,
1792.80766,0.73766,0.2577,5.2185,0.0163,0.3303,19.6400,,
1792.82850,0.75850,-6.3616,5.2156,-0.4027,0.3301,19.6400,,
1792.84933,0.77933,2.0961,5.2404,0.1327,0.3317,19.6400,,
1792.87016,0.80016,-5.2289,5.2436,-0.3310,0.3319,19.6400,,
1792.89100,0.82100,-5.3595,5.2635,-0.3392,0.3332,19.6400,,
1792.91183,0.84183,-6.5629,5.2633,-0.4154,0.3332,19.6400,,
1792.93267,0.86267,-6.9702,5.3085,-0.4412,0.3360,19.6400,,
1792.95350,0.88350,-1.3422,5.3575,-0.0850,0.3391,19.6400,,
1792.97434,0.90434,-7.8939,5.4741,-0.4997,0.3465,19.6400,,
1792.99517,0.92517,-9.0411,5.3716,-0.5723,0.3400,19.6400,,
1793.01600,0.94600,2.8279,5.3918,0.1790,0.3413,19.6400,,
1793.07851,1.00851,1.1065,5.2678,0.0700,0.3334,19.6400,,
1793.09934,1.02934,-4.3969,5.4015,-0.2783,0.3419,19.6400,,
1793.12017,1.05017,0.8154,5.2643,0.0516,0.3332,19.6400,,
1793.14101,1.07101,4.7025,5.2933,0.2977,0.3351,19.6400,,
1793.16184,1.09184,-2.7260,5.5089,-0.1725,0.3487,19.6400,,
1793.18268,1.11268,-7.9160,5.2284,-0.5011,0.3309,19.6400,,
1793.20351,1.13351,3.3577,5.1824,0.2125,0.3280,19.6400,,
1793.22434,1.15434,8.6629,5.1735,0.5483,0.3275,19.2886,0.6484,
1793.24518,1.17518,8.7174,5.1232,0.5518,0.3243,19.2818,0.6381,
1793.26601,1.19601,-2.1386,5.1801,-0.1354,0.3279,19.6400,,
1793.28685,1.21685,8.8339,5.2048,0.5592,0.3294,19.2674,0.6397,
1793.30768,1.23768,-6.0378,5.2096,-0.3822,0.3297,19.6400,,
1793.32851,1.25851,3.6830,5.2478,0.2331,0.3322,19.6400,,
1793.34935,1.27935,-15.1603,5.1439,-0.9596,0.3256,19.6400,,
1793.37018,1.30018,-11.7341,5.3003,-0.7427,0.3355,19.6400,,
1793.39102,1.32102,4.4177,5.3304,0.2796,0.3374,19.6400,,
1793.41185,1.34185,-0.4523,5.2481,-0.0286,0.3322,19.6400,,
1793.43268,1.36268,-3.9850,5.2871,-0.2522,0.3347,19.6400,,
1793.45352,1.38352,-0.2172,5.3484,-0.0137,0.3385,19.6400,,
1793.47435,1.40435,-0.8255,5.3623,-0.0523,0.3394,19.6400,,
1793.49519,1.42519,-3.3165,5.3389,-0.2099,0.3379,19.6400,,
1793.51602,1.44602,11.2149,5.2285,0.7099,0.3309,19.0083,0.5062,
1793.53685,1.46685,9.3543,5.1966,0.5921,0.3289,19.2053,0.6032,
1793.55769,1.48769,3.8159,5.2196,0.2415,0.3304,19.6400,,
1793.57852,1.50852,6.9572,5.1523,0.4404,0.3261,19.5267,0.8041,
1793.59936,1.52936,3.7096,5.2053,0.2348,0.3295,19.6400,,
1793.62019,1.55019,3.4586,5.1922,0.2189,0.3287,19.6400,,
1793.64102,1.57102,3.3337,5.2618,0.2110,0.3331,19.6400,,
1793.66186,1.59186,-1.5872,5.1703,-0.1005,0.3273,19.6400,,
1793.68269,1.61269,-0.7989,5.3285,-0.0506,0.3373,19.6400,,
1793.70353,1.63353,4.4738,5.2723,0.2832,0.3337,19.6400,,
1793.72436,1.65436,2.2783,5.3321,0.1442,0.3375,19.6400,,
1793.74519,1.67519,1.7569,5.3176,0.1112,0.3366,19.6400,,
1793.76603,1.69603,-7.4842,5.1795,-0.4737,0.3278,19.6400,,
1793.78686,1.71686,1.2732,5.1603,0.0806,0.3266,19.6400,,
1793.80770,1.73770,-1.9976,5.5689,-0.1264,0.3525,19.6400,,
1793.82853,1.75853,1.6741,5.2189,0.1060,0.3303,19.6400,,
1793.84936,1.77936,-6.0886,5.2153,-0.3854,0.3301,19.6400,,
1793.87020,1.80020,-4.0606,5.1966,-0.2570,0.3289,19.6400,,
1793.89103,1.82103,10.0176,5.2254,0.6341,0.3308,19.1309,0.5663,
1793.91187,1.84187,-2.3444,5.4681,-0.1484,0.3461,19.6400,,
1793.93270,1.86270,-1.4035,5.1883,-0.0888,0.3284,19.6400,,
1793.95353,1.88353,1.6850,5.2542,0.1067,0.3326,19.6400,,
1793.97437,1.90437,5.2305,5.3542,0.3311,0.3389,19.6400,,
1793.99520,1.92520,7.7225,5.1854,0.4888,0.3282,19.4134,0.7290,
1794.01604,1.94604,-2.5634,5.2505,-0.1623,0.3323,19.6400,,
1794.03687,1.96687,-2.2954,5.2285,-0.1453,0.3309,19.6400,,
1794.05770,1.98770,4.2153,5.4996,0.2668,0.3481,19.6400,,
1794.07854,2.00854,0.4609,5.2220,0.0292,0.3305,19.6400,,
1794.09937,2.02937,-3.6093,5.0910,-0.2285,0.3222,19.6400,,
1794.12021,2.05021,-6.8910,5.4904,-0.4362,0.3475,19.6400,,
1794.14104,2.07104,2.0874,5.1268,0.1321,0.3245,19.6400,,
1794.16187,2.09187,3.4426,5.0669,0.2179,0.3207,19.6400,,
1794.18271,2.11271,-5.0809,5.1436,-0.3216,0.3256,19.6400,,
1794.20354,2.13354,3.6041,5.0957,0.2281,0.3225,19.6400,,
1794.22438,2.15438,-0.3244,5.2589,-0.0205,0.3329,19.6400,,
1794.24521,2.17521,-0.4823,5.1057,-0.0305,0.3232,19.6400,,
1794.26604,2.19604,-1.1394,5.1489,-0.0721,0.3259,19.6400,,
1794.28688,2.21688,-1.6205,5.2531,-0.1026,0.3325,19.6400,,
1794.30771,2.23771,5.4997,5.1309,0.3481,0.3248,19.6400,,
1794.32855,2.25855,2.8240,5.2577,0.1788,0.3328,19.6400,,
1794.34938,2.27938,3.6576,5.2994,0.2315,0.3354,19.6400,,
1794.37021,2.30021,-1.7930,5.2422,-0.1135,0.3318,19.6400,,
1794.39105,2.32105,10.7447,5.2589,0.6801,0.3329,19.0548,0.5314,
1794.41188,2.34188,-14.5781,5.2537,-0.9227,0.3325,19.6400,,
1794.43272,2.36272,-5.7241,5.0923,-0.3623,0.3223,19.6400,,
1794.45355,2.38355,8.7819,5.4042,0.5559,0.3421,19.2738,0.6681,
1794.47438,2.40438,-5.3672,5.3364,-0.3397,0.3378,19.6400,,
1794.49522,2.42522,8.7732,5.0900,0.5553,0.3222,19.2749,0.6299,
1794.51605,2.44605,17.4456,5.2990,1.1042,0.3354,18.5286,0.3298,
1794.53688,2.46688,-3.6650,5.3441,-0.2320,0.3383,19.6400,,
1794.55772,2.48772,1.6416,5.3319,0.1039,0.3375,19.6400,,
1794.57855,2.50855,2.6441,5.2782,0.1674,0.3341,19.6400,,
1794.59939,2.52939,3.5420,5.2799,0.2242,0.3342,19.6400,,
1794.62022,2.55022,3.3190,5.3786,0.2101,0.3404,19.6400,,
1794.64105,2.57105,7.4291,5.3001,0.4702,0.3355,19.4555,0.7746,
1794.66189,2.59189,-5.1449,5.2308,-0.3257,0.3311,19.6400,,
1794.68272,2.61272,2.8593,5.1584,0.1810,0.3265,19.6400,,
1794.70356,2.63356,6.0972,5.1763,0.3859,0.3276,19.6400,,
1794.72439,2.65439,1.6677,5.2018,0.1056,0.3293,19.6400,,
1794.74522,2.67522,4.2109,5.1662,0.2665,0.3270,19.6400,,
1794.76606,2.69606,1.6659,5.0534,0.1054,0.3199,19.6400,,
1794.78689,2.71689,0.2336,5.2001,0.0148,0.3291,19.6400,,
1794.80773,2.73773,-1.9466,5.2685,-0.1232,0.3335,19.6400,,
1794.82856,2.75856,8.7189,5.3288,0.5519,0.3373,19.2817,0.6636,
1794.84939,2.77939,-3.5963,5.4787,-0.2276,0.3468,19.6400,,
1794.87023,2.80023,10.3289,5.1125,0.6538,0.3236,19.0977,0.5374,
1794.89106,2.82106,4.4312,5.1387,0.2805,0.3253,19.6400,,
1794.91190,2.84190,-4.3711,5.1613,-0.2767,0.3267,19.6400,,
1794.97440,2.90440,-0.1073,5.1317,-0.0068,0.3248,19.6400,,
1794.99523,2.92523,-3.9997,5.2407,-0.2532,0.3317,19.6400,,
1795.01607,2.94607,1.3211,5.1723,0.0836,0.3274,19.6400,,
1795.03690,2.96690,1.8133,5.1377,0.1148,0.3252,19.6400,,
1795.05773,2.98773,2.4355,5.2573,0.1542,0.3328,19.6400,,
1795.07857,3.00857,0.2684,5.0363,0.0170,0.3188,19.6400,,
1795.09940,3.02940,1.2112,5.1893,0.0767,0.3285,19.6400,,
1795.12024,3.05024,-4.4011,5.1647,-0.2786,0.3269,19.6400,,
1795.14107,3.07107,-1.9813,5.1325,-0.1254,0.3249,19.6400,,
1795.16190,3.09190,-0.4607,5.1929,-0.0292,0.3287,19.6400,,
1795.18274,3.11274,-10.1848,5.1436,-0.6447,0.3256,19.6400,,
1795.20357,3.13357,1.5538,5.1394,0.0984,0.3253,19.6400,,
1795.22440,3.15440,0.5916,4.9996,0.0374,0.3165,19.6400,,
1795.24524,3.17524,-5.2924,5.0950,-0.3350,0.3225,19.6400,,
1795.26607,3.19607,-2.5745,5.2480,-0.1630,0.3322,19.6400,,
1795.28691,3.21691,1.0140,4.9864,0.0642,0.3156,19.6400,,
1795.30774,3.23774,8.4562,4.9988,0.5352,0.3164,19.3149,0.6418,
1795.32857,3.25857,-4.6304,5.1752,-0.2931,0.3276,19.6400,,
1795.34941,3.27941,0.1479,5.2107,0.0094,0.3298,19.6400,,
1795.37024,3.30024,2.2424,5.1979,0.1419,0.3290,19.6400,,
1795.39108,3.32108,6.1562,5.2402,0.3897,0.3317,19.6400,,
1795.41191,3.34191,-2.8881,5.1311,-0.1828,0.3248,19.6400,,
1795.43274,3.36274,8.4020,5.0447,0.5318,0.3193,19.3218,0.6519,
1795.45358,3.38358,-0.4671,5.2933,-0.0296,0.3350,19.6400,,
1795.47441,3.40441,-0.7239,5.1477,-0.0458,0.3258,19.6400,,
1795.49525,3.42525,1.1786,5.2029,0.0746,0.3293,19.6400,,
1795.51608,3.44608,3.9628,5.2314,0.2508,0.3311,19.6400,,
1795.53691,3.46691,0.9507,5.2472,0.0602,0.3321,19.6400,,
1795.55775,3.48775,0.1432,5.2119,0.0091,0.3299,19.6400,,
1795.57858,3.50858,-0.6893,5.3011,-0.0436,0.3355,19.6400,,
1795.59942,3.52942,3.2842,5.3459,0.2079,0.3384,19.6400,,
1795.62025,3.55025,3.8354,5.2885,0.2428,0.3347,19.6400,,
1795.64108,3.57108,5.4056,5.2227,0.3422,0.3306,19.6400,,
1795.66192,3.59192,-3.6642,5.2538,-0.2319,0.3326,19.6400,,
1795.68275,3.61275,14.6635,5.5292,0.9281,0.3500,18.7172,0.4094,
1795.70359,3.63359,-1.8001,5.1736,-0.1139,0.3275,19.6400,,
1795.72442,3.65442,-0.0954,5.1959,-0.0060,0.3289,19.6400,,
1795.74525,3.67525,2.0891,5.2111,0.1322,0.3298,19.6400,,
1795.76609,3.69609,0.6133,5.1756,0.0388,0.3276,19.6400,,
1795.78692,3.71692,-0.2641,5.2236,-0.0167,0.3306,19.6400,,
1795.80775,3.73775,5.3863,5.1889,0.3409,0.3284,19.6400,,
1795.82859,3.75859,1.5466,5.4637,0.0979,0.3458,19.6400,,
1795.84942,3.77942,2.3909,5.1752,0.1513,0.3276,19.6400,,
1795.87026,3.80026,2.2342,5.2230,0.1414,0.3306,19.6400,,
1795.89109,3.82109,8.2712,5.3096,0.5235,0.3361,19.3389,0.6970,
1795.91192,3.84192,5.1681,5.3773,0.3271,0.3404,19.6400,,
1795.93276,3.86276,2.1790,5.4577,0.1379,0.3455,19.6400,,
1795.95359,3.88359,1.2794,5.4001,0.0810,0.3418,19.6400,,
1795.97443,3.90443,4.3321,5.3757,0.2742,0.3403,19.6400,,
1795.99526,3.92526,3.0461,5.2126,0.1928,0.3299,19.6400,,
1796.01609,3.94609,11.3201,5.2171,0.7165,0.3302,18.9982,0.5004,
1796.03693,3.96693,-3.6372,5.1823,-0.2302,0.3280,19.6400,,
1796.05776,3.98776,-2.2281,5.1323,-0.1410,0.3249,19.6400,,
1796.07859,4.00859,2.9713,5.1594,0.1881,0.3266,19.6400,,
1796.09943,4.02943,4.6488,5.2426,0.2943,0.3318,19.6400,,
1796.12026,4.05026,2.3046,5.2171,0.1459,0.3302,19.6400,,
1796.14110,4.07110,3.4897,5.2015,0.2209,0.3292,19.6400,,
1796.16193,4.09193,9.8461,5.2403,0.6232,0.3317,19.1496,0.5779,
1796.18276,4.11276,17.2878,5.2537,1.0943,0.3325,18.5385,0.3300,
1796.20360,4.13360,0.9552,5.2543,0.0605,0.3326,19.6400,,
1796.22443,4.15443,16.5378,5.2591,1.0468,0.3329,18.5866,0.3453,
1796.24527,4.17527,2.1860,5.2155,0.1384,0.3301,19.6400,,
1796.26610,4.19610,14.2212,5.1027,0.9002,0.3230,18.7505,0.3896,
1796.28693,4.21693,2.5328,5.1764,0.1603,0.3276,19.6400,,
1796.30777,4.23777,9.1272,5.1376,0.5777,0.3252,19.2320,0.6112,
1796.32860,4.25860,2.2458,5.0936,0.1421,0.3224,19.6400,,
1796.34944,4.27944,1.8347,5.2009,0.1161,0.3292,19.6400,,
1796.37027,4.30027,4.1501,5.0448,0.2627,0.3193,19.6400,,
1796.39110,4.32110,4.4801,5.0132,0.2836,0.3173,19.6400,,
1796.41194,4.34194,0.5789,5.1233,0.0366,0.3243,19.6400,,
1796.43277,4.36277,0.9460,5.1846,0.0599,0.3282,19.6400,,
1796.45360,4.38360,13.8347,4.9929,0.8757,0.3160,18.7804,0.3918,
1796.47444,4.40444,-5.2343,4.8913,-0.3313,0.3096,19.6400,,
1796.49527,4.42527,13.8543,5.1013,0.8769,0.3229,18.7788,0.3998,
1796.51611,4.44611,3.2996,5.0545,0.2089,0.3199,19.6400,,
1796.53694,4.46694,4.4776,5.0347,0.2834,0.3187,19.6400,,
1796.55777,4.48777,6.5413,5.0338,0.4140,0.3186,19.5936,0.8355,
1796.57861,4.50861,4.7495,5.0675,0.3006,0.3208,19.6400,,
1796.59944,4.52944,5.7250,5.0579,0.3624,0.3201,19.6400,,
1796.62028,4.55028,-4.4806,4.9857,-0.2836,0.3156,19.6400,,
1796.64111,4.57111,6.4535,4.9180,0.4085,0.3113,19.6083,0.8274,
1796.66194,4.59194,11.3755,4.9343,0.7200,0.3123,18.9929,0.4710,
1796.68278,4.61278,10.5324,4.8964,0.6667,0.3099,19.0765,0.5048,
1796.70361,4.63361,4.3209,5.2387,0.2735,0.3316,19.6400,,
1796.72444,4.65444,6.9657,4.8781,0.4409,0.3088,19.5254,0.7603,
1796.74528,4.67528,0.9180,5.1200,0.0581,0.3241,19.6400,,
1796.76611,4.69611,4.5970,4.8634,0.2910,0.3078,19.6400,,
1796.78695,4.71695,10.2414,5.1373,0.6482,0.3252,19.1069,0.5446,
1796.80778,4.73778,3.2234,5.2041,0.2040,0.3294,19.6400,,
1796.82861,4.75861,-2.6488,5.2293,-0.1677,0.3310,19.6400,,
1796.84945,4.77945,15.7372,4.7441,0.9961,0.3003,18.6405,0.3273,
1796.87028,4.80028,4.6607,5.1597,0.2950,0.3266,19.6400,,
1796.89112,4.82112,10.4140,5.1479,0.6592,0.3258,19.0888,0.5367,
1796.91195,4.84195,3.3295,5.1693,0.2107,0.3272,19.6400,,
1796.93278,4.86278,6.1863,5.1869,0.3916,0.3283,19.6400,,
1796.95362,4.88362,-4.7023,5.1941,-0.2976,0.3288,19.6400,,
1796.97445,4.90445,6.0228,5.2368,0.3812,0.3315,19.6400,,
1796.99529,4.92529,6.1247,5.2208,0.3877,0.3305,19.6400,,
1797.01612,4.94612,11.7741,5.2783,0.7453,0.3341,18.9555,0.4867,
1797.03695,4.96695,4.3213,5.2854,0.2735,0.3345,19.6400,,
1797.05779,4.98779,0.3378,5.2318,0.0214,0.3312,19.6400,,
1797.07862,5.00862,6.0569,5.3227,0.3834,0.3369,19.6400,,
1797.09945,5.02945,2.0094,5.3400,0.1272,0.3380,19.6400,,
1797.12029,5.05029,12.0560,5.3077,0.7631,0.3360,18.9298,0.4780,
1797.14112,5.07112,0.6275,5.2691,0.0397,0.3335,19.6400,,
1797.16196,5.09196,7.2542,5.3383,0.4592,0.3379,19.4813,0.7990,
1797.18279,5.11279,4.7934,5.3544,0.3034,0.3389,19.6400,,
1797.20362,5.13362,-4.2892,5.3468,-0.2715,0.3384,19.6400,,
1797.22446,5.15446,8.0275,5.3371,0.5081,0.3378,19.3714,0.7219,
1797.24529,5.17529,0.3624,5.2575,0.0229,0.3328,19.6400,,
1797.26613,5.19613,0.8443,5.3606,0.0534,0.3393,19.6400,,
1797.28696,5.21696,11.0902,5.3878,0.7020,0.3410,19.0205,0.5275,
1797.30779,5.23779,0.7419,5.3873,0.0470,0.3410,19.6400,,
1797.32863,5.25863,8.0393,5.4622,0.5089,0.3457,19.3698,0.7377,
1797.34946,5.27946,0.7716,5.4091,0.0488,0.3424,19.6400,,
1797.37029,5.30029,6.0478,5.3369,0.3828,0.3378,19.6400,,
1797.39113,5.32113,8.4019,5.3126,0.5318,0.3363,19.3219,0.6865,
1797.41196,5.34196,-5.7789,5.4127,-0.3658,0.3426,19.6400,,
1797.43280,5.36280,3.5276,5.3967,0.2233,0.3416,19.6400,,
1797.45363,5.38363,4.2074,5.3233,0.2663,0.3369,19.6400,,
1797.47446,5.40446,1.8294,5.3597,0.1158,0.3392,19.6400,,
1797.49530,5.42530,1.4561,5.3735,0.0922,0.3401,19.6400,,
1797.51613,5.44613,6.6186,5.3325,0.4189,0.3375,19.5809,0.8748,
1797.53696,5.46696,6.0265,5.2817,0.3815,0.3343,19.6400,,
1797.55780,5.48780,14.3228,5.3156,0.9066,0.3365,18.7427,0.4029,
1797.57863,5.50863,7.0929,5.3045,0.4490,0.3358,19.5057,0.8120,
1797.59947,5.52947,-0.2854,5.2475,-0.0181,0.3322,19.6400,,
1797.62030,5.55030,15.1995,5.3640,0.9621,0.3395,18.6782,0.3832,
1797.64113,5.57113,-2.8776,5.3228,-0.1821,0.3369,19.6400,,
1797.66197,5.59197,4.2549,5.3889,0.2693,0.3411,19.6400,,
1797.68280,5.61280,0.7714,5.3248,0.0488,0.3370,19.6400,,
1797.70364,5.63364,6.8687,5.5530,0.4348,0.3515,19.5406,0.8778,
1797.72447,5.65447,1.4716,5.6009,0.0931,0.3545,19.6400,,
1797.74530,5.67530,16.4838,5.5780,1.0434,0.3531,18.5902,0.3674,
1797.76614,5.69614,3.9216,5.4963,0.2482,0.3479,19.6400,,
1797.78697,5.71697,6.7175,5.4162,0.4252,0.3428,19.5648,0.8754,
1797.80780,5.73780,-3.2141,5.3609,-0.2034,0.3393,19.6400,,
1797.82864,5.75864,5.6786,5.4785,0.3594,0.3468,19.6400,,
1797.84947,5.77947,6.3766,5.3867,0.4036,0.3410,19.6213,0.9172,
